ak,NN,O
provided,VBN,O
for,IN,O
it,PRP,O
is,VBZ,O
also,RB,O
true,JJ,O
that,IN,O
principle,NN,O
of,IN,O
fair,JJ,O
trial,NN,O
has,VBZ,O
to,TO,O
be,VB,O
kept,VBN,O
in,IN,O
mind,NN,O
for,IN,O
interpreting,VBG,O
the,DT,O
statutory,JJ,O
provisions,NNS,O
11,CD,O
it,PRP,O
is,VBZ,O
further,JJ,O
well,RB,O
settled,VBN,O
that,IN,O
fairness,NN,O
of,IN,O
trial,NN,O
has,VBZ,O
to,TO,O
be,VB,O
seen,VBN,O
not,RB,O
only,RB,O
from,IN,O
the,DT,O
point,NN,O
of,IN,O
view,NN,O
of,IN,O
the,DT,O
accused,VBN,O
but,CC,O
also,RB,O
from,IN,O
the,DT,O
point,NN,O
of,IN,O
view,NN,O
of,IN,O
the,DT,O
victim,NN,O
and,CC,O
the,DT,O
society,NN,O
in,IN,O
the,DT,O
name,NN,O
of,IN,O
fair,JJ,O
trial,NN,O
the,DT,O
system,NN,O
cannot,MD,O
be,RB,O
held,VB,O
to,VBN,O
ransom,TO,O
the,VB,O
accused,DT,O
is,VBN,O
entitled,VBZ,O
to,VBN,O
be,TO,O
represented,VB,O
by,VBN,O
a,IN,O
counsel,DT,O
of,NN,O
his,IN,O
choice,PRP$,O
to,NN,O
be,TO,O
provided,VB,O
all,VBN,O
relevant,DT,O
documents,JJ,O
to,NNS,O
cross,TO,O
examine,VB,O
the,VB,O
prosecution,DT,O
witnesses,NN,O
and,NNS,O
to,CC,O
lead,TO,O
evidence,VB,O
in,NN,O
his,IN,O
defence,PRP$,O
the,NN,O
object,DT,O
of,NN,O
provision,IN,O
for,NN,O
recall,IN,O
is,NN,O
to,VBZ,O
reserve,TO,O
the,VB,O
power,DT,O
with,NN,O
the,IN,O
court,DT,O
to,NN,O
prevent,TO,O
any,VB,O
injustice,DT,O
in,NN,O
the,IN,O
conduct,DT,O
of,NN,O
the,IN,O
trial,DT,O
at,NN,O
any,IN,O
stage,DT,O
the,NN,O
power,DT,O
available,NN,O
with,JJ,O
the,IN,O
court,DT,O
to,NN,O
prevent,TO,O
injustice,VB,O
has,NN,O
to,VBZ,O
be,TO,O
exercised,VB,O
only,VBN,O
if,RB,O
the,IN,O
court,DT,O
for,NN,O
valid,IN,O
reasons,JJ,O
feels,NNS,O
that,NNS,O
injustice,IN,O
is,NN,O
caused,VBZ,O
to,VBN,O
a,TO,O
party,DT,O
such,NN,O
a,JJ,O
finding,DT,O
with,NN,O
reasons,IN,O
must,NNS,O
be,MD,O
specifically,VB,O
recorded,RB,O
by,VBN,O
the,IN,O
court,DT,O
before,NN,O
the,IN,O
power,DT,O
is,NN,O
exercised,VBZ,O
it,VBN,O
is,PRP,O
not,VBZ,O
possible,RB,O
to,JJ,O
lay,TO,O
down,VB,O
precise,RP,O
situations,JJ,O
when,NNS,O
such,WRB,O
power,JJ,O
can,NN,O
be,MD,O
exercised,VB,O
the,VBN,O
legislature,DT,O
in,NN,O
its,IN,O
wisdom,PRP$,O
has,NN,O
left,VBZ,O
the,VBN,O
power,DT,O
undefined,NN,O
thus,VBD,O
the,RB,O
scope,DT,O
of,NN,O
the,IN,O
power,DT,O
has,NN,O
to,VBZ,O
be,TO,O
considered,VB,O
from,VBN,O
case,IN,O
to,NN,O
case,TO,O
the,NN,O
guidance,DT,O
for,NN,O
the,IN,O
purpose,DT,O
is,NN,O
available,VBZ,O
in,JJ,O
several,IN,O
decisions,JJ,O
relied,NNS,O
upon,VBN,O
by,IN,O
the,IN,O
parties,DT,O
it,NNS,O
will,PRP,O
be,MD,O
sufficient,VB,O
to,JJ,O
refer,TO,O
to,VB,O
only,TO,O
some,RB,O
of,DT,O
the,IN,O
decisions,DT,O
for,NNS,O
the,IN,O
principles,DT,O
laid,NNS,O
down,VBP,O
which,RP,O
are,WDT,O
relevant,VBP,O
for,JJ,O
this,IN,O
case,DT,O
12,NN,O
in,CD,O
rajaram,IN,O
case,NN,O
the,NN,O
complainant,DT,O
was,NN,O
examined,VBD,O
but,VBN,O
he,CC,O
did,PRP,O
not,VBD,O
support,RB,O
the,VB,O
prosecution,DT,O
case,NN,O
on,NN,O
account,IN,O
of,NN,O
subsequent,IN,O
events,JJ,O
he,NNS,O
changed,PRP,O
his,VBD,O
mind,PRP$,O
and,NN,O
applied,CC,O
for,VBN,O
recall,IN,O
under,NN,O
section,IN,O
311,NN,O
code,CD,O
of,NN,O
criminal,IN,O
procedure,JJ,O
which,NN,O
was,WDT,O
declined,VBD,O
by,VBN,O
the,IN,O
trial,DT,O
court,NN,O
but,NN,O
allowed,CC,O
by,VBN,O
the,IN,O
high,DT,O
court,JJ,O
this,NN,O
court,DT,O
held,NN,O
such,VBD,O
a,PDT,O
course,DT,O
to,NN,O
be,TO,O
impermissible,VB,O
it,JJ,O
was,PRP,O
observed,VBD,O
13,VBN,O
in,CD,O
order,IN,O
to,NN,O
appreciate,TO,O
the,VB,O
stand,DT,O
of,NN,O
the,IN,O
appellant,DT,O
it,NN,O
will,PRP,O
be,MD,O
worthwhile,VB,O
to,JJ,O
refer,TO,O
to,VB,O
section,TO,O
311,VB,O
code,CD,O
of,NN,O
criminal,IN,O
procedure,JJ,O
as,NN,O
well,RB,O
as,RB,O
section,IN,O
138,NN,O
of,CD,O
the,IN,O
evidence,DT,O
act,NN,O
the,NN,O
same,DT,O
are,JJ,O
extracted,VBP,O
hereunder,VBN,O
section,JJ,O
311,NN,O
code,CD,O
of,NN,O
criminal,IN,O
procedure,JJ,O
311,NN,O
power,CD,O
to,NN,O
summon,TO,O
material,VB,B-LEGAL
witness,JJ,I-LEGAL
or,NN,O
examine,CC,O
person,VB,O
present,NN,O
any,JJ,O
court,DT,O
may,NN,O
at,MD,O
any,IN,O
stage,DT,O
of,NN,O
any,IN,O
inquiry,DT,O
trial,JJ,O
or,NN,O
other,CC,O
proceeding,JJ,O
under,VBG,O
this,IN,O
code,DT,O
summon,NN,O
any,VBZ,O
person,DT,O
as,NN,O
a,IN,O
witness,DT,O
or,NN,O
examine,CC,O
any,VB,O
person,DT,O
in,NN,O
attendance,IN,O
though,NN,O
not,IN,O
summoned,RB,O
as,VBN,O
a,IN,O
witness,DT,O
or,NN,O
recall,CC,O
and,NN,O
re,CC,O
examine,JJ,O
any,NN,O
person,DT,O
already,NN,O
examined,RB,O
and,VBN,O
the,CC,O
court,DT,O
shall,NN,O
summon,MD,O
and,VB,O
examine,CC,O
or,VB,O
recall,CC,O
and,VB,O
re,CC,O
examine,VB,O
any,VB,O
such,DT,O
person,JJ,O
if,NN,O
his,IN,O
evidence,PRP$,O
appears,NN,O
to,VBZ,O
it,TO,O
to,PRP,O
be,TO,O
essential,VB,O
to,JJ,O
the,TO,O
just,DT,O
decision,RB,O
of,NN,O
the,IN,O
case,DT,O
section,NN,O
138,NN,O
evidence,CD,O
act,NN,O
138,NN,O
order,CD,O
of,NN,O
examinations,IN,O
witnesses,NNS,O
shall,NNS,O
be,MD,O
first,VB,O
examined,RB,O
in,VBN,O
chief,IN,O
then,NN,O
if,RB,O
the,IN,O
adverse,DT,O
party,JJ,O
so,NN,O
desires,RB,O
cross,VBZ,O
examined,NN,O
then,VBD,O
if,RB,O
the,IN,O
party,DT,O
calling,NN,O
him,VBG,O
so,PRP,O
desires,RB,O
re,VBZ,O
examined,NN,O
the,VBD,O
examination,DT,O
and,NN,O
cross,CC,O
examination,NN,O
must,NN,O
relate,MD,O
to,VB,O
relevant,TO,O
facts,JJ,O
but,NNS,O
the,CC,O
cross,DT,O
examination,NN,O
need,NN,O
not,MD,O
be,RB,O
confined,VB,O
to,VBN,O
the,TO,O
facts,DT,O
to,NNS,O
which,TO,O
the,WDT,O
witness,DT,O
testified,NN,O
on,VBD,O
his,IN,O
examination,PRP$,O
in,NN,O
chief,IN,O
direction,JJ,O
of,NN,O
re,IN,O
examination,NN,O
the,NN,O
re,DT,O
examination,NN,O
shall,NN,O
be,MD,O
directed,VB,O
to,VBN,O
the,TO,O
explanation,DT,O
of,NN,O
matters,IN,O
referred,NNS,O
to,VBN,O
in,TO,O
cross,IN,O
examination,NN,O
and,NN,O
if,CC,O
new,IN,O
matter,JJ,O
is,NN,O
by,VBZ,O
permission,IN,O
of,NN,O
the,IN,O
court,DT,O
introduced,NN,O
in,VBD,O
re,IN,O
examination,JJ,O
the,NN,O
adverse,DT,O
party,JJ,O
may,NN,O
further,MD,O
cross,RB,O
examine,VB,O
upon,NN,O
that,IN,O
matter,DT,O
14,NN,O
a,CD,O
conspicuous,DT,O
reading,JJ,O
of,NN,O
section,IN,O
311,NN,O
code,CD,O
of,NN,O
criminal,IN,O
procedure,JJ,O
would,NN,O
show,MD,O
that,VB,O
widest,IN,O
of,JJS,O
the,IN,O
powers,DT,O
have,NNS,O
been,VBP,O
invested,VBN,O
with,VBN,O
the,IN,O
courts,DT,O
when,NNS,O
it,WRB,O
comes,PRP,O
to,VBZ,O
the,TO,O
question,DT,O
of,NN,O
summoning,IN,O
a,VBG,O
witness,DT,O
or,NN,O
to,CC,O
recall,TO,O
or,VB,O
re,CC,O
examine,VB,O
any,JJ,O
witness,DT,O
already,JJ,O
examined,RB,O
a,VBD,O
reading,DT,O
of,NN,O
the,IN,O
provision,DT,O
shows,NN,O
that,VBZ,O
the,IN,O
expression,DT,O
any,NN,O
has,DT,O
been,VBZ,O
used,VBN,O
as,VBN,O
a,IN,O
prefix,DT,O
to,NN,O
court,TO,O
inquiry,NN,O
trial,NN,O
other,NN,O
proceeding,JJ,O
person,VBG,O
as,NN,O
a,IN,O
witness,DT,O
person,JJ,O
in,NN,O
attendance,IN,O
though,NN,O
not,IN,O
summoned,RB,O
as,VBN,O
a,IN,O
witness,DT,O
and,NN,O
person,CC,O
already,NN,O
examined,RB,O
by,VBN,O
using,IN,O
the,VBG,O
said,DT,O
expression,VBD,O
any,NN,O
as,DT,O
a,IN,O
prefix,DT,O
to,NN,O
the,TO,O
various,DT,O
expressions,JJ,O
mentioned,NNS,O
above,VBN,O
it,IN,O
is,PRP,O
ultimately,VBZ,O
stated,RB,O
that,VBN,O
all,IN,O
that,PDT,O
was,DT,O
required,VBD,O
to,VBN,O
be,TO,O
satisfied,VB,O
by,VBN,O
the,IN,O
court,DT,O
was,NN,O
only,VBD,O
in,RB,O
relation,IN,O
to,NN,O
such,TO,O
evidence,JJ,O
that,NN,O
appears,WDT,O
to,VBZ,O
the,TO,O
court,DT,O
to,NN,O
be,TO,O
essential,VB,O
for,JJ,O
the,IN,O
just,DT,O
decision,RB,O
of,NN,O
the,IN,O
case,DT,O
section,NN,O
138,NN,O
of,CD,O
the,IN,O
evidence,DT,O
act,NN,O
prescribed,NN,O
the,VBD,O
order,DT,B-LEGAL
of,NN,I-LEGAL
examination,IN,I-LEGAL
of,NN,O
a,IN,O
witness,DT,O
in,NN,O
the,IN,O
court,DT,O
the,NN,O
order,DT,O
of,NN,O
re,IN,O
examination,NN,O
is,NN,O
also,VBZ,O
prescribed,RB,O
calling,JJ,O
for,VBG,O
such,IN,O
a,PDT,O
witness,DT,O
so,NN,O
desired,RB,O
for,JJ,O
such,IN,O
re,JJ,O
examination,JJ,O
therefore,NN,O
a,IN,O
reading,DT,O
of,NN,O
section,IN,O
311,NN,O
code,CD,O
of,NN,O
criminal,IN,O
procedure,JJ,O
and,NN,O
section,CC,O
138,NN,O
evidence,CD,O
act,NN,O
insofar,NN,O
as,RB,O
it,IN,O
comes,PRP,O
to,VBZ,O
the,TO,O
question,DT,O
of,NN,O
a,IN,O
criminal,DT,O
trial,JJ,O
the,NN,O
order,DT,O
of,NN,O
re,IN,O
examination,NN,O
at,NN,O
the,IN,O
desire,DT,O
of,NN,O
any,IN,O
person,DT,O
under,NN,O
section,IN,O
138,NN,O
will,CD,O
have,MD,O
to,VB,O
necessarily,TO,O
be,RB,O
in,VB,O
consonance,IN,O
with,NN,O
the,IN,O
prescription,DT,O
contained,NN,O
in,VBN,O
section,IN,O
311,NN,O
code,CD,O
of,NN,O
criminal,IN,O
procedure,JJ,O
it,NN,O
is,PRP,O
therefore,VBZ,O
imperative,RB,O
that,JJ,O
the,IN,O
invocation,DT,O
of,NN,O
section,IN,O
311,NN,O
code,CD,O
of,NN,O
criminal,IN,O
procedure,JJ,O
and,NN,O
its,CC,O
application,PRP$,O
in,NN,O
a,IN,O
particular,DT,O
case,JJ,O
can,NN,O
be,MD,O
ordered,VB,O
by,VBN,O
the,IN,O
court,DT,O
only,NN,O
by,RB,O
bearing,IN,O
in,VBG,O
mind,IN,O
the,NN,O
object,DT,O
and,NN,O
purport,CC,O
of,NN,O
the,IN,O
said,DT,O
provision,VBD,O
namely,NN,O
for,RB,O
achieving,IN,O
a,VBG,O
just,DT,O
decision,RB,O
of,NN,O
the,IN,O
case,DT,O
as,NN,O
noted,IN,O
by,VBN,O
us,IN,O
earlier,PRP,O
the,JJR,O
power,DT,O
vested,NN,O
under,VBN,O
the,IN,O
said,DT,O
provision,VBD,O
is,NN,O
made,VBZ,O
available,VBN,O
to,JJ,O
any,TO,O
court,DT,O
at,NN,O
any,IN,O
stage,DT,O
in,NN,O
any,IN,O
inquiry,DT,O
or,NN,O
trial,CC,O
or,NN,O
other,CC,O
proceeding,JJ,O
initiated,VBG,O
under,VBN,O
the,IN,O
code,DT,O
for,NN,O
the,IN,O
purpose,DT,O
of,NN,O
summoning,IN,O
any,VBG,O
person,DT,O
as,NN,O
a,IN,O
witness,DT,O
or,NN,O
for,CC,O
examining,IN,O
any,VBG,O
person,DT,O
in,NN,O
attendance,IN,O
even,NN,O
though,RB,O
not,IN,O
summoned,RB,O
as,VBN,O
witness,IN,O
or,NN,O
to,CC,O
recall,TO,O
or,VB,O
re,CC,O
examine,VB,O
any,JJ,O
person,DT,O
already,NN,O
examined,RB,O
insofar,VBD,O
as,RB,O
recalling,IN,O
and,NN,O
re,CC,O
examination,JJ,O
of,NN,O
any,IN,O
person,DT,O
already,NN,O
examined,RB,O
is,VBN,O
concerned,VBZ,O
the,VBN,O
court,DT,O
must,NN,O
necessarily,MD,O
consider,RB,O
and,VB,O
ensure,CC,O
that,VB,O
such,DT,O
recall,JJ,O
and,NN,O
re,CC,O
examination,JJ,O
of,NN,O
any,IN,O
person,DT,O
appears,NN,O
in,VBZ,O
the,IN,O
view,DT,O
of,NN,O
the,IN,O
court,DT,O
to,NN,O
be,TO,O
essential,VB,O
for,JJ,O
the,IN,O
just,DT,O
decision,RB,O
of,NN,O
the,IN,O
case,DT,O
therefore,NN,O
the,VBD,O
paramount,DT,O
requirement,NN,O
is,NN,O
just,VBZ,O
decision,RB,O
and,NN,O
for,CC,O
that,IN,O
purpose,DT,O
the,VBZ,O
essentiality,DT,O
of,NN,O
a,IN,O
person,DT,O
to,NN,O
be,TO,O
recalled,VB,O
and,VBN,O
re,CC,O
examined,NN,O
has,VBN,O
to,VBZ,O
be,TO,O
ascertained,VB,O
to,VBN,O
put,TO,O
it,VB,O
differently,PRP,O
while,RB,O
such,IN,O
a,JJ,O
widest,DT,O
power,JJ,O
is,NN,O
invested,VBZ,O
with,VBN,O
the,IN,O
court,DT,O
it,NN,O
is,PRP,O
needless,VBZ,O
to,JJ,O
state,TO,O
that,NN,O
exercise,WDT,O
of,NN,O
such,IN,O
power,JJ,O
should,NN,O
be,MD,O
made,VB,O
judicially,VBN,O
and,RB,O
also,CC,O
with,RB,O
extreme,IN,O
care,JJ,O
and,NN,O
caution,CC,O
13,NN,O
after,CD,O
referring,IN,O
to,VBG,O
earlier,TO,O
decisions,JJR,O
on,NNS,O
the,IN,O
point,DT,O
the,NN,O
court,DT,O
culled,NN,O
out,VBD,O
following,RP,O
principles,VBG,O
to,NNS,O
be,TO,O
borne,VB,O
in,VBN,O
mind,IN,O
171,NN,O
whether,CD,O
the,IN,O
court,DT,O
is,NN,O
right,VBZ,O
in,JJ,O
thinking,IN,O
that,VBG,O
the,IN,O
new,DT,O
evidence,JJ,O
is,NN,O
needed,VBZ,O
by,VBN,O
it,IN,O
whether,PRP,O
the,IN,O
evidence,DT,O
sought,NN,O
to,VBD,O
be,TO,O
led,VB,O
in,VBN,O
under,IN,O
section,IN,O
311,NN,O
is,CD,O
noted,VBZ,O
by,VBN,O
the,IN,O
court,DT,O
for,NN,O
a,IN,O
just,DT,O
decision,RB,O
of,NN,O
a,IN,O
case,DT,O
172,NN,O
the,CD,O
exercise,DT,O
of,NN,O
the,IN,O
widest,DT,O
discretionary,JJS,O
power,JJ,O
under,NN,O
section,IN,O
311,NN,O
code,CD,O
of,NN,O
criminal,IN,O
procedure,JJ,O
should,NN,O
ensure,MD,O
that,VB,O
the,IN,O
judgment,DT,O
should,NN,O
not,MD,O
be,RB,O
rendered,VB,O
on,VBN,O
inchoate,IN,O
inconclusive,NN,O
and,NN,O
speculative,CC,O
presentation,JJ,O
of,NN,O
facts,IN,O
as,NNS,O
thereby,IN,O
the,RB,O
ends,DT,O
of,NNS,O
justice,IN,O
would,NN,O
be,MD,O
defeated,VB,O
173,VBN,O
if,CD,O
evidence,IN,O
of,NN,O
any,IN,O
witness,DT,O
appears,JJ,O
to,VBZ,O
the,TO,O
court,DT,O
to,NN,O
be,TO,O
essential,VB,O
to,JJ,O
the,TO,O
just,DT,O
decision,RB,O
of,NN,O
the,IN,O
case,DT,O
it,NN,O
is,PRP,O
the,VBZ,O
power,DT,O
of,NN,O
the,IN,O
court,DT,O
to,NN,O
summon,TO,O
and,VB,O
examine,CC,O
or,VB,O
recall,CC,O
and,VB,O
re,CC,O
examine,VB,O
any,VB,O
such,DT,O
person,JJ,O
174,NN,O
the,CD,O
exercise,DT,O
of,NN,O
power,IN,O
under,NN,O
section,IN,O
311,NN,O
code,CD,O
of,NN,O
criminal,IN,O
procedure,JJ,O
should,NN,O
be,MD,O
resorted,VB,O
to,VBN,O
only,TO,O
with,RB,O
the,IN,O
object,DT,O
of,NN,O
finding,IN,O
out,VBG,O
the,RP,O
truth,DT,O
or,NN,O
obtaining,CC,O
proper,VBG,O
proof,JJ,O
for,NN,O
such,IN,O
facts,JJ,O
which,NNS,O
will,WDT,O
lead,MD,O
to,VB,O
a,TO,O
just,DT,O
and,RB,O
correct,CC,O
decision,JJ,O
of,NN,O
the,IN,O
case,DT,O
175,NN,O
the,CD,O
exercise,DT,O
of,NN,O
the,IN,O
said,DT,O
power,VBD,O
cannot,NN,O
be,MD,O
dubbed,RB,O
as,VB,O
filling,VBN,O
in,IN,O
a,NN,O
lacuna,IN,O
in,DT,O
a,NN,O
prosecution,IN,O
case,DT,O
unless,NN,O
the,NN,O
facts,IN,O
and,DT,O
circumstances,NNS,O
of,CC,O
the,NNS,O
case,IN,O
make,DT,O
it,NN,O
apparent,VB,O
that,PRP,O
the,JJ,O
exercise,IN,O
of,DT,O
power,NN,O
by,IN,O
the,NN,O
court,IN,O
would,DT,O
result,NN,O
in,MD,O
causing,VB,O
serious,IN,O
prejudice,VBG,O
to,JJ,O
the,NN,O
accused,TO,O
resulting,DT,O
in,VBN,O
miscarriage,NN,B-LEGAL
of,IN,O
justice,NN,O
176,IN,O
the,NN,O
wide,CD,O
discretionary,DT,O
power,JJ,O
should,JJ,O
be,NN,O
exercised,MD,O
judiciously,VB,O
and,VBN,O
not,RB,O
arbitrarily,CC,O
177,RB,O
the,RB,O
court,CD,O
must,DT,O
satisfy,NN,O
itself,MD,O
that,VB,O
it,PRP,O
was,IN,O
in,PRP,O
every,VBD,O
respect,IN,O
essential,DT,O
to,NN,O
examine,JJ,O
such,TO,O
a,VB,O
witness,PDT,O
or,DT,O
to,NN,O
recall,CC,O
him,TO,O
for,VB,O
further,PRP,O
examination,IN,O
in,JJ,O
order,NN,O
to,IN,O
arrive,NN,O
at,TO,O
a,VB,O
just,IN,O
decision,DT,O
of,RB,O
the,NN,O
case,IN,O
178,DT,O
the,NN,O
object,CD,O
of,DT,O
section,NN,O
311,IN,O
code,NN,O
of,CD,O
criminal,NN,O
procedure,IN,O
simultaneously,JJ,O
imposes,NN,O
a,RB,O
duty,VBZ,O
on,DT,O
the,NN,O
court,IN,O
to,DT,O
determine,NN,O
the,TO,O
truth,VB,O
and,DT,O
to,NN,O
render,CC,O
a,TO,O
just,VB,O
decision,DT,O
179,RB,O
the,NN,O
court,CD,O
arrives,DT,O
at,NN,O
the,VBZ,O
conclusion,IN,O
that,DT,O
additional,NN,B-LEGAL
evidence,IN,I-LEGAL
is,JJ,O
necessary,NN,O
not,VBZ,O
because,JJ,O
it,RB,O
would,IN,O
be,PRP,O
impossible,MD,O
to,VB,O
pronounce,JJ,O
the,TO,O
judgment,VB,O
without,DT,O
it,NN,O
but,IN,O
because,PRP,O
there,CC,O
would,IN,O
be,EX,O
a,MD,O
failure,VB,O
of,DT,O
justice,NN,O
without,IN,O
such,NN,O
evidence,IN,O
being,JJ,O
considered,NN,O
1710,VBG,O
exigency,VBN,O
of,CD,O
the,NN,O
situation,IN,O
fair,DT,O
play,NN,O
and,JJ,O
good,NN,O
sense,CC,O
should,JJ,O
be,NN,O
the,MD,O
safeguard,VB,O
while,DT,O
exercising,NN,O
the,IN,O
discretion,VBG,O
the,DT,O
court,NN,O
should,DT,O
bear,NN,O
in,MD,O
mind,VB,O
that,IN,O
no,NN,O
party,IN,O
in,DT,O
a,NN,O
trial,IN,O
can,DT,O
be,NN,O
foreclosed,MD,O
from,VB,O
correcting,VBN,O
errors,IN,O
and,VBG,O
that,NNS,O
if,CC,O
proper,IN,O
evidence,IN,O
was,JJ,O
not,NN,O
adduced,VBD,O
or,RB,O
a,VBN,O
relevant,CC,O
material,DT,O
was,JJ,O
not,NN,O
brought,VBD,O
on,RB,O
record,VBN,O
due,IN,O
to,NN,O
any,JJ,O
inadvertence,TO,O
the,DT,O
court,NN,O
should,DT,O
be,NN,O
magnanimous,MD,O
in,VB,O
permitting,JJ,O
such,IN,O
mistakes,VBG,O
to,JJ,O
be,NNS,O
rectified,TO,O
1711,VB,O
the,VBN,O
court,CD,O
should,DT,O
be,NN,O
conscious,MD,O
of,VB,O
the,JJ,O
position,IN,O
that,DT,O
after,NN,O
all,IN,O
the,IN,O
trial,PDT,O
is,DT,O
basically,NN,O
for,VBZ,O
the,RB,O
prisoners,IN,O
and,DT,O
the,NNS,O
court,CC,O
should,DT,O
afford,NN,O
an,MD,O
opportunity,VB,O
to,DT,O
them,NN,O
in,TO,O
the,PRP,O
fairest,IN,O
manner,DT,O
possible,JJS,O
in,NN,O
that,JJ,O
parity,IN,O
of,DT,O
reasoning,NN,O
it,IN,O
would,VBG,O
be,PRP,O
safe,MD,O
to,VB,O
err,JJ,O
in,TO,O
favour,VB,O
of,IN,O
the,NN,O
accused,IN,O
getting,DT,O
an,VBN,O
opportunity,VBG,O
rather,DT,O
than,NN,O
protecting,RB,O
the,IN,O
prosecution,VBG,O
against,DT,O
possible,NN,O
prejudice,IN,O
at,JJ,O
the,NN,O
cost,IN,O
of,DT,O
the,NN,O
accused,IN,O
the,DT,O
court,VBN,O
should,DT,O
bear,NN,O
in,MD,O
mind,VB,O
that,IN,O
improper,NN,O
or,IN,O
capricious,JJ,O
exercise,CC,O
of,JJ,O
such,NN,O
a,IN,O
discretionary,PDT,O
power,DT,O
may,JJ,O
lead,NN,O
to,MD,O
undesirable,VB,O
results,TO,O
1712,JJ,O
the,NNS,O
additional,CD,B-LEGAL
evidence,DT,I-LEGAL
must,JJ,O
not,NN,O
be,MD,O
received,RB,O
as,VB,O
a,VBN,O
disguise,IN,O
or,DT,O
to,NN,O
change,CC,O
the,TO,O
nature,VB,O
of,DT,O
the,NN,O
case,IN,O
against,DT,O
any,NN,O
of,IN,O
the,DT,O
party,IN,O
1713,DT,O
the,NN,O
power,CD,O
must,DT,O
be,NN,O
exercised,MD,O
keeping,VB,O
in,VBN,O
mind,VBG,O
that,IN,O
the,NN,O
evidence,IN,O
that,DT,O
is,NN,O
likely,WDT,O
to,VBZ,O
be,JJ,O
tendered,TO,O
would,VB,O
be,VBN,O
germane,MD,O
to,VB,O
the,VBN,O
issue,TO,O
involved,DT,O
and,NN,O
also,VBN,O
ensure,CC,O
that,RB,O
an,VB,O
opportunity,IN,O
of,DT,O
rebuttal,NN,O
is,IN,O
given,NN,O
to,VBZ,O
the,VBN,O
other,TO,O
party,DT,O
1714,JJ,O
the,NN,O
power,CD,O
under,DT,O
section,NN,O
311,IN,O
code,NN,O
of,CD,O
criminal,NN,O
procedure,IN,O
must,JJ,O
therefore,NN,O
be,MD,O
invoked,RB,O
by,VB,O
the,VBN,O
court,IN,O
only,DT,O
in,NN,O
order,RB,O
to,IN,O
meet,NN,O
the,TO,O
ends,VB,O
of,DT,O
justice,NNS,O
for,IN,O
strong,NN,O
and,IN,O
valid,JJ,O
reasons,CC,O
and,JJ,O
the,NNS,O
same,CC,O
must,DT,O
be,JJ,O
exercised,MD,O
with,VB,O
care,VBN,O
caution,IN,O
and,NN,O
circumspection,NN,O
the,CC,O
court,NN,O
should,DT,O
bear,NN,O
in,MD,O
mind,VB,O
that,IN,O
fair,NN,O
trial,IN,O
entails,JJ,O
the,NN,O
interest,VBZ,O
of,DT,O
the,NN,O
accused,IN,O
the,DT,O
victim,VBN,O
and,DT,O
the,NN,O
society,CC,O
and,DT,O
therefore,NN,O
the,CC,O
grant,RB,O
of,DT,O
fair,NN,O
and,IN,O
proper,JJ,O
opportunities,CC,O
to,JJ,O
the,NNS,O
persons,TO,O
concerned,DT,O
must,NNS,O
be,VBN,O
ensured,MD,O
being,VB,O
a,VBN,O
constitutional,VBG,O
goal,DT,O
as,JJ,O
well,NN,O
as,RB,O
a,RB,O
human,IN,O
right,DT,O
14,JJ,O
in,NN,O
hoffman,CD,O
andreas,IN,O
case,NN,O
the,NNS,O
counsel,NN,O
who,DT,O
was,NN,O
conducting,WP,O
the,VBD,O
case,VBG,O
was,DT,O
ill,NN,O
and,VBD,O
died,JJ,O
during,CC,O
the,VBD,O
progress,IN,O
of,DT,O
the,NN,O
trial,IN,O
the,DT,O
new,NN,O
counsel,DT,O
sought,JJ,O
recall,NN,O
on,VBD,O
the,NN,O
ground,IN,O
that,DT,O
the,NN,O
witnesses,IN,O
could,DT,O
not,NNS,O
be,MD,O
cross,RB,O
examined,VB,O
on,NN,O
account,VBN,O
of,IN,O
illness,NN,O
of,IN,O
the,NN,O
counsel,IN,O
this,DT,O
prayer,NN,O
was,DT,O
allowed,NN,O
in,VBD,O
peculiar,VBN,O
circumstances,IN,O
with,JJ,O
the,NNS,O
observation,IN,O
that,DT,O
normally,NN,O
a,WDT,O
closed,RB,O
trial,DT,O
could,JJ,O
not,NN,O
be,MD,O
reopened,RB,O
but,VB,O
illness,VBN,O
and,CC,O
death,JJ,O
of,CC,O
the,NN,O
counsel,IN,O
was,DT,O
in,NN,O
the,VBD,O
facts,IN,O
and,DT,O
circumstances,NNS,O
considered,CC,O
to,NNS,O
be,VBN,O
a,TO,O
valid,VB,O
ground,DT,O
for,JJ,O
recall,NN,O
of,IN,O
witnesses,NN,O
it,IN,O
was,NNS,O
observed,PRP,O
6,VBD,O
normally,VBN,O
at,CD,O
this,RB,O
late,IN,O
stage,DT,O
we,JJ,O
would,NN,O
be,PRP,O
disinclined,MD,O
to,VB,O
open,VBN,O
up,TO,O
a,VB,O
closed,RP,O
trial,DT,O
once,JJ,O
again,NN,O
but,RB,O
we,RB,O
are,CC,O
persuaded,PRP,O
to,VBP,O
consider,VBN,O
it,TO,O
in,VB,O
this,PRP,O
case,IN,O
on,DT,O
account,NN,O
of,IN,O
the,NN,O
unfortunate,IN,O
development,DT,O
that,JJ,O
took,NN,O
place,WDT,O
during,VBD,O
trial,NN,O
ie,IN,O
the,NN,O
passing,VBP,O
away,DT,O
of,VBG,O
the,RB,O
defence,IN,O
