ashok,NN,O
by,IN,O
any,DT,O
law,NN,O
since,IN,O
the,DT,O
points,NNS,O
raised,VBN,O
in,IN,O
this,DT,O
petition,NN,O
stand,NN,O
concluded,VBN,O
by,IN,O
the,DT,O
previous,JJ,O
judgments,NNS,O
of,IN,O
this,DT,O
court,NN,O
we,PRP,O
have,VBP,O
not,RB,O
deemed,VBN,O
it,PRP,O
necessary,JJ,O
to,TO,O
issue,VB,O
notice,NN,O
and,CC,O
dispose,NN,O
of,IN,O
the,DT,O
petition,NN,O
at,IN,O
the,DT,O
preliminary,JJ,O
stage,NN,O
the,DT,O
points,NNS,O
which,WDT,O
arise,VBP,O
for,IN,O
consideration,NN,O
before,IN,O
us,PRP,O
are,VBP,O
1,CD,O
does,VBZ,O
the,DT,O
petitioner,NN,O
have,VBP,O
a,DT,O
locus,NN,O
standi,NN,O
to,TO,O
maintain,VB,O
his,PRP$,O
election,NN,O
petition,NN,O
or,CC,O
in,IN,O
other,JJ,O
words,NNS,O
is,VBZ,O
he,PRP,O
duly,RB,O
nominated,JJ,B-LEGAL
candidate,NN,I-LEGAL
in,IN,O
accordance,NN,O
with,IN,O
provisions,NNS,O
of,IN,O
sections,NNS,O
5b,CD,O
and,CC,O
5c,CD,O
of,IN,O
the,DT,O
presidential,JJ,O
and,CC,O
vice,NN,O
presidential,JJ,O
elections,NNS,O
act,VBP,O
2,CD,O
has,VBZ,O
the,DT,O
petition,NN,O
put,VBD,O
a,DT,O
valid,JJ,O
challenge,NN,O
to,TO,O
the,DT,O
validity,NN,O
of,IN,O
sections,NNS,O
5b,CD,O
and,CC,O
5c,CD,O
of,IN,O
the,DT,O
act,NN,O
or,CC,O
any,DT,O
other,JJ,O
provisions,NNS,O
of,IN,O
the,DT,O
act,NN,O
and,CC,O
the,DT,O
rules,NNS,O
3,CD,O
is,VBZ,O
the,DT,O
petition,NN,O
maintainable,JJ,O
13,CD,O
article,NN,O
54,CD,O
of,IN,O
the,DT,O
constitution,NN,O
of,IN,O
india,NN,O
provides,VBZ,O
that,IN,O
the,DT,O
president,NN,O
shall,MD,O
be,VB,O
elected,VBN,O
by,IN,O
the,DT,O
members,NNS,O
of,IN,O
an,DT,O
electoral,JJ,B-LEGAL
college,NN,I-LEGAL
consisting,NN,O
of,IN,O
the,DT,O
elected,JJ,O
members,NNS,O
of,IN,O
both,DT,O
houses,NNS,O
of,IN,O
parliament,NN,B-LEGAL
and,CC,O
the,DT,O
elected,JJ,O
members,NNS,O
of,IN,O
the,DT,O
legislative,JJ,O
assemblies,NNS,O
of,IN,O
the,DT,O
states,NNS,O
the,DT,O
manner,NN,O
of,IN,O
election,NN,O
of,IN,O
the,DT,O
president,NN,O
is,VBZ,O
based,VBN,O
on,IN,O
proportional,JJ,B-LEGAL
representation,NN,I-LEGAL
by,IN,O
means,NNS,O
of,IN,O
a,DT,O
single,JJ,B-LEGAL
transferable,JJ,I-LEGAL
vote,NN,I-LEGAL
by,IN,O
secret,JJ,O
ballot,NN,O
article,NN,O
71,CD,O
lays,VBZ,O
down,RB,O
as,RB,O
follows,VBZ,O
71,CD,O
matters,NNS,O
relating,VBG,O
to,TO,O
or,CC,O
connected,VBN,O
with,IN,O
the,DT,O
election,NN,O
of,IN,O
a,DT,O
president,NN,O
or,CC,O
vice,NN,O
president,NN,O
1,CD,O
all,DT,O
doubts,NNS,O
and,CC,O
disputes,NNS,O
arising,VBG,O
out,IN,O
of,IN,O
or,CC,O
in,IN,O
connection,NN,O
with,IN,O
the,DT,O
election,NN,O
of,IN,O
a,DT,O
president,NN,O
or,CC,O
vice,NN,O
president,NN,O
shall,MD,O
be,VB,O
inquired,VBN,O
into,IN,O
and,CC,O
decided,VBN,O
by,IN,O
the,DT,O
supreme,JJ,O
court,NN,O
whose,WP$,O
decision,NN,O
shall,MD,O
be,VB,O
final,JJ,O
2,CD,O
if,IN,O
the,DT,O
election,NN,O
of,IN,O
a,DT,O
person,NN,O
as,IN,O
president,NN,O
or,CC,O
vice,NN,O
president,NN,O
is,VBZ,O
declared,VBN,O
void,NN,O
by,IN,O
the,DT,O
supreme,JJ,O
court,NN,O
acts,VBZ,O
done,VBN,O
by,IN,O
him,PRP,O
in,IN,O
the,DT,O
exercise,NN,O
and,CC,O
performance,NN,O
of,IN,O
the,DT,O
powers,NNS,O
and,CC,O
duties,NNS,O
of,IN,O
the,DT,O
office,NN,O
of,IN,O
president,NN,O
or,CC,O
vice,NN,O
president,NN,O
as,IN,O
the,DT,O
case,NN,O
may,MD,O
be,VB,O
on,IN,O
or,CC,O
before,IN,O
the,DT,O
date,NN,O
of,IN,O
the,DT,O
decision,NN,O
of,IN,O
the,DT,O
supreme,JJ,O
court,NN,O
shall,MD,O
not,RB,O
be,VB,O
invalidated,VBN,O
by,IN,O
reason,NN,O
of,IN,O
that,DT,O
declaration,NN,O
3,CD,O
subject,NN,O
to,TO,O
the,DT,O
provisions,NNS,O
of,IN,O
this,DT,O
constitution,NN,O
parliament,NN,B-LEGAL
may,MD,O
be,VB,O
law,NN,O
regulate,VB,O
any,DT,O
matter,NN,O
relating,VBG,O
to,TO,O
or,CC,O
connected,VBN,O
with,IN,O
the,DT,O
election,NN,O
of,IN,O
a,DT,O
president,NN,O
or,CC,O
vice,NN,O
president,NN,O
4,CD,O
the,DT,O
election,NN,O
of,IN,O
a,DT,O
person,NN,O
as,IN,O
president,NN,O
or,CC,O
vice,NN,O
president,NN,O
shall,MD,O
not,RB,O
be,VB,O
called,VBN,O
in,IN,O
question,NN,O
on,IN,O
the,DT,O
ground,NN,O
of,IN,O
the,DT,O
existence,NN,O
of,IN,O
any,DT,O
vacancy,NN,O
for,IN,O
whatever,WDT,O
reason,NN,O
among,IN,O
the,DT,O
members,NNS,O
of,IN,O
the,DT,O
electoral,JJ,B-LEGAL
college,NN,I-LEGAL
electing,VBG,O
him,PRP,O
14,CD,O
to,TO,O
carry,VB,O
out,RP,O
the,DT,O
purpose,NN,O
of,IN,O
article,NN,O
713,CD,O
of,IN,O
the,DT,O
constitution,NN,O
of,IN,O
india,NN,O
the,DT,O
presidential,JJ,O
and,CC,O
vice,NN,O
presidential,JJ,O
election,NN,O
act,NN,O
1952,CD,O
was,VBD,O
enacted,VBN,O
by,IN,O
parliament,NN,B-LEGAL
the,DT,O
grounds,NNS,O
on,IN,O
which,WDT,O
the,DT,O
election,NN,O
can,MD,O
be,VB,O
questioned,VBN,O
as,RB,O
well,RB,O
as,IN,O
the,DT,O
mode,NN,O
of,IN,O
questioning,VBG,O
it,PRP,O
were,VBD,O
laid,VBN,O
down,RB,O
by,IN,O
the,DT,O
act,NN,O
section,NN,O
14a,CD,O
of,IN,O
the,DT,O
act,NN,O
provides,VBZ,O
an,DT,O
election,NN,O
petition,NN,O
calling,VBG,O
in,IN,O
question,NN,O
an,DT,O
election,NN,O
may,MD,O
be,VB,O
presented,VBN,O
on,IN,O
one,CD,O
or,CC,O
more,JJR,O
of,IN,O
the,DT,O
grounds,NNS,O
specified,VBN,O
in,IN,O
sub,JJ,O
section,NN,O
1,CD,O
of,IN,O
section,NN,O
18,CD,O
and,CC,O
section,NN,O
19,CD,O
to,TO,O
the,DT,O
supreme,JJ,O
court,NN,O
by,IN,O
any,DT,O
candidate,NN,O
at,IN,O
such,JJ,O
election,NN,O
or,CC,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
presidential,JJ,O
election,NN,O
by,IN,O
20,CD,O
or,CC,O
more,JJR,O
electors,NNS,O
joined,VBD,O
as,IN,O
petitioners,NNS,O
section,VBP,O
13a,CD,O
of,IN,O
the,DT,O
act,NN,O
defines,VBZ,O
the,DT,O
candidate,NN,O
to,TO,O
mean,VB,O
a,DT,O
person,NN,O
who,WP,O
has,VBZ,O
been,VBN,O
or,CC,O
claims,NNS,O
to,TO,O
have,VB,O
been,VBN,O
duly,RB,O
nominated,VBN,O
as,IN,O
a,DT,O
candidate,NN,O
at,IN,O
an,DT,O
election,NN,O
15,CD,O
the,DT,O
petitioner,NN,O
admits,VBZ,O
in,IN,O
his,PRP$,O
petition,NN,O
that,IN,O
he,PRP,O
was,VBD,O
not,RB,O
duly,RB,O
nominated,VBN,O
as,IN,O
per,IN,O
requirement,NN,O
of,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
section,NN,O
5b,CD,O
of,IN,O
the,DT,O
act,NN,O
which,WDT,O
provides,VBZ,O
that,IN,O
each,DT,O
candidate,NN,O
shall,MD,O
deliver,VB,O
to,TO,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
at,IN,O
the,DT,O
placed,JJ,O
specified,VBN,O
in,IN,O
this,DT,O
benefit,NN,O
in,IN,O
the,DT,O
public,JJ,B-LEGAL
notice,NN,I-LEGAL
issued,VBN,O
under,IN,O
section,NN,O
5,CD,O
a,DT,O
nomination,NN,B-LEGAL
paper,NN,I-LEGAL
completed,VBN,O
in,IN,O
the,DT,O
prescribed,JJ,O
form,NN,O
and,CC,O
subscribed,VBN,O
by,IN,O
the,DT,O
candidate,NN,O
as,IN,O
assenting,VBG,O
to,TO,O
the,DT,O
nomination,NN,B-LEGAL
and,CC,O
a,DT,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
presidential,JJ,O
election,NN,O
also,RB,O
by,IN,O
at,IN,O
least,JJS,O
fifty,JJ,O
electors,NNS,O
as,IN,O
proposers,NNS,O
and,CC,O
at,IN,O
least,JJS,O
fifty,JJ,O
electors,NNS,O
as,IN,O
seconders,NNS,O
b,VBP,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
vice,NN,O
presidential,JJ,O
election,NN,O
also,RB,O
by,IN,O
at,IN,O
least,JJS,O
twenty,JJ,O
electors,NNS,O
as,IN,O
proposers,NNS,O
and,CC,O
at,IN,O
least,JJS,O
twenty,JJ,O
electors,NNS,O
as,IN,O
seconders,NNS,O
provided,VBD,O
that,IN,O
no,DT,O
nomination,NN,B-LEGAL
paper,NN,I-LEGAL
shall,MD,O
be,VB,O
presented,VBN,O
to,TO,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
on,IN,O
a,DT,O
day,NN,O
which,WDT,O
is,VBZ,O
a,DT,O
public,JJ,B-LEGAL
holiday,NN,I-LEGAL
x,NNP,O
x,NNP,O
x,VBD,O
16,CD,O
again,RB,O
section,NN,O
5c,CD,O
provides,VBZ,O
that,IN,O
5c,CD,O
1,CD,O
a,DT,O
candidate,NN,O
shall,MD,O
not,RB,O
be,VB,O
deemed,VBN,O
to,TO,O
be,VB,O
duly,RB,O
nominated,VBN,O
for,IN,O
election,NN,O
unless,IN,O
he,PRP,O
deposits,VBZ,O
or,CC,O
causes,VBZ,O
to,TO,O
be,VB,O
deposited,VBN,O
a,DT,O
sum,NN,O
of,IN,O
fifteen,JJ,O
thousand,CD,O
rupees,NNS,O
provided,VBD,O
that,IN,O
where,WRB,O
a,DT,O
candidate,NN,O
has,VBZ,O
been,VBN,O
nominated,VBN,O
by,IN,O
more,JJR,O
than,IN,O
one,CD,O
nomination,NN,B-LEGAL
paper,NN,I-LEGAL
for,IN,O
the,DT,O
same,JJ,O
election,NN,O
not,RB,O
more,RBR,O
than,IN,O
one,CD,O
deposit,NN,O
shall,MD,O
be,VB,O
required,VBN,O
of,IN,O
him,PRP,O
under,IN,O
this,DT,O
sub,JJ,O
section,NN,O
x,NNP,O
x,NNP,O
x,VBD,O
17,CD,O
nomination,JJ,B-LEGAL
paper,NN,I-LEGAL
of,IN,O
the,DT,O
petitioner,NN,O
was,VBD,O
rejected,VBN,O
on,IN,O
the,DT,O
ground,NN,O
that,IN,O
it,PRP,O
was,VBD,O
proposed,VBN,O
and,CC,O
seconded,VBN,O
by,IN,O
the,DT,O
requisite,JJ,O
numbers,NNS,O
of,IN,O
proposers,NNS,O
and,CC,O
seconders,NNS,O
this,DT,O
point,NN,O
was,VBD,O
examined,VBN,O
exhaustively,RB,O
by,IN,O
this,DT,O
court,NN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
very,RB,O
petitioner,RB,O
now,RB,O
before,IN,O
us,PRP,O
against,IN,O
the,DT,O
former,JJ,O
president,NN,O
neelam,RB,O
sanjeeva,VBD,O
reddy,JJ,O
charan,NN,O
lal,NN,O
sahu,NN,O
v,NN,O
neelam,JJ,O
sanjeeva,NN,O
reddy,NN,O
manu,NN,O
sc,NN,O
0401,CD,O
1978manu,CD,O
sc,NN,O
0401,CD,O
1978,CD,O
1978,CD,O
3scr1,CD,O
and,CC,O
it,PRP,O
was,VBD,O
held,VBN,O
that,IN,O
the,DT,O
result,NN,O
of,IN,O
a,DT,O
careful,JJ,O
consideration,NN,O
by,IN,O
us,PRP,O
of,IN,O
the,DT,O
provisions,NNS,O
mentioned,VBN,O
above,RB,O
is,VBZ,O
that,IN,O
we,PRP,O
think,VBP,O
that,IN,O
the,DT,O
procedure,NN,O
or,CC,O
manner,NN,O
for,IN,O
questioning,VBG,O
the,DT,O
presidential,JJ,O
election,NN,O
having,VBG,O
been,VBN,O
laid,VBN,O
down,RP,O
the,DT,O
petitioner,NN,O
must,MD,O
come,VB,O
within,IN,O
the,DT,O
four,CD,O
corners,NNS,O
of,IN,O
that,DT,O
procedure,NN,O
in,IN,O
order,NN,O
to,TO,O
have,VB,O
a,DT,O
locus,NN,O
standi,NN,O
to,TO,O
challenge,VB,O
the,DT,O
presidential,JJ,O
election,NN,O
and,CC,O
to,TO,O
be,VB,O
able,JJ,O
to,TO,O
maintain,VB,O
this,DT,O
petition,NN,O
if,IN,O
he,PRP,O
neither,DT,O
is,VBZ,O
nor,CC,O
can,MD,O
claim,VB,O
to,TO,O
be,VB,O
a,DT,O
candidate,NN,O
on,IN,O
assertions,NNS,O
made,VBN,O
by,IN,O
him,PRP,O
in,IN,O
his,PRP$,O
petition,NN,O
itself,PRP,O
he,PRP,O
would,MD,O
be,VB,O
lacking,VBG,O
the,DT,O
right,NN,O
to,TO,O
question,VB,O
the,DT,O
election,NN,O
of,IN,O
shri,JJ,O
neelam,JJ,O
sanjeeva,NN,O
reddy,NN,O
as,IN,O
presidential,NN,O
of,IN,O
india,NN,O
the,DT,O
effect,NN,O
of,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
sections,NNS,O
141,CD,O
142,CD,O
and,CC,O
143,CD,O
and,CC,O
14a1,CD,O
of,IN,O
the,DT,O
act,NN,O
read,NN,O
with,IN,O
order,NN,O
xxxix,NN,O
rules,NNS,O
2,CD,O
and,CC,O
5,CD,O
of,IN,O
the,DT,O
rules,NNS,O
of,IN,O
this,DT,O
court,NN,O
is,VBZ,O
that,IN,O
the,DT,O
petition,NN,O
before,IN,O
us,PRP,O
is,VBZ,O
barred,VBN,O
because,IN,O
the,DT,O
petitioner,NN,O
has,VBZ,O
not,RB,O
got,VBN,O
the,DT,O
required,JJ,O
locus,NN,O
standi,NN,O
to,TO,O
maintain,VB,O
it,PRP,O
18,CD,O
again,RB,O
in,IN,O
charan,NN,O
lal,NN,O
sahu,NN,O
v,NN,O
giani,NN,O
zail,NN,O
singh,NN,O
manu,NN,O
sc,NN,O
0204,CD,O
1983manu,CD,O
sc,NN,O
0204,CD,O
1983,CD,O
1984,CD,O
2scr6,CD,O
the,DT,O
point,NN,O
raised,VBN,O
by,IN,O
the,DT,O
petitioner,NN,O
on,IN,O
the,DT,O
second,JJ,O
limb,NN,O
of,IN,O
section,NN,O
13a,CD,O
of,IN,O
the,DT,O
act,NN,O
defining,VBG,O
the,DT,O
candidate,NN,O
to,TO,O
mean,VB,O
claims,NNS,O
to,TO,O
have,VB,O
been,VBN,O
duly,RB,O
nominated,VBN,O
as,IN,O
a,DT,O
candidate,NN,O
was,VBD,O
rejected,VBN,O
rejecting,VBG,O
the,DT,O
said,VBD,O
contention,NN,O
this,DT,O
court,NN,O
observed,VBD,O
the,DT,O
petitioners,NNS,O
however,RB,O
contend,VBP,O
that,IN,O
even,RB,O
if,IN,O
it,PRP,O
is,VBZ,O
held,VBN,O
that,IN,O
they,PRP,O
were,VBD,O
not,RB,O
duly,RB,O
nominated,VBN,O
as,IN,O
candidates,NNS,O
their,PRP$,O
petitions,NNS,O
cannot,MD,O
be,RB,O
dismissed,VB,O
on,VBN,O
that,IN,O
ground,DT,O
since,NN,O
they,IN,O
claim,PRP,O
to,VBP,O
have,TO,O
been,VB,O
duly,VBN,O
nominated,RB,O
it,JJ,O
is,PRP,O
true,VBZ,O
that,JJ,O
in,IN,O
the,IN,O
matter,DT,O
of,NN,O
claim,IN,O
to,NN,O
candidacy,TO,O
a,VB,O
person,DT,O
who,NN,O
claims,WP,O
to,VBZ,O
have,TO,O
been,VB,O
duly,VBN,O
nominated,RB,O
is,VBN,O
on,VBZ,O
par,IN,O
with,NN,O
a,IN,O
person,DT,O
who,NN,O
in,WP,O
fact,IN,O
was,NN,O
duly,VBD,O
nominated,RB,O
but,JJ,O
the,CC,O
claim,DT,O
to,NN,O
have,TO,O
been,VB,O
duly,VBN,O
nominated,RB,O
cannot,VBN,O
be,MD,O
made,RB,O
by,VB,O
a,VBN,O
person,IN,O
whose,DT,O
nomination,NN,B-LEGAL
paper,WP$,I-LEGAL
does,JJ,O
not,NN,O
comply,VBZ,O
with,RB,O
the,VB,O
mandatory,IN,O
requirements,DT,O
of,JJ,O
section,NNS,O
5b1a,IN,O
of,NN,O
the,CD,O
act,IN,O
that,DT,O
is,NN,O
to,WDT,O
say,VBZ,O
a,TO,O
person,VB,O
whose,DT,O
nomination,NN,B-LEGAL
paper,WP$,I-LEGAL
admittedly,NN,O
was,NN,O
not,RB,O
subscribed,VBD,O
by,RB,O
the,VBN,O
requisite,IN,O
number,DT,O
of,JJ,O
electors,NN,O
as,IN,O
proposers,NNS,O
and,IN,O
seconders,NNS,O
cannot,CC,O
claim,NNS,O
that,MD,O
he,RB,O
was,VB,O
duly,IN,O
nominated,PRP,O
such,VBD,O
a,RB,O
claim,JJ,O
can,JJ,O
only,DT,O
be,NN,O
made,MD,O
by,RB,O
a,VB,O
person,VBN,O
who,IN,O
can,DT,O
show,NN,O
that,WP,O
his,MD,O
nomination,VB,B-LEGAL
paper,IN,I-LEGAL
conformed,PRP$,O
to,NN,O
the,NN,O
provisions,VBN,O
of,TO,O
section,DT,O
5b,NNS,O
and,IN,O
yet,NN,O
it,CD,O
was,CC,O
rejected,RB,O
that,PRP,O
is,VBD,O
wrongly,VBN,O
rejected,IN,O
by,VBZ,O
the,RB,O
returning,VBN,B-LEGAL
officer,IN,I-LEGAL
to,DT,O
illustrate,VBG,O
if,NN,O
the,TO,O
returning,VB,B-LEGAL
officer,IN,I-LEGAL
rejects,DT,O
a,VBG,O
nomination,NN,B-LEGAL
paper,VBZ,I-LEGAL
on,DT,O
the,JJ,O
ground,NN,O
that,IN,O
one,DT,O
of,NN,O
the,IN,O
ten,CD,O
subscribes,IN,O
who,DT,O
had,JJ,O
proposed,NNS,O
the,WP,O
nomination,VBD,B-LEGAL
is,VBN,O
not,DT,O
an,NN,O
elector,VBZ,O
the,RB,O
petitioner,DT,O
can,NN,O
claim,DT,O
to,NN,O
have,MD,O
been,VB,O
duly,TO,O
nominated,VB,O
if,VBN,O
he,RB,O
proves,JJ,O
that,IN,O
the,PRP,O
said,VBZ,O
proposer,IN,O
was,DT,O
in,VBD,O
fact,NN,O
an,VBD,O
elector,IN,O
thus,NN,O
the,DT,O
occasion,NN,O
for,RB,O
a,DT,O
person,NN,O
to,IN,O
make,DT,O
a,NN,O
claim,TO,O
that,VB,O
he,DT,O
was,NN,O
duly,IN,O
nominated,PRP,O
can,VBD,O
arise,RB,O
only,VBN,O
if,MD,O
his,VB,O
nomination,RB,B-LEGAL
paper,IN,I-LEGAL
complies,PRP$,O
with,NN,O
the,NN,O
statutory,NNS,O
requirement,IN,O
which,DT,O
govern,JJ,O
the,NN,O
filing,WDT,O
of,VBP,O
nomination,DT,B-LEGAL
papers,NN,O
and,IN,O
not,NN,O
otherwise,NNS,O
the,CC,O
claim,RB,O
that,VB,O
he,DT,O
was,NN,O
duly,IN,O
nominated,PRP,O
necessarily,VBD,O
implies,RB,O
and,JJ,O
involves,RB,O
the,NNS,O
claim,CC,O
that,VBZ,O
his,DT,O
nomination,NN,B-LEGAL
paper,IN,I-LEGAL
conformed,PRP$,O
to,NN,O
the,NN,O
requirements,VBN,O
of,TO,O
the,DT,O
statute,NNS,O
therefore,IN,O
a,DT,O
contestant,NN,O
whose,VBD,O
nomination,DT,B-LEGAL
paper,NN,I-LEGAL
is,WP$,O
not,JJ,O
subscribed,NN,O
by,VBZ,O
at,RB,O
least,VBN,O
ten,IN,O
electors,IN,O
as,JJS,O
proposers,JJ,O
and,NNS,O
ten,IN,O
electors,NNS,O
as,CC,O
seconders,JJ,O
as,NNS,O
required,RB,O
by,NNS,O
section,IN,O
5b1a,VBN,O
of,IN,O
the,NN,O
act,CD,O
cannot,IN,O
claim,DT,O
to,NN,O
have,MD,O
been,RB,O
duly,VB,O
nominated,TO,O
any,VB,O
more,VBN,O
than,RB,O
a,JJ,O
contestant,DT,O
who,JJR,O
had,IN,O
not,DT,O
subscribed,NN,O
his,WP,O
assents,VBD,O
to,RB,O
his,VBN,O
own,PRP$,O
nomination,NNS,B-LEGAL
can,TO,O
the,PRP$,O
claim,JJ,O
of,NN,O
a,MD,O
contestant,DT,O
that,NN,O
he,IN,O
was,DT,O
duly,NN,O
nominated,IN,O
must,PRP,O
arise,VBD,O
out,RB,O
of,JJ,O
his,MD,O
compliance,VB,O
with,IN,O
the,IN,O
provisions,PRP$,O
of,NN,O
the,IN,O
act,DT,O
it,NNS,O
cannot,IN,O
arise,DT,O
out,NN,O
of,PRP,O
the,MD,O
violation,RB,O
of,VB,O
the,IN,O
act,IN,O
otherwise,DT,O
a,NN,O
person,IN,O
who,DT,O
had,NN,O
not,RB,O
filed,DT,O
nay,NN,O
nomination,WP,B-LEGAL
paper,VBD,I-LEGAL
at,RB,O
all,VBN,O
but,JJ,O
who,NN,O
had,NN,O
only,IN,O
informed,DT,O
the,CC,O
returning,WP,B-LEGAL
officer,VBD,I-LEGAL
orally,RB,O
that,VBN,O
he,DT,O
desired,VBG,O
to,NN,O
contest,RB,O
the,IN,O
election,PRP,O
could,VBD,O
also,TO,O
contend,VB,O
that,DT,O
he,NN,O
claims,MD,O
to,RB,O
have,VB,O
been,IN,O
duly,PRP,O
nominated,VBZ,O
as,TO,O
a,VB,O
candidate,VBN,O
19,RB,O
the,VBN,O
question,IN,O
regarding,DT,O
locus,NN,O
standi,CD,O
was,DT,O
examined,NN,O
for,VBG,O
the,NN,O
third,NN,O
time,VBD,O
in,VBN,O
the,IN,O
election,DT,O
petition,JJ,O
filed,NN,O
by,IN,O
the,DT,O
petitioner,NN,O
in,NN,O
charan,VBN,O
lal,IN,O
sahu,DT,O
v,NN,O
kr,IN,O
narayanan,NN,O
and,NN,O
ors,NN,O
manu,NN,O
sc,NN,O
0877,NN,O
1998manu,CC,O
sc,NNS,O
0877,VBP,O
1998,JJ,O
air1998sc1506,CD,O
it,CD,O
was,NN,O
again,CD,O
reiterated,CD,O
that,IN,O
in,PRP,O
view,VBD,O
of,RB,O
the,VBN,O
decisions,IN,O
referred,IN,O
to,NN,O
above,IN,O
it,DT,O
must,NNS,O
be,VBD,O
held,TO,O
that,VB,O
neither,PRP,O
of,MD,O
the,VB,O
petitioners,VBN,O
was,IN,O
a,DT,O
candidate,IN,O
as,DT,O
the,NNS,O
said,VBD,O
expression,DT,O
is,NN,O
defined,IN,O
in,DT,O
section,VBD,O
2d,NN,O
of,VBZ,O
the,VBN,O
act,IN,O
since,NN,O
neither,CD,O
of,IN,O
them,DT,O
had,NN,O
been,IN,O
duly,DT,O
nominated,IN,O
nor,PRP,O
could,VBD,O
he,VBN,O
claim,RB,O
to,JJ,O
have,CC,O
been,MD,O
nominated,PRP,O
as,VB,O
a,TO,O
candidate,VB,O
inasmuch,VBN,O
as,VBN,O
the,IN,O
nomination,DT,B-LEGAL
papers,NN,O
filed,NN,O
by,IN,O
both,DT,O
of,NN,O
them,NNS,O
did,VBN,O
not,IN,O
comply,DT,O
with,IN,O
the,PRP,O
mandatory,VBD,O
requirements,RB,O
of,VB,O
section,IN,O
5b1a,DT,O
of,JJ,O
the,NNS,O
act,IN,O
and,NN,O
the,CD,O
nomination,IN,B-LEGAL
paper,DT,I-LEGAL
of,NN,O
petitioner,CC,O
2,DT,O
was,JJ,O
filed,NN,O
without,IN,O
complying,NN,O
with,CD,O
the,VBD,O
requirements,VBN,O
of,IN,O
section,VBG,O
5b2,IN,O
of,DT,O
the,NNS,O
act,IN,O
on,NN,O
that,CD,O
view,IN,O
it,DT,O
must,NN,O
be,IN,O
held,DT,O
that,NN,O
neither,PRP,O
of,MD,O
the,VB,O
petitioners,VBN,O
has,IN,O
the,DT,O
locus,IN,O
standi,DT,O
to,NNS,O
maintain,VBZ,O
the,DT,O
petition,NN,O
20,NN,O
in,TO,O
view,VB,O
of,DT,O
the,NN,O
authoritative,CD,O
pronouncements,IN,O
of,NN,O
this,IN,O
court,DT,O
the,JJ,O
petitioner,NNS,O
cannot,IN,O
be,DT,O
regarded,NN,O
as,DT,O
a,NN,O
person,MD,O
who,RB,O
had,VB,O
been,VBN,O
nominated,IN,O
or,DT,O
can,NN,O
claim,WP,O
to,VBD,O
have,VBN,O
duly,VBN,O
nominated,CC,O
as,MD,O
candidate,VB,O
at,TO,O
the,VB,O
election,RB,O
in,VBN,O
question,IN,O
his,NN,O
nomination,IN,B-LEGAL
papers,DT,O
were,NN,O
thus,IN,O
rightly,NN,O
rejected,PRP$,O
by,NN,O
the,NNS,O
returning,VBD,B-LEGAL
officer,RB,I-LEGAL
and,RB,O
the,VBN,O
petition,IN,O
on,DT,O
his,VBG,O
behalf,NN,O
is,CC,O
therefore,DT,O
not,NN,O
maintainable,IN,O
21,PRP$,O
question,NN,O
regarding,VBZ,O
the,RB,O
constitutional,RB,O
validity,JJ,O
of,CD,O
sections,NN,O
5b,VBG,O
and,DT,O
5c,JJ,O
before,NN,O
its,IN,O
amendment,NNS,B-LEGAL
by,CD,O
act,CC,O
no,CD,O
35,IN,O
of,PRP$,O
1997,NN,O
which,IN,O
provided,NN,O
that,DT,O
there,CD,O
should,IN,O
be,CD,O
at,WDT,O
least,VBD,O
ten,IN,O
electors,EX,O
as,MD,O
proposers,VB,O
and,IN,O
ten,JJS,O
electors,JJ,O
as,NNS,O
seconders,IN,O
was,NNS,O
examined,CC,O
in,JJ,O
fakruddin,NNS,O
ali,IN,O
ahmed,NNS,O
s,VBD,O
case,VBN,O
supra,IN,O
and,JJ,O
neelam,NN,O
sanjeeva,VBD,O
reddy,JJ,O
s,NN,O
case,NN,O
supra,CC,O
the,JJ,O
validity,NN,O
of,NN,O
these,JJ,O
two,NN,O
sections,VBD,O
as,DT,O
they,NN,O
existed,IN,O
then,DT,O
was,CD,O
upheld,NNS,O
the,IN,O
validity,PRP,O
of,VBD,O
amending,RB,O
act,VBD,O
no,VBN,O
35,DT,O
of,NN,O
1997,IN,O
amending,VBG,O
sections,NN,O
5b,DT,O
and,CD,O
5c,IN,O
providing,CD,O
for,VBG,O
at,NNS,O
least,CD,O
fifty,CC,O
electors,CD,O
as,NN,O
proposers,IN,O
and,IN,O
seconders,JJS,O
instead,JJ,O
of,NNS,O
ten,IN,O
proposers,NNS,O
and,CC,O
seconders,NNS,O
as,RB,O
provided,IN,O
prior,JJ,O
to,NNS,O
the,CC,O
amendment,NNS,B-LEGAL
was,IN,O
questioned,JJ,O
in,NN,O
kr,TO,O
narayanan,DT,O
case,NN,O
supra,VBD,O
the,VBN,O
same,IN,O
was,NN,O
rejected,JJ,O
and,NN,O
these,VBD,O
two,DT,O
provisions,JJ,O
were,VBD,O
held,VBN,O
