jasti,NN,O
envisages,VBZ,O
cross,VBP,O
category,JJ,O
upward,JJ,O
movement,NN,O
of,IN,O
ptos,NN,O
from,IN,O
category,NN,O
ii,NN,O
to,TO,O
category,NN,O
i,VB,O
a,DT,O
qualified,JJ,O
pto,NN,O
shall,MD,O
remain,VB,O
qualified,JJ,O
for,IN,O
registration,NN,O
purpose,NN,O
till,NN,O
haj,NN,O
2017,CD,O
unless,IN,O
it,PRP,O
is,VBZ,O
otherwise,RB,O
disqualified,VBN,O
either,CC,O
by,IN,O
government,NN,O
of,IN,O
india,NN,O
or,CC,O
by,IN,O
government,NN,O
of,IN,O
saudi,NN,O
arabia,NN,O
for,IN,O
valid,JJ,O
reasons,NNS,O
the,DT,O
allocation,NN,O
of,IN,O
seats,NNS,O
to,TO,O
the,DT,O
ptos,NN,O
qualified,VBD,O
for,IN,O
registration,NN,O
in,IN,O
each,DT,O
category,NN,O
will,MD,O
be,VB,O
done,VBN,O
every,DT,O
year,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
overall,JJ,O
quota,NN,O
of,IN,O
seats,NNS,O
for,IN,O
ptos,NN,O
specified,VBN,O
in,IN,O
the,DT,O
annual,JJ,O
india,NN,O
saudi,NN,O
arabia,IN,O
bilateral,JJ,O
haj,NN,O
agreement,NN,O
and,CC,O
the,DT,O
number,NN,O
of,IN,O
qualified,JJ,O
ptos,NN,O
in,IN,O
each,DT,O
category,NN,O
17,CD,O
this,DT,O
court,NN,O
passed,VBD,O
an,DT,O
order,NN,O
dated,VBD,O
18052016,CD,O
in,IN,O
a,DT,O
batch,NN,O
of,IN,O
writ,NN,O
petitions,NNS,O
similar,JJ,O
to,TO,O
the,DT,O
ones,NNS,O
on,IN,O
hand,NN,O
the,DT,O
operative,JJ,O
portion,NN,O
of,IN,O
which,WDT,O
reads,VBZ,O
as,IN,O
follows,VBZ,O
8,CD,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
aforesaid,JJ,O
discussion,NN,O
and,CC,O
keeping,VBG,O
in,IN,O
view,NN,O
the,DT,O
statement,NN,O
made,VBN,O
by,IN,O
the,DT,O
additional,JJ,O
solicitor,NN,O
general,JJ,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
respondent,NN,O
union,NN,O
of,IN,O
india,NN,O
we,PRP,O
dispose,VBP,O
of,IN,O
these,DT,O
writ,JJ,O
petitions,NNS,O
finally,RB,O
by,IN,O
granting,VBG,O
liberty,NN,O
to,TO,O
each,DT,O
writ,NN,O
petitioner,NN,O
to,TO,O
make,VB,O
a,DT,O
fresh,JJ,O
application,NN,O
with,IN,O
all,PDT,O
the,DT,O
necessary,JJ,O
details,NNS,O
with,IN,O
the,DT,O
documents,NNS,O
as,IN,O
prescribed,NN,O
for,IN,O
grant,NN,O
of,IN,O
permission,NN,O
to,TO,O
take,VB,O
the,DT,O
pilgrims,NNS,O
for,IN,O
hajj,NN,O
for,IN,O
the,DT,O
year,NN,O
2016,CD,O
on,IN,O
or,CC,O
before,IN,O
27052016,CD,O
to,TO,O
the,DT,O
prescribed,VBN,O
authority,NN,O
9,CD,O
on,IN,O
such,JJ,O
application,NN,O
s,NN,O
being,VBG,O
made,VBN,O
the,DT,O
concerned,JJ,O
authority,NN,O
would,MD,O
examine,VB,O
consider,JJR,O
and,CC,O
decide,VB,O
each,DT,O
such,JJ,O
application,NN,O
on,IN,O
its,PRP$,O
merit,NN,O
strictly,RB,O
in,IN,O
accordance,NN,O
with,IN,O
law,NN,O
and,CC,O
keeping,VBG,O
in,IN,O
view,NN,O
the,DT,O
law,NN,O
laid,VBD,O
down,RB,O
in,IN,O
the,DT,O
decisions,NNS,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
union,NN,O
of,IN,O
india,NN,O
and,CC,O
ors,NNS,O
v,VBP,O
rafique,JJ,O
shaikh,NN,O
bhikan,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0382,CD,O
2013manu,CD,O
sc,NN,O
0382,CD,O
2013,CD,O
2013,CD,O
4,CD,O
scc,NN,O
699,CD,O
order,NN,O
dated,VBD,O
07082014,CD,O
passed,VBN,O
in,IN,O
special,JJ,O
leave,JJ,O
petition,NN,O
c,VBZ,O
no,DT,O
20743,JJ,O
2014,CD,O
entitled,VBD,O
union,NN,O
of,IN,O
india,NN,O
and,CC,O
ors,NNS,O
v,VBP,O
all,DT,O
india,VBP,O
haj,NN,O
umrah,JJ,O
tour,NN,O
organizers,NNS,O
association,NN,O
and,CC,O
ors,NNS,O
order,NN,O
dated,VBD,O
07082014,CD,O
passed,VBN,O
in,IN,O
writ,JJ,O
petition,NN,O
civil,JJ,O
no,DT,O
480,JJ,O
2014,CD,O
etc,NN,O
etc,FW,O
entitled,VBN,O
jeddah,NN,O
travels,NNS,O
jeddah,VBP,O
hajj,JJ,O
group,NN,O
v,NNP,O
union,NN,O
of,IN,O
india,JJ,O
order,NN,O
dated,VBD,O
12052015,CD,O
passed,VBN,O
in,IN,O
ia,NN,O
no,DT,O
33,CD,O
of,IN,O
2015,CD,O
in,IN,O
special,JJ,O
leave,JJ,O
petition,NN,O
c,VBZ,O
no,DT,O
28609,JJ,O
2011,CD,O
entitled,VBD,O
union,NN,O
of,IN,O
india,JJ,O
v,NN,O
rafique,NN,O
sheikh,NN,O
bhikan,NN,O
and,CC,O
ors,NNS,O
and,CC,O
order,NN,O
dated,VBD,O
23072015,CD,O
in,IN,O
wp,NN,O
civil,JJ,O
no,DT,O
344,JJ,O
2015,CD,O
entitled,VBD,O
alban,JJ,O
hajj,NN,O
umrah,JJ,O
service,NN,O
v,NNP,O
union,NN,O
of,IN,O
india,$,O
10,CD,O
let,CC,O
the,DT,O
applications,NNS,O
be,VB,O
decided,VBN,O
by,IN,O
the,DT,O
concerned,JJ,O
authority,NN,O
by,IN,O
passing,VBG,O
a,DT,O
reasoned,VBN,O
order,NN,O
on,IN,O
each,DT,O
application,NN,O
on,IN,O
or,CC,O
before,IN,O
29062016,CD,O
and,CC,O
the,DT,O
order,NN,O
so,RB,O
passed,JJ,O
be,VB,O
communicated,VBN,O
to,TO,O
each,DT,O
applicant,JJ,O
writ,NN,O
petitioner,NN,O
immediately,RB,O
18,CD,O
we,PRP,O
are,VBP,O
of,IN,O
the,DT,O
opinion,NN,O
that,IN,O
it,PRP,O
is,VBZ,O
not,RB,O
necessary,JJ,O
to,TO,O
examine,VB,O
in,IN,O
detail,NN,O
the,DT,O
content,NN,O
of,IN,O
these,DT,O
various,JJ,O
press,NN,O
releases,NNS,O
issued,VBN,O
by,IN,O
the,DT,O
mea,NN,O
they,PRP,O
only,RB,O
indicate,VBP,O
the,DT,O
government,NN,O
of,IN,O
india,JJ,O
s,JJ,O
understanding,NN,O
of,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
as,IN,O
interpreted,VBN,O
by,IN,O
orders,NNS,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
jeddah,NN,O
travels,NNS,O
supra,VBP,O
these,DT,O
press,NN,O
notes,NNS,O
are,VBP,O
professedly,RB,O
meant,VBN,O
to,TO,O
be,VB,O
clarificatory,NN,O
of,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
but,CC,O
they,PRP,O
created,VBD,O
more,JJR,O
confusion,NN,O
than,IN,O
really,RB,O
clarifying,VBG,O
the,DT,O
approved,JJ,O
policy,NN,O
19,CD,O
the,DT,O
net,JJ,O
result,NN,O
emerging,VBG,O
from,IN,O
these,DT,O
various,JJ,O
press,NN,O
notes,NNS,O
and,CC,O
the,DT,O
orders,NNS,O
of,IN,O
this,DT,O
court,NN,O
is,VBZ,O
that,IN,O
as,IN,O
a,DT,O
matter,NN,O
of,IN,O
fact,NN,O
some,DT,O
of,IN,O
the,DT,O
ptos,NN,O
falling,VBG,O
under,IN,O
either,DT,O
category,NN,O
i,NN,O
or,CC,O
ii,NN,O
who,WP,O
should,MD,O
have,VB,O
been,VBN,O
registered,VBN,O
by,IN,O
the,DT,O
ministry,NN,O
of,IN,O
external,JJ,O
affairs,NNS,O
for,IN,O
consideration,NN,O
of,IN,O
their,PRP$,O
cases,NNS,O
for,IN,O
allotment,NN,O
of,IN,O
haj,NN,O
quota,NN,O
for,IN,O
the,DT,O
year,NN,O
2014,CD,O
were,VBD,O
wrongly,RB,O
denied,VBN,O
registration,NN,O
and,CC,O
therefore,RB,O
they,PRP,O
were,VBD,O
not,RB,O
allotted,VBN,O
any,DT,O
quota,NN,O
in,IN,O
that,DT,O
year,NN,O
20,CD,O
the,DT,O
ultimate,JJ,O
question,NN,O
in,IN,O
this,DT,O
batch,NN,O
of,IN,O
matters,NNS,O
is,VBZ,O
what,WDT,O
are,VBP,O
the,DT,O
documents,NNS,O
which,WDT,O
are,VBP,O
required,VBN,O
to,TO,O
be,VB,O
submitted,VBN,O
for,IN,O
registration,NN,O
as,IN,O
a,DT,O
pto,NN,O
qualified,VBN,O
for,IN,O
being,VBG,O
considered,VBN,O
for,IN,O
allotment,NN,O
of,IN,O
quota,NN,O
for,IN,O
haj,NN,O
2016,CD,O
21,CD,O
there,EX,O
is,VBZ,O
no,DT,O
dispute,NN,O
between,IN,O
the,DT,O
parties,NNS,O
regarding,VBG,O
the,DT,O
obligation,NN,O
of,IN,O
a,DT,O
pto,NN,O
to,TO,O
furnish,VB,O
various,JJ,O
documents,NNS,O
referred,VBN,O
to,TO,O
in,IN,O
various,JJ,O
stipulations,NNS,O
of,IN,O
annexure,NN,O
a,DT,O
of,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
the,DT,O
dispute,NN,O
revolves,VBZ,O
only,RB,O
around,IN,O
the,DT,O
stipulation,NN,O
vii,NN,O
it,PRP,O
is,VBZ,O
the,DT,O
common,JJ,O
understanding,NN,O
of,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
and,CC,O
petitioners,NNS,O
ptos,VBP,O
insofar,RB,O
as,IN,O
stipulation,NN,O
no,DT,O
iv,NN,O
is,VBZ,O
concerned,VBN,O
though,IN,O
the,DT,O
text,NN,O
of,IN,O
the,DT,O
stipulation,NN,O
speaks,VBZ,O
about,IN,O
submission,NN,O
of,IN,O
balance,NN,O
sheet,NN,O
and,CC,O
profit,NN,O
and,CC,O
loss,NN,O
account,NN,O
for,IN,O
the,DT,O
years,NNS,O
2010,CD,O
2011,CD,O
and,CC,O
2011,CD,O
2012,CD,O
that,IN,O
stipulation,NN,O
is,VBZ,O
to,TO,O
be,VB,O
understood,JJ,O
as,IN,O
the,DT,O
balance,NN,O
sheet,NN,O
and,CC,O
profit,NN,O
and,CC,O
loss,NN,O
account,NN,O
pertaining,VBG,O
to,TO,O
the,DT,O
years,NNS,O
2013,CD,O
2014,CD,O
and,CC,O
2014,CD,O
2015,CD,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
registration,NN,O
for,IN,O
the,DT,O
haj,NN,O
2016,CD,O
22,CD,O
on,IN,O
the,DT,O
only,RB,O
contentious,JJ,O
stipulation,NN,O
that,WDT,O
is,VBZ,O
stipulation,JJ,O
no,DT,O
vii,NN,O
according,VBG,O
to,TO,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
when,WRB,O
the,DT,O
approved,JJ,O
policy,NN,O
imposes,VBZ,O
an,DT,O
obligation,NN,O
on,IN,O
a,DT,O
pto,NN,O
seeking,VBG,O
registration,NN,O
to,TO,O
produce,VB,O
proof,NN,O
of,IN,O
the,DT,O
payments,NNS,O
made,VBD,O
through,IN,O
banking,NN,O
or,CC,O
other,JJ,O
authorized,JJ,O
channels,NNS,O
towards,IN,O
purchase,NN,O
of,IN,O
tickets,NNS,O
and,CC,O
hiring,NN,O
of,IN,O
accommodation,NN,O
in,IN,O
makkah,NN,O
madinah,NN,O
obviously,RB,O
such,JJ,O
an,DT,O
obligation,NN,O
is,VBZ,O
with,IN,O
reference,NN,O
to,TO,O
the,DT,O
two,CD,O
years,NNS,O
preceding,VBG,O
haj,NN,O
2016,CD,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
orders,NNS,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
jeddah,NN,O
travels,NNS,O
supra,VBP,O
23,CD,O
the,DT,O
learned,VBN,O
addtl,NN,O
solicitor,NN,O
general,JJ,O
submitted,VBD,O
that,IN,O
they,PRP,O
are,VBP,O
not,RB,O
only,RB,O
bound,VBN,O
by,IN,O
the,DT,O
orders,NNS,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
rafique,NN,O
shaikh,NN,O
bhikan,NN,O
2013,CD,O
supra,NN,O
and,CC,O
jeddah,NN,O
travels,NNS,O
supra,VBP,O
but,CC,O
also,RB,O
are,VBP,O
under,IN,O
a,DT,O
constitutional,JJ,O
duty,NN,O
to,TO,O
be,VB,O
satisfied,VBN,O
that,IN,O
an,DT,O
applicant,JJ,O
pto,NN,O
for,IN,O
registration,NN,O
for,IN,O
haj,NN,O
2016,CD,O
programme,NN,O
has,VBZ,O
the,DT,O
necessary,JJ,O
ability,NN,O
and,CC,O
capacity,NN,O
financial,JJ,O
and,CC,O
infrastructural,JJ,O
to,TO,O
conduct,VB,O
such,PDT,O
a,DT,O
programme,NN,O
because,IN,O
the,DT,O
safety,NN,O
and,CC,O
comfort,NN,O
of,IN,O
the,DT,O
haj,NN,O
pilgrims,VBZ,O
eventually,RB,O
depends,VBZ,O
upon,IN,O
the,DT,O
ability,NN,O
and,CC,O
the,DT,O
capacity,NN,O
of,IN,O
the,DT,O
ptos,NN,O
it,PRP,O
is,VBZ,O
submitted,VBN,O
that,IN,O
some,DT,O
of,IN,O
the,DT,O
ptos,NN,O
did,VBD,O
not,RB,O
in,IN,O
the,DT,O
past,JJ,O
really,RB,O
provide,VBP,O
the,DT,O
necessary,JJ,O
services,NNS,O
which,WDT,O
they,PRP,O
ought,MD,O
to,TO,O
have,VB,O
provided,VBN,O
to,TO,O
the,DT,O
pilgrims,NNS,O
past,JJ,O
performance,NN,O
of,IN,O
the,DT,O
ptos,NN,O
is,VBZ,O
one,CD,O
of,IN,O
the,DT,O
factors,NNS,O
by,IN,O
which,WDT,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
makes,VBZ,O
an,DT,O
assessment,NN,O
of,IN,O
the,DT,O
capacity,NN,O
of,IN,O
the,DT,O
ptos,NN,O
under,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
the,DT,O
past,JJ,O
performance,NN,O
of,IN,O
a,DT,O
pto,NN,O
is,VBZ,O
to,TO,O
be,VB,O
assessed,VBN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
documentary,JJ,B-LEGAL
evidence,NN,I-LEGAL
indicated,VBD,O
in,IN,O
stipulation,NN,O
no,DT,O
vii,NN,O
such,JJ,O
evidence,NN,O
proves,VBZ,O
the,DT,O
facts,NNS,O
that,WDT,O
ptos,VBP,O
after,IN,O
having,VBG,O
secured,VBN,O
the,DT,O
allotment,NN,O
of,IN,O
quota,NN,O
did,VBD,O
in,IN,O
fact,NN,O
conduct,NN,O
haj,NN,O
programme,NN,O
by,IN,O
actually,RB,O
purchasing,VBG,O
tickets,NNS,O
and,CC,O
providing,VBG,O
appropriate,JJ,O
accommodation,NN,O
for,IN,O
the,DT,O
pilgrims,NNS,O
in,IN,O
makkah,NN,O
madinah,NN,O
therefore,IN,O
any,DT,O
pto,NN,O
seeking,VBG,O
consideration,NN,O
for,IN,O
allotment,NN,O
of,IN,O
a,DT,O
quota,NN,O
for,IN,O
haj,NN,O
2016,CD,O
must,MD,O
necessarily,RB,O
supply,VB,O
the,DT,O
documents,NNS,O
for,IN,O
the,DT,O
years,NNS,O
of,IN,O
2014,CD,O
and,CC,O
2015,CD,O
haj,NN,O
24,CD,O
on,IN,O
the,DT,O
other,JJ,O
hand,NN,O
the,DT,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
petitioners,NNS,O
argued,VBD,O
that,IN,O
some,DT,O
of,IN,O
the,DT,O
petitioners,NNS,O
who,WP,O
were,VBD,O
otherwise,RB,O
eligible,JJ,O
to,TO,O
be,VB,O
considered,VBN,O
for,IN,O
allotment,NN,O
of,IN,O
quota,NN,O
for,IN,O
haj,NN,O
2014,CD,O
were,VBD,O
wrongly,RB,O
denied,VBN,O
registration,NN,O
and,CC,O
consequently,RB,O
they,PRP,O
did,VBD,O
not,RB,O
get,VB,O
any,DT,O
quota,JJ,O
therefore,NN,O
calling,VBG,O
upon,IN,O
them,PRP,O
to,TO,O
produce,VB,O
proof,NN,O
of,IN,O
the,DT,O
fact,NN,O
that,IN,O
they,PRP,O
had,VBD,O
made,VBN,O
appropriate,JJ,O
arrangement,NN,O
for,IN,O
that,DT,O
particular,JJ,O
year,NN,O
is,VBZ,O
not,RB,O
only,RB,O
illogical,JJ,O
but,CC,O
would,MD,O
be,VB,O
asking,VBG,O
them,PRP,O
to,TO,O
perform,VB,O
an,DT,O
impossibility,NN,O
apart,RB,O
from,IN,O
being,VBG,O
an,DT,O
arbitrary,JJ,O
exercise,NN,O
of,IN,O
power,NN,O
therefore,IN,O
their,PRP$,O
cases,NNS,O
must,MD,O
be,VB,O
considered,VBN,O
without,IN,O
insisting,VBG,O
upon,IN,O
the,DT,O
documents,NNS,O
for,IN,O
the,DT,O
years,NNS,O
2013,CD,O
2014,CD,O
and,CC,O
2014,CD,O
2015,CD,O
25,CD,O
in,IN,O
our,PRP$,O
opinion,NN,O
stipulation,NN,O
no,DT,O
vii,NN,O
does,VBZ,O
not,RB,O
impose,VB,O
a,DT,O
substantive,JJ,O
obligation,NN,O
on,IN,O
a,DT,O
pto,NN,O
seeking,VBG,O
consideration,NN,O
for,IN,O
allotment,NN,O
of,IN,O
quota,NN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
for,IN,O
haj,JJ,O
programme,NN,O
of,IN,O
any,DT,O
particular,JJ,O
year,NN,O
it,PRP,O
only,RB,O
incorporates,VBZ,O
a,DT,O
rule,NN,O
of,IN,O
evidence,NN,O
to,TO,O
establish,VB,O
the,DT,O
fact,NN,O
whether,IN,O
a,DT,O
particular,JJ,O
pto,NN,O
had,VBD,O
in,IN,O
fact,NN,O
conducted,VBN,O
haj,JJ,O
programme,NN,O
in,IN,O
the,DT,O
past,JJ,O
26,CD,O
ptos,NN,O
had,VBD,O
been,VBN,O
in,IN,O
existence,NN,O
and,CC,O
conducting,NN,O
haj,NN,O
operations,NNS,O
without,IN,O
any,DT,O
intervention,NN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
even,RB,O
prior,RB,O
to,TO,O
the,DT,O
coming,VBG,O
into,IN,O
existence,NN,O
of,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
under,IN,O
the,DT,O
orders,NNS,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
rafique,NN,O
shaikh,NN,O
bhikan,NN,O
2013,CD,O
supra,NN,O
it,PRP,O
is,VBZ,O
a,DT,O
different,JJ,O
matter,NN,O
as,IN,O
to,TO,O
how,WRB,O
well,RB,O
they,PRP,O
had,VBD,O
conducted,VBN,O
the,DT,O
haj,NN,O
programmes,NNS,O
sometime,RB,O
in,IN,O
20027,CD,O
after,IN,O
the,DT,O
government,NN,O
of,IN,O
saudi,NN,O
arabia,NN,O
decided,VBD,O
that,IN,O
only,RB,O
those,DT,O
ptos,NNS,O
which,WDT,O
are,VBP,O
approved,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
could,MD,O
be,VB,O
given,VBN,O
group,NN,O
visas,NN,O
to,TO,O
perform,VB,O
haj,JJ,O
operations,NNS,O
this,DT,O
whole,JJ,O
process,NN,O
of,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
considering,VBG,O
allotment,NN,O
of,IN,O
quota,NN,O
to,TO,O
ptos,VB,O
started,VBN,O
because,IN,O
the,DT,O
government,NN,O
is,VBZ,O
under,IN,O
a,DT,O
constitutional,JJ,O
obligation,NN,O
to,TO,O
consider,VB,O
the,DT,O
cases,NNS,O
of,IN,O
all,PDT,O
the,DT,O
eligible,JJ,O
ptos,NN,O
without,IN,O
discrimination,NN,O
27,CD,O
to,TO,O
decide,VB,O
upon,IN,O
the,DT,O
eligibility,NN,O
of,IN,O
ptos,NN,O
certain,JJ,O
criteria,NNS,O
was,VBD,O
required,VBN,O
therefore,RB,O
the,DT,O
approved,JJ,O
policy,NN,O
stipulated,VBD,O
that,IN,O
those,DT,O
ptos,NNS,O
who,WP,O
had,VBD,O
conducted,VBN,O
at,IN,O
least,JJS,O
7,CD,O
haj,JJ,O
operations,NNS,O
or,CC,O
more,JJR,O
would,MD,O
be,VB,O
considered,VBN,O
in,IN,O
category,NN,O
i,NN,O
and,CC,O
ptos,NN,O
who,WP,O
had,VBD,O
conducted,VBN,O
less,JJR,O
than,IN,O
7,CD,O
haj,JJ,O
operations,NNS,O
would,MD,O
be,VB,O
treated,VBN,O
as,IN,O
category,NN,O
ii,NN,O
ptos,IN,O
the,DT,O
consequence,NN,O
of,IN,O
the,DT,O
division,NN,O
of,IN,O
ptos,NN,O
into,IN,O
two,CD,O
categories,NNS,O
is,VBZ,O
that,IN,O
the,DT,O
total,JJ,O
number,NN,O
of,IN,O
visas,NN,O
to,TO,O
be,VB,O
provided,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
saudi,NN,O
arabia,NN,O
for,IN,O
the,DT,O
pilgrims,NNS,O
going,VBG,O
through,IN,O
ptos,NNS,O
would,MD,O
be,VB,O
distributed,VBN,O
among,IN,O
the,DT,O
two,CD,O
categories,NNS,O
in,IN,O
the,DT,O
ratio,NN,O
indicated,VBD,O
in,IN,O
para,NN,O
4,CD,O
which,WDT,O
is,VBZ,O
already,RB,O
taken,VBN,O
note,NN,O
of,IN,O
ptos,NN,O
which,WDT,O
had,VBD,O
conducted,VBN,O
greater,JJR,O
number,NN,O
of,IN,O
haj,JJ,O
programmes,NNS,O
would,MD,O
get,VB,O
a,DT,O
larger,JJR,O
chunk,NN,O
of,IN,O
visas,NN,O
to,TO,O
determine,VB,O
whether,IN,O
a,DT,O
particular,JJ,O
pto,NN,O
falls,VBZ,O
either,CC,O
under,IN,O
category,NN,O
i,NN,O
or,CC,O
category,NN,O
ii,VBP,O
some,DT,O
evidence,NN,O
to,TO,O
establish,VB,O
the,DT,O
number,NN,O
of,IN,O
tours,NNS,O
conducted,VBN,O
by,IN,O
such,JJ,O
a,DT,O
pto,NN,O
prior,RB,O
to,TO,O
the,DT,O
formation,NN,O
of,IN,O
the,DT,O
scheme,NN,O
is,VBZ,O
required,VBN,O
the,DT,O
best,JJS,O
proof,NN,O
as,IN,O
rightly,RB,O
identified,VBN,O
by,IN,O
the,DT,O
government,NN,O
in,IN,O
stipulation,NN,O
no,DT,O
vii,NN,O
of,IN,O
annexure,NN,O
a,DT,O
is,VBZ,O
the,DT,O
evidence,NN,O
of,IN,O
payments,NNS,O
for,IN,O
the,DT,O
air,NN,O
tickets,NNS,O
and,CC,O
hiring,NN,O
of,IN,O
accommodation,NN,O
through,IN,O
banking,NN,O
or,CC,O
other,JJ,O
authorized,JJ,O
channels,NNS,O
28,CD,O
we,PRP,O
must,MD,O
note,VB,O
it,PRP,O
here,RB,O
that,IN,O
stipulation,NN,O
vii,NN,O
is,VBZ,O
relevant,JJ,O
only,RB,O
for,IN,O
those,DT,O
ptos,NNS,O
who,WP,O
are,VBP,O
seeking,VBG,O
registration,NN,O
either,DT,O
under,IN,O
category,NN,O
i,NN,O
or,CC,O
category,NN,O
ii,NN,O
as,IN,O
ptos,NNS,O
eligible,JJ,O
for,IN,O
consideration,NN,O
for,IN,O
allotment,NN,O
of,IN,O
quotas,NNS,O
for,IN,O
haj,NN,O
programme,NN,O
for,IN,O
the,DT,O
first,JJ,O
time,NN,O
when,WRB,O
an,DT,O
application,NN,O
is,VBZ,O
received,VBN,O
from,IN,O
any,DT,O
pto,NN,O
for,IN,O
the,DT,O
first,JJ,O
time,NN,O
as,IN,O
was,VBD,O
rightly,RB,O
contended,VBN,O
by,IN,O
the,DT,O
learned,JJ,O
additional,JJ,O
solicitor,NN,O
general,JJ,O
before,IN,O
this,DT,O
court,NN,O
in,IN,O
the,DT,O
jeddah,NN,O
travels,VBZ,O
supra,VBP,O
the,DT,O
proof,NN,O
by,IN,O
documents,NNS,O
specified,VBN,O
in,IN,O
stipulation,NN,O
vii,NN,O
is,VBZ,O
required8,JJ,O
unfortunately,RB,O
the,DT,O
said,VBD,O
submission,NN,O
was,VBD,O
rejected,VBN,O
by,IN,O
this,DT,O
court,NN,O
with,IN,O
respect,NN,O
we,PRP,O
may,MD,O
say,VB,O
that,IN,O
we,PRP,O
are,VBP,O
unable,JJ,O
to,TO,O
agree,VB,O
with,IN,O
the,DT,O
conclusion,NN,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
jeddah,NN,O
travels,NNS,O
supra,VBP,O
in,IN,O
this,DT,O
regard,NN,O
29,CD,O
be,VB,O
that,IN,O
as,IN,O
it,PRP,O
may,MD,O
but,CC,O
once,RB,O
the,DT,O
pto,NN,O
is,VBZ,O
registered,VBN,O
either,RB,O
under,IN,O
category,NN,O
i,NN,O
or,CC,O
category,NN,O
ii,NN,O
insisting,VBG,O
upon,IN,O
the,DT,O
pto,NN,O
to,TO,O
produce,VB,O
proof,NN,O
for,IN,O
each,DT,O
subsequent,JJ,O
year,NN,O
or,CC,O
to,TO,O
produce,VB,O
documents,NNS,O
contemplated,VBN,O
under,IN,O
stipulation,NN,O
vii,NN,O
in,IN,O
our,PRP$,O
opinion,NN,O
is,VBZ,O
not,RB,O
supported,VBN,O
either,RB,O
by,IN,O
the,DT,O
text,NN,O
of,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
or,CC,O
logic,JJ,O
30,CD,O
the,DT,O
scheme,NN,O
was,VBD,O
not,RB,O
confined,VBN,O
only,RB,O
to,TO,O
haj,VB,O
2013,CD,O
and,CC,O
made,VBD,O
applicable,JJ,O
till,NN,O
2017,CD,O
by,IN,O
orders,NNS,O
of,IN,O
this,DT,O
court,NN,O
there,EX,O
is,VBZ,O
always,RB,O
a,DT,O
possibility,NN,O
of,IN,O
some,DT,O
new,JJ,O
ptos,NNS,O
who,WP,O
were,VBD,O
qualified,VBN,O
to,TO,O
fall,VB,O
under,IN,O
category,NN,O
ii,NN,O
in,IN,O
2013,CD,O
to,TO,O
acquire,VB,O
a,DT,O
qualification,NN,O
to,TO,O
fall,VB,O
in,IN,O
category,NN,O
i,NN,O
in,IN,O
a,DT,O
subsequent,JJ,O
year,NN,O
for,IN,O
example,NN,O
a,DT,O
pto,NN,O
who,WP,O
successfully,RB,O
conducted,VBD,O
6,CD,O
haj,NN,O
operations,NNS,O
prior,RB,O
to,TO,O
2013,CD,O
would,MD,O
fall,VB,O
under,IN,O
category,NN,O
ii,NN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
allotment,NN,O
of,IN,O
quota,NN,O
in,IN,O
haj,NN,O
2013,CD,O
if,IN,O
it,PRP,O
did,VBD,O
in,IN,O
fact,NN,O
secure,NN,O
a,DT,O
quota,NN,O
for,IN,O
haj,NN,O
2013,CD,O
and,CC,O
did,VBD,O
in,IN,O
fact,NN,O
conduct,NN,O
haj,NN,O
operations,NNS,O
for,IN,O
2013,CD,O
successfully,RB,O
for,IN,O
a,DT,O
haj,NN,O
operation,NN,O
for,IN,O
any,DT,O
subsequent,JJ,O
year,NN,O
during,IN,O
the,DT,O
currency,NN,O
of,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
a,DT,O
pto,NN,O
would,MD,O
be,VB,O
entitled,VBN,O
to,TO,O
be,VB,O
considered,VBN,O
as,IN,O
a,DT,O
category,NN,O
i,NN,O
