rc,NN,O
property,NN,O
in,IN,O
electricity,NN,O
sold,VBN,O
has,VBZ,O
already,RB,O
passed,VBN,O
to,TO,O
them,PRP,O
reliance,NN,O
has,VBZ,O
been,VBN,O
placed,VBN,O
on,IN,O
the,DT,O
several,JJ,O
clauses,NNS,O
of,IN,O
the,DT,O
bulk,NN,O
power,NN,O
supply,NN,O
agreement,NN,O
entered,VBD,O
into,IN,O
between,IN,O
ntpcl,NN,O
and,CC,O
buyers,NNS,O
one,CD,O
of,IN,O
which,WDT,O
entered,VBD,O
into,IN,O
between,IN,O
ntpcl,NN,O
and,CC,O
western,JJ,O
region,NN,O
electricity,NN,O
board,NN,O
wreb,VBZ,O
having,VBG,O
its,PRP$,O
office,NN,O
at,IN,O
andheri,NN,O
east,JJ,O
bombay,NN,O
has,VBZ,O
been,VBN,O
filed,VBN,O
and,CC,O
quoted,VBN,O
in,IN,O
the,DT,O
counter,NN,O
affidavit,NN,O
according,VBG,O
to,TO,O
which,WDT,O
a,DT,O
metering,NN,O
is,VBZ,O
within,IN,O
the,DT,O
state,NN,O
of,IN,O
mp,NN,O
b,NN,O
transmission,NN,O
loss,NN,O
from,IN,O
madhya,JJ,O
pradesh,NN,O
to,TO,O
the,DT,O
home,NN,O
state,NN,O
of,IN,O
the,DT,O
buyer,NN,O
is,VBZ,O
to,TO,O
the,DT,O
account,NN,O
of,IN,O
the,DT,O
buyer,NN,O
c,NN,O
wheeling,VBG,O
loss,NN,O
from,IN,O
madhya,JJ,O
pradesh,NN,O
to,TO,O
the,DT,O
home,NN,O
state,NN,O
of,IN,O
the,DT,O
buyer,NN,O
to,TO,O
the,DT,O
account,NN,O
of,IN,O
the,DT,O
buyer,NN,O
d,NN,O
transmission,NN,O
charges,NNS,O
for,IN,O
transmission,NN,O
from,IN,O
madhya,NN,O
pradesh,NN,O
to,TO,O
the,DT,O
home,NN,O
state,NN,O
of,IN,O
the,DT,O
buyer,NN,O
to,TO,O
the,DT,O
account,NN,O
of,IN,O
the,DT,O
buyer,NN,O
e,NN,O
wheeling,VBG,O
charges,NNS,O
from,IN,O
madhya,JJ,O
pradesh,NN,O
to,TO,O
the,DT,O
home,NN,O
state,NN,O
of,IN,O
the,DT,O
buyer,NN,O
to,TO,O
the,DT,O
account,NN,O
of,IN,O
the,DT,O
buyer,NN,O
f,JJ,O
delivery,NN,O
of,IN,O
wreb,NN,O
in,IN,O
madhya,NN,O
pradesh,NN,O
g,NN,O
ntpcl,JJ,O
cases,NNS,O
to,TO,O
have,VB,O
control,NN,O
over,IN,O
the,DT,O
electrical,JJ,O
energy,NN,O
once,IN,O
it,PRP,O
is,VBZ,O
delivered,VBN,O
to,TO,O
wreb,VB,O
within,IN,O
state,NN,O
of,IN,O
mp,NN,O
h,NN,O
payment,NN,O
made,VBN,O
by,IN,O
the,DT,O
bulk,NN,O
beneficiaries,NNS,O
is,VBZ,O
in,IN,O
respect,NN,O
of,IN,O
quantum,NN,O
of,IN,O
electrical,JJ,O
energy,NN,O
supplied,VBD,O
delivered,VBN,O
at,IN,O
metering,VBG,O
point,NN,O
in,IN,O
state,NN,O
of,IN,O
mp,NN,O
similar,JJ,O
are,VBP,O
the,DT,O
agreements,NNS,O
entered,VBD,O
into,IN,O
with,IN,O
other,JJ,O
outside,JJ,O
state,NN,O
buyers,NNS,O
11,CD,O
it,PRP,O
is,VBZ,O
not,RB,O
disputed,VBN,O
that,IN,O
the,DT,O
power,NN,O
generated,VBD,O
at,IN,O
the,DT,O
abovesaid,NN,O
two,CD,O
stations,NNS,O
is,VBZ,O
fed,VBN,O
into,IN,O
transmission,NN,O
system,NN,O
of,IN,O
power,NN,O
grid,JJ,O
corporation,NN,O
of,IN,O
india,NN,O
limited,VBN,O
and,CC,O
the,DT,O
transmission,NN,O
systems,NNS,O
of,IN,O
other,JJ,O
bulk,JJ,O
power,NN,O
beneficiaries,NNS,O
wherefrom,IN,O
the,DT,O
buyers,NNS,O
draw,VBP,O
the,DT,O
power,NN,O
purchased,VBN,O
by,IN,O
them,PRP,O
great,JJ,O
emphasis,NN,O
was,VBD,O
aid,VBN,O
on,IN,O
the,DT,O
fact,NN,O
that,IN,O
the,DT,O
points,NNS,O
for,IN,O
metering,VBG,O
are,VBP,O
installed,VBN,O
within,IN,O
the,DT,O
state,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
it,PRP,O
was,VBD,O
submitted,VBN,O
that,IN,O
the,DT,O
transaction,NN,O
under,IN,O
scrutiny,NN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
state,NN,O
of,IN,O
mp,NN,O
is,VBZ,O
different,JJ,O
from,IN,O
the,DT,O
one,CD,O
under,IN,O
scrutiny,NN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
relevant,JJ,O
provisions,NNS,O
12,CD,O
we,PRP,O
proceed,VBP,O
to,TO,O
notice,VB,O
the,DT,O
relevant,JJ,O
provisions,NNS,O
of,IN,O
the,DT,O
constitution,NN,O
and,CC,O
other,JJ,O
statutory,JJ,O
provisions,NNS,O
13,CD,O
changes,NNS,O
of,IN,O
far,RB,O
reaching,VBG,O
implications,NNS,O
were,VBD,O
made,VBN,O
in,IN,O
the,DT,O
constitution,NN,O
by,IN,O
the,DT,O
constitution,NN,O
sixth,JJ,O
amendment,NN,O
act,NN,O
1956,CD,O
with,IN,O
effect,NN,O
from,IN,O
september,NN,O
11,CD,O
1956,CD,O
to,TO,O
enable,VB,O
a,DT,O
convenient,JJ,O
comparative,JJ,O
reading,NN,O
we,PRP,O
set,VBD,O
out,RP,O
the,DT,O
provisions,NNS,O
as,IN,O
under,IN,O
246,CD,O
subject,JJ,O
matter,NN,O
of,IN,O
laws,NNS,O
made,VBN,O
by,IN,O
parliament,NN,O
and,CC,O
by,IN,O
the,DT,O
legislatures,NNS,O
of,IN,O
state,NN,O
1,CD,O
notwithstanding,VBG,O
anything,NN,O
in,IN,O
clauses,NNS,O
2,CD,O
and,CC,O
3,CD,O
parliament,NN,O
has,VBZ,O
exclusive,JJ,O
power,NN,O
to,TO,O
make,VB,O
laws,NNS,O
with,IN,O
respect,NN,O
to,TO,O
any,DT,O
of,IN,O
the,DT,O
matters,NNS,O
enumerated,VBN,O
in,IN,O
list,NN,O
i,NN,O
in,IN,O
the,DT,O
seventh,JJ,O
schedule,NN,O
in,IN,O
this,DT,O
constitution,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
union,NN,O
list,NN,O
2,CD,O
notwithstanding,VBG,O
anything,NN,O
in,IN,O
clause,NN,O
3,CD,O
parliament,NN,O
and,CC,O
subject,JJ,O
to,TO,O
clause,VB,O
1,CD,O
the,DT,O
legislature,NN,O
of,IN,O
any,DT,O
state,NN,O
also,RB,O
have,VBP,O
power,NN,O
to,TO,O
make,VB,O
laws,NNS,O
with,IN,O
respect,NN,O
to,TO,O
any,DT,O
of,IN,O
the,DT,O
matters,NNS,O
enumerated,VBN,O
in,IN,O
list,NN,O
iii,NN,O
in,IN,O
the,DT,O
seventh,JJ,O
schedule,NN,O
in,IN,O
this,DT,O
constitution,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
concurrent,JJ,B-LEGAL
list,NN,I-LEGAL
3,CD,O
subject,NN,O
to,TO,O
clauses,VB,O
1,CD,O
and,CC,O
2,CD,O
the,DT,O
legislature,NN,O
of,IN,O
any,DT,O
state,NN,O
has,VBZ,O
exclusive,JJ,O
power,NN,O
to,TO,O
make,VB,O
laws,NNS,O
for,IN,O
such,JJ,O
state,NN,O
or,CC,O
any,DT,O
part,NN,O
thereof,NN,O
with,IN,O
respect,NN,O
to,TO,O
any,DT,O
of,IN,O
the,DT,O
matters,NNS,O
enumerated,VBN,O
in,IN,O
list,NN,O
ii,NN,O
in,IN,O
the,DT,O
seventh,JJ,O
schedule,NN,O
in,IN,O
this,DT,O
constitution,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
state,NN,O
list,NN,O
4,CD,O
parliament,NN,O
has,VBZ,O
power,NN,O
to,TO,O
make,VB,O
laws,NNS,O
with,IN,O
respect,NN,O
to,TO,O
any,DT,O
matter,NN,O
for,IN,O
any,DT,O
part,NN,O
of,IN,O
the,DT,O
territory,NN,O
of,IN,O
india,JJ,O
nor,CC,O
included,VBN,O
in,IN,O
a,DT,O
state,NN,O
notwithstanding,VBG,O
that,IN,O
such,JJ,O
matter,NN,O
is,VBZ,O
a,DT,O
matter,NN,O
enumerated,VBN,O
in,IN,O
the,DT,O
state,NN,O
list,NN,O
seventh,JJ,O
schedule,JJ,O
list,NN,O
i,NN,O
union,NN,O
list,NN,O
xx,NNP,O
xx,NNP,O
xx,NNP,O
xx,VBD,O
92a,CD,O
taxes,NNS,O
on,IN,O
the,DT,O
sale,NN,O
of,IN,O
purchase,NN,O
of,IN,O
good,JJ,B-LEGAL
other,JJ,O
than,IN,O
newspapers,NNS,O
where,WRB,O
such,JJ,O
sale,NN,O
of,IN,O
purchase,NN,O
takes,VBZ,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
inserted,VBN,O
by,IN,O
sixth,JJ,O
amendment,NN,O
list,NN,O
ii,NN,O
state,NN,O
list,NN,O
entry,NN,O
52,CD,O
taxes,NNS,O
on,IN,O
the,DT,O
entry,NN,O
of,IN,O
goods,NNS,O
into,IN,O
a,DT,O
local,JJ,O
area,NN,O
for,IN,O
consumption,NN,B-LEGAL
use,NN,O
or,CC,O
sale,NN,O
therein,NNS,O
entry,VBP,O
53,CD,O
taxes,NNS,O
on,IN,O
the,DT,O
consumption,NN,B-LEGAL
or,CC,O
sale,NN,O
of,IN,O
electricity,NN,O
entry,NN,O
54,CD,O
before,IN,O
sixth,JJ,O
amendment,NN,O
54,CD,O
taxes,NNS,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
other,JJ,O
than,IN,O
newspapers,NNS,O
after,IN,O
sixth,JJ,O
amendment,NN,O
54,CD,O
taxes,NNS,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
other,JJ,O
than,IN,O
newspapers,NNS,O
subject,JJ,O
to,TO,O
the,DT,O
provisions,NNS,O
of,IN,O
entry,NN,O
92a,CD,O
of,IN,O
list,NN,O
i,NN,O
before,IN,O
11956,CD,O
269,CD,O
the,DT,O
following,JJ,O
duties,NNS,O
and,CC,O
taxes,NNS,O
shall,MD,O
be,VB,O
levied,VBN,O
and,CC,O
collected,VBN,O
by,IN,O
the,DT,O
after,IN,O
11956,CD,O
269,CD,O
1,CD,O
the,DT,O
following,JJ,O
duties,NNS,O
and,CC,O
taxes,NNS,O
shall,MD,O
be,VB,O
levied,VBN,O
and,CC,O
collected,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
government,NN,O
of,IN,O
india,NN,O
taxes,NNS,O
levied,VBD,O
but,CC,O
shall,MD,O
be,VB,O
assigned,VBN,O
to,TO,O
and,CC,O
collected,VBN,O
by,IN,O
the,DT,O
states,NNS,O
in,IN,O
the,DT,O
union,NN,O
but,CC,O
manner,NN,O
provided,VBD,O
in,IN,O
assigned,VBN,O
to,TO,O
the,DT,O
clause,NN,O
2,CD,O
namely,RB,O
states,NNS,O
india,VBP,O
but,CC,O
shall,MD,O
be,VB,O
taxes,NNS,O
levied,VBN,O
and,CC,O
assigned,VBN,O
to,TO,O
the,DT,O
states,NNS,O
collected,VBN,O
by,IN,O
the,DT,O
in,IN,O
the,DT,O
manner,NN,O
union,NN,O
but,CC,O
provided,VBD,O
in,IN,O
clause,NN,O
2,CD,O
assigned,VBN,O
to,TO,O
the,DT,O
namely,RB,O
states,VBZ,O
a,DT,O
duties,NNS,O
in,IN,O
respect,NN,O
of,IN,O
succession,NN,O
to,TO,O
property,NN,O
other,JJ,O
than,IN,O
agriculture,NN,O
land,VBP,O
a,DT,O
duties,NNS,O
in,IN,O
respect,NN,O
of,IN,O
succession,NN,O
to,TO,O
property,NN,O
other,JJ,O
than,IN,O
agricultural,JJ,B-LEGAL
land,NN,I-LEGAL
b,NN,O
estate,NN,B-LEGAL
duty,NN,I-LEGAL
in,IN,O
respect,NN,O
of,IN,O
property,NN,O
other,JJ,O
than,IN,O
agricultural,JJ,B-LEGAL
land,NN,I-LEGAL
b,NN,O
estate,NN,B-LEGAL
duty,NN,I-LEGAL
in,IN,O
respect,NN,O
of,IN,O
property,NN,O
other,JJ,O
than,IN,O
agricultural,JJ,B-LEGAL
land,NN,I-LEGAL
c,NNS,O
terminal,JJ,O
taxes,NNS,O
on,IN,O
goods,NNS,O
or,CC,O
passengers,NNS,O
carried,VBN,O
by,IN,O
railway,NN,O
sea,NN,O
or,CC,O
air,NN,O
c,VBP,O
terminal,JJ,O
taxes,NNS,O
on,IN,O
goods,NNS,O
or,CC,O
passengers,NNS,O
carried,VBN,O
by,IN,O
railway,NN,O
sea,NN,O
or,CC,O
air,NN,O
d,JJ,O
taxes,NNS,O
on,IN,O
railway,NN,O
fares,NNS,O
and,CC,O
freights,NNS,O
d,VBP,O
taxes,NNS,O
on,IN,O
railway,NN,O
fares,NNS,O
and,CC,O
freights,NNS,O
e,VBP,O
taxes,NNS,O
other,JJ,O
than,IN,O
stamp,JJ,O
duties,NNS,O
on,IN,O
transactions,NNS,O
in,IN,O
stock,NN,O
exchanges,NNS,O
and,CC,O
future,JJ,O
markets,NNS,O
e,VBP,O
taxes,NNS,O
other,JJ,O
than,IN,O
stamp,JJ,O
duties,NNS,O
on,IN,O
transactions,NNS,O
in,IN,O
stock,NN,O
exchanges,NNS,O
and,CC,O
future,JJ,O
markets,NNS,O
f,VBP,O
taxes,NNS,O
on,IN,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
newspaper,NN,O
and,CC,O
on,IN,O
advertisements,NNS,O
published,VBN,O
therein,RB,O
f,JJ,O
taxes,NNS,O
on,IN,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
newspaper,NN,O
and,CC,O
on,IN,O
advertisements,NNS,O
published,VBN,O
therein,RB,O
g,JJ,O
taxes,NNS,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
other,JJ,O
than,IN,O
newspapers,NNS,O
where,WRB,O
such,JJ,O
sale,NN,O
or,CC,O
purchase,NN,O
takes,VBZ,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
h,NN,O
taxes,NNS,O
on,IN,O
the,DT,O
consignment,NN,B-LEGAL
of,IN,O
goods,NNS,O
whether,IN,O
the,DT,O
consignment,NN,B-LEGAL
is,VBZ,O
to,TO,O
the,DT,O
person,NN,O
making,VBG,O
it,PRP,O
or,CC,O
to,TO,O
any,DT,O
other,JJ,O
person,NN,O
where,WRB,O
such,JJ,O
consignment,NN,B-LEGAL
takes,VBZ,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
2,CD,O
the,DT,O
net,JJ,O
proceeds,NNS,O
in,IN,O
any,DT,O
financial,JJ,O
year,NN,O
of,IN,O
any,DT,O
such,JJ,O
duty,NN,O
or,CC,O
tax,NN,O
except,IN,O
in,IN,O
so,RB,O
far,RB,O
as,IN,O
those,DT,O
proceeds,NNS,O
represent,VBP,O
proceeds,NNS,O
attributable,JJ,O
to,TO,O
states,NNS,O
specified,VBN,O
in,IN,O
part,NN,O
c,NN,O
of,IN,O
the,DT,O
first,JJ,B-LEGAL
schedule,NN,I-LEGAL
shall,MD,O
not,RB,O
form,VB,O
part,NN,O
of,IN,O
the,DT,O
consolidated,JJ,B-LEGAL
fund,NN,I-LEGAL
of,IN,I-LEGAL
india,NN,I-LEGAL
but,CC,O
shall,MD,O
be,VB,O
assigned,VBN,O
to,TO,O
the,DT,O
states,NNS,O
within,IN,O
which,WDT,O
that,DT,O
duty,NN,O
or,CC,O
tax,NN,O
is,VBZ,O
leviable,JJ,O
in,IN,O
that,DT,O
year,NN,O
and,CC,O
shall,MD,O
be,VB,O
distributed,VBN,O
among,IN,O
those,DT,O
states,NNS,O
in,IN,O
accordance,NN,O
with,IN,O
such,JJ,O
principles,NNS,O
of,IN,O
distribution,NN,O
as,IN,O
may,MD,O
be,VB,O
formulated,VBN,O
by,IN,O
parliament,NN,O
by,IN,O
law,NN,O
2,CD,O
the,DT,O
net,JJ,O
proceeds,NNS,O
in,IN,O
any,DT,O
financial,JJ,O
year,NN,O
of,IN,O
any,DT,O
such,JJ,O
duty,NN,O
or,CC,O
tax,NN,O
except,IN,O
in,IN,O
so,RB,O
far,RB,O
as,IN,O
those,DT,O
proceeds,NNS,O
represent,VBP,O
proceeds,NNS,O
attributable,JJ,O
to,TO,O
union,NN,O
territories,NNS,O
shall,MD,O
not,RB,O
form,VB,O
part,NN,O
of,IN,O
the,DT,O
consolidated,JJ,B-LEGAL
fund,NN,I-LEGAL
of,IN,I-LEGAL
india,NN,I-LEGAL
but,CC,O
shall,MD,O
be,VB,O
assigned,VBN,O
to,TO,O
the,DT,O
states,NNS,O
within,IN,O
which,WDT,O
that,DT,O
duty,NN,O
or,CC,O
tax,NN,O
is,VBZ,O
leviable,JJ,O
in,IN,O
that,DT,O
year,NN,O
and,CC,O
shall,MD,O
be,VB,O
distributed,VBN,O
among,IN,O
those,DT,O
states,NNS,O
in,IN,O
accordance,NN,O
with,IN,O
such,JJ,O
principles,NNS,O
of,IN,O
distribution,NN,O
as,IN,O
may,MD,O
be,VB,O
formulated,VBN,O
by,IN,O
parliament,NN,O
by,IN,O
law,NN,O
3,CD,O
parliament,NN,O
may,MD,O
be,VB,O
law,NN,O
formulate,JJ,O
principles,NNS,O
of,IN,O
determining,VBG,O
when,WRB,O
a,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
or,CC,O
consignment,NN,B-LEGAL
of,IN,O
goods,NNS,O
takes,VBZ,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
before,IN,O
11956,CD,O
after,IN,O
11956,CD,O
286,CD,O
1,CD,O
no,DT,O
law,NN,O
of,IN,O
a,DT,O
state,NN,O
shall,MD,O
impose,VB,O
or,CC,O
authorise,VB,O
the,DT,O
imposition,NN,O
of,IN,O
a,DT,O
tax,NN,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
where,WRB,O
such,JJ,O
sale,NN,O
or,CC,O
purchase,NN,O
takes,VBZ,O
place,VBP,O
286,CD,O
1,CD,O
no,DT,O
law,NN,O
of,IN,O
a,DT,O
state,NN,O
shall,MD,O
impose,VB,O
or,CC,O
authorise,VB,O
the,DT,O
imposition,NN,O
of,IN,O
a,DT,O
tax,NN,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
where,WRB,O
such,JJ,O
sale,NN,O
or,CC,O
purchase,NN,O
takes,VBZ,O
place,VBP,O
a,DT,O
outside,JJ,O
the,DT,O
state,NN,O
or,CC,O
b,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
the,DT,O
import,NN,B-LEGAL
of,IN,O
the,DT,O
goods,NNS,O
into,IN,O
or,CC,O
export,NN,B-LEGAL
of,IN,O
the,DT,O
goods,NNS,O
out,IN,O
of,IN,O
the,DT,O
territory,NN,O
of,IN,O
india,NN,O
a,DT,O
outside,IN,O
the,DT,O
state,NN,O
or,CC,O
b,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
the,DT,O
import,NN,B-LEGAL
of,IN,O
the,DT,O
goods,NNS,O
into,IN,O
or,CC,O
export,NN,B-LEGAL
of,IN,O
the,DT,O
goods,NNS,O
out,IN,O
of,IN,O
the,DT,O
territory,NN,O
of,IN,O
india,JJ,O
explanation,NN,O
for,IN,O
the,DT,O
purposes,NNS,O
of,IN,O
sub,NN,O
clause,NN,O
a,DT,O
a,DT,O
sale,NN,O
or,CC,O
purchase,VB,O
shall,MD,O
be,VB,O
deemed,VBN,O
to,TO,O
have,VB,O
been,VBN,O
place,NN,O
in,IN,O
the,DT,O
state,NN,O
in,IN,O
which,WDT,O
the,DT,O
goods,NNS,O
have,VBP,O
actually,RB,O
been,VBN,O
delivered,VBN,O
as,IN,O
a,DT,O
direct,JJ,O
result,NN,O
of,IN,O
such,JJ,O
sale,NN,O
or,CC,O
purchase,NN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
consumption,NN,B-LEGAL
in,IN,O
the,DT,O
state,NN,O
notwithstanding,VBG,O
the,DT,O
fact,NN,O
the,DT,O
under,IN,O
the,DT,O
general,JJ,O
law,NN,O
relating,VBG,O
to,TO,O
sale,NN,O
of,IN,O
good,JJ,B-LEGAL
the,DT,O
property,NN,O
in,IN,O
the,DT,O
goods,NNS,O
has,VBZ,O
by,IN,O
reason,NN,O
of,IN,O
such,JJ,O
sale,NN,O
or,CC,O
purchase,NN,O
passed,VBN,O
in,IN,O
another,DT,O
state,NN,O
2,CD,O
except,IN,O
in,IN,O
so,RB,O
far,RB,O
as,IN,O
parliament,NN,O
may,MD,O
by,IN,O
law,NN,O
otherwise,RB,O
provide,VBZ,O
no,DT,O
law,NN,O
of,IN,O
a,DT,O
state,NN,O
shall,MD,O
impose,VB,O
or,CC,O
authorise,VB,O
the,DT,O
imposition,NN,O
of,IN,O
a,DT,O
tax,NN,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
any,DT,O
goods,NNS,O
where,WRB,O
such,JJ,O
sale,NN,O
or,CC,O
purchase,NN,O
takes,VBZ,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
provided,VBD,O
that,IN,O
the,DT,O
president,NN,O
may,MD,O
by,IN,O
order,NN,O
direct,NN,O
that,IN,O
any,DT,O
tax,NN,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
which,WDT,O
was,VBD,O
being,VBG,O
lawfully,RB,O
levied,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
any,DT,O
state,NN,O
immediately,RB,O
before,IN,O
the,DT,O
commencement,NN,O
of,IN,O
this,DT,O
constitution,NN,O
shall,MD,O
notwithstanding,VB,O
that,IN,O
the,DT,O
imposition,NN,O
of,IN,O
such,JJ,O
tax,NN,O
is,VBZ,O
contrary,JJ,O
to,TO,O
the,DT,O
provisions,NNS,O
of,IN,O
this,DT,O
clause,NN,O
continue,VB,O
to,TO,O
be,VB,O
levied,VBN,O
until,IN,O
the,DT,O
thirty,NN,O
first,JJ,O
day,NN,O
of,IN,O
march,NN,O
1951,CD,O
2,CD,O
parliament,NN,O
may,MD,O
by,IN,O
law,NN,O
of,IN,O
formulate,JJ,O
principles,NNS,O
for,IN,O
determining,VBG,O
when,WRB,O
a,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
takes,VBZ,O
place,NN,O
in,IN,O
any,DT,O
of,IN,O
the,DT,O
ways,NNS,O
mentioned,VBN,O
in,IN,O
clause,NN,O
1,CD,O
3,CD,O
no,DT,O
law,NN,O
made,VBN,O
by,IN,O
the,DT,O
legislature,NN,O
of,IN,O
a,DT,O
state,NN,O
imposing,NN,O
or,CC,O
authorizing,VBG,O
the,DT,O
imposition,NN,O
of,IN,O
a,DT,O
tax,NN,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
any,DT,O
such,JJ,O
goods,NNS,O
as,IN,O
have,VBP,O
been,VBN,O
declared,VBN,B-LEGAL
by,IN,I-LEGAL
parliament,NN,I-LEGAL
by,IN,O
law,NN,O
to,TO,O
be,VB,O
essential,JJ,O
for,IN,O
the,DT,O
life,NN,O
of,IN,O
the,DT,O
community,NN,O
shall,MD,O
have,VB,O
effect,NN,O
unless,IN,O
it,PRP,O
has,VBZ,O
been,VBN,O
reserved,VBN,O
for,IN,O
the,DT,O
consideration,NN,O
of,IN,O
the,DT,O
president,NN,O
and,CC,O
has,VBZ,O
received,VBN,O
his,PRP$,O
assent,JJ,O
3,CD,O
any,DT,O
law,NN,O
of,IN,O
a,DT,O
state,NN,O
shall,MD,O
in,IN,O
so,RB,O
far,RB,O
as,IN,O
it,PRP,O
imposes,VBZ,O
or,CC,O
authorizes,VBZ,O
the,DT,O
imposition,NN,O
of,IN,O
a,DT,O
a,DT,O
tax,NN,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
declared,VBN,B-LEGAL
by,IN,I-LEGAL
parliament,NN,I-LEGAL
by,IN,O
law,NN,O
to,TO,O
be,VB,O
of,IN,O
special,JJ,O
importance,NN,O
in,IN,O
inter,NN,B-LEGAL
state,NN,O
b,VBD,O
a,DT,O
tax,NN,O
on,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
being,VBG,O
a,DT,O
tax,NN,O
of,IN,O
the,DT,O
nature,NN,O
referred,VBD,O
to,TO,O
in,IN,O
sub,NN,O
clause,NN,O
b,NN,O
sub,NN,O
clause,NN,O
c,NN,O
or,CC,O
sub,NN,O
clause,NN,O
d,NN,O
of,IN,O
clause,NN,O
29a,CD,O
of,IN,O
article,NN,O
366,CD,O
be,VB,O
subject,JJ,O
to,TO,O
such,JJ,O
restrictions,NNS,O
and,CC,O
conditions,NNS,O
in,IN,O
regard,NN,O
to,TO,O
the,DT,O
system,NN,O
of,IN,O
levy,NN,O
rates,NNS,O
and,CC,O
other,JJ,O
incidents,NNS,O
of,IN,O
the,DT,O
tax,NN,O
as,IN,O
parliament,NN,O
may,MD,O
be,VB,O
law,NN,O
specify,VB,O
14,CD,O
out,IN,O
of,IN,O
the,DT,O
several,JJ,O
changes,NNS,O
introduced,VBN,O
by,IN,O
the,DT,O
constitution,NN,O
sixth,JJ,O
amendment,NN,O
act,NN,O
only,RB,O
a,DT,O
few,JJ,O
are,VBP,O
relevant,JJ,O
and,CC,O
material,NN,O
for,IN,O
our,PRP$,O
purpose,NN,O
in,IN,O
article,NN,O
269,CD,O
sub,NN,O
clause,NN,O
g,NN,O
was,VBD,O
added,VBN,O
in,IN,O
clause,NN,O
1,CD,O
and,CC,O
a,DT,O
new,JJ,O
clause,NN,O
3,CD,O
was,VBD,O
added,VBN,O
the,DT,O
forty,NN,O
sixth,JJ,O
amendment,NN,O
substituted,VBD,O
the,DT,O
words,NNS,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
or,CC,O
consignment,NN,B-LEGAL
of,IN,O
goods,NNS,O
in,IN,O
place,NN,O
of,IN,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
as,IN,O
was,VBD,O
occurring,VBG,O
in,IN,O
clause,NN,O
3,CD,O
inserted,VBN,O
by,IN,O
sixth,JJ,O
amendment,NN,O
such,JJ,O
forty,JJ,O
sixth,JJ,O
amendment,NN,O
has,VBZ,O
no,DT,O
relevance,NN,O
for,IN,O
the,DT,O
present,JJ,O
controversy,NN,O
in,IN,O
article,NN,O
286,CD,O
subsequent,NN,O
to,TO,O
the,DT,O
sixth,JJ,O
amendment,NN,O
clause,NN,O
3,CD,O
has,VBZ,O
been,VBN,O
brought,VBN,O
in,IN,O
