sb,NN,O
for,IN,O
which,WDT,O
the,DT,O
common,JJ,O
law,NN,O
did,VBD,O
not,RB,O
provide,VB,O
3,CD,O
what,WP,O
remedy,NN,O
parliament,NN,O
has,VBZ,O
resolved,VBN,O
and,CC,O
appointed,VBN,O
to,TO,O
cure,VB,O
the,DT,O
disease,NN,O
of,IN,O
the,DT,O
commonwealth,NN,O
and,CC,O
4,CD,O
the,DT,O
true,JJ,O
reason,NN,O
of,IN,O
the,DT,O
remedy,JJ,O
end,NN,O
then,RB,O
the,DT,O
office,NN,O
of,IN,O
all,PDT,O
the,DT,O
judges,NNS,O
is,VBZ,O
always,RB,O
to,TO,O
make,VB,O
such,JJ,O
construction,NN,O
as,IN,O
shall,MD,O
a,DT,O
suppress,NN,O
the,DT,O
mischief,NN,O
and,CC,O
advance,VB,O
the,DT,O
remedy,NN,O
and,CC,O
b,NN,O
suppress,NN,O
subtle,JJ,O
inventions,NNS,O
and,CC,O
evasions,NNS,O
for,IN,O
the,DT,O
continuance,NN,O
of,IN,O
the,DT,O
mischief,JJ,O
pro,JJ,O
private,JJ,O
commode,NN,O
for,IN,O
private,JJ,O
benefit,NN,O
and,CC,O
c,VB,O
add,JJ,O
force,NN,O
and,CC,O
life,NN,O
to,TO,O
the,DT,O
cure,NN,O
and,CC,O
remedy,NN,O
according,VBG,O
to,TO,O
the,DT,O
true,JJ,O
intent,NN,O
of,IN,O
the,DT,O
makers,NNS,O
of,IN,O
the,DT,O
act,JJ,O
pro,JJ,O
publico,NN,O
for,IN,O
the,DT,O
public,JJ,O
good,JJ,O
24,CD,O
heydon,NN,O
s,NN,O
rule,NN,O
has,VBZ,O
been,VBN,O
applied,VBN,O
by,IN,O
this,DT,O
court,NN,O
in,IN,O
a,DT,O
large,JJ,O
number,NN,O
of,IN,O
cases,NNS,O
in,IN,O
order,NN,O
to,TO,O
suppress,VB,O
the,DT,O
mischief,NN,O
which,WDT,O
was,VBD,O
intended,VBN,O
to,TO,O
be,VB,O
remedied,VBN,O
as,IN,O
against,IN,O
the,DT,O
literal,JJ,O
rule,NN,O
which,WDT,O
could,MD,O
have,VB,O
otherwise,RB,O
covered,VBN,O
the,DT,O
field,NN,O
see,NN,O
for,IN,O
example,NN,O
smt,NN,O
pek,NN,O
kaillani,NN,O
amma,NN,O
and,CC,O
ors,NNS,O
v,VBP,O
k,NN,O
devi,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0487,CD,O
1996manu,CD,O
sc,NN,O
0487,CD,O
1996,CD,O
air1996sc1963,JJ,O
bengal,JJ,O
immunity,NN,O
co,NN,O
ltd,NN,O
v,NN,O
state,NN,O
of,IN,O
bihar,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0083,CD,O
1955manu,CD,O
sc,NN,O
0083,CD,O
1955,CD,O
1955,CD,O
2scr603,CD,O
and,CC,O
goodyear,JJ,O
india,NN,O
ltd,NN,O
v,NN,O
state,NN,O
of,IN,O
haryana,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0194,CD,O
1989manu,CD,O
sc,NN,O
0194,CD,O
1989,CD,O
1991,CD,O
188itr402sc,CD,O
25,CD,O
it,PRP,O
is,VBZ,O
now,RB,O
well,RB,O
settled,VBN,O
that,IN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
interpretation,NN,O
of,IN,O
statute,NN,O
the,DT,O
same,JJ,O
has,VBZ,O
to,TO,O
be,VB,O
in,IN,O
its,PRP$,O
entirety,NN,O
26,CD,O
furthermore,NN,O
in,IN,O
a,DT,O
case,NN,O
of,IN,O
this,DT,O
nature,JJ,O
principles,NNS,O
of,IN,O
purposive,JJ,O
construction,NN,O
must,MD,O
come,VB,O
into,IN,O
play,NN,O
see,VBP,O
indian,JJ,O
handicrafts,NNS,O
emporium,NN,O
v,VBP,O
union,NN,O
of,IN,O
india,JJ,O
manu,NN,O
sc,NN,O
0640,CD,O
2003manu,CD,O
sc,NN,O
0640,CD,O
2003,CD,O
air2003sc3240,NN,O
27,CD,O
in,IN,O
chief,JJ,O
justice,NN,O
of,IN,O
ap,NN,O
v,NN,O
lva,NN,O
dikshitulu,NN,O
manu,NN,O
sc,NN,O
0416,CD,O
1978manu,CD,O
sc,NN,O
0416,CD,O
1978,CD,O
1979,CD,O
1scr26,CD,O
this,DT,O
court,NN,O
observed,VBD,O
the,DT,O
primary,JJ,O
principle,NN,O
of,IN,O
interpretation,NN,O
is,VBZ,O
that,IN,O
a,DT,O
constitutional,JJ,O
or,CC,O
statutory,JJ,O
provision,NN,O
should,MD,O
be,VB,O
construed,VBN,O
according,VBG,O
to,TO,O
the,DT,O
intent,NN,O
of,IN,O
they,PRP,O
that,WDT,O
made,VBD,O
it,PRP,O
coke,VBD,O
normally,RB,O
such,JJ,O
intent,NN,O
is,VBZ,O
gathered,VBN,O
from,IN,O
the,DT,O
language,NN,O
of,IN,O
the,DT,O
provision,NN,O
if,IN,O
the,DT,O
language,NN,O
or,CC,O
the,DT,O
phraseology,NN,O
employed,VBN,O
by,IN,O
the,DT,O
legislation,NN,O
is,VBZ,O
precise,JJ,O
and,CC,O
plain,NN,O
and,CC,O
thus,RB,O
by,IN,O
itself,PRP,O
proclaims,VBZ,O
the,DT,O
legislative,JJ,O
intent,NN,O
in,IN,O
unequivocal,JJ,O
terms,NNS,O
the,DT,O
same,JJ,O
must,MD,O
be,VB,O
given,VBN,O
effect,NN,O
to,TO,O
regardless,VB,O
of,IN,O
the,DT,O
consequences,NNS,O
that,WDT,O
may,MD,O
follow,VB,O
but,CC,O
if,IN,O
the,DT,O
words,NNS,O
used,VBN,O
in,IN,O
the,DT,O
provision,NN,O
are,VBP,O
imprecise,JJ,O
protean,NN,O
or,CC,O
evocative,JJ,O
or,CC,O
can,MD,O
reasonably,RB,O
bear,VB,O
meanings,NNS,O
more,JJR,O
than,IN,O
one,CD,O
the,DT,O
rule,NN,O
of,IN,O
strict,JJ,O
grammatical,JJ,O
construction,NN,O
ceases,NNS,O
to,TO,O
be,VB,O
a,DT,O
sure,JJ,O
guide,NN,O
to,TO,O
reach,VB,O
at,IN,O
the,DT,O
real,JJ,O
legislative,JJ,O
intent,NN,O
in,IN,O
such,PDT,O
a,DT,O
case,NN,O
in,IN,O
order,NN,O
to,TO,O
ascertain,VB,O
the,DT,O
true,JJ,O
meaning,NN,O
of,IN,O
the,DT,O
terms,NNS,O
and,CC,O
phrases,NNS,O
employed,VBD,O
it,PRP,O
is,VBZ,O
legitimate,JJ,O
for,IN,O
the,DT,O
court,NN,O
to,TO,O
go,VB,O
beyond,IN,O
the,DT,O
arid,JJ,O
literal,JJ,O
confines,NNS,O
of,IN,O
the,DT,O
provision,NN,O
and,CC,O
to,TO,O
call,VB,O
in,IN,O
aid,NN,O
other,JJ,O
well,RB,O
recognised,JJ,O
rules,NNS,O
of,IN,O
construction,NN,O
such,JJ,O
as,IN,O
its,PRP$,O
legislative,JJ,O
history,NN,O
the,DT,O
basic,JJ,O
scheme,NN,O
and,CC,O
framework,NN,O
of,IN,O
the,DT,O
statute,NN,O
as,IN,O
a,DT,O
whole,JJ,O
each,DT,O
portion,NN,O
throwing,VBG,O
light,NN,O
on,IN,O
the,DT,O
rest,NN,O
the,DT,O
purpose,NN,O
of,IN,O
the,DT,O
legislation,NN,O
the,DT,O
object,NN,O
sought,VBD,O
to,TO,O
be,VB,O
achieved,VBN,O
and,CC,O
the,DT,O
consequences,NNS,O
that,WDT,O
may,MD,O
flow,VB,O
from,IN,O
the,DT,O
adoption,NN,O
of,IN,O
one,CD,O
in,IN,O
preference,NN,O
to,TO,O
the,DT,O
other,JJ,O
possible,JJ,O
interpretation,NN,O
28,CD,O
in,IN,O
kehar,NN,O
singh,NN,O
v,NN,O
state,NN,O
delhi,NN,O
admn,NN,O
manu,NN,O
sc,NN,O
0241,CD,O
1988manu,CD,O
sc,NN,O
0241,CD,O
1988,CD,O
1989crilj1,CD,O
this,DT,O
court,NN,O
held,VBD,O
but,CC,O
if,IN,O
the,DT,O
words,NNS,O
are,VBP,O
ambiguous,JJ,O
uncertain,JJ,O
or,CC,O
any,DT,O
doubt,NN,O
arises,VBZ,O
as,IN,O
to,TO,O
the,DT,O
terms,NNS,O
employed,VBD,O
we,PRP,O
deem,VBP,O
it,PRP,O
as,IN,O
our,PRP$,O
paramount,NN,O
duty,NN,O
to,TO,O
put,VB,O
upon,IN,O
the,DT,O
language,NN,O
of,IN,O
the,DT,O
legislature,JJ,O
rational,JJ,O
meaning,NN,O
we,PRP,O
then,RB,O
examine,VB,O
every,DT,O
word,NN,O
every,DT,O
section,NN,O
and,CC,O
every,DT,O
provision,NN,O
we,PRP,O
examine,VBP,O
the,DT,O
act,NN,O
as,IN,O
a,DT,O
whole,NN,O
we,PRP,O
examine,VBP,O
the,DT,O
necessity,NN,O
which,WDT,O
gave,VBD,O
rise,NN,O
to,TO,O
the,DT,O
act,NN,O
we,PRP,O
look,VBP,O
at,IN,O
the,DT,O
mischiefs,NN,O
which,WDT,O
the,DT,O
legislature,NN,O
intended,VBN,O
to,TO,O
redress,VB,O
we,PRP,O
look,VBP,O
at,IN,O
the,DT,O
whole,JJ,O
situation,NN,O
and,CC,O
not,RB,O
just,RB,O
one,CD,O
to,TO,O
one,CD,O
relation,NN,O
we,PRP,O
will,MD,O
not,RB,O
consider,VB,O
any,DT,O
provision,NN,O
out,IN,O
of,IN,O
the,DT,O
framework,NN,O
of,IN,O
the,DT,O
statute,NN,O
we,PRP,O
will,MD,O
not,RB,O
view,VB,O
the,DT,O
provisions,NNS,O
as,IN,O
abstract,JJ,O
principles,NNS,O
separated,VBN,O
from,IN,O
the,DT,O
motive,NN,O
force,NN,O
behind,IN,O
we,PRP,O
will,MD,O
consider,VB,O
the,DT,O
provisions,NNS,O
in,IN,O
the,DT,O
circumstances,NNS,O
to,TO,O
which,WDT,O
they,PRP,O
owe,VBP,O
their,PRP$,O
origin,NN,O
we,PRP,O
will,MD,O
consider,VB,O
the,DT,O
provisions,NNS,O
to,TO,O
ensure,VB,O
coherence,NN,O
and,CC,O
consistency,NN,O
within,IN,O
the,DT,O
law,NN,O
as,IN,O
a,DT,O
whole,NN,O
and,CC,O
to,TO,O
avoid,VB,O
undesirable,JJ,O
consequences,NNS,O
29,CD,O
in,IN,O
district,NN,O
mining,NN,O
officer,NN,O
v,NN,O
tata,NN,O
iron,NN,O
steel,NN,O
co,NNS,O
manu,VBP,O
sc,JJ,O
0412,CD,O
2001manu,CD,O
sc,NN,O
0412,CD,O
2001,CD,O
20017scc358,CD,O
this,DT,O
court,NN,O
stated,VBD,O
the,DT,O
legislation,NN,O
is,VBZ,O
primarily,RB,O
directed,VBN,O
to,TO,O
the,DT,O
problems,NNS,O
before,IN,O
the,DT,O
legislature,NN,O
based,VBN,O
on,IN,O
information,NN,O
derived,VBN,O
from,IN,O
past,JJ,O
and,CC,O
present,JJ,O
experience,NN,O
it,PRP,O
may,MD,O
also,RB,O
be,VB,O
designed,VBN,O
by,IN,O
us,PRP,O
a,DT,O
of,IN,O
general,JJ,O
words,NNS,O
to,TO,O
cover,VB,O
similar,JJ,O
problems,NNS,O
arising,VBG,O
in,IN,O
future,JJ,O
but,CC,O
from,IN,O
the,DT,O
very,JJ,O
nature,NN,O
of,IN,O
things,NNS,O
it,PRP,O
is,VBZ,O
impossible,JJ,O
to,TO,O
anticipate,VB,O
fully,RB,O
in,IN,O
the,DT,O
varied,JJ,O
situations,NNS,O
arising,VBG,O
in,IN,O
future,NN,O
in,IN,O
which,WDT,O
the,DT,O
application,NN,O
of,IN,O
the,DT,O
legislation,NN,O
in,IN,O
hand,NN,O
may,MD,O
be,VB,O
called,VBN,O
for,IN,O
and,CC,O
words,NNS,O
chosen,VBN,O
to,TO,O
communicate,VB,O
such,JJ,O
indefinite,JJ,O
referents,NNS,O
are,VBP,O
bound,VBN,O
to,TO,O
be,VB,O
in,IN,O
many,JJ,O
cases,NNS,O
lacking,VBG,O
in,IN,O
clarity,NN,O
and,CC,O
precision,NN,O
and,CC,O
thus,RB,O
giving,VBG,O
rise,NN,O
to,TO,O
controversial,JJ,O
questions,NNS,O
of,IN,O
construction,NN,O
the,DT,O
process,NN,O
of,IN,O
construction,NN,O
combines,NNS,O
both,DT,O
literal,JJ,O
and,CC,O
purposive,JJ,O
approaches,NNS,O
in,IN,O
other,JJ,O
words,NNS,O
the,DT,O
legislative,JJ,O
intention,NN,O
ie,VBZ,O
the,DT,O
true,JJ,O
or,CC,O
legal,JJ,O
meaning,NN,O
of,IN,O
an,DT,O
enactment,NN,O
is,VBZ,O
derived,VBN,O
by,IN,O
considering,VBG,O
the,DT,O
meaning,NN,O
of,IN,O
the,DT,O
words,NNS,O
used,VBN,O
in,IN,O
the,DT,O
enactment,NN,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
any,DT,O
discernible,JJ,O
purpose,NN,O
or,CC,O
object,NN,O
which,WDT,O
comprehends,VBZ,O
the,DT,O
mischief,NN,O
and,CC,O
its,PRP$,O
remedy,NN,O
to,TO,O
which,WDT,O
the,DT,O
enactment,NN,O
is,VBZ,O
directed,VBN,O
30,CD,O
in,IN,O
east,JJ,O
india,JJ,O
hotel,NN,O
ltd,NN,O
v,NNP,O
union,NN,O
of,IN,O
india,JJ,O
manu,NN,O
sc,NN,O
0707,CD,O
2000manu,CD,O
sc,NN,O
0707,CD,O
2000,CD,O
20007scale564,CD,O
this,DT,O
court,NN,O
observed,VBD,O
an,DT,O
act,NN,O
has,VBZ,O
to,TO,O
be,VB,O
read,VBN,O
as,IN,O
a,DT,O
whole,JJ,O
the,DT,O
different,JJ,O
provisions,NNS,O
have,VBP,O
to,TO,O
be,VB,O
harmonized,VBN,O
and,CC,O
the,DT,O
effect,NN,O
has,VBZ,O
to,TO,O
be,VB,O
given,VBN,O
to,TO,O
all,DT,O
of,IN,O
them,PRP,O
31,CD,O
in,IN,O
laxman,JJ,O
das,NN,O
supra,VBD,O
the,DT,O
rajasthan,JJ,O
high,JJ,O
court,NN,O
held,VBD,O
therefore,RB,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
above,IN,O
the,DT,O
words,NNS,O
in,IN,O
every,DT,O
case,NN,O
contained,VBN,O
in,IN,O
rule,NN,O
4,CD,O
of,IN,O
order,NN,O
18,CD,O
have,VBP,O
to,TO,O
be,VB,O
understood,VBN,O
in,IN,O
a,DT,O
limited,JJ,O
sense,NN,O
that,WDT,O
every,DT,O
case,NN,O
wherein,VBZ,O
the,DT,O
ultimate,JJ,O
order,NN,O
is,VBZ,O
not,RB,O
appealable,JJ,O
and,CC,O
by,IN,O
no,DT,O
means,NNS,O
it,PRP,O
can,MD,O
take,VB,O
in,IN,O
its,PRP$,O
ambit,NN,O
the,DT,O
orders,NNS,O
which,WDT,O
would,MD,O
be,VB,O
appealable,JJ,O
in,IN,O
view,NN,O
of,IN,O
above,IN,O
the,DT,O
position,NN,O
which,WDT,O
emerges,VBZ,O
is,VBZ,O
that,IN,O
in,IN,O
cases,NNS,O
where,WRB,O
the,DT,O
final,JJ,O
orders,NNS,O
to,TO,O
be,VB,O
passed,VBN,O
by,IN,O
the,DT,O
court,NN,O
would,MD,O
not,RB,O
be,VB,O
appealable,JJ,O
the,DT,O
discretion,NN,O
has,VBZ,O
been,VBN,O
conferred,VBN,O
upon,IN,O
the,DT,O
court,NN,O
to,TO,O
accept,VB,O
the,DT,O
examination,NN,O
in,IN,O
chief,NN,O
in,IN,O
the,DT,O
form,NN,O
of,IN,O
affidavit,NN,O
as,IN,O
provided,VBN,O
under,IN,O
order,NN,O
18,CD,O
rule,NN,O
4,CD,O
or,CC,O
to,TO,O
record,VB,O
the,DT,O
substance,NN,O
thereof,NN,O
by,IN,O
the,DT,O
court,NN,O
itself,PRP,O
as,IN,O
provided,VBN,O
under,IN,O
order,NN,O
18,CD,O
rule,NN,O
13,CD,O
but,CC,O
in,IN,O
cases,NNS,O
where,WRB,O
orders,NNS,O
would,MD,O
be,VB,O
appealable,JJ,O
the,DT,O
evidence,NN,O
is,VBZ,O
to,TO,O
be,VB,O
recorded,VBN,O
strictly,RB,O
as,IN,O
provided,VBN,O
under,IN,O
order,NN,O
18,CD,O
rule,NN,O
5,CD,O
32,CD,O
on,IN,O
the,DT,O
other,JJ,O
hand,NN,O
in,IN,O
fdc,NN,O
ltd,NN,O
supra,NN,O
it,PRP,O
has,VBZ,O
been,VBN,O
held,VBN,O
the,DT,O
harmonious,JJ,O
reading,NN,O
of,IN,O
rules,NNS,O
4,CD,O
and,CC,O
5,CD,O
of,IN,O
order,NN,O
xviii,NNP,O
would,MD,O
reveal,VB,O
that,IN,O
while,IN,O
in,IN,O
each,DT,O
and,CC,O
every,DT,O
case,NN,O
of,IN,O
recording,NN,O
of,IN,O
evidence,NN,O
the,DT,O
examination,NN,O
in,IN,O
chief,NN,O
is,VBZ,O
to,TO,O
be,VB,O
permitted,VBN,O
in,IN,O
the,DT,O
form,NN,O
of,IN,O
affidavit,NN,O
and,CC,O
while,IN,O
such,JJ,O
evidence,NN,O
in,IN,O
the,DT,O
form,NN,O
of,IN,O
affidavit,NN,O
being,VBG,O
taken,VBN,O
on,IN,O
record,NN,O
the,DT,O
procedure,NN,O
described,VBN,O
under,IN,O
rule,NN,O
5,CD,O
is,VBZ,O
to,TO,O
be,VB,O
followed,VBN,O
in,IN,O
the,DT,O
appealable,JJ,O
cases,NNS,O
in,IN,O
non,NN,O
appealable,JJ,O
cases,NNS,O
the,DT,O
affidavit,NN,O
can,MD,O
be,VB,O
taken,VBN,O
on,IN,O
record,NN,O
by,IN,O
taking,VBG,O
resort,NN,O
to,TO,O
the,DT,O
provisions,NNS,O
of,IN,O
law,NN,O
contained,VBN,O
in,IN,O
rule,NN,O
13,CD,O
of,IN,O
order,NN,O
xviii,NNS,O
in,IN,O
other,JJ,O
words,NNS,O
mere,JJ,O
production,NN,O
of,IN,O
the,DT,O
affidavit,NN,O
by,IN,O
the,DT,O
witness,NN,O
will,MD,O
empower,VB,O
the,DT,O
court,NN,O
to,TO,O
take,VB,O
such,JJ,O
affidavit,NN,O
on,IN,O
record,NN,O
as,IN,O
forming,VBG,O
part,NN,O
of,IN,O
the,DT,O
evidence,NN,O
by,IN,O
recording,VBG,O
the,DT,O
memorandum,NN,O
in,IN,O
respect,NN,O
of,IN,O
production,NN,O
of,IN,O
such,JJ,O
affidavit,NN,O
taking,VBG,O
resort,NN,O
to,TO,O
rule,VB,O
13,CD,O
of,IN,O
order,NN,O
xviii,NNS,O
in,IN,O
all,DT,O
cases,NNS,O
except,IN,O
in,IN,O
the,DT,O
appealable,JJ,O
cases,NNS,O
wherein,VBP,O
it,PRP,O
will,MD,O
be,VB,O
necessary,JJ,O
for,IN,O
the,DT,O
court,NN,O
to,TO,O
record,VB,O
evidence,NN,O
of,IN,O
production,NN,O
of,IN,O
the,DT,O
affidavit,NN,O
in,IN,O
respect,NN,O
of,IN,O
examination,NN,O
in,IN,O
chief,NN,O
by,IN,O
asking,VBG,O
the,DT,O
deponent,NN,O
to,TO,O
produce,VB,O
such,JJ,O
affidavit,NN,O
in,IN,O
accordance,NN,O
with,IN,O
rule,NN,O
5,CD,O
of,IN,O
order,NN,O
xviii,NNS,O
undoubtedly,RB,O
in,IN,O
both,CC,O
the,DT,O
cases,NNS,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
cross,NN,B-LEGAL
examination,NN,I-LEGAL
the,DT,O
court,NN,O
has,VBZ,O
to,TO,O
follow,VB,O
the,DT,O
procedure,NN,O
prescribed,VBN,O
under,IN,O
sub,NN,O
rule,NN,O
2,CD,O
of,IN,O
rule,NN,O
4,CD,O
read,NN,O
with,IN,O
rule,NN,O
13,CD,O
in,IN,O
case,NN,O
of,IN,O
non,NN,O
appealable,JJ,O
cases,NNS,O
and,CC,O
the,DT,O
procedure,NN,O
prescribed,VBN,O
under,IN,O
sub,NN,O
rule,NN,O
2,CD,O
of,IN,O
rule,NN,O
4,CD,O
read,NN,O
with,IN,O
rule,NN,O
5,CD,O
in,IN,O
appealable,JJ,O
cases,NNS,O
in,IN,O
other,JJ,O
words,NNS,O
in,IN,O
the,DT,O
appealable,JJ,O
cases,NNS,O
though,IN,O
the,DT,O
examination,NN,O
in,IN,O
chief,NN,O
of,IN,O
a,DT,O
witness,NN,O
is,VBZ,O
permissible,JJ,O
to,TO,O
be,VB,O
produced,VBN,O
in,IN,O
the,DT,O
form,NN,O
of,IN,O
affidavit,NN,O
such,JJ,O
affidavit,NN,O
cannot,MD,O
be,RB,O
ordered,VB,O
to,VBN,O
form,TO,O
part,VB,O
of,NN,O
the,IN,O
evidence,DT,O
unless,NN,O
the,IN,O
deponent,DT,O
thereof,NN,O
enters,NN,O
the,VBZ,O
witness,DT,O
box,NN,O
and,NN,O
confirms,CC,O
that,VBZ,O
the,IN,O
contents,DT,O
of,NNS,O
the,IN,O
affidavit,DT,O
are,NN,O
as,VBP,O
per,IN,O
his,IN,O
say,PRP$,O
and,NN,O
the,CC,O
affidavit,DT,O
is,NN,O
under,VBZ,O
his,IN,O
signature,PRP$,O
and,NN,O
this,CC,O
statement,DT,O
being,NN,O
made,VBG,O
on,VBN,O
oath,IN,O
to,NN,O
be,TO,O
recorded,VB,O
by,VBN,O
following,IN,O
the,VBG,O
procedure,DT,O
prescribed,NN,O
under,VBN,O
rule,IN,O
5,NN,O
in,CD,O
non,IN,O
appealable,NN,O
cases,JJ,O
however,NNS,O
the,RB,O
affidavit,DT,O
in,NN,O
relation,IN,O
to,NN,O
examination,TO,O
in,NN,O
chief,IN,O
of,NN,O
a,IN,O
witness,DT,O
can,NN,O
be,MD,O
taken,VB,O
on,VBN,O
record,IN,O
as,NN,O
forming,IN,O
part,VBG,O
of,NN,O
the,IN,O
evidence,DT,O
by,NN,O
recording,IN,O
memorandum,VBG,O
of,NN,O
production,IN,O
of,NN,O
such,IN,O
affidavit,JJ,O
by,NN,O
taking,IN,O
resort,VBG,O
to,NN,O
rule,TO,O
13,VB,O
of,CD,O
order,IN,O
xviii,NN,O
the,NNP,O
cross,DT,B-LEGAL
examination,NN,I-LEGAL
of,NN,O
such,IN,O
deponent,JJ,O
in,NN,O
case,IN,O
of,NN,O
appealable,IN,O
cases,JJ,O
will,NNS,O
have,MD,O
to,VB,O
be,TO,O
recorded,VB,O
by,VBN,O
complying,IN,O
the,VBG,O
provisions,DT,O
of,NNS,O
rule,IN,O
5,NN,O
where,CD,O
as,WRB,O
in,RB,O
case,IN,O
of,NN,O
non,IN,O
appealable,NN,O
cases,JJ,O
the,NNS,O
court,DT,O
would,NN,O
be,MD,O
empowered,VB,O
to,VBN,O
exercise,TO,O
its,VB,O
power,PRP$,O
under,NN,O
rule,IN,O
13,NN,O
33,CD,O
we,CD,O
agree,PRP,O
with,VBP,O
the,IN,O
view,DT,O
of,NN,O
the,IN,O
bombay,DT,O
high,JJ,O
court,JJ,O
34,NN,O
the,CD,O
matter,DT,O
may,NN,O
be,MD,O
considered,VB,O
from,VBN,O
another,IN,O
angle,DT,O
presence,NN,O
of,NN,O
a,IN,O
party,DT,O
during,NN,O
examination,IN,O
in,NN,O
chief,IN,O
is,NN,O
not,VBZ,O
imperative,RB,O
if,JJ,O
any,IN,O
objection,DT,O
is,NN,O
taken,VBZ,O
to,VBN,O
any,TO,O
statement,DT,O
made,NN,O
in,VBN,O
the,IN,O
affidavit,DT,O
as,NN,O
for,IN,O
example,IN,O
that,NN,O
a,IN,O
statement,DT,O
has,NN,O
been,VBZ,O
made,VBN,O
beyond,VBN,O
the,IN,O
pleadings,DT,O
such,NNS,O
an,JJ,O
objection,DT,O
can,NN,O
always,MD,O
be,RB,O
taken,VB,O
before,VBN,O
the,IN,O
court,DT,O
in,NN,O
writing,IN,O
and,NN,O
in,CC,O
any,IN,O
event,DT,O
the,NN,O
attention,DT,O
of,NN,O
the,IN,O
witness,DT,O
can,NN,O
always,MD,O
be,RB,O
drawn,VB,O
while,VBN,O
cross,IN,B-LEGAL
examination,NN,I-LEGAL
him,NN,O
the,PRP,O
defendant,DT,O
would,NN,O
not,MD,O
be,RB,O
prejudiced,VB,O
in,VBN,O
any,IN,O
manner,DT,O
whatsoever,NN,O
the,IN,O
examination,DT,O
in,NN,O
chief,IN,O
is,NN,O
taken,VBZ,O
on,VBN,O
an,IN,O
affidavit,DT,O
and,NN,O
in,CC,O
the,IN,O
event,DT,O
he,NN,O
desires,PRP,O
to,VBZ,O
cross,TO,B-LEGAL
examine,VB,O
the,VB,O
said,DT,O
witness,VBD,O
he,NN,O
would,PRP,O
be,MD,O
permitted,VB,O
to,VBN,O
do,TO,O
so,VB,O
in,RB,O
the,IN,O
open,DT,O
court,JJ,O
there,NN,O
may,EX,O
be,MD,O
cases,VB,O
where,NNS,O
a,WRB,O
party,DT,O
may,NN,O
not,MD,O
feel,RB,O
the,VB,O
necessity,DT,O
of,NN,O
cross,IN,B-LEGAL
examining,NN,O
a,VBG,O
witness,DT,O
examined,NN,O
on,VBN,O
behalf,IN,O
of,NN,O
the,IN,O
other,DT,O
side,JJ,O
the,NN,O
time,DT,O
of,NN,O
the,IN,O
court,DT,O
would,NN,O
not,MD,O
be,RB,O
wasted,VB,O
in,VBN,O
examining,IN,O
such,VBG,O
witness,JJ,O
in,NN,O
open,IN,O
court,JJ,O
35,NN,O
applying,CD,O
the,VBG,O
aforementioned,DT,O
principles,JJ,O
of,NNS,O
interpretation,IN,O
of,NN,O
statute,IN,O
we,NN,O
have,PRP,O
no,VBP,O
doubt,DT,O
in,NN,O
our,IN,O
mind,PRP$,O
that,NN,O
order,IN,O
18,NN,O
rules,CD,O
4,NNS,O
and,CD,O
5,CC,O
are,CD,O
required,VBP,O
to,VBN,O
be,TO,O
harmoniously,VB,O
construed,RB,O
both,VBN,O
the,CC,O
provisions,DT,O
are,NNS,O
required,VBP,O
to,VBN,O
be,TO,O
given,VB,O
effect,VBN,O
to,NN,O
and,TO,O
as,CC,O
order,IN,O
18,NN,O
rule,CD,O
6,NN,O
cannot,CD,O
be,MD,O
read,RB,O
as,VB,O
an,VBN,O
exception,IN,O
to,DT,O
order,NN,O
18,TO,O
rule,NN,O
4,CD,O
36,NN,O
for,CD,O
the,CD,O
reasons,IN,O
aforementioned,DT,O
there,NNS,O
is,VBD,O
no,EX,O
merit,VBZ,O
in,DT,O
this,NN,O
appeal,IN,O
which,DT,O
is,NN,O
dismissed,WDT,O
accordingly,VBZ,O
however,VBN,O
there,RB,O
shall,RB,O
be,EX,O
no,MD,O
order,VB,O
as,DT,O
to,NN,O
costs,IN,O
