hl,NN,O
and,NN,O
not,IN,O
as,NN,O
the,IN,O
owner,DT,O
lastly,NN,O
shri,CC,O
bagaria,RB,O
would,IN,O
refer,DT,O
to,NN,O
rule,RB,O
54,JJ,O
of,NNS,O
the,MD,O
kerala,VB,O
general,TO,O
sales,VB,O
tax,CD,O
rules,IN,O
1963,DT,O
for,JJ,O
short,JJ,O
the,NNS,O
rules,NN,O
1963,NNS,O
and,CD,O
section,IN,O
17,JJ,O
of,DT,O
the,NNS,O
central,CD,O
sales,CC,O
tax,NN,O
act,CD,O
1956,IN,O
for,DT,O
short,JJ,O
the,NNS,O
cst,NN,O
act,NN,O
to,CD,O
demonstrate,IN,O
that,JJ,O
the,DT,O
liability,NN,O
to,NN,O
pay,TO,O
sales,VB,O
tax,IN,O
was,DT,O
clearly,NN,O
on,TO,O
the,VB,O
official,NNS,O
liquidator,NN,O
19,VBD,O
we,RB,O
have,IN,O
heard,DT,O
the,JJ,O
learned,NN,O
counsel,CD,O
for,PRP,O
the,VBP,O
parties,VBN,O
to,DT,O
the,JJ,O
lis,NN,O
and,IN,O
also,DT,O
carefully,NNS,O
perused,TO,O
the,DT,O
orders,NN,O
passed,CC,O
by,RB,O
the,RB,O
courts,VBD,O
and,DT,O
the,NNS,O
forums,VBN,O
below,IN,O
20,DT,O
the,NNS,O
point,CC,O
for,DT,O
the,NNS,O
consideration,IN,O
and,CD,O
decision,DT,O
of,NN,O
this,IN,O
court,DT,O
is,NN,O
whether,CC,O
the,NN,O
official,IN,O
liquidator,DT,O
is,NN,O
a,VBZ,O
dealer,IN,O
within,DT,O
the,JJ,O
meaning,NN,O
of,VBZ,O
the,DT,O
act,NN,O
1963,IN,O
and,DT,O
whether,NN,O
or,IN,O
not,DT,O
he,NN,O
would,CD,O
be,CC,O
required,IN,O
to,CC,O
pay,RB,O
sales,PRP,O
tax,MD,O
in,VB,O
respect,VBN,O
of,TO,O
sales,VB,O
effected,NNS,O
by,NN,O
him,IN,O
pursuant,NN,O
to,IN,O
winding,NNS,O
up,VBN,O
proceedings,IN,O
relevant,PRP,O
provisions,VB,O
21,TO,O
to,VBG,O
appreciate,RP,O
the,NNS,O
arguments,JJ,O
canvassed,NNS,O
it,CD,O
is,TO,O
relevant,VB,O
to,DT,O
notice,NNS,O
the,VBD,O
relevant,PRP,O
provisions,VBZ,O
they,JJ,O
are,TO,O
sections,VB,O
448,DT,O
456,JJ,O
457,NNS,O
of,PRP,O
the,VBP,O
act,NNS,O
1956,CD,O
rules,CD,O
232,CD,O
233,IN,O
of,DT,O
the,NN,O
rules,CD,O
1959,NNS,O
sections,CD,O
2vi,CD,O
2viii,IN,O
5,DT,O
5a,NNS,O
22,CD,O
of,NNS,O
the,CD,O
act,CD,O
1963,CD,O
and,CD,O
rule,CD,O
54,IN,O
of,DT,O
the,NN,O
rules,CD,O
1963,CC,O
since,VB,O
these,CD,O
provisions,IN,O
have,DT,O
been,NNS,O
amended,CD,O
from,IN,O
time,DT,O
to,NNS,O
time,VBP,O
we,VBN,O
have,VBN,O
considered,IN,O
the,NN,O
provisions,TO,O
as,NN,O
they,PRP,O
were,VBP,O
in,VBN,O
statute,DT,O
book,NNS,O
during,IN,O
the,PRP,O
relevant,VBD,O
period,IN,O
22,JJ,O
sections,NN,O
448,IN,O
456,DT,O
457,JJ,O
of,NN,O
the,CD,O
act,NNS,O
1956,CD,O
deal,CD,O
with,CD,O
the,IN,O
appointment,DT,B-LEGAL
and,NN,O
powers,CD,O
of,NN,O
the,IN,O
official,DT,O
liquidator,NN,O
section,CC,O
448,NNS,O
of,IN,O
the,DT,O
act,JJ,O
1956,NN,O
provides,NN,O
for,CD,O
the,IN,O
appointment,DT,B-LEGAL
of,NN,O
an,CD,O
official,VBZ,O
liquidator,IN,O
for,DT,O
the,NN,O
purpose,IN,O
of,DT,O
winding,JJ,O
up,NN,O
of,IN,O
a,DT,O
company,NN,B-LEGAL
the,IN,O
official,VBG,O
liquidator,IN,O
so,IN,O
appointed,DT,O
conducts,NN,O
the,DT,O
proceedings,JJ,O
in,NN,O
the,RB,O
winding,VBN,O
up,VBZ,O
of,DT,O
the,NNS,O
company,IN,B-LEGAL
and,DT,O
performs,VBG,O
other,IN,O
duties,IN,O
as,DT,O
the,NN,O
court,CC,O
imposes,VBZ,O
upon,JJ,O
him,NNS,O
in,IN,O
consonance,DT,O
with,NN,O
the,VBZ,O
provisions,IN,O
of,PRP,O
the,IN,O
act,NN,O
1956,IN,O
section,DT,O
456,NNS,O
of,IN,O
the,DT,O
act,NN,O
1956,CD,O
states,NN,O
that,CD,O
pursuant,IN,O
to,DT,O
a,NN,O
winding,CD,O
up,NNS,O
order,WDT,O
the,VBP,O
liquidator,TO,O
shall,DT,O
take,VBG,O
into,RP,O
his,NN,O
custody,DT,O
or,NN,O
under,MD,O
his,VB,O
control,IN,O
all,PRP$,O
the,NN,O
properties,CC,O
effects,IN,O
and,PRP$,O
actionable,NN,O
claims,PDT,O
to,DT,O
which,NNS,O
the,NNS,O
company,CC,B-LEGAL
is,JJ,O
or,NNS,O
appears,TO,O
to,WDT,O
be,DT,O
entitled,NN,O
to,VBZ,O
by,CC,O
the,VBZ,O
said,TO,O
provision,VB,O
all,VBN,O
the,TO,O
properties,IN,O
and,DT,O
effects,VBD,O
of,NN,O
the,PDT,O
company,DT,B-LEGAL
are,NNS,O
deemed,CC,O
to,NNS,O
be,IN,O
in,DT,O
the,NN,O
custody,VBP,O
of,VBN,O
the,TO,O
court,VB,O
from,IN,O
the,DT,O
date,NN,O
of,IN,O
the,DT,O
winding,NN,O
up,IN,O
order,DT,O
section,NN,O
457,IN,O
of,DT,O
the,VBG,O
act,RP,O
1956,NN,O
lists,NN,O
the,CD,O
powers,IN,O
of,DT,O
the,NN,O
official,CD,O
liquidator,VBZ,O
the,DT,O
powers,NNS,O
include,IN,O
inter,DT,O
alia,JJ,O
to,NN,O
carry,DT,O
on,NNS,O
business,VBP,O
of,JJ,O
the,NNS,O
company,TO,B-LEGAL
for,VB,O
its,IN,O
beneficial,NN,O
winding,IN,O
up,DT,O
to,NN,O
sell,IN,O
the,PRP$,O
immovable,JJ,O
and,NN,O
movable,RP,O
property,TO,O
and,VB,O
actionable,DT,O
claims,JJ,O
of,CC,O
the,JJ,O
company,NN,B-LEGAL
by,CC,O
public,JJ,O
auction,NNS,O
or,IN,O
private,DT,O
contract,NN,B-LEGAL
and,IN,O
to,JJ,O
do,NN,O
all,CC,O
things,JJ,O
as,NN,O
may,CC,O
be,TO,O
necessary,VB,O
for,DT,O
winding,NNS,O
up,IN,O
the,MD,O
affairs,VB,O
of,JJ,O
the,IN,O
company,VBG,B-LEGAL
and,RP,O
distribution,DT,O
of,NNS,O
its,IN,O
assets,DT,O
however,NN,O
the,CC,O
powers,NN,O
conferred,IN,O
by,PRP$,O
virtue,NNS,O
of,RB,O
the,DT,O
section,NNS,O
457,VBN,O
of,IN,O
the,NN,O
act,IN,O
1956,DT,O
on,NN,O
the,CD,O
liquidator,IN,O
are,DT,O
subject,NN,O
to,CD,O
the,IN,O
control,DT,O
of,NN,O
the,VBP,O
court,JJ,O
23,TO,O
in,DT,O
exercise,NN,O
of,IN,O
the,DT,O
powers,NN,O
conferred,CD,O
by,IN,O
sub,NN,O
sections,IN,O
1,DT,O
and,NNS,O
2,VBN,O
of,IN,O
section,JJ,O
643,NNS,O
of,CD,O
the,CC,O
act,CD,O
1956,IN,O
the,NN,O
rules,CD,O
1959,IN,O
were,DT,O
enacted,NN,O
the,CD,O
relevant,DT,O
rules,NNS,O
regarding,CD,O
the,VBD,O
collection,VBN,O
and,DT,O
distribution,JJ,O
of,NNS,O
assets,VBG,O
in,DT,O
a,NN,O
winding,CC,O
up,NN,O
by,IN,O
court,NNS,O
are,IN,O
found,DT,O
under,VBG,O
rules,RP,O
232,IN,O
to,NN,O
234,VBP,O
of,VBN,O
the,IN,O
rules,NNS,O
1959,CD,O
rule,TO,O
232,CD,O
deals,IN,O
with,DT,O
the,NNS,O
powers,CD,O
of,NN,O
the,CD,O
official,NNS,O
liquidator,IN,O
as,DT,O
per,NNS,O
the,IN,O
rule,DT,O
the,JJ,O
duties,NN,O
imposed,IN,O
on,IN,O
the,DT,O
court,NN,O
under,DT,O
section,NNS,O
4671,VBN,O
of,IN,O
the,DT,O
act,NN,O
1956,IN,O
concerning,NN,O
the,CD,O
collection,IN,O
of,DT,O
the,NN,O
assets,CD,O
of,VBG,O
the,DT,O
company,NN,B-LEGAL
and,IN,O
the,DT,O
application,NNS,O
of,IN,O
the,DT,O
assets,NN,O
in,CC,O
discharge,DT,O
of,NN,O
the,IN,O
company,DT,B-LEGAL
s,NNS,O
liabilities,IN,O
must,NN,O
be,IN,O
discharged,DT,O
by,NN,O
the,JJ,O
official,NNS,O
liquidator,MD,O
as,VB,O
an,VBN,O
officer,IN,O
of,DT,O
the,JJ,O
court,NN,O
the,IN,O
discharge,DT,O
of,NN,O
the,IN,O
aforesaid,DT,O
functions,NN,O
would,DT,O
be,NN,O
subject,IN,O
to,DT,O
the,JJ,O
control,NNS,O
of,MD,O
the,VB,O
court,JJ,O
and,TO,O
to,DT,O
the,NN,O
proviso,IN,O
in,DT,O
section,NN,O
6432,CC,O
of,TO,O
the,DT,O
act,NN,O
1956,IN,O
rule,NN,O
233,CD,O
states,IN,O
that,DT,O
in,NN,O
discharge,CD,O
of,NN,O
the,CD,O
duties,NNS,O
imposed,IN,O
upon,IN,O
the,NN,O
official,IN,O
liquidator,DT,O
pursuant,NNS,O
to,VBN,O
section,IN,O
4671,DT,O
of,JJ,O
the,NN,O
act,NN,O
1956,TO,O
and,NN,O
for,CD,O
the,IN,O
purpose,DT,O
of,NN,O
acquiring,CD,O
and,CC,O
retaining,IN,O
possession,DT,O
of,NN,O
the,IN,O
property,VBG,O
of,CC,O
the,VBG,O
company,NN,B-LEGAL
he,IN,O
must,DT,O
be,NN,O
treated,IN,O
as,DT,O
a,NN,O
receiver,PRP,O
of,MD,O
the,VB,O
property,VBN,O
appointed,IN,O
by,DT,O
the,NN,O
court,IN,O
24,DT,O
section,NN,O
2,VBN,O
of,IN,O
the,DT,O
act,NN,O
1963,CD,O
provides,NN,O
for,CD,O
the,IN,O
meaning,DT,O
of,NN,O
certain,CD,O
expressions,VBZ,O
in,IN,O
the,DT,O
said,NN,O
act,IN,O
section,JJ,O
2vi,NNS,O
defines,IN,O
business,DT,O
as,VBD,O
follows,JJ,O
vi,NN,O
business,CD,O
includes,NNS,O
a,NN,O
any,IN,O
trade,VBZ,O
commerce,NN,O
or,NN,O
manufacture,VBZ,O
or,DT,O
any,DT,O
adventure,NN,O
or,NN,O
concern,CC,B-LEGAL
in,NN,O
the,CC,O
nature,DT,O
of,NN,O
trade,CC,O
commerce,NN,O
or,IN,O
manufacture,DT,O
whether,NN,O
or,IN,O
not,NN,O
such,NN,O
trade,CC,O
commerce,NN,O
manufacture,IN,O
adventure,CC,O
or,RB,O
concern,JJ,B-LEGAL
is,NN,O
carried,NN,O
on,NN,O
with,NN,O
a,CC,O
motive,NN,O
to,VBZ,O
make,VBN,O
gain,IN,O
or,IN,O
profit,DT,O
and,NN,O
whether,TO,O
or,VB,O
not,NN,O
any,CC,O
profit,NN,O
accrues,CC,O
from,IN,O
such,CC,O
trade,RB,O
commerce,DT,O
manufacture,NN,O
adventure,NNS,O
or,IN,O
concern,JJ,B-LEGAL
and,NN,O
b,NN,O
any,NN,O
transaction,NN,O
in,CC,O
connection,NN,O
with,CC,O
or,NN,O
incidental,DT,O
or,NN,O
ancillary,IN,O
to,NN,O
such,IN,O
trade,CC,O
commerce,JJ,O
manufacture,CC,O
adventure,JJ,O
or,TO,O
concern,JJ,B-LEGAL
25,NN,O
section,NN,O
2viii,NN,O
of,NN,O
the,CC,O
act,NN,O
1963,CD,O
deals,NN,O
with,CD,O
the,IN,O
definition,DT,O
of,NN,O
the,CD,O
term,NNS,O
dealer,IN,O
as,DT,O
under,NN,O
viii,IN,O
dealer,DT,O
means,NN,O
any,NN,O
person,IN,O
who,IN,O
carries,NN,O
on,NN,O
the,VBZ,O
business,DT,O
of,NN,O
buying,WP,O
selling,VBZ,O
supplying,IN,O
or,DT,O
distributing,NN,O
goods,IN,O
executing,VBG,O
works,VBG,O
contract,NN,B-LEGAL
transferring,CC,O
the,VBG,O
right,NNS,O
to,VBG,O
use,NNS,O
any,NN,O
goods,VBG,O
or,DT,O
supplying,NN,O
by,TO,O
way,VB,O
of,DT,O
or,NNS,O
as,CC,O
part,VBG,O
of,IN,O
any,NN,O
service,IN,O
any,CC,O
goods,IN,O
directly,NN,O
or,IN,O
otherwise,DT,O
whether,NN,O
for,DT,O
cash,NNS,O
or,RB,O
for,CC,O
deferred,RB,B-LEGAL
payment,IN,I-LEGAL
or,IN,O
for,NN,O
commission,CC,O
remuneration,IN,O
or,JJ,O
other,NN,O
valuable,CC,O
consideration,IN,O
and,NN,O
includes,NN,O
a,CC,O
omitted,JJ,O
b,JJ,O
a,NN,O
casual,CC,O
trader,VBZ,O
c,DT,O
x,VBN,O
x,NN,O
x,DT,O
x,JJ,O
d,NN,O
x,NN,O
x,NNP,O
x,NNP,O
x,NNP,O
e,NNP,O
x,VBZ,O
x,JJ,O
x,NNP,O
x,NNP,O
f,NNP,O
a,VBZ,O
person,JJ,O
who,NNP,O
whether,NNP,O
in,NNP,O
the,VBD,O
course,DT,O
of,NN,O
business,WP,O
or,IN,O
not,IN,O
1,DT,O
transfers,NN,O
any,IN,O
goods,NN,O
including,CC,O
controlled,RB,O
goods,CD,O
whether,NNS,O
in,DT,O
pursuance,NNS,O
of,VBG,O
a,VBN,O
contract,NNS,B-LEGAL
or,IN,O
not,IN,O
for,NN,O
cash,IN,O
or,DT,O
deferred,NN,B-LEGAL
payment,CC,I-LEGAL
or,RB,O
other,IN,O
valuable,NN,O
consideration,CC,O
2,JJ,O
transfers,NN,O
property,CC,O
in,JJ,O
goods,JJ,O
whether,NN,O
as,CD,O
goods,NNS,O
or,NN,O
in,IN,O
some,NNS,O
other,IN,O
form,IN,O
involved,NNS,O
in,CC,O
the,IN,O
execution,DT,O
of,JJ,O
a,NN,O
works,VBN,O
contract,IN,B-LEGAL
3,DT,O
delivers,NN,O
any,IN,O
goods,DT,O
on,NNS,O
hire,NN,B-LEGAL
purchase,CD,I-LEGAL
or,NNS,O
any,DT,O
system,NNS,O
of,IN,O
payment,NN,O
by,NN,O
installments,CC,O
4,DT,O
transfers,NN,O
the,IN,O
right,NN,O
to,IN,O
use,NNS,O
any,CD,O
goods,NNS,O
for,DT,O
any,NN,O
purpose,TO,O
whether,VB,O
or,DT,O
not,NNS,O
for,IN,O
a,DT,O
specified,JJ,O
period,IN,O
for,CC,O
cash,RB,O
deferred,IN,B-LEGAL
payment,DT,I-LEGAL
or,JJ,O
other,NN,O
valuable,IN,O
consideration,NN,O
5,JJ,O
supplies,NN,O
by,CC,O
way,JJ,O
of,JJ,O
or,NN,O
as,CD,O
part,NNS,O
of,IN,O
any,NN,O
service,IN,O
or,CC,O
in,IN,O
any,NN,O
other,IN,O
manner,DT,O
whatsoever,NN,O
goods,CC,O
being,IN,O
food,DT,O
or,JJ,O
any,NN,O
other,RB,O
articles,NNS,O
for,VBG,O
human,NN,O
consumption,CC,O
or,DT,O
any,JJ,O
drink,NNS,O
whether,IN,O
or,JJ,O
not,NN,O
intoxicating,CC,O
where,DT,O
such,VBP,O
supply,IN,O
or,CC,O
service,RB,O
is,VBG,O
for,WRB,O
cash,JJ,O
deferred,NN,B-LEGAL
payment,CC,I-LEGAL
or,NN,O
other,VBZ,O
valuable,IN,O
consideration,NN,O
explanation,JJ,O
1,NN,O
a,CC,O
society,JJ,O
including,JJ,O
a,NN,O
cooperative,NN,O
society,CD,O
club,DT,O
or,NN,O
firm,VBG,O
or,DT,O
an,JJ,O
association,NN,B-LEGAL
or,NN,O
body,CC,O
of,NN,O
persons,CC,O
whether,DT,O
incorporated,NN,O
or,CC,O
not,NN,O
which,IN,O
whether,NNS,O
or,IN,O
not,VBN,O
in,CC,O
the,RB,O
course,WDT,O
of,IN,O
business,CC,O
buys,RB,O
sells,IN,O
supplies,DT,O
or,NN,O
distributes,IN,O
goods,NN,O
from,NNS,O
or,VBZ,O
to,NNS,O
its,CC,O
members,VBZ,O
for,NNS,O
cash,IN,O
or,CC,O
for,TO,O
deferred,PRP$,B-LEGAL
payment,NNS,I-LEGAL
or,IN,O
for,NN,O
commission,CC,O
remuneration,IN,O
or,JJ,O
other,NN,O
valuable,CC,O
consideration,IN,O
shall,NN,O
be,NN,O
deemed,CC,O
to,JJ,O
be,JJ,O
a,NN,O
dealer,MD,O
for,VB,O
the,VBN,O
purposes,TO,O
of,VB,O
this,DT,O
act,NN,O
explanation,IN,O
2,DT,O
the,NNS,O
central,IN,O
government,DT,O
or,JJ,O
a,NN,O
state,CD,O
government,DT,O
which,JJ,O
whether,NN,O
or,CC,O
not,DT,O
in,NN,O
the,NN,O
course,WDT,O
of,IN,O
business,CC,O
buy,RB,O
sell,IN,O
supply,DT,O
or,NN,O
distribute,IN,O
goods,NN,O
directly,NN,O
or,VBP,O
otherwise,NN,O
for,CC,O
cash,NN,O
or,NNS,O
for,RB,O
deferred,CC,B-LEGAL
payment,RB,I-LEGAL
or,IN,O
for,NN,O
commission,CC,O
remuneration,IN,O
or,JJ,O
other,NN,O
valuable,CC,O
consideration,IN,O
shall,NN,O
be,NN,O
deemed,CC,O
to,JJ,O
be,JJ,O
a,NN,O
dealer,MD,O
for,VB,O
the,VBN,O
purposes,TO,O
of,VB,O
this,DT,O
act,NN,O
g,IN,O
a,DT,O
bank,NNS,O
or,IN,O
a,DT,O
financing,NN,B-LEGAL
institution,VBZ,O
which,DT,O
whether,NN,O
in,CC,O
the,DT,O
course,NN,O
of,NN,O
its,WDT,O
business,IN,O
or,IN,O
not,DT,O
sells,NN,O
any,IN,O
gold,PRP$,O
or,NN,O
other,CC,O
valuable,RB,O
article,VBZ,O
pledged,DT,O
with,NN,O
it,CC,O
to,JJ,O
secure,JJ,O
any,NN,O
loan,VBN,O
for,IN,O
the,PRP,O
realisation,TO,O
of,VB,O
such,DT,O
loan,NN,O
amount,IN,O
explanation,DT,O
i,NN,O
bank,IN,O
for,JJ,O
the,NN,O
purposes,NN,O
of,NN,O
this,NN,O
clause,NN,O
includes,IN,O
a,DT,O
nationalized,NNS,O
bank,IN,O
or,DT,O
a,NN,O
schedule,VBZ,O
bank,DT,O
or,JJ,O
a,NN,O
co,CC,O
operative,DT,O
bank,JJ,O
explanation,NN,O
ii,CC,O
financing,DT,B-LEGAL
institution,JJ,O
means,JJ,O
a,NN,O
financing,NN,B-LEGAL
institution,IN,O
other,NN,O
than,NN,O
a,VBZ,O
bank,DT,O
26,NN,O
on,NN,O
perusal,JJ,O
of,IN,O
the,DT,O
aforementioned,NN,O
definitions,CD,O
it,IN,O
would,NN,O
appear,IN,O
that,DT,O
the,JJ,O
term,NNS,O
business,PRP,O
has,MD,O
been,VB,O
given,IN,O
a,DT,O
broad,NN,O
meaning,NN,O
by,VBZ,O
including,VBN,O
within,VBN,O
its,DT,O
ambit,JJ,O
both,NN,O
incidental,IN,O
and,VBG,O
ancillary,IN,O
transactions,PRP$,O
further,NN,O
it,DT,O
has,JJ,O
also,CC,O
eliminated,JJ,O
the,NNS,O
requirement,RBR,O
of,PRP,O
a,VBZ,O
profit,RB,O
motive,VBN,O
as,DT,O
being,NN,O
an,IN,O
essential,DT,O
component,NN,O
the,NN,O
definition,IN,O
of,VBG,O
dealer,DT,O
has,JJ,O
also,NN,O
been,DT,O
given,NN,O
a,IN,O
wide,NN,O
ambit,VBZ,O
it,RB,O
includes,VBN,O
any,VBN,O
person,DT,O
carrying,JJ,O
on,NN,O
business,PRP,O
of,VBZ,O
inter,DT,O
alia,NN,O
buying,VBG,O
selling,IN,O
supply,NN,O
or,IN,O
distribution,NN,O
of,JJ,O
goods,NN,O
whether,NN,O
directly,NN,O
or,CC,O
otherwise,NN,O
all,IN,O
modes,NNS,O
of,IN,O
payment,RB,O
whether,CC,O
by,RB,O
way,DT,O
of,NNS,O
cash,IN,O
commission,NN,O
remuneration,IN,O
or,IN,O
other,NN,O
valuable,IN,O
consideration,NN,O
have,NN,O
been,NN,O
included,CC,O
therein,JJ,O
it,JJ,O
also,NN,O
includes,VBP,O
inter,VBN,O
alia,VBN,O
a,NN,O
casual,PRP,O
trader,RB,O
a,VBZ,O
non,NN,O
resident,VBD,O
dealer,DT,O
a,JJ,O
commission,NN,O
agent,DT,O
a,JJ,O
broker,NN,B-LEGAL
an,NN,O
auctioneer,DT,O
and,NN,O
other,NN,O
mercantile,DT,O
agents,NN,O
sub,DT,O
section,NN,O
f,CC,O
of,JJ,O
the,NN,O
definition,NNS,O
further,JJ,O
expands,NN,O
the,NN,O
scope,IN,O
of,DT,O
the,NN,O
provision,RB,O
by,VBZ,O
including,DT,O
within,NN,O
its,IN,O
ambit,DT,O
an,NN,O
array,IN,O
of,VBG,O
transactions,IN,O
which,PRP$,O
may,NN,O
or,DT,O
may,NN,O
not,IN,O
be,NNS,O
in,WDT,O
the,MD,O
course,CC,O
of,MD,O
business,RB,O
section,VB,O
2viiif1,IN,O
expressly,DT,O
includes,NN,O
within,IN,O
the,NN,O
definition,NN,O
of,CD,O
a,RB,O
dealer,VBZ,O
a,IN,O
person,DT,O
who,NN,O
whether,IN,O
in,DT,O
the,NN,O
course,DT,O
of,NN,O
business,WP,O
or,IN,O
not,IN,O
transfers,DT,O
any,NN,O
goods,IN,O
whether,NN,O
in,CC,O
the,RB,O
pursuance,NNS,O
of,DT,O
a,NNS,O
contract,IN,B-LEGAL
or,IN,O
not,DT,O
for,NN,O
cash,IN,O
or,DT,O
deferred,NN,B-LEGAL
payment,CC,I-LEGAL
27,RB,O
section,IN,O
5,NN,O
of,CC,O
the,JJ,O
act,NN,O
1963,CD,O
is,NN,O
the,CD,O
charging,IN,O
provision,DT,O
under,NN,O
the,CD,O
said,VBZ,O
act,DT,O
and,VBG,O
provides,NN,O
for,IN,O
the,DT,O
levy,VBD,O
of,NN,O
tax,CC,O
on,VBZ,O
the,IN,O
sale,DT,O
and,NN,O
purchase,IN,O
of,NN,O
goods,IN,O
it,DT,O
provides,NN,O
that,CC,O
every,NN,O
dealer,IN,O
whose,NNS,O
total,PRP,O
turnover,VBZ,O
for,IN,O
that,DT,O
year,NN,O
is,WP$,O
not,JJ,O
less,NN,O
than,IN,O
rs,DT,O
2,NN,O
00,VBZ,O
000,RB,O
would,JJR,O
be,IN,O
liable,VB,O
to,CD,O
pay,CD,O
tax,CD,O
as,MD,O
per,VB,O
rates,JJ,O
and,TO,O
at,VB,O
points,NN,O
as,IN,O
specified,NN,O
in,NNS,O
the,CC,O
schedules,IN,O
to,NNS,O
the,IN,O
act,VBN,O
1963,IN,O
the,DT,O
first,NNS,O
schedule,TO,O
to,DT,O
the,NN,O
act,CD,O
1963,DT,O
would,JJ,O
be,NN,O
relevant,TO,O
for,DT,O
the,NN,O
purpose,CD,O
of,MD,O
the,VB,O
present,JJ,O
appeal,IN,O
serial,DT,O
no,NN,O
84,IN,O
of,DT,O
the,JJ,O
said,NN,O
schedule,JJ,O
deals,DT,O
with,CD,O
inter,IN,O
alia,DT,O
machinery,VBD,O
and,JJ,O
it,NNS,O
provides,IN,O
that,JJ,O
the,JJ,O
point,NN,O
of,CC,O
levy,PRP,O
shall,VBZ,O
be,IN,O
at,DT,O
the,NN,O
point,IN,O
of,NN,O
first,MD,O
sale,VB,O
in,IN,O
the,DT,O
state,NN,O
by,IN,O
a,JJ,O
dealer,NN,O
who,IN,O
is,DT,O
liable,NN,O
to,IN,O
tax,DT,O
under,NN,O
section,WP,O
5,VBZ,O
of,JJ,O
the,TO,O
act,NN,O
1963,IN,O
28,NN,O
section,CD,O
5a,IN,O
of,DT,O
the,NN,O
act,CD,O
1963,CD,O
is,NN,O
the,CD,O
charging,IN,O
provision,DT,O
as,NN,O
regard,CD,O
to,VBZ,O
the,DT,O
imposition,VBG,O
of,NN,O
purchase,IN,O
tax,NN,O
under,TO,O
the,DT,O
said,NN,O
provision,IN,O
the,NN,O
purchaser,NN,O
of,IN,O
any,DT,O
goods,VBD,O
which,NN,O
may,DT,O
be,NN,O
consumed,IN,O
used,DT,O
disposed,NNS,O
or,WDT,O
dispatched,MD,O
to,VB,O
any,VBN,O
place,JJ,O
outside,VBD,O
the,CC,O
state,VBN,O
from,TO,O
a,DT,O
registered,NN,O
dealer,IN,O
will,DT,O
incur,NN,O
liability,IN,O
for,DT,O
payment,JJ,O
of,NN,O
purchase,MD,O
tax,VB,O
the,NN,O
provision,IN,O
amply,NN,O
clarifies,IN,O
that,NN,O
purchase,NN,O
tax,DT,O
would,NN,O
be,NN,O
applicable,VBZ,O
only,IN,O
in,NN,O
circumstances,NN,O
in,MD,O
which,VB,O
no,JJ,O
tax,RB,O
is,IN,O
payable,NNS,O
under,IN,O
sub,WDT,O
sections,DT,O
1,NN,O
3,VBZ,O
4,JJ,O
or,IN,O
5,JJ,O
of,NNS,O
section,CD,O
5,CD,O
of,CD,O
the,CC,O
act,CD,O
1963,IN,O
29,NN,O
the,CD,O
rules,IN,O
1963,DT,O
have,NN,O
been,CD,O
enacted,CD,O
in,DT,O
exercise,NNS,O
of,CD,O
the,VBP,O
powers,VBN,O
conferred,VBN,O
by,IN,O
section,NN,O
57,IN,O
of,DT,O
the,NNS,O
act,VBN,O
1963,IN,O
rule,NN,O
54,CD,O
of,IN,O
the,DT,O
rules,NN,O
1963,CD,O
reads,NN,O
as,CD,O
follows,IN,O
54,DT,O
liability,NNS,O
of,CD,O
court,NNS,O
of,IN,O
wards,VBZ,O
official,CD,O
trustee,NN,O
etc,IN,O
in,NN,O
the,IN,O
case,NNS,O
of,JJ,O
business,NN,O
owned,NN,O
by,IN,O
a,DT,O
dealer,NN,O
whose,IN,O
estate,NN,O
or,VBN,O
any,IN,O
portion,DT,O
of,NN,O
whose,WP$,O
estate,NN,O
is,CC,O
under,DT,O
the,NN,O
control,IN,O
of,WP$,O
court,NN,O
of,VBZ,O
wards,IN,O
the,DT,O
administrator,NN,O
general,IN,O
the,NN,O
official,IN,O
trustee,NNS,O
or,DT,O
any,NN,O
receiver,VBD,O
or,DT,O
manager,JJ,O
including,NN,O
any,CC,O
person,DT,O
whatever,NN,O
be,CC,O
his,NN,O
designation,VBG,O
who,DT,O
in,NN,O
fact,WDT,O
manages,VB,O
the,PRP$,O
business,NN,O
on,WP,O
behalf,IN,O
of,NN,O
the,VBZ,O
dealer,DT,O
appointed,NN,O
by,IN,O
or,NN,O
under,IN,O
any,DT,O
order,NN,O
of,VBN,O
a,IN,O
court,CC,O
the,IN,O
tax,DT,O
shall,NN,O
be,IN,O
levied,DT,O
upon,NN,O
and,DT,O
recoverable,NN,O
from,MD,O
such,VB,O
court,VBN,O
of,IN,O
wards,CC,O
administrator,JJ,O
general,IN,O
official,JJ,O
trustee,NN,O
receiver,IN,O
or,NNS,O
manager,IN,O
in,JJ,O
like,JJ,O
manner,NN,O
and,NN,O
on,CC,O
the,NN,O
same,IN,O
terms,JJ,O
as,NN,O
it,CC,O
would,IN,O
be,DT,O
leviable,JJ,O
upon,NNS,O
and,IN,O
recoverable,PRP,O
from,MD,O
the,VB,O
dealer,JJ,O
if,NN,O
he,CC,O
were,JJ,O
conducting,IN,O
the,DT,O
business,NN,O
himself,IN,O
and,PRP,O
all,VBD,O
the,VBG,O
provisions,DT,O
of,NN,O
the,PRP,O
act,CC,O
and,PDT,O
rules,DT,O
made,NNS,O
there,IN,O
under,DT,O
shall,NN,O
apply,CC,O
accordingly,NNS,O
30,VBN,O
the,EX,O
aforementioned,IN,O
