uc,JJ,O
the,NN,O
equality,IN,O
principle,DT,O
rather,NN,O
than,NN,O
of,RB,O
the,IN,O
democratic,IN,O
principle,DT,O
the,JJ,O
inequalities,NN,O
in,DT,O
representation,NNS,B-LEGAL
in,IN,O
the,NN,O
present,IN,O
case,DT,O
are,JJ,O
an,NN,O
inheritance,VBP,O
and,DT,O
compulsion,NN,O
from,CC,O
the,NN,O
past,IN,O
historical,DT,O
considerations,JJ,O
have,JJ,O
justified,NNS,O
a,VBP,O
differential,VBN,O
treatment,DT,O
8,JJ,O
it,NN,O
may,CD,O
be,PRP,O
noticed,MD,O
that,VB,O
tripura,VBN,O
national,IN,O
volunteer,JJ,O
tnv,JJ,O
through,NN,O
their,NN,O
letter,IN,O
dated,PRP$,O
the,NN,O
4th,VBD,O
may,DT,O
1988,CD,O
addressed,MD,O
to,CD,O
the,VBD,O
governor,TO,O
of,DT,O
tripura,NN,O
and,IN,O
signed,NN,O
by,CC,O
shri,VBN,O
bijoy,IN,O
kumar,NN,O
hrangkhawal,NN,O
stated,NN,O
that,NN,O
keeping,VBD,O
in,IN,O
view,VBG,O
the,IN,O
solution,NN,O
of,DT,O
problems,NN,O
through,IN,O
negotiations,NNS,O
tnv,IN,O
have,NNS,O
decided,NNS,O
to,VBP,O
abjure,VBN,O
violence,TO,O
give,VB,O
up,NN,O
secessionist,VB,O
demand,RP,O
and,JJ,O
to,NN,O
hold,CC,O
negotiations,TO,O
for,VB,O
a,NNS,O
peaceful,IN,O
solution,DT,O
of,JJ,O
all,NN,O
the,IN,O
problems,PDT,O
of,DT,O
tripura,NNS,O
within,IN,O
the,NN,O
constitution,IN,O
of,DT,O
india,NN,O
the,IN,O
tnv,NN,O
also,DT,O
furnished,NN,O
its,RB,O
byelaws,VBD,O
which,PRP$,O
conform,NN,O
to,WDT,O
the,NN,O
laws,TO,O
in,DT,O
force,NNS,O
on,IN,O
the,NN,O
basis,IN,O
a,DT,O
series,NN,O
of,DT,O
discussions,NN,O
were,IN,O
held,NNS,O
with,VBD,O
representatives,VBN,O
of,IN,O
tnv,NNS,O
9,IN,O
as,JJ,O
regards,CD,O
reservation,IN,O
of,NNS,O
seats,NN,O
in,IN,O
the,NNS,O
tripura,IN,O
legislative,DT,B-LEGAL
assembly,NN,I-LEGAL
for,JJ,O
tribals,NN,O
the,IN,O
records,NNS,O
depict,DT,O
the,NNS,O
following,VBP,O
with,DT,O
a,VBG,O
view,IN,O
to,DT,O
satisfy,NN,O
the,TO,O
aspirations,VB,O
of,DT,O
tribals,NNS,O
of,IN,O
tripura,NNS,O
for,IN,O
a,NN,O
greater,IN,O
share,DT,O
in,JJR,O
the,NN,O
governance,IN,O
of,DT,O
the,NN,O
state,IN,O
legislative,DT,O
measures,NN,O
will,JJ,O
be,NNS,O
taken,MD,O
including,VB,O
those,VBN,O
for,VBG,O
the,DT,O
enactment,IN,O
of,DT,O
the,NN,O
bill,IN,O
for,DT,O
the,NN,O
amendment,IN,O
of,DT,O
the,NN,O
constitution,IN,O
the,DT,O
constitutional,NN,O
amendments,DT,O
shall,JJ,O
provide,NNS,O
that,MD,O
notwithstanding,VB,O
anything,IN,O
contained,VBG,O
in,NN,O
the,VBN,O
constitution,IN,O
the,DT,O
number,NN,O
of,DT,O
seats,NN,O
in,IN,O
the,NNS,O
legislative,IN,B-LEGAL
assembly,DT,I-LEGAL
of,JJ,O
tripura,NN,O
reserved,IN,O
for,NN,O
scheduled,VBN,O
tribes,IN,O
shall,JJ,O
be,NNS,O
such,MD,O
number,VB,O
of,JJ,O
seats,NN,O
as,IN,O
bears,NNS,O
to,IN,O
the,NNS,O
total,TO,O
number,DT,O
of,JJ,O
seats,NN,O
a,IN,O
proportion,NNS,O
not,DT,O
less,NN,O
than,RB,O
the,RBR,O
number,IN,O
as,DT,O
on,NN,O
the,IN,O
date,IN,O
of,DT,O
coming,NN,O
into,IN,O
force,VBG,O
of,IN,O
the,NN,O
constitutional,IN,B-LEGAL
amendment,DT,I-LEGAL
of,JJ,O
members,NN,O
belonging,IN,O
to,NNS,O
the,VBG,O
scheduled,TO,O
tribes,DT,O
in,JJ,O
the,NNS,O
existing,IN,O
assembly,DT,O
bears,VBG,O
to,RB,O
the,VBZ,O
total,TO,O
number,DT,O
of,JJ,O
seats,NN,O
in,IN,O
the,NNS,O
existing,IN,O
assembly,DT,O
the,VBG,O
representation,RB,B-LEGAL
of,DT,O
the,NN,O
people,IN,O
act,DT,O
1950,NNS,O
shall,NN,O
also,CD,O
be,MD,O
amended,RB,O
to,VB,O
provide,VBN,O
for,TO,O
reservation,VB,O
of,IN,O
20,NN,O
seats,IN,O
for,CD,O
the,NNS,O
scheduled,IN,O
tribes,DT,O
in,JJ,O
the,NNS,O
assembly,IN,O
of,DT,O
tripura,NN,O
however,IN,O
the,NN,O
amendments,RB,O
shall,DT,O
not,NNS,O
affect,MD,O
any,RB,O
representation,VB,B-LEGAL
in,DT,O
the,NN,O
existing,IN,O
assembly,DT,O
of,VBG,O
tripura,NN,O
until,IN,O
the,NN,O
dissolution,IN,B-LEGAL
10,DT,O
it,NN,O
is,CD,O
on,PRP,O
this,VBZ,O
factual,IN,O
backdrop,DT,O
the,JJ,O
amendment,NN,O
in,DT,O
1992,NN,O
was,IN,O
introduced,CD,O
does,VBD,O
it,VBN,O
violate,VBZ,O
any,PRP,O
of,VB,O
the,DT,O
constitutional,IN,O
mandate,DT,O
the,JJ,O
answer,NN,O
however,DT,O
in,NN,O
our,RB,O
view,IN,O
cannot,PRP$,O
but,NN,O
be,MD,O
in,RB,O
the,CC,O
negative,VB,O
parliament,IN,B-LEGAL
may,DT,O
by,JJ,O
law,NN,O
determine,MD,O
in,IN,O
articles,NN,O
82,NN,O
and,IN,O
170,NNS,O
ought,CD,O
to,CC,O
be,CD,O
attributed,MD,O
its,TO,O
proper,VB,O
meaning,VBN,O
and,PRP$,O
upon,JJ,O
consideration,NN,O
of,CC,O
the,JJ,O
words,NN,O
used,IN,O
and,DT,O
meaning,NNS,O
to,VBN,O
be,CC,O
attributed,VBG,O
thereon,TO,O
we,VB,O
cannot,VBN,O
plus,IN,O
possibly,PRP,O
lend,MD,O
concurrence,RB,O
to,VB,O
the,RB,O
submissions,VB,O
in,NN,O
support,TO,O
of,DT,O
the,NNS,O
petition,IN,O
by,NN,O
reason,IN,O
of,DT,O
the,NN,O
transient,IN,O
nature,NN,O
of,IN,O
the,DT,O
incorporation,JJ,O
since,NN,O
article,IN,O
3323b,DT,O
specifically,NN,O
refers,IN,O
to,NN,O
until,CD,O
the,RB,O
readjustment,NNS,B-LEGAL
on,TO,O
the,IN,O
basis,DT,O
of,NN,O
first,IN,O
census,DT,B-LEGAL
after,NN,O
the,IN,O
year,JJ,O
2000,NN,O
in,IN,O
our,DT,O
view,NN,O
no,CD,O
exception,IN,O
can,PRP$,O
be,NN,O
taken,DT,O
for,NN,O
incorporation,MD,O
of,VB,O
such,VBN,O
a,IN,O
transient,NN,O
provision,IN,O
temporary,JJ,O
measures,DT,O
shall,JJ,O
have,NN,O
to,JJ,O
be,NNS,O
taken,MD,O
for,VB,O
social,TO,O
goal,VB,O
and,VBN,O
for,IN,O
the,JJ,O
benefit,NN,O
of,CC,O
the,IN,O
country,DT,O
as,NN,O
deemed,IN,O
expedient,DT,O
the,NN,O
parliament,IN,B-LEGAL
is,VBN,O
the,IN,O
authority,DT,O
to,NN,O
understand,VBZ,O
and,DT,O
appreciate,NN,O
the,TO,O
need,VB,O
of,CC,O
the,VB,O
situation,DT,O
and,NN,O
in,IN,O
its,DT,O
wisdom,NN,O
has,CC,O
incorporated,IN,O
the,PRP$,O
amendment,NN,O
as,VBZ,O
envisaged,VBN,O
in,DT,O
article,NN,O
3323b,IN,O
thus,VBN,O
it,IN,O
can,NN,O
neither,CD,O
be,RB,O
said,PRP,O
to,MD,O
be,RB,O
violative,VB,O
of,VBD,O
nor,TO,O
be,VB,O
said,JJ,O
to,IN,O
be,CC,O
even,VB,O
for,VBD,O
infraction,TO,O
of,VB,O
any,RB,O
constitutional,IN,O
mandate,NN,O
the,IN,O
felt,DT,O
need,JJ,O
of,NN,O
the,DT,O
society,JJR,O
of,NN,O
a,IN,O
trouble,DT,O
free,NN,O
tripura,IN,O
state,DT,O
stands,NN,O
out,JJ,O
to,NN,O
be,NN,O
effected,VBZ,O
and,RP,O
thus,TO,O
need,VB,O
not,VBN,O
detain,CC,O
us,RB,O
any,MD,O
further,RB,O
to,VB,O
come,PRP,O
to,DT,O
a,JJ,O
conclusion,TO,O
of,VB,O
its,TO,O
constitutional,DT,O
validity,NN,O
it,IN,O
is,PRP$,O
to,JJ,O
bring,NN,O
forth,PRP,O
and,VBZ,O
continue,TO,O
with,VB,O
the,NN,O
object,CC,O
of,NN,O
the,IN,O
constitution,DT,O
social,NN,O
economic,IN,O
and,DT,O
political,NN,O
justice,JJ,O
of,JJ,O
the,CC,O
people,JJ,O
of,NN,O
india,IN,O
11,DT,O
two,NNS,O
other,IN,O
contentions,JJ,O
need,CD,O
a,CD,O
brief,JJ,O
reference,NNS,O
as,VBP,O
well,DT,O
the,JJ,O
first,NN,O
being,RB,O
that,RB,O
to,DT,O
further,JJ,O
effectuate,VBG,O
the,IN,O
72nd,TO,O
amendment,JJ,O
act,VB,O
amendments,DT,O
were,CD,O
also,NN,O
carried,NN,O
out,NNS,O
by,VBD,O
act,RB,O
no,VBN,O
38,RP,O
of,IN,O
1992,NN,O
in,DT,O
the,CD,O
representation,IN,B-LEGAL
of,CD,O
people,IN,O
act,DT,O
1950,NN,O
by,IN,O
inserting,NNS,O
in,JJ,O
section,CD,O
7,IN,O
thereof,VBG,O
a,IN,O
new,NN,O
sub,CD,O
section,NN,O
being,DT,O
sub,JJ,O
section,NN,O
1c,NN,O
wherein,VBG,O
as,JJ,O
many,NN,O
as,CD,O
20,NN,O
seats,RB,O
were,JJ,O
reserved,IN,O
for,CD,O
the,NNS,O
scheduled,VBD,O
tribes,VBN,O
in,IN,O
the,DT,O
legislative,JJ,B-LEGAL
assembly,NNS,I-LEGAL
of,IN,O
tripura,DT,O
it,JJ,O
has,NN,O
been,IN,O
contended,NN,O
that,PRP,O
both,VBZ,O
the,VBN,O
constitution,VBN,O
72nd,IN,O
amendment,DT,O
act,DT,O
1992,NN,O
and,CD,O
the,NN,O
amendment,NN,O
in,CD,O
the,CC,O
representation,DT,B-LEGAL
of,NN,O
people,IN,O
act,DT,O
act,NN,O
no,IN,O
38,NNS,O
of,VBP,O
1992,JJ,O
were,DT,O
passed,CD,O
by,IN,O
the,CD,O
lok,VBD,O
sabha,VBN,O
as,IN,O
well,DT,O
as,NN,O
the,NN,O
rajya,RB,B-LEGAL
sabha,RB,I-LEGAL
on,IN,O
the,DT,O
same,NN,O
day,NN,O
ie,IN,O
on,DT,O
3rd,JJ,O
december,NN,O
1992,VB,O
and,IN,O
the,CD,O
presidential,NN,O
assent,CD,O
was,CC,O
immediately,DT,O
obtained,JJ,O
thereon,NN,O
on,VBD,O
the,RB,O
very,VBN,O
next,NN,O
day,IN,O
ie,DT,O
4th,RB,O
december,JJ,O
1992,NN,O
so,VBZ,O
as,CD,O
to,NN,O
make,CD,O
the,RB,O
enforcement,IN,O
of,TO,O
both,VB,O
the,DT,O
provisions,NN,O
commencing,IN,O
from,CC,O
5th,DT,O
december,NNS,O
1992,VBG,O
12,IN,O
admittedly,CD,O
there,NN,O
was,CD,O
some,CD,O
hurry,RB,O
but,EX,O
whether,VBD,O
that,DT,O
in,NN,O
any,CC,O
way,IN,O
denounce,DT,O
the,IN,O
effort,DT,O
on,NN,O
the,IN,O
part,DT,O
of,NN,O
the,IN,O
parliament,DT,B-LEGAL
to,NN,O
bring,IN,O
about,DT,O
a,NN,O
peaceful,TO,O
solution,VB,O
by,RP,O
implementing,DT,O
the,JJ,O
accord,NN,O
the,IN,O
answer,VBG,O
cannot,DT,O
also,NN,O
but,DT,O
be,NN,O
in,MD,O
the,RB,O
negative,RB,O
as,CC,O
noticed,VB,O
above,IN,O
the,DT,O
social,JJ,O
goal,IN,O
and,VBN,O
social,IN,O
benefit,DT,O
ought,JJ,O
to,NN,O
be,CC,O
the,JJ,O
criterion,NN,O
for,MD,O
the,TO,O
lawmakers,VB,O
and,DT,O
having,NN,O
due,IN,O
regard,DT,O
to,NNS,O
the,CC,O
existing,VBG,O
situation,JJ,O
and,NN,O
the,TO,O
impending,DT,O
election,VBG,B-LEGAL
the,NN,O
parliament,CC,B-LEGAL
has,DT,O
passed,JJ,O
a,NN,O
legislation,DT,O
with,NN,O
expedition,VBZ,O
and,VBN,O
obtained,DT,O
presidential,NN,O
assent,IN,O
thereon,NN,O
immediately,CC,O
and,VBN,O
as,JJ,O
such,NN,O
no,NN,O
motive,RB,O
neither,CC,O
any,IN,O
mala,JJ,O
fides,DT,O
can,JJ,O
be,CC,O
ascribed,DT,O
13,JJ,O
the,NNS,O
only,MD,O
other,VB,O
issue,VBN,O
raised,CD,O
by,DT,O
way,RB,O
of,JJ,O
an,NN,O
alternative,VBN,O
submission,IN,O
to,NN,O
the,IN,O
effect,DT,O
that,JJ,O
even,NN,O
assuming,TO,O
that,DT,O
the,NN,O
constitution,IN,O
72nd,RB,O
amendment,VBG,O
act,IN,O
is,DT,O
valid,NN,O
the,CD,O
provision,NN,O
made,NN,O
by,VBZ,O
act,JJ,O
no38,DT,O
of,NN,O
1992,VBN,O
in,IN,O
sub,JJ,O
section,NN,O
1c,IN,O
of,CD,O
section,IN,O
7,JJ,O
of,NN,O
the,CD,O
representation,IN,B-LEGAL
of,NN,O
people,CD,O
act,IN,O
still,DT,O
ultra,NN,O
vires,IN,O
the,NNS,O
amended,VBP,O
article,RB,O
3323b,JJ,O
itself,NNS,O
we,DT,O
are,JJ,O
however,NN,O
not,CD,O
inclined,PRP,O
to,PRP,O
go,VBP,O
into,RB,O
this,RB,O
issue,JJ,O
since,TO,O
the,VB,O
point,IN,O
has,DT,O
only,NN,O
been,IN,O
raised,DT,O
from,NN,O
the,VBZ,O
bar,RB,O
without,VBN,O
even,VBN,O
any,IN,O
mention,DT,O
thereof,NN,O
in,IN,O
the,RB,O
petition,DT,O
itself,NN,O
14,NN,O
on,IN,O
the,DT,O
wake,NN,O
of,PRP,O
the,CD,O
aforesaid,IN,O
we,DT,O
do,NN,O
not,IN,O
find,DT,O
any,NN,O
merit,PRP,O
in,VBP,O
the,RB,O
petition,VB,O
the,DT,O
same,NN,O
is,IN,O
thus,DT,O
dismissed,NN,O
without,DT,O
any,JJ,O
order,VBZ,O
as,RB,O
to,VBN,O
costs,IN,O
