rk,NN,O 
the,DT,O
head,NN,O
of,IN,O
the,DT,O
department,NN,O
shall,IN,O
be,DT,O
punishable,NN,O
with,NN,O
rigorous,DT,O
imprisonment,NN,O
for,IN,O
a,DT,O
term,NN,O
which,MD,O
may,VB,O
extend,JJ,O
to,IN,O
two,JJ,O
years,NN,O
or,IN,O
with,DT,O
fine,NN,O
or,WDT,O
with,MD,O
both,VB,O
provided,TO,O
that,CD,O
nothing,NNS,O
contained,CC,O
in,IN,O
this,JJ,O
section,CC,O
shall,IN,O
render,DT,O
such,VBN,O
head,IN,O
of,NN,O
the,VBN,O
department,IN,O
liable,DT,O
to,NN,O
any,MD,O
punishment,VB,O
if,JJ,O
he,NN,O
proves,IN,O
that,DT,O
the,NN,O
contravention,JJ,B-LEGAL
was,TO,O
committed,DT,O
without,NN,O
his,IN,O
knowledge,PRP,O
or,VBZ,O
that,IN,O
he,DT,O
exercised,NN,O
all,VBD,O
due,VBN,O
diligence,IN,O
to,PRP$,O
prevent,NN,O
the,CC,O
commission,IN,O
of,PRP,O
such,VBD,O
contravention,DT,B-LEGAL
2,JJ,O
notwithstanding,NN,O
anything,TO,O
contained,VB,O
in,DT,O
sub,NN,O
section,IN,O
1,JJ,O
where,NN,O
a,CD,O
contravention,VBG,B-LEGAL
under,NN,O
this,VBN,O
act,IN,O
has,JJ,O
been,NN,O
committed,CD,O
by,WRB,O
a,DT,O
department,NN,O
of,IN,O
government,DT,O
and,NN,O
it,VBZ,O
is,VBN,O
proved,VBN,O
that,IN,O
the,DT,O
contravention,NN,B-LEGAL
has,IN,O
been,NN,O
committed,CC,O
with,PRP,O
the,VBZ,O
consent,VBN,O
or,IN,O
connivance,DT,O
of,NN,O
or,VBZ,O
is,VBN,O
attributable,VBN,O
to,IN,O
any,DT,O
neglect,NN,O
on,CC,O
the,NN,O
part,IN,O
of,CC,O
any,VBZ,O
officer,JJ,O
other,TO,O
than,DT,O
the,NN,O
head,IN,O
of,DT,O
the,NN,O
department,IN,O
such,DT,O
officer,NN,O
shall,JJ,O
also,IN,O
be,DT,O
deemed,NN,O
to,IN,O
be,DT,O
guilty,NN,O
of,JJ,O
that,NN,O
contravention,MD,B-LEGAL
and,RB,O
shall,VB,O
be,VBN,O
liable,TO,O
to,VB,O
be,JJ,O
proceeded,IN,O
against,DT,O
and,NN,O
punished,CC,O
accordingly,MD,O
3,VB,O
if,JJ,O
any,TO,O
person,VB,O
acts,VBN,O
as,IN,O
an,CC,O
agent,VBD,O
or,RB,O
promoter,CD,O
or,IN,O
trader,DT,O
in,NN,O
any,VBZ,O
lottery,IN,O
organized,DT,O
conducted,NN,O
or,CC,O
promoted,NN,O
in,CC,O
contravention,NN,B-LEGAL
of,IN,O
the,DT,O
provisions,NN,O
of,VBN,O
this,VBD,O
act,CC,O
or,VBN,O
sells,IN,O
distributes,NN,O
or,IN,O
purchases,DT,O
the,NNS,O
ticket,IN,O
of,DT,O
such,NN,O
lottery,CC,O
he,VBZ,O
shall,NNS,O
be,CC,O
punishable,NNS,O
with,DT,O
rigorous,NN,O
imprisonment,IN,O
for,JJ,O
a,NN,O
term,PRP,O
which,MD,O
may,VB,O
extend,JJ,O
to,IN,O
two,JJ,O
years,NN,O
or,IN,O
with,DT,O
fine,NN,O
or,WDT,O
with,MD,O
both,VB,O
8,TO,O
offences,CD,O
to,NNS,O
be,CC,O
cognizable,IN,O
and,JJ,O
non,CC,O
bailable,IN,O
the,DT,O
offence,CD,O
under,NNS,O
this,TO,O
act,VB,O
shall,JJ,O
be,CC,O
cognizable,JJ,O
and,JJ,O
non,DT,O
bailable,NN,O
11,IN,O
from,DT,O
the,NN,O
above,MD,O
provisions,VB,O
it,JJ,O
can,CC,O
be,JJ,O
seen,JJ,O
that,CD,O
the,IN,O
tickets,DT,O
of,JJ,O
a,NNS,O
state,PRP,O
run,MD,O
lottery,VB,O
shall,VBN,O
be,IN,O
printed,DT,O
by,NNS,O
the,IN,O
state,DT,O
itself,NN,O
sale,NN,O
of,NN,O
tickets,MD,O
alone,VB,O
is,VBN,O
permitted,IN,O
through,DT,O
the,NN,O
agents,PRP,O
or,NN,O
through,IN,O
distributors,NNS,O
the,RB,O
entire,VBZ,O
sale,VBN,O
proceeds,IN,O
have,DT,O
to,NNS,O
be,CC,O
credited,IN,O
in,NNS,O
the,DT,O
public,JJ,B-LEGAL
account,NN,I-LEGAL
of,NNS,O
the,VBP,O
state,TO,O
draws,VB,O
of,VBN,O
all,IN,O
the,DT,O
lotteries,JJ,O
have,NN,O
to,IN,O
be,DT,O
conducted,NN,O
by,NN,O
the,IN,O
state,PDT,O
government,DT,O
no,NNS,O
lottery,VBP,O
can,TO,O
have,VB,O
more,VBN,O
than,IN,O
one,DT,O
draw,NN,O
in,NN,O
a,DT,O
week,NN,O
bumper,MD,O
draws,VB,O
shall,JJR,O
not,IN,O
be,CD,O
more,NN,O
than,IN,O
six,DT,O
in,NN,O
a,NN,O
calendar,VBZ,O
year,MD,O
the,RB,O
cumulative,VB,O
effect,JJR,O
of,IN,O
sub,CD,O
sections,IN,O
h,DT,O
and,NN,O
j,NN,O
appears,DT,O
to,JJ,O
be,NN,O
that,IN,O
a,NN,O
state,NNS,O
can,NN,O
run,CC,O
only,NN,O
52,VBZ,O
ordinary,TO,O
lotteries,VB,O
and,IN,O
six,DT,O
bumper,NN,O
lotteries,MD,O
in,VB,O
a,RB,O
year,CD,O
section,JJ,O
5,NNS,O
empowers,CC,O
the,CD,O
state,NN,O
government,NNS,O
to,IN,O
prohibit,DT,O
the,NN,O
sale,NN,O
of,CD,O
tickets,NNS,O
of,DT,O
lotteries,NN,O
organized,NN,O
conducted,TO,O
or,VB,O
promoted,DT,O
by,NN,O
every,IN,O
other,NNS,O
state,IN,O
government,NNS,O
section,VBN,O
6,VBD,O
empowers,CC,O
the,VBN,O
central,IN,O
government,DT,O
to,JJ,O
prohibit,NN,O
the,NN,O
conduct,NN,O
of,CD,O
lotteries,NNS,O
which,DT,O
are,JJ,O
in,NN,O
violation,TO,O
of,VB,O
the,DT,O
provisions,NN,O
of,IN,O
section,NNS,O
4,WDT,O
or,VBP,O
which,IN,O
are,NN,O
sold,IN,O
in,DT,O
contravention,NNS,B-LEGAL
of,IN,O
the,NN,O
prohibition,CD,B-LEGAL
imposed,CC,O
by,WDT,O
the,VBP,O
state,VBN,O
government,IN,O
under,NN,O
section,IN,O
5,DT,O
section,NN,O
7,VBN,O
provides,IN,O
the,DT,O
penalty,NN,O
for,NN,O
running,IN,O
a,NN,O
lottery,CD,O
in,NN,O
violation,CD,O
of,VBZ,O
the,DT,O
provisions,NN,O
of,IN,O
the,VBG,O
act,DT,O
the,NN,O
head,IN,O
of,NN,O
the,IN,O
department,DT,O
and,NNS,O
other,IN,O
officers,DT,O
responsible,NN,O
for,DT,O
the,NN,O
conduct,IN,O
of,DT,O
the,NN,O
lottery,CC,O
shall,JJ,O
be,NNS,O
punished,JJ,O
with,IN,O
imprisonment,DT,O
which,NN,O
may,IN,O
extend,DT,O
to,NN,O
two,MD,O
years,VB,O
or,VBN,O
with,IN,O
fine,NN,O
or,WDT,O
with,MD,O
both,VB,O
similar,TO,O
punishment,CD,O
can,NNS,O
be,CC,O
imposed,IN,O
on,JJ,O
those,CC,O
who,IN,O
sell,DT,O
or,JJ,O
purchase,NN,O
the,MD,O
tickets,VB,O
of,VBN,O
such,IN,O
a,DT,O
lottery,WP,O
section,VBP,O
8,CC,O
makes,VBP,O
the,DT,O
offences,NNS,O
under,IN,O
the,JJ,O
act,DT,O
cognizable,NN,O
and,NN,O
non,CD,O
bailable,VBZ,O
cognizable,DT,O
offence,NNS,O
means,IN,O
an,DT,O
offence,NN,O
for,JJ,O
which,CC,O
a,JJ,O
police,JJ,O
officer,JJ,O
may,NN,O
arrest,VBZ,B-LEGAL
the,DT,O
accused,NN,B-LEGAL
without,IN,O
warrant,WDT,O
section,DT,O
2c,NN,O
of,NN,O
the,MD,O
code,VB,O
of,DT,O
criminal,VBN,O
procedure,IN,O
1973,JJ,O
in,NN,O
short,CD,O
the,IN,O
code,DT,O
in,NN,O
this,IN,O
background,JJ,O
it,NN,O
is,CD,O
also,IN,O
relevant,JJ,O
to,DT,O
quote,NN,O
section,IN,O
4,DT,O
of,NN,O
the,PRP,O
code,VBZ,O
which,RB,O
reads,JJ,O
as,TO,O
follows,VB,O
4,NN,O
trial,CD,O
of,IN,O
offences,DT,O
under,NN,O
the,WDT,O
indian,VBZ,O
penal,IN,O
code,VBZ,O
and,CD,O
other,NN,O
laws,IN,O
1,NNS,O
all,IN,O
offences,DT,O
under,JJ,O
the,JJ,O
indian,NN,O
penal,CC,O
code,JJ,O
45,NNS,O
of,CD,O
1860,DT,O
shall,NNS,O
be,IN,O
investigated,DT,O
inquired,JJ,O
into,JJ,O
tried,NN,O
and,CD,O
otherwise,IN,O
dealt,CD,O
with,MD,O
according,VB,O
to,VBN,O
the,JJ,O
provisions,IN,O
hereinafter,JJ,O
contained,CC,O
2,RB,O
all,NN,O
offences,IN,O
under,VBG,O
any,TO,O
other,DT,O
law,NNS,O
shall,NN,O
be,VBD,O
investigated,CD,O
inquired,DT,O
into,NNS,O
tried,IN,O
and,DT,O
otherwise,JJ,O
dealt,NN,O
with,MD,O
according,VB,O
to,VBN,O
the,JJ,O
same,IN,O
provisions,JJ,O
but,CC,O
subject,RB,O
to,NN,O
any,IN,O
enactment,VBG,O
for,TO,O
the,DT,O
time,JJ,O
being,NNS,O
in,CC,O
force,JJ,O
regulating,TO,O
the,DT,O
manner,NN,O
or,IN,O
place,DT,O
of,NN,O
investigating,VBG,O
inquiring,IN,O
into,NN,O
trying,VBG,O
or,DT,O
otherwise,NN,O
dealing,CC,O
with,NN,O
such,IN,O
offences,VBG,O
since,VBG,O
no,IN,O
provision,VBG,O
is,CC,O
made,RB,O
for,VBG,O
investigating,IN,O
the,JJ,O
offences,NNS,O
under,IN,O
the,DT,O
act,NN,O
the,VBZ,O
provisions,VBN,O
under,IN,O
the,VBG,O
code,DT,O
will,NNS,O
apply,IN,O
to,DT,O
its,NN,O
investigation,DT,O
by,NNS,O
virtue,IN,O
of,DT,O
section,NN,O
42,MD,O
of,VB,O
the,TO,O
code,PRP$,O
quoted,NN,O
above,IN,O
12,NN,O
it,IN,O
is,NN,O
also,CD,O
relevant,IN,O
to,DT,O
mention,NN,O
the,VBN,O
notifications,IN,O
issued,CD,O
by,PRP,O
the,VBZ,O
state,RB,O
government,JJ,O
from,TO,O
time,VB,O
to,DT,O
time,NNS,O
government,VBN,O
of,IN,O
kerala,DT,O
2005,NN,O
reg,NN,O
no,IN,O
kl,NN,O
tvn,TO,O
12,NN,O
2003,NN,O
2005,IN,O
kerala,NN,O
gazette,CD,O
extraordinary,NN,O
published,DT,O
by,NN,O
authority,RB,O
vol,CD,O
l,CD,O
volume,CD,O
50,NN,O
thiruvananthapuram,NN,O
13th,JJ,O
january,VBN,O
2005,IN,O
thursday,NN,O
no,NN,O
77,NN,O
23nd,NN,O
pousha,CD,O
1926,NN,O
government,CD,O
of,JJ,O
kerala,CD,O
taxes,NN,O
h,DT,O
department,CD,O
notification,CD,O
go,NN,O
p,CD,O
no,NN,O
4,IN,O
2005,NN,O
td,NNS,O
dated,VBP,O
thiruvanathapuram,NN,O
13th,NN,O
january,VBP,O
2005,VBZ,O
sro,DT,O
no,CD,O
34,CD,O
2005,NN,O
in,VBD,O
exercise,JJ,O
of,CD,O
the,JJ,O
powers,CD,O
conferred,NN,O
by,DT,O
section,CD,O
5,CD,O
of,IN,O
the,NN,O
lotteries,IN,O
regulation,DT,B-LEGAL
act,NNS,O
1998,VBN,O
central,IN,O
act,NN,O
17,CD,O
of,IN,O
1998,DT,O
the,NNS,O
government,NN,O
of,NN,O
kerala,CD,O
hereby,JJ,O
prohibit,NN,O
the,CD,O
sale,IN,O
of,CD,O
all,DT,O
computerised,NN,O
and,IN,O
online,NN,O
lottery,NN,O
tickets,VBP,O
marketed,DT,O
and,NN,O
operated,IN,O
through,DT,O
vending,VBN,O
machines,CC,O
terminals,JJ,O
electronic,NN,O
machines,NNS,O
and,VBD,O
tickets,CC,O
sold,VBD,O
through,IN,O
internet,VBG,O
in,NNS,O
kerala,NNS,O
with,JJ,O
immediate,NNS,O
effect,CC,O
and,NNS,O
declare,VBN,O
that,IN,O
kerala,NN,O
shall,IN,O
be,NN,O
the,IN,O
free,JJ,O
zone,NN,O
from,CC,O
online,NN,O
and,IN,O
internet,VBZ,O
by,MD,O
order,VB,O
of,DT,O
the,JJ,O
governor,NN,O
p,IN,O
mara,NN,O
pandyan,CC,O
secretary,NN,O
to,IN,O
government,NN,O
explanatory,IN,O
note,DT,O
this,NN,O
does,NN,O
not,NN,O
form,NN,O
part,NN,O
of,TO,O
the,NN,O
notification,JJ,O
but,NN,O
is,DT,O
intended,VBZ,O
to,RB,O
indicate,VB,O
its,NN,O
general,IN,O
purport,DT,O
government,NN,O
have,CC,O
decided,VBZ,O
to,VBN,O
prohibit,TO,O
the,VB,O
sale,PRP$,O
of,JJ,O
computerized,NN,O
and,NN,O
online,VBP,O
lottery,VBN,O
tickets,TO,O
in,VB,O
the,DT,O
state,NN,O
of,IN,O
kerala,JJ,O
with,CC,O
immediate,JJ,O
effect,NN,O
this,NNS,O
notification,IN,O
is,DT,O
intended,NN,O
to,IN,O
achieve,NN,O
the,IN,O
above,JJ,O
object,NN,O
government,DT,O
of,NN,O
kerala,VBZ,O
2005,VBN,O
reg,TO,O
no,VB,O
kl,DT,O
tvn,JJ,O
12,JJ,O
2003,NN,O
2005,IN,O
kerala,NN,O
gazette,CD,O
extraordinary,NN,O
published,DT,O
by,NN,O
authority,RB,O
vol,CD,O
l,CD,O
volume,CD,O
50,NN,O
thiruvananthapuram,NN,O
27th,JJ,O
january,VBN,O
2005,IN,O
thursday,NN,O
no,NN,O
169,NN,O
7th,NN,O
magga,CD,O
1926,NN,O
government,CD,O
of,JJ,O
kerala,CD,O
taxes,NN,O
h,DT,O
department,CD,O
notification,CD,O
go,NN,O
p,CD,O
no,NN,O
11,IN,O
2005,NN,O
td,NNS,O
dated,VBP,O
thiruvanathapuram,NN,O
27th,NN,O
january,VBP,O
2005,VBZ,O
sro,DT,O
no,CD,O
73,CD,O
2005,NN,O
whereas,VBD,O
notification,JJ,O
ii,CD,O
go,JJ,O
p,CD,O
no,NN,O
4,DT,O
2005,CD,O
td,CD,O
dated,NNS,O
13th,NN,O
january,NN,O
2005,VBP,O
published,JJ,O
as,DT,O
sro,CD,O
no,CD,O
34,NN,O
2005,VBD,O
in,CD,O
kerala,JJ,O
gazette,CD,O
extraordinary,VBN,O
no,IN,O
77,NN,O
dated,DT,O
the,CD,O
13th,CD,O
january,IN,O
2005,NN,O
prohibiting,NN,O
the,JJ,O
sale,DT,O
of,CD,O
computerized,VBD,O
and,DT,O
online,CD,O
lottery,JJ,O
tickets,CD,O
in,VBG,O
the,DT,O
state,NN,O
of,IN,O
kerala,JJ,O
has,CC,O
been,JJ,O
issued,NN,O
under,NNS,O
section,IN,O
5,DT,O
of,NN,O
the,IN,O
lotteries,NN,O
regulation,VBZ,B-LEGAL
act,VBN,O
1998,VBN,O
central,IN,O
act,NN,O
17,CD,O
of,IN,O
1998,DT,O
and,NNS,O
whereas,NN,O
the,NN,O
government,CD,O
of,JJ,O
kerala,NN,O
have,CD,O
decided,IN,O
to,CD,O
prohibit,CC,O
the,VBD,O
sale,DT,O
of,NN,O
all,IN,O
lotteries,NNS,O
organized,VBP,O
conducted,VBN,O
or,TO,O
promoted,VB,O
by,DT,O
the,NN,O
state,IN,O
of,DT,O
kerala,NNS,O
with,VBN,O
immediate,VBD,O
effect,CC,O
and,VBN,O
whereas,IN,O
the,DT,O
government,NN,O
of,IN,O
kerala,NN,O
have,IN,O
decided,JJ,O
to,NN,O
prohibit,CC,O
the,IN,O
sale,DT,O
of,NN,O
tickets,IN,O
of,NNS,O
all,VBP,O
lotteries,VBN,O
organized,TO,O
conducted,VB,O
or,DT,O
promoted,NN,O
by,IN,O
every,NNS,O
other,IN,O
state,DT,O
government,NNS,O
also,VBN,O
now,VBD,O
therefore,CC,O
in,VBN,O
exercise,IN,O
of,DT,O
the,JJ,O
powers,NN,O
conferred,NN,O
by,RB,O
section,RB,O
5,RB,O
of,IN,O
the,NN,O
lotteries,IN,O
regulation,DT,B-LEGAL
act,NNS,O
1998,VBN,O
central,IN,O
act,NN,O
17,CD,O
of,IN,O
1998,DT,O
and,NNS,O
all,NN,O
other,NN,O
powers,CD,O
enabling,JJ,O
for,NN,O
it,CD,O
the,IN,O
government,CD,O
of,CC,O
kerala,DT,O
hereby,JJ,O
prohibit,NNS,O
the,VBG,O
sale,IN,O
of,PRP,O
tickets,DT,O
of,NN,O
all,IN,O
lotteries,NN,O
organized,NN,O
conducted,VBP,O
or,DT,O
promoted,NN,O
by,IN,O
every,NNS,O
other,IN,O
state,DT,O
government,NNS,O
including,VBN,O
lotteries,VBD,O
organized,CC,O
conducted,VBN,O
or,IN,O
promoted,DT,O
by,JJ,O
the,NN,O
government,NN,O
of,VBG,O
kerala,NNS,O
in,VBN,O
the,VBD,O
state,CC,O
of,VBN,O
kerala,IN,O
with,DT,O
immediate,NN,O
effect,IN,O
and,NN,O
declare,IN,O
that,DT,O
the,NN,O
state,IN,O
of,NN,O
kerala,IN,O
shall,JJ,O
hereafter,NN,O
be,CC,O
a,NN,O
lottery,IN,O
free,DT,O
zone,NN,O
by,IN,O
order,NN,O
of,MD,O
the,RB,O
governor,VB,O
p,DT,O
mara,JJ,O
pandyan,JJ,O
secretary,NN,O
to,IN,O
government,NN,O
explanatory,IN,O
note,DT,O
this,NN,O
does,NN,O
not,NN,O
form,NN,O
part,NN,O
of,TO,O
the,NN,O
notification,JJ,O
but,NN,O
is,DT,O
intended,VBZ,O
to,RB,O
indicate,VB,O
its,NN,O
general,IN,O
purport,DT,O
government,NN,O
of,CC,O
kerala,VBZ,O
have,VBN,O
decided,TO,O
to,VB,O
make,PRP$,O
the,JJ,O
state,JJ,O
of,NN,O
kerala,IN,O
a,NNS,O
lottery,VBP,O
free,VBN,O
zone,TO,O
this,VB,O
notification,DT,O
is,NN,O
intended,IN,O
to,NN,O
achieve,DT,O
the,NN,O
above,JJ,O
object,NN,O
ii,DT,O
go,NN,O
p,VBZ,O
no,VBN,O
11,TO,O
2005,VB,O
td,DT,O
dated,NN,O
thiruvananthapuram,NN,O
27th,NN,O
january,VBP,O
2005,JJ,O
sro,DT,O
no,CD,O
74,CD,O
2005,NN,O
in,VBD,O
exercise,JJ,O
of,CD,O
the,JJ,O
powers,CD,O
conferred,NN,O
by,DT,O
sub,CD,O
sections,CD,O
1,IN,O
and,NN,O
2,IN,O
of,DT,O
section,NNS,O
12,VBN,O
of,IN,O
the,JJ,O
lotteries,NNS,O
regulation,CD,B-LEGAL
act,CC,O
1998,CD,O
central,IN,O
act,NN,O
17,CD,O
of,IN,O
1998,DT,O
the,NNS,O
government,NN,O
of,NN,O
kerala,CD,O
hereby,JJ,O
make,NN,O
the,CD,O
following,IN,O
rules,CD,O
to,DT,O
repeal,NN,B-LEGAL
the,IN,O
kerala,NN,O
state,NNS,O
lotteries,VBP,O
regulation,DT,B-LEGAL
rules,JJ,O
2003,NNS,O
issued,TO,O
in,VB,O
go,DT,O
p,NN,O
no,NN,O
118,NNS,O
2003,NN,O
td,NNS,O
dated,CD,O
the,NN,O
16th,IN,O
july,JJ,O
2003,JJ,O
and,DT,O
published,JJ,O
as,CD,O
sro,NN,O
no,VBD,O
646,DT,O
2003,CD,O
in,NN,O
the,CD,O
kerala,CC,O
gazette,VBN,O
extraordinary,IN,O
no,NN,O
1278,DT,O
dated,CD,O
the,CD,O
16th,IN,O
july,DT,O
2003,NN,O
as,NN,O
amended,JJ,O
subsequently,DT,O
namely,CD,O
rules,VBD,O
1,DT,O
short,CD,O
title,NN,O
application,CD,O
and,IN,O
commencement,VBN,O
1,RB,O
these,RB,O
rules,NNS,O
may,CD,O
be,JJ,O
called,NN,O
the,NN,O
kerala,CC,O
state,NN,O
lotteries,CD,O
regulation,DT,B-LEGAL
repeal,NNS,B-LEGAL
rules,MD,O
2005,VB,O
2,VBN,O
these,DT,O
rules,NN,O
shall,NN,O
apply,NNS,O
to,VBP,O
the,NN,O
whole,NNS,O
of,CD,O
the,CD,O
state,DT,O
of,NNS,O
kerala,MD,O
3,VB,O
they,TO,O
shall,DT,O
come,NN,O
into,IN,O
force,DT,O
at,NN,O
once,IN,O
2,$,O
repeal,CD,B-LEGAL
the,PRP,O
kerala,MD,O
state,VB,O
lotteries,IN,O
regulation,NN,B-LEGAL
rules,IN,O
2003,RB,O
is,CD,O
hereby,NN,O
repealed,DT,B-LEGAL
by,NN,O
order,NN,O
of,NNS,O
the,NN,O
governor,NNS,O
p,CD,O
mara,VBZ,O
pandyan,VBN,O
secretary,VBN,O
to,IN,O
government,NN,O
explanatory,IN,O
note,DT,O
this,NN,O
does,NN,O
not,NN,O
form,NN,O
part,NN,O
of,TO,O
the,NN,O
notification,JJ,O
but,NN,O
is,DT,O
intended,VBZ,O
to,RB,O
indicate,VB,O
its,NN,O
general,IN,O
purport,DT,O
government,NN,O
of,CC,O
kerala,VBZ,O
by,VBN,O
notification,TO,O
issued,VB,O
as,PRP$,O
go,JJ,O
p,JJ,O
no,NN,O
11,IN,O
2005,NN,O
td,IN,O
dated,NN,O
27th,VBN,O
january,IN,O
2005,JJ,O
and,NN,O
published,RB,O
as,CD,O
sro,CD,O
no,NN,O
73,VBD,O
in,CD,O
kerala,JJ,O
gazette,CD,O
extraordinary,CC,O
no,VBN,O
169,IN,O
dated,NN,O
27th,DT,O
january,CD,O
2005,IN,O
has,NN,O
prohibited,NN,O
the,JJ,O
sale,DT,O
of,CD,O
lottery,VBD,O
tickets,CD,O
organized,JJ,O
conducted,CD,O
or,VBZ,O
promoted,VBN,O
by,DT,O
the,NN,O
government,IN,O
of,JJ,O
kerala,NNS,O
accordingly,VBN,O
the,VBD,O
kerala,CC,O
state,VBN,O
lotteries,IN,O
regulation,DT,B-LEGAL
rules,NN,O
2003,IN,O
has,NN,O
to,RB,O
be,DT,O
repealed,NN,B-LEGAL
this,NN,O
notification,NNS,O
is,NN,O
intended,NNS,O
to,CD,O
achieve,VBZ,O
the,TO,O
above,VB,O
object,VBN,O
government,DT,O
of,NN,O
kerala,VBZ,O
2005,VBN,O
reg,TO,O
no,VB,O
kl,DT,O
tvn,JJ,O
12,JJ,O
2003,NN,O
2005,IN,O
kerala,NN,O
gazette,CD,O
extraordinary,NN,O
published,DT,O
by,NN,O
authority,RB,O
vol,CD,O
l,CD,O
volume,CD,O
50,NN,O
thiruvananthapuram,NN,O
22nd,JJ,O
april,VBN,O
2005,IN,O
friday,NN,O
no,NN,O
837,NN,O
2nd,NN,O
vaisakha,CD,O
1927,NN,O
government,CD,O
of,NN,O
kerala,CD,O
taxes,NN,O
h,DT,O
department,CD,O
notifications,CD,O
go,NN,O
p,CD,O
no,NN,O
382,IN,O
2005,NN,O
td,NNS,O
dated,VBP,O
thiruvanathapuram,NN,O
22nd,NNS,O
april,VBP,O
2005,JJ,O
sro,DT,O
no,JJ,O
73,CD,O
2005,NN,O
whereas,VBD,O
notification,JJ,O
ii,CD,O
go,NN,O
p,CD,O
no,NN,O
4,DT,O
2005,CD,O
td,CD,O
dated,NNS,O
13th,NN,O
january,NN,O
2005,VBP,O
published,JJ,O
as,DT,O
sro,CD,O
no,CD,O
34,NN,O
2005,VBD,O
in,CD,O
kerala,JJ,O
gazette,CD,O
extraordinary,VBN,O
no,IN,O
77,NN,O
dated,DT,O
the,CD,O
13th,CD,O
january,IN,O
2005,NN,O
prohibiting,NN,O
the,JJ,O
sale,DT,O
of,CD,O
computerized,VBD,O
and,DT,O
online,CD,O
lottery,JJ,O
tickets,CD,O
in,VBG,O
the,DT,O
state,NN,O
of,IN,O
kerala,JJ,O
and,CC,O
whereas,JJ,O
by,NN,O
notification,NNS,O
no,IN,O
i,DT,O
issued,NN,O
as,IN,O
go,NN,O
p,CC,O
no,NNS,O
11,IN,O
2005,NN,O
td,DT,O
dated,NN,O
27th,VBD,O
january,IN,O
2005,JJ,O
and,NN,O
published,RB,O
as,CD,O
sro,CD,O
no,NN,O
73,VBD,O
in,CD,O
the,JJ,O
kerala,CD,O
gazette,CC,O
extraordinary,VBN,O
no,IN,O
169,NN,O
dated,DT,O
the,CD,O
27th,IN,O
january,DT,O
2005,NN,O
the,NN,O
government,JJ,O
of,DT,O
kerala,CD,O
prohibited,VBD,O
the,DT,O
sale,CD,O
of,JJ,O
tickets,CD,O
of,DT,O
all,NN,O
lotteries,IN,O
organized,NN,O
conducted,VBD,O
or,DT,O
promoted,NN,O
by,IN,O
every,NNS,O
state,IN,O
government,DT,O
including,NNS,O
that,VBN,O
of,VBD,O
state,CC,O
of,VBN,O
kerala,IN,O
and,DT,O
declared,NN,O
the,NN,O
state,VBG,O
as,IN,O
a,IN,O
lottery,NN,O
free,IN,O
zone,NN,O
now,CC,O
therefore,VBD,O
in,DT,O
exercise,NN,O
of,IN,O
the,DT,O
powers,NN,O
conferred,JJ,O
by,NN,O
section,RB,O
5,RB,O
of,IN,O
the,NN,O
lotteries,IN,O
regulation,DT,B-LEGAL
act,NNS,O
1998,VBN,O
central,IN,O
act,NN,O
17,CD,O
of,IN,O
1998,DT,O
and,NNS,O
in,NN,O
partial,NN,O
modification,CD,O
of,JJ,O
the,NN,O
notification,CD,O
issued,IN,O
as,CD,O
sro,CC,O
no,IN,O
73,JJ,O
2005,NN,O
dated,IN,O
the,DT,O
27th,NN,O
january,VBD,O
2005,IN,O
the,JJ,O
government,DT,O
of,JJ,O
kerala,CD,O
hereby,VBD,O
lift,DT,O
the,CD,O
prohibition,JJ,B-LEGAL
partially,CD,O
by,DT,O
permitting,NN,O
the,IN,O
sale,NN,O
of,NN,O
paper,VBZ,O
lotteries,DT,O
organized,NN,O
conducted,RB,O
or,IN,O
promoted,VBG,O
by,DT,O
every,NN,O
state,IN,O
government,NN,O
including,NNS,O
the,VBN,O
state,VBD,O
of,CC,O
kerala,VBN,O
provided,IN,O
that,DT,O
the,NN,O
prohibition,NN,B-LEGAL
imposed,VBG,O
on,DT,O
the,NN,O
sale,IN,O
of,NN,O
computerized,VBD,O
and,IN,O
online,DT,O
lottery,NN,O
tickets,VBN,O
organized,IN,O
conducted,DT,O
or,NN,O
promoted,IN,O
by,JJ,O
every,CC,O
state,JJ,O
government,NN,O
shall,NNS,O
continue,VBN,O
to,VBD,O
remain,CC,O
in,VBN,O
force,IN,O
and,DT,O
the,NN,O
territory,NN,O
of,MD,O
the,VB,O
state,TO,O
of,VB,O
kerala,IN,O
shall,NN,O
be,CC,O
online,DT,O
internet,NN,O
and,IN,O
computerized,DT,O
lotteries,NN,O
free,IN,O
zone,NN,O
by,MD,O
order,VB,O
of,JJ,O
the,NN,O
governor,CC,O
p,JJ,O
mara,NNS,O
pandyan,VBP,O
secretary,NN,O
to,IN,O
government,NN,O
explanatory,IN,O
note,DT,O
this,NN,O
does,NN,O
not,NN,O
form,NN,O
part,NN,O
of,TO,O
the,NN,O
notification,JJ,O
but,NN,O
is,DT,O
intended,VBZ,O
to,RB,O
indicate,VB,O
its,NN,O
general,IN,O
purport,DT,O
government,NN,O
of,CC,O
kerala,VBZ,O
by,VBN,O
notification,TO,O
issued,VB,O
as,PRP$,O
go,JJ,O
p,JJ,O
no,NN,O
66,IN,O
2005,NN,O
td,IN,O
dated,NN,O
20th,VBN,O
april,IN,O
2005,JJ,O
have,NN,O
reconsidered,RB,O
the,CD,O
issue,CD,O
of,NN,O
the,VBD,O
prohibition,CD,B-LEGAL
imposed,NN,O
on,CD,O
