n,JJ,O
law,JJ,O
while,IN,O
accepting,NN,O
this,IN,O
argument,VBG,O
the,DT,O
tribunal,NN,B-LEGAL
has,DT,O
placed,NN,O
reliance,VBZ,O
on,VBN,O
a,NN,O
judgment,IN,O
of,DT,O
this,NN,O
court,IN,O
in,DT,O
collector,NN,O
of,IN,O
customs,NN,O
calcutta,IN,O
v,NNS,O
tin,VBP,O
plate,JJ,O
co,NN,O
of,NN,O
india,NN,B-LEGAL
ltd,IN,O
manu,NN,O
sc,NN,O
1584,NN,O
1997manu,NN,O
sc,CD,O
1584,CD,O
1997,NN,O
199687elt589sc,CD,O
it,CD,O
is,CD,O
true,PRP,O
that,VBZ,O
in,JJ,O
the,IN,O
course,IN,O
of,DT,O
the,NN,O
above,IN,O
cited,DT,O
judgment,NN,O
this,VBD,O
court,NN,O
had,DT,O
held,NN,O
that,VBD,O
a,VBN,O
notice,IN,O
under,DT,O
section,NN,O
28,IN,O
is,NN,O
a,CD,O
condition,VBZ,B-LEGAL
precedent,DT,I-LEGAL
but,NN,O
having,NN,O
perused,CC,O
the,VBG,O
said,VBN,O
judgment,DT,O
carefully,VBD,O
we,NN,O
are,RB,O
of,PRP,O
the,VBP,O
opinion,IN,O
that,DT,O
this,NN,O
court,IN,O
used,DT,O
the,NN,O
expression,VBD,O
condition,DT,B-LEGAL
precedent,NN,I-LEGAL
with,NN,O
reference,NN,B-LEGAL
to,IN,O
issuance,NN,O
of,TO,O
notice,NN,O
under,IN,O
section,NN,O
28,IN,O
and,NN,O
not,CD,O
with,CC,O
reference,RB,B-LEGAL
to,IN,O
the,NN,O
jurisdiction,TO,O
of,DT,O
the,NN,O
proper,IN,B-LEGAL
officer,DT,I-LEGAL
under,JJ,O
that,NN,O
section,IN,O
while,DT,O
the,NN,O
absence,IN,O
of,DT,O
notice,NN,O
may,IN,O
invalidate,NN,O
the,MD,O
procedure,VB,O
adopted,DT,O
by,NN,O
the,VBN,O
proper,IN,B-LEGAL
officer,DT,I-LEGAL
under,JJ,O
the,NN,O
act,IN,O
it,DT,O
will,NN,O
not,PRP,O
take,MD,O
away,RB,O
the,VB,O
jurisdiction,RP,O
of,DT,O
the,NN,O
officer,IN,O
to,DT,O
initiate,NN,O
action,TO,O
for,VB,O
the,NN,O
purpose,IN,O
of,DT,O
recovery,NN,B-LEGAL
of,IN,O
duty,NN,O
escaped,IN,O
this,NN,O
is,VBN,O
because,DT,O
of,VBZ,O
the,IN,O
fact,IN,O
that,DT,O
the,NN,O
proper,IN,B-LEGAL
officer,DT,I-LEGAL
does,JJ,O
not,NN,O
derive,VBZ,O
his,RB,O
power,VB,O
to,PRP$,O
initiate,NN,O
proceedings,TO,O
for,VB,O
recovery,NNS,B-LEGAL
of,IN,O
escaped,NN,O
duty,IN,O
from,JJ,O
section,NN,O
28,IN,O
of,NN,O
the,CD,O
act,IN,O
such,DT,O
power,NN,O
is,JJ,O
conferred,NN,O
on,VBZ,O
him,VBN,O
by,IN,O
other,PRP,O
provisions,IN,O
of,JJ,O
the,NNS,O
act,IN,O
which,DT,O
mandate,NN,O
the,WDT,O
proper,VBP,B-LEGAL
officer,DT,I-LEGAL
to,JJ,O
collect,NN,O
the,TO,O
duty,VB,O
leviable,DT,O
by,NN,O
a,JJ,O
perusal,IN,O
of,DT,O
chapter,NN,O
v,IN,O
of,NN,O
the,NN,O
act,IN,O
in,DT,O
which,NN,O
section,IN,O
28,WDT,O
is,NN,O
found,CD,O
it,VBZ,O
is,VBN,O
seen,PRP,O
that,VBZ,O
the,VBN,O
charging,IN,B-LEGAL
section,DT,I-LEGAL
which,VBG,O
authorises,NN,O
the,WDT,O
levy,VBZ,O
of,DT,O
customs,NN,B-LEGAL
duty,IN,I-LEGAL
is,NNS,O
found,NN,O
in,VBZ,O
section,VBN,O
12,IN,O
of,NN,O
the,CD,O
act,IN,O
section,DT,O
17,NN,O
contemplates,NN,O
the,CD,O
procedure,VBZ,O
for,DT,O
making,NN,O
an,IN,O
assessment,VBG,O
in,DT,O
regard,NN,O
to,IN,O
duty,NN,O
payable,TO,O
while,VB,O
sub,JJ,O
section,IN,O
4,JJ,O
of,NN,O
section,CD,O
17,IN,O
makes,NN,O
a,CD,O
provision,VBZ,O
to,DT,O
empower,NN,O
the,TO,O
proper,VB,B-LEGAL
officer,DT,I-LEGAL
to,JJ,O
reassess,NN,O
the,TO,O
imported,VB,B-LEGAL
goods,DT,I-LEGAL
for,JJ,O
duty,NNS,O
if,IN,O
it,NN,O
is,IN,O
found,PRP,O
that,VBZ,O
the,VBN,O
assessment,IN,O
made,DT,O
at,NN,O
the,VBD,O
time,IN,O
of,DT,O
importation,NN,O
was,IN,O
based,NN,O
on,VBD,O
incorrect,VBN,O
or,IN,O
false,NN,B-LEGAL
information,CC,I-LEGAL
section,JJ,O
142,NN,O
of,NN,O
the,CD,O
act,IN,O
found,DT,O
in,NN,O
chapter,VBD,O
xviii,IN,O
provides,NN,O
for,NNP,O
actual,VBZ,O
recovery,IN,B-LEGAL
of,JJ,O
sums,NN,O
due,IN,O
to,NNS,O
the,JJ,O
government,TO,O
a,DT,O
cumulative,NN,O
reading,DT,O
of,JJ,O
these,NN,O
provisions,IN,O
found,DT,O
in,NNS,O
the,VBD,O
act,IN,O
clearly,DT,O
shows,NN,O
that,RB,O
the,VBZ,O
jurisdiction,IN,O
of,DT,O
a,NN,O
proper,IN,B-LEGAL
officer,DT,I-LEGAL
to,JJ,O
initiate,NN,O
proceedings,TO,O
for,VB,O
recovery,NNS,B-LEGAL
of,IN,O
duty,NN,O
which,IN,O
has,NN,O
escaped,WDT,O
collection,VBZ,O
is,VBN,O
not,NN,O
traceable,VBZ,O
to,RB,O
section,JJ,O
28,TO,O
the,VB,O
power,CD,O
to,DT,O
recover,NN,O
duty,TO,O
which,VB,O
has,NN,O
escaped,WDT,O
collection,VBZ,O
is,VBN,O
a,NN,O
concomitant,VBZ,O
power,DT,O
arising,JJ,O
out,NN,O
of,VBG,O
the,IN,O
levy,IN,O
of,DT,O
customs,NN,B-LEGAL
duty,IN,I-LEGAL
under,NNS,O
section,NN,O
12,IN,O
of,NN,O
the,CD,O
act,IN,O
and,DT,O
the,NN,O
same,CC,O
does,DT,O
not,JJ,O
emanate,VBZ,O
from,RB,O
section,VB,O
28,IN,O
of,NN,O
the,CD,O
act,IN,O
in,DT,O
our,NN,O
opinion,IN,O
section,PRP$,O
28,NN,O
only,NN,O
provides,CD,O
for,RB,O
the,VBZ,O
procedural,IN,O
aspect,DT,O
for,JJ,O
recovery,NN,B-LEGAL
of,IN,O
duty,NN,O
hence,IN,O
any,NN,O
irregularity,NN,O
committed,DT,O
by,NN,O
a,VBN,O
proper,IN,B-LEGAL
officer,DT,I-LEGAL
in,JJ,O
following,NN,O
the,IN,O
procedure,VBG,O
laid,DT,O
down,NN,O
in,VBD,O
section,RB,O
28,IN,O
would,NN,O
not,CD,O
denude,MD,O
that,RB,O
officer,VB,O
of,IN,O
his,NN,O
jurisdiction,IN,O
to,PRP$,O
initiate,NN,O
action,TO,O
for,VB,O
recovery,NN,B-LEGAL
of,IN,O
escaped,NN,O
duty,IN,O
but,JJ,O
it,NN,O
may,CC,O
make,PRP,O
such,MD,O
proceedings,VB,O
initiated,JJ,O
by,NNS,O
that,VBN,O
officer,IN,O
voidable,DT,O
in,NN,O
that,NN,O
view,IN,O
of,DT,O
the,NN,O
matter,IN,O
in,DT,O
our,NN,O
opinion,IN,O
the,PRP$,O
term,NN,O
condition,DT,B-LEGAL
precedent,NN,I-LEGAL
used,NN,O
in,NN,O
the,VBN,O
case,IN,O
of,DT,O
tin,NN,O
plate,IN,O
co,NN,O
supra,NN,O
is,NN,O
referable,NN,O
to,VBZ,O
the,JJ,O
procedural,TO,O
requirement,DT,O
of,JJ,O
section,NN,O
28,IN,O
and,NN,O
not,CD,O
to,CC,O
the,RB,O
jurisdictional,TO,O
aspect,DT,O
of,JJ,O
the,NN,O
proper,IN,B-LEGAL
officer,DT,I-LEGAL
to,JJ,O
recover,NN,O
the,TO,O
escaped,VB,O
duty,DT,O
in,JJ,O
the,NN,O
said,IN,O
view,DT,O
of,VBD,O
the,NN,O
matter,IN,O
we,DT,O
are,NN,O
of,PRP,O
the,VBP,O
opinion,IN,O
that,DT,O
the,NN,O
law,IN,O
laid,DT,O
down,NN,O
by,VBD,O
this,RB,O
court,IN,O
in,DT,O
tin,NN,O
plate,IN,O
co,NN,O
s,NN,O
case,NN,O
supra,NN,O
is,NN,O
that,NN,O
issuance,VBZ,O
of,IN,O
a,NN,O
notice,IN,O
under,DT,O
section,NN,O
28,IN,O
is,NN,O
a,CD,O
mandatory,VBZ,O
requirement,DT,O
of,JJ,O
that,NN,O
section,IN,O
with,DT,O
which,NN,O
we,IN,O
are,WDT,O
in,PRP,O
agreement,VBP,O
we,IN,O
also,NN,O
notice,PRP,O
the,RB,O
very,VBP,O
important,DT,O
fact,RB,O
that,JJ,O
in,NN,O
that,IN,O
case,IN,O
the,DT,O
question,NN,O
of,DT,O
waiver,NN,B-LEGAL
did,IN,O
not,NN,O
arise,VBD,O
and,RB,O
what,VB,O
was,CC,O
considered,WP,O
by,VBD,O
this,VBN,O
court,IN,O
was,DT,O
the,NN,O
contention,VBD,O
of,DT,O
the,NN,O
revenue,IN,O
that,DT,O
a,NN,O
subsequent,IN,O
letter,DT,O
written,JJ,O
by,NN,O
the,VBN,O
revenue,IN,O
after,DT,O
the,NN,O
expiry,IN,O
of,DT,O
the,NN,O
period,IN,O
of,DT,O
limitation,NN,B-LEGAL
would,IN,O
cure,NN,O
the,MD,O
defect,VB,O
of,DT,O
non,NN,O
issuance,IN,O
of,JJ,O
a,NN,O
notice,IN,O
9,DT,O
the,NN,O
next,CD,O
question,DT,O
for,JJ,O
our,NN,O
consideration,IN,O
is,PRP$,O
can,NN,O
a,VBZ,O
mandatory,MD,O
requirement,DT,O
of,JJ,O
a,NN,O
statute,IN,O
be,DT,O
waived,NN,O
by,VB,O
the,VBN,O
party,IN,O
concerned,DT,O
in,NN,O
answering,VBD,O
this,IN,O
question,VBG,O
we,DT,O
are,NN,O
aided,PRP,O
by,VBP,O
a,VBN,O
catena,IN,O
of,DT,O
judgments,NN,O
of,IN,O
this,NNS,O
court,IN,O
as,DT,O
well,NN,O
as,RB,O
of,RB,O
the,IN,O
privy,IN,O
council,DT,O
we,NN,O
will,NN,O
first,PRP,O
refer,MD,O
to,RB,O
the,VB,O
judgment,TO,O
of,DT,O
the,NN,O
privy,IN,O
council,DT,O
which,NN,O
has,NN,O
been,WDT,O
consistently,VBZ,O
followed,VBN,O
by,RB,O
the,VBN,O
supreme,IN,O
court,DT,O
in,JJ,O
a,NN,O
number,IN,O
of,DT,O
subsequent,NN,O
cases,IN,O
involving,JJ,O
similar,NNS,B-LEGAL
points,VBG,O
in,JJ,O
vellayan,NNS,O
chettiar,IN,O
v,JJ,O
government,NN,O
of,JJ,O
province,NN,O
of,IN,O
madras,NN,O
air,IN,O
1947,NNS,O
pc,NN,O
197,CD,O
the,NN,O
privy,CD,O
council,DT,O
held,NN,O
that,NN,O
even,VBD,O
though,IN,O
section,RB,O
80,IN,O
cpc,NN,O
is,CD,O
mandatory,NN,O
still,VBZ,O
non,JJ,O
issuance,RB,O
of,JJ,O
such,NN,O
notice,IN,O
would,JJ,O
not,NNS,O
render,MD,O
the,RB,O
suit,VB,O
bad,DT,O
in,NN,O
the,JJ,O
eye,IN,O
of,DT,O
law,NN,O
because,IN,O
such,NN,O
non,IN,O
issuance,JJ,O
of,JJ,O
notice,NN,O
can,IN,O
be,NN,O
waived,MD,O
by,VB,O
the,VBN,O
party,IN,O
concerned,DT,O
in,NN,O
the,VBN,O
said,IN,O
judgment,DT,O
the,VBD,O
privy,NN,O
council,DT,O
held,NN,O
that,NN,O
the,VBD,O
protection,IN,O
provided,DT,O
under,NN,O
section,VBD,O
80,IN,O
is,NN,O
a,CD,O
protection,VBZ,O
given,DT,O
to,NN,O
the,VBN,O
person,TO,B-LEGAL
concerned,DT,O
and,NN,O
if,VBN,O
in,CC,O
a,IN,O
particular,IN,O
case,DT,O
that,JJ,O
person,NN,B-LEGAL
does,WDT,O
not,NN,O
require,VBZ,O
the,RB,O
protection,VB,O
he,DT,O
can,NN,O
lawfully,PRP,O
waive,MD,O
his,RB,O
right,VB,O
10,PRP$,O
in,JJ,O
the,CD,O
case,IN,O
of,DT,O
dhirendra,NN,O
nath,IN,O
gorai,JJ,O
and,NN,O
subal,NN,O
chandra,CC,O
shaw,JJ,O
and,NN,O
ors,NN,O
v,CC,O
sudhir,NNS,O
chandra,VBP,O
ghosh,JJ,O
and,NN,O
ors,NN,O
manu,CC,O
sc,NNS,O
0018,VBP,O
1964manu,JJ,O
sc,CD,O
0018,CD,O
1964,NN,O
1964,CD,O
6scr1001,CD,O
this,CD,O
court,CD,O
followed,DT,O
the,NN,O
judgment,VBD,O
of,DT,O
the,NN,O
privy,IN,O
council,DT,O
in,NN,O
vellayan,NN,O
chettiar,IN,O
supra,NN,O
and,NN,O
held,NN,O
that,CC,O
even,VBD,O
though,IN,O
the,RB,O
requirement,IN,O
of,DT,O
section,NN,O
35,IN,O
of,NN,O
the,CD,O
bengal,IN,O
money,DT,O
lenders,JJ,O
act,NN,O
is,NNS,O
mandatory,VBP,O
in,VBZ,O
nature,JJ,O
such,IN,O
mandatory,NN,O
requirement,JJ,O
could,JJ,O
be,NN,O
waived,MD,O
by,VB,O
the,VBN,O
party,IN,O
concerned,DT,O
on,NN,O
a,VBD,O
true,IN,O
construction,DT,O
of,JJ,O
section,NN,O
35,IN,O
of,NN,O
that,CD,O
act,IN,O
this,DT,O
court,NN,O
held,DT,O
that,NN,O
the,VBD,O
said,IN,O
section,DT,O
is,VBD,O
intended,NN,O
only,VBZ,O
for,VBN,O
the,RB,O
benefit,IN,O
of,DT,O
the,NN,O
judgment,IN,O
debtor,DT,O
and,NN,O
therefore,NN,O
he,CC,O
can,RB,O
waive,PRP,O
the,MD,O
right,VB,O
conferred,DT,O
on,NN,O
him,VBN,O
under,IN,O
the,PRP,O
said,IN,O
section,DT,O
11,VBD,O
in,NN,O
the,CD,O
case,IN,O
of,DT,O
s,NN,O
raghbir,IN,O
singh,NN,O
gill,NN,O
v,NN,O
s,NN,O
gurcharansingh,FW,O
tohra,NN,O
and,NN,O
ors,NN,O
manu,CC,O
sc,NNS,O
0290,VBP,O
1980manu,JJ,O
sc,CD,O
0290,CD,O
1980,NN,O
1980,CD,O
3scr1302,CD,O
this,CD,O
court,CD,O
negatived,DT,O
an,NN,O
argument,VBD,O
that,DT,O
the,NN,O
requirement,IN,O
of,DT,O
section,NN,O
94,IN,O
of,NN,O
the,CD,O
representation,IN,O
of,DT,O
the,NN,O
people,IN,O
act,DT,O
1951,NNS,O
cannot,IN,O
be,CD,O
waived,MD,O
this,RB,O
argument,VB,O
was,VBN,O
based,DT,O
on,NN,O
the,VBD,O
principle,VBN,O
that,IN,O
public,DT,O
policy,NN,O
cannot,IN,O
be,JJ,O
waived,NN,O
rejecting,MD,O
the,RB,O
said,VB,O
argument,VBN,O
this,VBG,O
court,DT,O
held,VBD,O
that,NN,O
the,DT,O
privilege,NN,O
conferred,VBD,O
or,IN,O
a,DT,O
right,NN,O
created,VBD,O
by,CC,O
a,DT,O
statute,JJ,O
if,VBN,O
it,IN,O
is,DT,O
solely,NN,O
for,IN,O
the,PRP,O
benefit,VBZ,O
of,RB,O
an,IN,O
individual,DT,O
he,NN,O
can,IN,O
waive,DT,O
it,NN,O
it,PRP,O
also,MD,O
held,VB,O
that,PRP,O
where,PRP,O
a,RB,O
prohibition,VBD,O
enacted,IN,O
is,WRB,O
founded,DT,O
on,NN,O
public,VBN,O
policy,VBZ,O
courts,VBN,O
should,IN,O
be,JJ,O
slow,NN,O
to,NNS,O
apply,MD,O
the,VB,O
doctrine,JJ,O
of,TO,O
waiver,VB,B-LEGAL
but,DT,O
if,NN,O
such,IN,O
privilege,NN,O
granted,CC,O
under,IN,O
the,JJ,O
act,NN,O
is,VBN,O
for,IN,O
the,DT,O
sole,NN,O
benefit,VBZ,O
of,IN,O
an,DT,O
individual,JJ,O
as,NN,O
is,IN,O
the,DT,O
case,NN,O
under,IN,O
section,VBZ,O
94,DT,O
of,NN,O
the,IN,O
representation,NN,O
of,CD,O
the,IN,O
people,DT,O
act,NN,O
the,IN,O
person,DT,B-LEGAL
in,NNS,O
whose,VBP,O
benefit,DT,O
the,NN,O
privilege,IN,O
was,WP$,O
enacted,NN,O
has,DT,O
a,NN,O
right,VBD,O
to,VBN,O
waive,VBZ,O
it,DT,O
because,NN,O
the,TO,O
very,VB,O
concept,PRP,O
of,IN,O
privilege,DT,O
inheres,RB,O
a,NN,O
right,IN,O
to,NN,O
waiver,NNS,B-LEGAL
12,DT,O
in,NN,O
krishan,TO,O
lal,VB,O
v,CD,O
state,IN,O
of,NN,O
j,NN,O
k,NN,O
manu,NN,O
sc,IN,O
0728,NN,O
1994manu,NN,O
sc,NNP,O
0728,NN,O
1994,CD,O
1995iillj718sc,CD,O
this,NN,O
court,CD,O
while,CD,O
considering,CD,O
the,DT,O
requirement,NN,O
of,IN,O
furnishing,VBG,O
copy,DT,O
of,NN,O
inquiry,IN,B-LEGAL
proceedings,VBG,O
under,NN,O
section,IN,O
175,NN,O
of,NNS,O
the,IN,O
j,NN,O
k,CD,O
government,IN,O
servants,DT,O
prevention,NN,O
of,JJ,O
corruption,NN,O
act,NNS,O
1962,NN,O
held,IN,O
following,NN,O
the,NN,O
judgment,CD,O
in,VBD,O
v,VBG,O
chettiar,DT,O
s,NN,O
case,IN,O
supra,NN,O
and,NN,O
dn,NN,O
gorai,NN,O
supra,NN,O
that,CC,O
though,NN,O
the,NN,O
requirement,NN,O
mentioned,WDT,O
in,IN,O
section,DT,O
175,NN,O
of,VBD,O
the,IN,O
act,NN,O
was,CD,O
mandatory,IN,O
the,DT,O
same,NN,O
can,VBD,O
be,JJ,O
waived,DT,O
because,JJ,O
the,MD,O
requirement,VB,O
of,VBN,O
giving,IN,O
a,DT,O
copy,NN,O
of,IN,O
the,VBG,O
proceedings,DT,O
of,NN,O
the,IN,O
inquiry,DT,B-LEGAL
mandated,NNS,O
by,IN,O
section,DT,O
175,NN,O
of,VBN,O
the,IN,O
act,NN,O
is,CD,O
one,IN,O
which,DT,O
is,NN,O
for,VBZ,O
the,CD,O
benefit,WDT,O
of,VBZ,O
the,IN,O
individual,DT,O
concerned,NN,O
13,IN,O
in,DT,O
martin,NN,O
harris,VBD,O
ltd,CD,O
v,IN,O
6th,NN,O
additional,NN,O
distt,VBD,O
judge,RB,O
andors,CD,O
manu,JJ,O
sc,NN,O
0901,NN,O
1998manu,NNS,O
sc,VBP,O
0901,JJ,O
1998,CD,O
air1998sc492,CD,O
this,NN,O
court,CD,O
while,CD,O
considering,IN,O
the,DT,O
provision,NN,O
of,IN,O
section,VBG,O
121a,DT,O
first,NN,O
proviso,IN,O
of,NN,O
the,CD,O
up,JJ,O
urban,NN,O
buildings,IN,O
regulation,DT,O
of,JJ,O
letting,JJ,O
rent,NNS,O
and,NN,O
eviction,IN,O
act,VBG,O
1972,NN,O
negatived,CC,O
a,NN,O
contention,NN,O
advanced,CD,O
on,VBD,O
behalf,DT,O
of,NN,O
the,VBD,O
appellant,IN,O
there,NN,O
in,IN,O
that,DT,O
the,NN,O
said,RB,O
provision,IN,O
was,DT,O
for,DT,O
public,VBD,O
benefit,NN,O
and,VBD,O
could,IN,O
not,JJ,O
be,NN,O
waived,CC,O
it,MD,O
held,RB,O
that,VB,O
it,VBN,O
is,PRP,O
true,VBD,O
that,IN,O
such,PRP,O
benefit,VBZ,O
enacted,JJ,O
under,IN,O
the,JJ,O
said,NN,O
proviso,VBN,O
covered,IN,O
a,DT,O
class,VBD,O
of,NN,O
tenants,VBD,O
still,DT,O
the,NN,O
said,IN,O
protection,NNS,O
would,RB,O
be,DT,O
available,VBD,O
to,NN,O
a,MD,O
tenant,VB,O
only,JJ,O
as,TO,O
an,DT,O
individual,NN,O
hence,RB,O
it,IN,O
gave,DT,O
the,JJ,O
tenant,NN,O
concerned,PRP,O
a,VBD,O
locus,DT,O
poenitentiae,NN,O
to,VBD,O
avail,DT,O
the,NN,O
benefit,NN,O
or,TO,O
not,VB,O
it,DT,O
also,NN,O
held,CC,O
that,RB,O
the,PRP,O
benefit,RB,O
given,VBD,O
under,IN,O
the,DT,O
said,NN,O
section,VBN,O
was,IN,O
purely,DT,O
personal,VBD,O
to,NN,O
the,VBD,O
tenant,RB,O
concerned,JJ,O
hence,TO,O
such,DT,O
a,NN,O
statutory,VBN,O
benefit,RB,O
though,JJ,O
mandatory,DT,O
can,JJ,O
be,NN,O
waived,IN,O
by,JJ,O
the,MD,O
person,VB,B-LEGAL
concerned,VBN,O
14,IN,O
from,DT,O
the,NN,O
ratio,VBD,O
laid,CD,O
down,IN,O
by,DT,O
the,NN,O
privy,VBD,O
council,RB,O
and,IN,O
followed,DT,O
by,NN,O
this,NN,O
court,CC,O
in,VBN,O
the,IN,O
above,DT,O
cited,NN,O
judgments,IN,O
it,DT,O
is,NN,O
clear,VBD,O
that,NNS,O
even,PRP,O
though,VBZ,O
a,JJ,O
provision,IN,O
of,RB,O
law,IN,O
is,DT,O
mandatory,NN,O
in,IN,O
its,NN,O
operation,VBZ,O
if,JJ,O
such,IN,O
provision,PRP$,O
is,NN,O
one,IN,O
which,JJ,O
deals,NN,O
with,VBZ,O
the,CD,O
individual,WDT,O
rights,VBZ,O
of,IN,O
person,DT,B-LEGAL
concerned,JJ,O
and,NNS,O
is,IN,O
for,NN,O
his,VBN,O
benefit,CC,O
the,VBZ,O
said,IN,O
person,PRP$,B-LEGAL
can,NN,O
always,DT,O
waive,VBD,O
such,NN,O
a,MD,O
right,RB,O
15,VB,O
bearing,JJ,B-LEGAL
a,DT,O
mind,JJ,O
the,CD,O
above,VBG,O
decided,DT,O
principle,NN,O
in,DT,O
law,NN,O
if,VBD,O
we,NN,O
consider,IN,O
the,NN,O
mandatory,IN,O
requirement,PRP,O
of,VBP,O
issuance,DT,O
of,JJ,O
notice,NN,O
under,IN,O
section,NN,O
28,IN,O
of,NN,O
the,IN,O
act,NN,O
it,CD,O
will,IN,O
be,DT,O
seen,NN,O
that,PRP,O
that,MD,O
requirement,VB,O
is,VBN,O
provided,IN,O
by,DT,O
the,NN,O
statute,VBZ,O
solely,VBN,O
for,IN,O
the,DT,O
benefit,NN,O
of,RB,O
the,IN,O
individual,DT,O
concerned,NN,O
therefore,IN,O
he,DT,O
can,NN,O
waive,VBD,O
that,IN,O
right,PRP,O
in,MD,O
other,VB,O
words,DT,O
this,NN,O
section,IN,O
casts,JJ,O
a,NNS,O
duty,DT,O
on,NN,O
the,VBZ,O
officer,DT,O
to,NN,O
issue,IN,O
notice,DT,O
to,NN,O
the,TO,O
person,VB,B-LEGAL
concerned,RB,O
of,TO,O
the,DT,O
proposed,NN,O
action,VBN,O
to,IN,O
be,DT,O
taken,VBN,O
this,NN,O
is,TO,O
not,VB,O
in,VBN,O
the,DT,O
nature,VBZ,O
of,RB,O
a,IN,O
public,DT,O
notice,NN,O
nor,IN,O
any,DT,O
person,JJ,B-LEGAL
other,NN,O
than,CC,O
the,DT,O
person,NN,B-LEGAL
against,JJ,O
whom,IN,O
the,DT,O
proceedings,NN,O
are,IN,O
initiated,WP,O
has,DT,O
any,NNS,O
right,VBP,O
for,VBN,O
such,VBZ,O
a,DT,O
notice,NN,O
thus,IN,O
this,PDT,O
right,DT,O
of,NN,O
notice,RB,O
being,DT,O
personal,NN,O
to,IN,O
the,NN,O
person,VBG,B-LEGAL
concerned,JJ,O
the,TO,O
same,DT,O
can,NN,O
be,VBD,O
waived,DT,O
by,JJ,O
that,MD,O
person,VB,B-LEGAL
16,VBN,O
if,IN,O
the,DT,O
above,NN,O
position,CD,O
in,IN,O
law,DT,O
is,JJ,O
correct,NN,O
which,IN,O
we,NN,O
think,VBZ,O
it,JJ,O
is,WDT,O
m,PRP,O
s,VBP,O
virgo,PRP,O
steels,VBZ,O
having,JJ,O
specifically,JJ,O
waived,NN,O
its,NNS,O
right,VBG,O
for,RB,O
a,VBD,O
notice,PRP$,O
cannot,NN,O
now,IN,O
be,DT,O
permitted,NN,O
to,MD,O
turn,RB,O
around,RB,O
and,VB,O
contend,VBN,O
that,TO,O
the,VB,O
proceedings,RP,O
initiated,CC,O
against,VB,O
them,IN,O
are,DT,O
void,NNS,O
for,VBN,O
want,IN,O
of,PRP,O
notice,VBP,O
under,JJ,O
section,IN,O
28,NN,O
of,IN,O
the,NN,O
act,IN,O
so,NN,O
as,CD,O
to,IN,O
frustrate,DT,O
the,NN,O
statutory,RB,O
duty,IN,O
of,TO,O
the,VB,O
revenue,DT,O
to,JJ,O
demand,NN,B-LEGAL
and,IN,O
collect,DT,O
customs,NN,B-LEGAL
duty,TO,I-LEGAL
which,NN,O
m,CC,O
s,JJ,O
virgo,NNS,O
steels,NN,O
had,WDT,O
intentionally,VBZ,O
evaded,NN,O
17,NN,O
since,NNS,O
the,VBD,O
sole,RB,O
ground,VBN,O
on,CD,O
which,IN,O
the,DT,O
appeal,JJ,O
of,NN,O
m,IN,O
s,WDT,O
virgo,DT,O
steels,NN,O
was,IN,O
allowed,NN,O
by,NN,O
the,NN,O
tribunal,NNS,B-LEGAL
is,VBD,O
based,VBN,O
on,IN,O
non,DT,O
issuance,NN,O
of,VBZ,O
a,VBN,O
notice,IN,O
under,JJ,O
section,NN,O
28,IN,O
and,DT,O
we,NN,O
having,IN,O
found,NN,O
such,CD,O
a,CC,O
notice,PRP,O
was,VBG,O
not,VBN,O
necessary,PDT,O
in,DT,O
the,NN,O
facts,VBD,O
and,RB,O
circumstances,JJ,O
of,IN,O
the,DT,O
case,NNS,O
the,CC,O
appeal,NNS,O
of,IN,O
the,DT,O
revenue,NN,O
as,DT,O
against,NN,O
m,IN,O
s,DT,O
virgo,NN,O
steels,IN,O
has,IN,O
to,NN,O
be,NN,O
allowed,NN,O
18,NNS,O
in,VBZ,O
ca,TO,O
nos,VB,O
48,VBN,O
49,CD,O
of,IN,O
2001,MD,O
m,VB,O
s,CD,O
virgo,CD,O
steels,IN,O
have,CD,O
inter,NN,O
alia,NN,O
questioned,NN,O
the,NNS,O
correctness,VBP,O
of,NN,O
the,NNS,O
findings,VBD,O
of,DT,O
the,NN,O
tribunal,IN,B-LEGAL
as,DT,O
to,NNS,O
the,IN,O
illegality,DT,O
of,JJ,O
the,IN,O
import,TO,B-LEGAL
of,DT,O
steel,NN,O
made,IN,O
by,DT,O
them,NN,O
the,IN,O
tribunal,NN,B-LEGAL
after,VBN,O
considering,IN,O
the,PRP,O
material,DT,O
on,NN,O
record,IN,O
by,VBG,O
the,DT,O
impugned,NN,O
order,IN,B-LEGAL
has,NN,O
agreed,IN,O
with,DT,O
the,JJ,O
finding,NN,O
of,VBZ,O
the,VBN,O
collector,IN,O
that,DT,O
m,NN,O
s,IN,O
virgo,DT,O
steels,NN,O
had,WDT,O
imported,VBZ,B-LEGAL
the,JJ,O
steel,NN,O
in,NNS,O
question,VBD,O
duty,VBN,O
free,DT,O
representing,NN,O
that,IN,O
the,NN,O
same,NN,O
was,JJ,O
being,VBG,O
imported,IN,B-LEGAL
for,DT,O
utilisation,JJ,O
in,VBD,O
a,VBG,O
project,VBN,O
financed,IN,O
by,NN,O
the,IN,O
ibrd,DT,O
but,NN,O
was,VBN,O
in,IN,O
fact,DT,O
sold,NN,O
in,CC,O
the,VBD,O
open,IN,O
market,NN,O
this,VBN,O
finding,IN,O
being,DT,O
one,JJ,O
of,NN,O
facts,DT,O
and,VBG,O
having,VBG,O
been,CD,O
arrived,IN,O
at,NNS,O
