dipak,NN,O
goods,NNS,B-LEGAL
to,TO,O
any,DT,O
place,NN,O
outside,IN,O
the,DT,O
state,NN,O
otherwise,RB,O
than,IN,O
by,IN,O
way,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
sale,NN,O
such,JJ,O
trade,NN,O
mark,NN,O
or,CC,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
shall,MD,O
be,VB,O
liable,JJ,O
to,TO,O
pay,VB,O
tax,NN,O
on,IN,O
the,DT,O
turnover,NN,O
relating,VBG,O
to,TO,O
such,JJ,O
purchase,NN,O
for,IN,O
the,DT,O
year,NN,O
irrespective,NN,O
of,IN,O
the,DT,O
quantum,NN,O
of,IN,O
his,PRP$,O
total,JJ,O
turnover,NN,O
6,CD,O
on,IN,O
a,DT,O
conjoint,NN,O
reading,NN,O
of,IN,O
the,DT,O
aforesaid,NN,O
provisions,NNS,O
it,PRP,O
is,VBZ,O
discernible,JJ,O
that,IN,O
the,DT,O
legislature,NN,O
has,VBZ,O
clearly,RB,O
expressed,VBN,O
its,PRP$,O
intention,NN,B-LEGAL
to,TO,O
treat,VB,O
the,DT,O
sale,NN,O
by,IN,O
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
or,CC,O
the,DT,O
trade,NN,O
mark,NN,O
holder,NN,B-LEGAL
as,IN,O
the,DT,O
first,JJ,B-LEGAL
sale,NN,I-LEGAL
in,IN,O
the,DT,O
case,NN,B-LEGAL
of,IN,O
cryptom,NN,O
confectioneries,NNS,O
pvt,VBP,O
ltd,JJ,O
v,NN,O
state,NN,O
of,IN,O
kerala,NN,O
manu,NN,O
sc,NN,O
0501,CD,O
2014manu,CD,O
sc,NN,O
0501,CD,O
2014,CD,O
2014,CD,O
73,CD,O
vst,NN,O
498,CD,O
sc,NN,O
section,NN,O
52a,CD,O
came,VBD,O
up,RB,O
for,IN,O
consideration,NN,B-LEGAL
and,CC,O
a,DT,O
two,CD,O
judge,NN,O
bench,NN,B-LEGAL
analysing,VBG,O
the,DT,O
anatomy,NN,B-LEGAL
of,IN,O
the,DT,O
provision,NN,O
has,VBZ,O
laid,VBN,O
down,RP,O
thus,RB,O
the,DT,O
aforesaid,NN,O
sub,NN,O
section,NN,O
commences,NNS,O
with,IN,O
a,DT,O
non,JJ,O
obstante,NN,O
clause,NN,O
ie,JJ,O
irrespective,NN,O
of,IN,O
section,NN,O
51,CD,O
of,IN,O
the,DT,O
act,NN,B-LEGAL
or,CC,O
any,DT,O
other,JJ,O
provision,NN,O
under,IN,O
the,DT,O
act,NN,B-LEGAL
the,DT,O
said,VBD,O
sub,JJ,O
section,NN,O
speaks,NNS,O
of,IN,O
a,DT,O
sale,NN,O
made,VBN,O
by,IN,O
a,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
of,IN,O
the,DT,O
trade,NN,O
mark,NN,O
holder,NN,B-LEGAL
within,IN,O
the,DT,O
state,NN,O
the,DT,O
legislature,NN,O
deems,VBZ,O
that,IN,O
such,PDT,O
a,DT,O
sale,NN,O
by,IN,O
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
or,CC,O
the,DT,O
trade,NN,O
mark,NN,O
holder,NN,B-LEGAL
shall,MD,O
be,VB,O
the,DT,O
first,JJ,B-LEGAL
sale,NN,I-LEGAL
within,IN,O
the,DT,O
state,NN,O
in,IN,O
our,PRP$,O
opinion,NN,O
this,DT,O
is,VBZ,O
the,DT,O
only,JJ,O
possible,JJ,O
construction,NN,B-LEGAL
that,WDT,O
can,MD,O
be,VB,O
given,VBN,O
to,TO,O
sub,VB,O
section,NN,O
2,CD,O
of,IN,O
section,NN,O
5,CD,O
of,IN,O
the,DT,O
act,NN,B-LEGAL
keeping,VBG,O
in,IN,O
view,NN,O
the,DT,O
aforesaid,NN,O
provision,NN,O
let,VBD,O
us,PRP,O
once,RB,O
again,RB,O
trace,VBP,O
the,DT,O
transaction,NN,O
between,IN,O
the,DT,O
appellant,NN,O
and,CC,O
the,DT,O
licensee,NN,O
namely,RB,O
m,JJ,O
s,NN,O
bristo,NN,O
foods,NNS,O
pvt,VBP,O
ltd,JJ,O
7,CD,O
on,IN,O
a,DT,O
scrutiny,NN,O
of,IN,O
the,DT,O
facts,NNS,O
of,IN,O
the,DT,O
said,VBD,O
case,NN,B-LEGAL
it,PRP,O
is,VBZ,O
manifest,RBS,O
that,IN,O
the,DT,O
issue,NN,O
that,WDT,O
squarely,RB,O
fell,VBD,O
for,IN,O
consideration,NN,B-LEGAL
is,VBZ,O
whether,IN,O
the,DT,O
sale,NN,O
at,IN,O
the,DT,O
hands,NNS,O
of,IN,O
the,DT,O
appellant,JJ,O
therein,NN,O
would,MD,O
be,VB,O
treated,VBN,O
as,IN,O
the,DT,O
first,JJ,B-LEGAL
sale,NN,I-LEGAL
dealing,VBG,B-LEGAL
with,IN,O
the,DT,O
stand,NN,O
of,IN,O
the,DT,O
appellant,NN,O
this,DT,O
court,NN,O
stated,VBD,O
according,VBG,O
to,TO,O
the,DT,O
appellant,JJ,O
assessee,NN,B-LEGAL
who,WP,O
is,VBZ,O
a,DT,O
branded,JJ,O
name,NN,O
holder,NN,B-LEGAL
m,NN,O
s,NN,O
bristo,NN,O
foods,NNS,O
pvt,NN,O
ltd,NN,O
has,VBZ,O
licence,NN,O
and,CC,O
is,VBZ,O
permitted,VBN,O
to,TO,O
use,VB,O
the,DT,O
branded,JJ,O
name,NN,O
crytm,VBD,O
the,DT,O
licensee,NN,O
manufactures,VBZ,O
the,DT,O
goods,NNS,B-LEGAL
namely,RB,O
confectioneries,NNS,O
and,CC,O
effect,NN,O
supply,NN,O
of,IN,O
sale,NN,O
to,TO,O
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
it,PRP,O
is,VBZ,O
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
who,WP,O
effects,NNS,B-LEGAL
the,DT,O
sale,NN,O
of,IN,O
the,DT,O
confectioneries,NNS,O
which,WDT,O
are,VBP,O
to,TO,O
be,VB,O
taxed,VBN,O
as,IN,O
item,NN,O
39,CD,O
of,IN,O
the,DT,O
first,JJ,B-LEGAL
schedule,NN,I-LEGAL
to,TO,O
the,DT,O
act,NN,B-LEGAL
within,IN,O
the,DT,O
state,NN,O
therefore,IN,O
it,PRP,O
is,VBZ,O
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
who,WP,O
has,VBZ,O
to,TO,O
be,VB,O
pay,JJ,O
tax,NN,O
under,IN,O
section,NN,O
52,CD,O
of,IN,O
the,DT,O
act,NN,B-LEGAL
if,IN,O
for,IN,O
any,DT,O
reason,NN,O
m,NN,O
s,NN,O
bristo,NN,O
foods,NNS,O
pvt,NN,O
ltd,NN,O
has,VBZ,O
paid,VBN,O
the,DT,O
tax,NN,O
while,IN,O
effecting,VBG,O
the,DT,O
supply,NN,O
of,IN,O
the,DT,O
manufactured,JJ,O
commodity,NN,B-LEGAL
to,TO,O
the,DT,O
appellant,JJ,O
assessee,NN,B-LEGAL
the,DT,O
appellant,JJ,O
assessee,NN,B-LEGAL
and,CC,O
m,NN,O
s,NN,O
bristo,NN,O
foods,NNS,O
pvt,VBP,O
ltd,NN,O
can,MD,O
approach,VB,O
the,DT,O
authorities,NNS,O
for,IN,O
claiming,VBG,O
the,DT,O
refund,NN,O
of,IN,O
the,DT,O
tax,NN,O
paid,VBN,O
by,IN,O
them,PRP,O
8,CD,O
on,IN,O
a,DT,O
careful,JJ,O
appreciation,NN,O
of,IN,O
the,DT,O
aforesaid,JJ,O
decision,NN,B-LEGAL
we,PRP,O
find,VBP,O
the,DT,O
factual,JJ,B-LEGAL
matrix,NN,I-LEGAL
therein,NN,O
is,VBZ,O
explicitly,RB,O
the,DT,O
same,JJ,O
as,IN,O
is,VBZ,O
in,IN,O
the,DT,O
present,JJ,O
case,NN,B-LEGAL
however,RB,O
mr,JJ,O
s,NN,O
ganesh,NN,O
learned,VBD,O
senior,JJ,O
counsel,NN,O
would,MD,O
submit,VB,O
that,IN,O
in,IN,O
the,DT,O
said,VBD,O
case,NN,B-LEGAL
there,EX,O
has,VBZ,O
been,VBN,O
no,DT,O
consideration,NN,B-LEGAL
of,IN,O
the,DT,O
concepts,NNS,O
like,IN,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
and,CC,O
trade,NN,O
mark,NN,O
holder,NN,B-LEGAL
and,CC,O
therefore,VB,O
the,DT,O
said,VBD,O
decision,NN,B-LEGAL
should,MD,O
not,RB,O
be,VB,O
treated,VBN,O
as,IN,O
a,DT,O
precedent,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
aforesaid,JJ,O
submission,NN,O
mr,NN,O
ganesh,JJ,O
contends,VBZ,O
that,IN,O
the,DT,O
said,VBD,O
decision,NN,B-LEGAL
requires,VBZ,O
reconsideration,NN,O
and,CC,O
this,DT,O
court,NN,O
should,MD,O
refer,VB,O
it,PRP,O
to,TO,O
a,DT,O
larger,JJR,O
bench,NN,B-LEGAL
mr,NN,O
ganesh,NN,O
further,RBR,O
submits,NNS,O
that,IN,O
the,DT,O
ratio,NN,O
of,IN,O
the,DT,O
decision,NN,B-LEGAL
has,VBZ,O
to,TO,O
be,VB,O
understood,VBN,O
in,IN,O
the,DT,O
background,NN,O
of,IN,O
the,DT,O
facts,NNS,O
of,IN,O
the,DT,O
case,NN,B-LEGAL
and,CC,O
a,DT,O
decision,NN,B-LEGAL
is,VBZ,O
an,DT,O
authority,NN,B-LEGAL
for,IN,O
what,WP,O
is,VBZ,O
actually,RB,O
decides,VBZ,O
not,RB,O
what,WP,O
logically,RB,O
follows,VBZ,O
from,IN,O
it,PRP,O
according,VBG,O
to,TO,O
him,PRP,O
as,IN,O
the,DT,O
relevant,JJ,O
provisions,NNS,O
have,VBP,O
not,RB,O
been,VBN,O
construed,VBN,O
it,PRP,O
cannot,MD,O
be,RB,O
regarded,VB,O
as,VBN,O
a,IN,O
binding,DT,B-LEGAL
precedent,NN,I-LEGAL
9,NN,O
needless,CD,O
to,NN,O
say,TO,O
the,VB,O
proposition,DT,O
canvassed,NN,O
by,VBN,O
mr,IN,O
ganesh,NN,O
neither,NN,O
invites,DT,O
a,VBZ,O
dispute,DT,B-LEGAL
nor,NN,O
calls,CC,B-LEGAL
for,VBZ,O
a,IN,O
debate,DT,O
it,NN,O
is,PRP,O
so,VBZ,O
the,RB,O
said,DT,O
proposition,VBD,O
has,NN,O
been,VBZ,O
stated,VBN,O
in,VBN,O
quinn,IN,O
v,NN,O
leathem,NN,O
1901,NN,O
ac,CD,O
495,NN,O
which,CD,O
has,WDT,O
been,VBZ,O
followed,VBN,O
in,VBN,O
ambica,IN,O
quarry,NN,O
works,NN,O
v,VBZ,O
state,JJ,O
of,NN,O
gujarat,IN,O
and,NN,O
ors,CC,O
manu,NNS,O
sc,VBP,O
0853,JJ,O
1988manu,CD,O
sc,CD,O
0853,NN,O
1988,CD,O
air,CD,O
1987,NN,O
sc,CD,O
1073,NN,O
but,CD,O
such,CC,O
is,JJ,O
not,VBZ,O
the,RB,O
case,DT,B-LEGAL
here,NN,O
first,RB,O
of,RB,O
all,IN,O
in,DT,O
the,IN,O
earlier,DT,O
decision,JJR,B-LEGAL
section,NN,O
52,NN,O
was,CD,O
considered,VBD,O
and,VBN,O
a,CC,O
view,DT,O
has,NN,O
been,VBZ,O
expressed,VBN,O
and,VBN,O
therefore,CC,O
it,IN,O
cannot,PRP,O
be,MD,O
said,RB,O
that,VB,O
a,VBD,O
provision,IN,O
has,DT,O
not,NN,O
been,VBZ,O
referred,RB,O
to,VBN,O
or,VBN,O
not,TO,O
considered,CC,O
hence,RB,O
it,VBN,O
is,NN,O
a,PRP,O
binding,VBZ,B-LEGAL
precedent,DT,I-LEGAL
10,JJ,O
the,NN,O
second,CD,O
issue,DT,O
which,JJ,O
has,NN,O
been,WDT,O
ambitiously,VBZ,O
projected,VBN,O
by,RB,O
mr,VBN,O
ganesh,IN,O
is,NN,O
that,NN,O
the,VBZ,O
decision,IN,B-LEGAL
even,DT,O
if,NN,O
a,RB,O
binding,IN,B-LEGAL
precedent,DT,I-LEGAL
requires,NN,O
reconsideration,NN,O
as,VBZ,O
the,NN,O
relevant,IN,O
terms,DT,O
employed,JJ,B-LEGAL
in,NNS,O
section,VBN,O
52,IN,O
have,NN,O
not,CD,O
been,VBP,O
appositely,RB,O
considered,VBN,O
what,RB,O
is,VBN,O
limpid,WP,O
is,VBZ,O
that,JJ,O
section,VBZ,O
52,IN,O
is,NN,O
an,CD,O
expression,VBZ,O
of,DT,O
the,NN,O
legislative,IN,O
intention,DT,B-LEGAL
that,JJ,O
the,NN,O
sales,IN,O
at,DT,O
the,NNS,O
hands,IN,O
of,DT,O
the,NNS,O
brand,IN,B-LEGAL
name,DT,I-LEGAL
holder,NN,B-LEGAL
and,NN,O
trade,NN,O
mark,CC,O
holder,NN,B-LEGAL
would,NN,O
be,NN,O
treated,MD,O
as,VB,O
the,VBN,O
first,IN,B-LEGAL
sale,DT,I-LEGAL
on,JJ,O
a,NN,O
perusal,IN,O
of,DT,O
the,NN,O
agreement,IN,B-LEGAL
entered,DT,O
into,NN,O
between,VBD,O
the,IN,O
parties,IN,O
it,DT,O
is,NNS,O
not,PRP,O
remotely,VBZ,O
suggestive,RB,O
of,RB,O
the,JJ,O
fact,IN,O
that,DT,O
cochin,NN,O
cement,IN,B-LEGAL
limited,JJ,O
is,NN,O
a,VBN,O
brand,VBZ,B-LEGAL
name,DT,I-LEGAL
holder,NN,B-LEGAL
or,NN,O
trade,NN,O
mark,CC,O
holder,NN,B-LEGAL
hence,NN,O
the,NN,O
ambitious,NN,O
submission,DT,O
of,JJ,O
mr,NN,O
ganesh,IN,O
has,NN,O
to,NN,O
melt,VBZ,O
as,TO,O
a,VB,O
glacier,IN,O
and,DT,O
we,NN,O
say,CC,O
so,PRP,O
ergo,VBP,O
the,RB,O
decision,RB,B-LEGAL
in,DT,O
cryptom,NN,O
confectioneries,IN,O
pvt,NN,O
ltd,NNS,O
does,VBP,O
not,NN,O
require,VBZ,O
reconsideration,RB,O
11,VB,O
in,NN,O
view,CD,O
of,IN,O
the,NN,O
aforesaid,IN,O
analysis,DT,O
the,NN,O
appeals,NN,O
being,DT,O
devoid,NNS,O
of,VBG,O
merit,NN,O
are,IN,O
dismissed,NN,O
there,VBP,O
shall,VBN,O
be,EX,O
no,MD,O
order,VB,O
as,DT,O
to,NN,O
costs,IN,O
