bp,NN,O
matter,NN,O
for,IN,O
the,DT,O
courts,NNS,O
of,IN,O
fact,NN,O
in,IN,O
appropriate,JJ,O
cases,NNS,O
it,PRP,O
may,MD,O
accept,VB,O
the,DT,O
evidence,NN,O
of,IN,O
identification,NN,O
even,RB,O
without,IN,O
insisting,VBG,O
on,IN,O
corroboration,NN,B-LEGAL
see,VBP,O
kanta,NN,O
prashad,VBD,O
v,JJ,O
delhi,JJ,O
administration,NN,O
manu,NN,O
sc,JJ,O
0043,CD,O
1958manu,CD,O
sc,NN,O
0043,CD,O
1958,CD,O
1958crilj698,CD,O
vaikuntam,NN,O
chandrappa,NN,O
and,CC,O
ors,NNS,O
v,VBP,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,JJ,O
manu,NN,O
sc,NN,O
0224,CD,O
1959manu,CD,O
sc,NN,O
0224,CD,O
1959,CD,O
air1960sc1340,NN,O
budhsen,NN,O
and,CC,O
anr,NN,O
v,NN,O
state,NN,O
of,IN,O
up,IN,O
manu,NN,O
sc,NN,O
0103,CD,O
1970manu,CD,O
sc,NN,O
0103,CD,O
1970,CD,O
1970crilj1149,CD,O
and,CC,O
rameshwar,VB,O
singh,NN,O
v,JJ,O
state,NN,O
of,IN,O
jammu,NN,O
and,CC,O
kashmir,VB,O
manu,NN,O
sc,NN,O
0174,CD,O
1971manu,CD,O
sc,NN,O
0174,CD,O
1971,CD,O
1972crilj15,CD,O
8,CD,O
in,IN,O
jadunath,NN,O
singh,NN,O
and,CC,O
anr,NN,O
v,VBP,O
the,DT,O
state,NN,O
of,IN,O
uttar,JJ,O
pradesh,JJ,O
manu,NN,O
sc,NN,O
0132,CD,O
1970manu,CD,O
sc,NN,O
0132,CD,O
1970,CD,O
1971crilj305,CD,O
the,DT,O
submission,NN,O
that,IN,O
absence,NN,O
of,IN,O
test,NN,B-LEGAL
identification,NN,I-LEGAL
parade,NN,I-LEGAL
in,IN,O
all,DT,O
cases,NNS,O
is,VBZ,O
fatal,JJ,O
was,VBD,O
repelled,VBN,O
by,IN,O
this,DT,O
court,NN,O
after,IN,O
exhaustive,JJ,O
considerations,NNS,O
of,IN,O
the,DT,O
authorities,NNS,O
on,IN,O
the,DT,O
subject,NN,O
that,WDT,O
was,VBD,O
a,DT,O
case,NN,O
where,WRB,O
the,DT,O
witnesses,NNS,O
had,VBD,O
seen,VBN,O
the,DT,O
accused,VBN,O
over,IN,O
a,DT,O
period,NN,O
of,IN,O
time,NN,O
the,DT,O
high,JJ,O
court,NN,O
had,VBD,O
found,VBN,O
that,IN,O
the,DT,O
witnesses,NNS,O
were,VBD,O
independent,JJ,O
witnesses,NNS,O
having,VBG,O
no,DT,O
affinity,NN,O
with,IN,O
deceased,JJ,O
and,CC,O
entertained,VBD,O
no,DT,O
animosity,NN,O
towards,VBZ,O
the,DT,O
appellant,NN,O
they,PRP,O
had,VBD,O
claimed,VBN,O
to,TO,O
have,VB,O
known,VBN,O
the,DT,O
appellants,NNS,O
for,IN,O
the,DT,O
last,JJ,O
6,CD,O
7,CD,O
years,NNS,O
as,IN,O
they,PRP,O
had,VBD,O
been,VBN,O
frequently,RB,O
visiting,VBG,O
the,DT,O
town,NN,O
of,IN,O
bewar,NN,O
this,DT,O
court,NN,O
noticed,VBD,O
the,DT,O
observations,NNS,O
in,IN,O
an,DT,O
earlier,JJR,O
unreported,JJ,O
decision,NN,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
parkash,NN,O
chand,NN,O
sogani,NN,O
v,VBD,O
the,DT,O
state,NN,O
of,IN,O
rajasthan,JJ,O
criminal,JJ,O
appeal,NN,O
no,DT,O
92,CD,O
of,IN,O
1956,CD,O
decided,VBD,O
on,IN,O
january,JJ,O
15,CD,O
1957,CD,O
wherein,NN,O
it,PRP,O
was,VBD,O
observed,VBN,O
it,PRP,O
is,VBZ,O
also,RB,O
the,DT,O
defence,NN,O
case,NN,O
that,WDT,O
shiv,VBD,O
lal,RB,O
did,VBD,O
not,RB,O
know,VB,O
the,DT,O
appellant,JJ,O
but,CC,O
on,IN,O
a,DT,O
reading,NN,O
of,IN,O
the,DT,O
evidence,NN,O
of,IN,O
pw,NN,O
7,CD,O
it,PRP,O
seems,VBZ,O
to,TO,O
us,PRP,O
clear,JJ,O
that,IN,O
shiv,JJ,O
lal,NN,O
knew,VBD,O
the,DT,O
appellant,NN,O
by,IN,O
sight,NN,O
though,IN,O
he,PRP,O
made,VBD,O
a,DT,O
mistake,NN,O
about,IN,O
his,PRP$,O
name,NN,O
by,IN,O
referring,VBG,O
to,TO,O
him,PRP,O
as,IN,O
kailash,NN,O
chandra,NN,O
it,PRP,O
was,VBD,O
within,IN,O
the,DT,O
knowledge,NN,O
of,IN,O
shiv,NN,O
lal,NN,O
that,IN,O
he,PRP,O
appellant,VB,O
was,VBD,O
a,DT,O
brother,NN,O
of,IN,O
manak,NN,O
chand,NN,O
and,CC,O
he,PRP,O
identified,VBD,O
him,PRP,O
as,IN,O
such,JJ,O
these,DT,O
circumstances,NNS,O
are,VBP,O
quite,RB,O
enough,RB,O
to,TO,O
show,VB,O
that,IN,O
the,DT,O
absence,NN,O
of,IN,O
the,DT,O
identification,NN,B-LEGAL
parade,NN,I-LEGAL
would,MD,O
not,RB,O
vitiate,VB,O
the,DT,O
evidence,NN,O
a,DT,O
person,NN,O
who,WP,O
is,VBZ,O
well,RB,O
known,VBN,O
by,IN,O
sight,NN,O
as,IN,O
the,DT,O
brother,NN,O
of,IN,O
manak,NN,O
chand,NN,O
even,RB,O
before,IN,O
the,DT,O
commission,NN,O
of,IN,O
the,DT,O
occurrence,NN,O
need,MD,O
not,RB,O
be,VB,O
put,VBN,O
before,IN,O
an,DT,O
identification,NN,B-LEGAL
parade,NN,I-LEGAL
in,IN,O
order,NN,O
to,TO,O
be,VB,O
marked,VBN,O
out,IN,O
we,PRP,O
do,VBP,O
not,RB,O
think,VB,O
that,IN,O
there,EX,O
is,VBZ,O
any,DT,O
justification,NN,O
for,IN,O
the,DT,O
contention,NN,O
that,IN,O
the,DT,O
absence,NN,O
of,IN,O
the,DT,O
identification,NN,B-LEGAL
parade,NN,I-LEGAL
or,CC,O
a,DT,O
mistake,NN,O
made,VBN,O
as,IN,O
to,TO,O
his,PRP$,O
name,NN,O
would,MD,O
be,VB,O
necessarily,RB,O
fatal,JJ,O
to,TO,O
the,DT,O
prosecution,NN,O
case,NN,O
in,IN,O
the,DT,O
circumstances,NNS,O
9,CD,O
the,DT,O
court,NN,O
concluded,VBD,O
it,PRP,O
seems,VBZ,O
to,TO,O
us,PRP,O
that,IN,O
it,PRP,O
has,VBZ,O
been,VBN,O
clearly,RB,O
laid,VBN,O
down,RP,O
by,IN,O
this,DT,O
court,NN,O
in,IN,O
parkash,NN,O
chand,NN,O
sogani,NN,O
v,VBD,O
the,DT,O
state,NN,O
of,IN,O
rajasthan,NN,O
supra,NN,O
that,IN,O
the,DT,O
absence,NN,O
of,IN,O
test,NN,O
identification,NN,O
in,IN,O
all,DT,O
cases,NNS,O
is,VBZ,O
not,RB,O
fatal,JJ,O
and,CC,O
if,IN,O
the,DT,O
accused,JJ,O
person,NN,O
is,VBZ,O
well,RB,O
known,VBN,O
by,IN,O
sight,NN,O
it,PRP,O
would,MD,O
be,VB,O
waste,NN,O
of,IN,O
time,NN,O
to,TO,O
put,VB,O
him,PRP,O
up,RP,O
for,IN,O
identification,NN,O
of,IN,O
course,NN,O
if,IN,O
the,DT,O
prosecution,NN,O
fails,VBZ,O
to,TO,O
hold,VB,O
an,DT,O
identification,NN,O
on,IN,O
the,DT,O
plea,NN,O
that,IN,O
the,DT,O
witnesses,NNS,O
already,RB,O
knew,VBD,O
the,DT,O
accused,VBN,O
well,RB,O
and,CC,O
it,PRP,O
transpires,VBZ,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
the,DT,O
trial,NN,O
that,IN,O
the,DT,O
witnesses,NNS,O
did,VBD,O
not,RB,O
know,VB,O
the,DT,O
accused,VBN,O
previously,RB,O
the,DT,O
prosecution,NN,O
would,MD,O
run,VB,O
the,DT,O
risk,NN,O
of,IN,O
losing,VBG,O
its,PRP$,O
case,NN,O
10,CD,O
in,IN,O
harbajan,NN,O
singh,NN,O
v,NN,O
state,NN,O
of,IN,O
jammu,NN,O
and,CC,O
kashmir,VB,O
manu,NN,O
sc,NN,O
0127,CD,O
1975manu,CD,O
sc,NN,O
0127,CD,O
1975,CD,O
1975crilj1553,CD,O
though,IN,O
a,DT,O
test,NN,B-LEGAL
identification,NN,I-LEGAL
parade,NN,I-LEGAL
was,VBD,O
not,RB,O
held,VBN,O
this,DT,O
court,NN,O
upheld,VBD,O
the,DT,O
conviction,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
identification,NN,O
in,IN,O
court,NN,O
corroborated,VBN,O
by,IN,O
other,JJ,O
circumstantial,JJ,B-LEGAL
evidence,NN,I-LEGAL
in,IN,O
that,DT,O
case,NN,O
it,PRP,O
was,VBD,O
found,VBN,O
that,IN,O
that,IN,O
the,DT,O
appellant,NN,O
and,CC,O
one,CD,O
gurmukh,NN,O
singh,NN,O
were,VBD,O
absent,JJ,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
roll,NN,O
call,NN,O
and,CC,O
when,WRB,O
they,PRP,O
were,VBD,O
arrested,VBN,O
on,IN,O
the,DT,O
night,NN,O
of,IN,O
16th,CD,O
december,NN,O
1971,CD,O
their,PRP$,O
rifles,NNS,O
smelt,NN,O
of,IN,O
fresh,JJ,O
gunpowder,NN,O
and,CC,O
that,IN,O
the,DT,O
empty,JJ,O
cartridge,NN,O
case,NN,O
which,WDT,O
was,VBD,O
found,VBN,O
at,IN,O
the,DT,O
scene,NN,O
of,IN,O
offence,NN,O
bore,NN,O
distinctive,JJ,O
markings,NNS,O
showing,VBG,O
that,IN,O
the,DT,O
bullet,NN,O
which,WDT,O
killed,VBD,O
the,DT,O
deceased,VBN,O
was,VBD,O
fired,VBN,O
from,IN,O
the,DT,O
rifle,NN,O
of,IN,O
the,DT,O
appellant,JJ,O
noticing,NN,O
these,DT,O
circumstances,NNS,O
this,DT,O
court,NN,O
held,VBD,O
in,IN,O
view,NN,O
of,IN,O
this,DT,O
corroborative,JJ,O
evidence,NN,O
we,PRP,O
find,VBP,O
no,DT,O
substance,NN,O
in,IN,O
the,DT,O
argument,NN,O
urged,VBD,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
appellant,NN,O
that,IN,O
the,DT,O
investigating,VBG,O
officer,NN,O
ought,MD,O
to,TO,O
have,VB,O
held,VBN,O
an,DT,O
identification,NN,B-LEGAL
parade,NN,I-LEGAL
and,CC,O
that,IN,O
the,DT,O
failure,NN,O
of,IN,O
munshi,NN,O
ram,NN,O
to,TO,O
mention,VB,O
the,DT,O
names,NNS,O
of,IN,O
the,DT,O
two,CD,O
accused,VBD,O
to,TO,O
the,DT,O
neighbours,NNS,O
who,WP,O
came,VBD,O
to,TO,O
the,DT,O
scene,NN,O
immediately,RB,O
after,IN,O
the,DT,O
occurrence,NN,O
shows,VBZ,O
that,IN,O
his,PRP$,O
story,NN,O
cannot,MD,O
be,RB,O
true,VB,O
as,JJ,O
observed,IN,O
by,VBN,O
this,IN,O
court,DT,O
in,NN,O
jadunath,IN,O
singh,NN,O
v,NN,O
state,NN,O
of,NN,O
up,IN,O
absence,JJ,O
of,NN,O
test,IN,O
identification,NN,O
is,NN,O
not,VBZ,O
necessarily,RB,O
fatal,RB,O
the,VB,O
fact,DT,O
that,NN,O
munshi,IN,O
ram,JJ,O
did,NN,O
not,VBD,O
disclose,RB,O
the,VB,O
names,DT,O
of,NNS,O
the,IN,O
two,DT,O
accused,CD,O
to,VBD,O
the,TO,O
villages,DT,O
only,NNS,O
shows,RB,O
that,VBZ,O
the,IN,O
accused,DT,O
were,VBN,O
not,VBD,O
previously,RB,O
known,RB,O
to,VBN,O
him,TO,O
and,PRP,O
the,CC,O
story,DT,O
that,NN,O
the,IN,O
accused,DT,O
referred,VBN,O
to,VBD,O
each,TO,O
other,DT,O
by,JJ,O
their,IN,O
respective,PRP$,O
names,JJ,O
during,NNS,O
the,IN,O
course,DT,O
of,NN,O
the,IN,O
incident,DT,O
contains,NN,O
an,VBZ,O
element,DT,O
of,NN,O
exaggeration,IN,O
the,NN,O
case,DT,O
does,NN,O
not,VBZ,O
rest,RB,O
on,VB,O
the,IN,O
evidence,DT,O
of,NN,O
munshi,IN,O
ram,JJ,O
alone,NN,O
and,RB,O
the,CC,O
corroborative,DT,O
circumstances,JJ,O
to,NNS,O
which,TO,O
we,WDT,O
have,PRP,O
referred,VBP,O
to,VBN,O
above,TO,O
lend,VB,O
enough,NN,O
assurance,JJ,O
to,NN,O
the,TO,O
implication,DT,O
of,NN,O
the,IN,O
appellant,DT,O
11,JJ,O
it,CD,O
is,PRP,O
no,VBZ,O
doubt,DT,O
true,NN,O
that,JJ,O
much,RB,O
evidentiary,JJ,B-LEGAL
value,IN,I-LEGAL
cannot,NN,O
be,MD,O
attached,RB,O
to,VB,O
the,VBN,O
identification,TO,O
of,DT,O
the,NN,O
accused,IN,O
in,DT,O
court,VBN,O
where,IN,O
identifying,NN,O
witness,WRB,O
is,VBG,O
a,NN,O
total,VBZ,O
stranger,DT,O
who,JJ,O
had,NN,O
just,WP,O
a,VBD,O
fleeting,RB,O
glimpse,DT,O
of,JJ,O
the,NN,O
person,IN,O
identified,DT,O
or,NN,O
who,VBD,O
had,CC,O
no,WP,O
particular,VBD,O
reason,DT,O
to,JJ,O
remember,NN,O
the,TO,O
person,VB,O
concerned,DT,O
if,NN,O
the,VBN,O
identification,IN,O
is,DT,O
made,NN,O
for,VBZ,O
the,VBN,O
first,IN,O
time,DT,O
in,JJ,O
court,NN,O
12,IN,O
in,NN,O
ram,CD,O
nath,IN,O
mahto,JJ,O
v,NN,O
state,NN,O
of,NN,O
bihar,NN,O
manu,IN,O
sc,NN,O
0630,NN,O
1996manu,NN,O
sc,CD,O
0630,CD,O
1996,NN,O
1996crilj3585,CD,O
this,CD,O
court,CD,O
upheld,DT,O
the,NN,O
conviction,VBD,O
of,DT,O
the,NN,O
appellant,IN,O
even,DT,O
when,JJ,O
the,RB,O
witness,WRB,O
while,DT,O
deposing,NN,O
in,IN,O
court,VBG,O
did,IN,O
not,NN,O
identify,VBD,O
the,RB,O
accused,VB,O
out,DT,O
of,VBN,O
fear,IN,O
though,IN,O
he,NN,O
had,IN,O
identified,PRP,O
him,VBD,O
in,VBN,O
the,PRP,O
test,IN,B-LEGAL
identification,DT,I-LEGAL
parade,NN,I-LEGAL
this,NN,O
court,VBD,O
noticed,DT,O
the,NN,O
observations,VBD,O
of,DT,O
the,NNS,O
trial,IN,O
judge,DT,O
who,NN,O
had,NN,O
recorded,WP,O
his,VBD,O
remarks,VBN,O
about,PRP$,O
the,NNS,O
demeanour,IN,B-LEGAL
that,DT,O
the,NN,O
witness,IN,O
perhaps,DT,O
was,NN,O
afraid,RB,O
of,VBD,O
the,JJ,O
accused,IN,O
as,DT,O
he,VBN,O
was,IN,O
trembling,PRP,O
at,VBD,O
the,VBG,O
stare,IN,O
of,DT,O
ram,NN,O
nath,IN,O
accused,JJ,O
this,NN,O
court,VBD,O
also,DT,O
relied,NN,O
upon,RB,O
the,VBD,O
evidence,IN,O
of,DT,O
the,NN,O
magistrate,IN,O
pw7,DT,O
who,NN,O
had,NN,O
conducted,WP,O
the,VBD,O
test,VBN,B-LEGAL
identification,DT,I-LEGAL
parade,NN,I-LEGAL
in,NN,O
which,NN,O
the,IN,O
witness,WDT,O
had,DT,O
identified,NN,O
the,VBD,O
appellant,VBN,O
this,DT,O
court,NN,O
found,DT,O
that,NN,O
in,VBD,O
the,IN,O
circumstances,IN,O
if,DT,O
the,NNS,O
courts,IN,O
below,DT,O
had,NNS,O
convicted,IN,O
the,VBD,O
appellant,VBN,O
there,DT,O
was,NN,O
no,EX,O
reason,VBD,O
to,DT,O
interfere,NN,O
13,TO,O
in,VB,O
suresh,CD,O
chandra,IN,O
bahri,JJ,O
v,NN,O
state,NN,O
of,NN,O
bihar,NN,O
manu,IN,O
sc,NN,O
0500,NN,O
1994manu,NN,O
sc,CD,O
0500,CD,O
1994,NN,O
1994crilj3271,CD,O
this,CD,O
court,CD,O
held,DT,O
that,NN,O
it,VBD,O
is,IN,O
well,PRP,O
settled,VBZ,O
that,RB,O
substantive,VBN,O
evidence,IN,O
of,JJ,O
the,NN,O
witness,IN,O
is,DT,O
his,NN,O
evidence,VBZ,O
in,PRP$,O
the,NN,O
court,IN,O
but,DT,O
when,NN,O
the,CC,O
accused,WRB,O
person,DT,O
is,VBN,O
not,NN,O
previously,VBZ,O
known,RB,O
to,RB,O
the,VBN,O
witness,TO,O
concerned,DT,O
then,NN,O
identification,VBD,O
of,RB,O
the,NN,O
accused,IN,O
by,DT,O
the,VBN,O
witness,IN,O
soon,DT,O
after,NN,O
his,RB,O
arrest,IN,O
is,PRP$,O
of,NN,O
great,VBZ,O
importance,IN,O
because,JJ,O
it,NN,O
furnishes,IN,O
an,PRP,O
assurance,VBZ,O
that,DT,O
the,NN,O
investigation,IN,O
is,DT,O
proceeding,NN,O
on,VBZ,O
right,VBG,O
lines,IN,O
in,JJ,O
addition,NNS,O
to,IN,O
furnishing,NN,O
corroboration,TO,B-LEGAL
of,VBG,O
the,NN,O
evidence,IN,O
to,DT,O
be,NN,O
given,TO,O
by,VB,O
the,VBN,O
witness,IN,O
later,DT,O
in,NN,O
court,RB,O
at,IN,O
the,NN,O
trial,IN,O
from,DT,O
this,NN,O
point,IN,O
of,DT,O
view,NN,O
it,IN,O
is,NN,O
a,PRP,O
matter,VBZ,O
of,DT,O
great,NN,O
importance,IN,O
both,JJ,O
for,NN,O
the,DT,O
investigating,IN,O
agency,DT,O
and,NN,O
for,NN,O
the,CC,O
accused,IN,O
and,DT,O
a,VBN,O
fortiori,CC,O
for,DT,O
the,NN,O
proper,IN,O
administration,DT,O
of,JJ,O
justice,NN,O
that,IN,O
such,NN,O
identification,IN,O
is,JJ,O
held,NN,O
without,VBZ,O
avoidable,VBN,O
and,IN,O
unreasonable,JJ,O
delay,CC,O
after,JJ,O
the,NN,O
arrest,IN,O
of,DT,O
the,NN,O
accused,IN,O
it,DT,O
is,VBN,O
an,PRP,O
adopting,VBZ,O
this,DT,O
course,VBG,O
alone,DT,O
that,NN,O
justice,RB,O
and,IN,O
fair,NN,O
play,CC,O
can,JJ,O
be,NN,O
assured,MD,O
both,VB,O
to,VBN,O
the,DT,O
accused,TO,O
as,DT,O
well,VBN,O
as,RB,O
to,RB,O
the,IN,O
prosecution,TO,O
thereafter,DT,O
this,NN,O
court,RB,O
observed,DT,O
but,NN,O
the,VBD,O
position,CC,O
may,DT,O
be,NN,O
different,MD,O
when,VB,O
the,JJ,O
accused,WRB,O
or,DT,O
a,VBN,O
culprit,CC,O
who,DT,O
stands,NN,O
trial,WP,O
had,VBZ,O
been,NN,O
seen,VBD,O
not,VBN,O
once,VBN,O
but,RB,O
for,RB,O
quite,CC,O
a,IN,O
number,RB,O
of,DT,O
times,NN,O
at,IN,O
different,NNS,O
point,IN,O
of,JJ,O
time,NN,O
and,IN,O
places,NN,O
which,CC,O
fact,NNS,O
may,WDT,O
do,NN,O
away,MD,O
with,VB,O
the,RP,O
necessity,IN,O
of,DT,O
a,NN,O
ti,IN,O
parade,DT,O
14,NN,O
in,NN,O
state,CD,O
of,IN,O
uttar,NN,O
pradesh,IN,O
v,JJ,O
boota,JJ,O
singh,NN,O
and,NN,O
ors,NN,O
manu,CC,O
sc,NNS,O
0182,VBP,O
1978manu,JJ,O
sc,CD,O
0182,CD,O
1978,NN,O
1979,CD,O
1scr298,CD,O
this,CD,O
court,CD,O
observed,DT,O
that,NN,O
the,VBD,O
evidence,IN,O
of,DT,O
identification,NN,O
becomes,IN,O
stronger,NN,O
if,NNS,O
the,JJR,O
witness,IN,O
has,DT,O
an,NN,O
opportunity,VBZ,O
of,DT,O
seeing,NN,O
the,IN,O
accused,VBG,O
not,DT,O
for,VBN,O
a,RB,O
few,IN,O
minutes,DT,O
but,JJ,O
for,NNS,O
some,CC,O
length,IN,O
of,DT,O
time,NN,O
in,IN,O
broad,NN,O
day,IN,O
light,JJ,O
when,NN,O
he,VBD,O
would,WRB,O
be,PRP,O
able,MD,O
to,VB,O
note,JJ,O
the,TO,O
features,VB,O
of,DT,O
the,NNS,O
accused,IN,O
more,DT,O
carefully,VBN,O
than,RBR,O
on,RB,O
seeing,IN,O
the,IN,O
accused,VBG,O
in,DT,O
a,VBN,O
dark,IN,O
night,DT,O
for,JJ,O
a,NN,O
few,IN,O
minutes,DT,O
15,JJ,O
in,NNS,O
ramanbhai,CD,O
naranbhai,IN,O
patel,NN,O
and,JJ,O
ors,NN,O
v,CC,O
state,NNS,O
of,VBP,O
gujarat,NN,O
manu,IN,O
sc,NN,O
0744,NN,O
1999manu,NN,O
sc,CD,O
0744,CD,O
1999,NN,O
1999crilj5013,CD,O
after,CD,O
considering,CD,O
the,IN,O
earlier,VBG,O
decisions,DT,O
this,JJR,O
court,NNS,O
observed,DT,O
it,NN,O
becomes,VBD,O
at,PRP,O
once,VBZ,O
clear,IN,O
that,RB,O
the,JJ,O
aforesaid,IN,O
observations,DT,O
were,JJ,O
made,NNS,O
in,VBD,O
the,VBN,O
light,IN,O
of,DT,O
the,NN,O
peculiar,IN,O
facts,DT,O
and,JJ,O
circumstances,NNS,O
wherein,CC,O
the,NNS,O
police,VBP,O
is,DT,O
said,NN,O
to,VBZ,O
have,VBD,O
given,TO,O
the,VB,O
names,VBN,O
of,DT,O
the,NNS,O
accused,IN,O
to,DT,O
the,VBN,O
witnesses,TO,O
under,DT,O
these,NNS,O
circumstances,IN,O
identification,DT,O
of,NNS,O
such,NN,O
a,IN,O
named,JJ,O
accused,DT,O
only,VBN,O
in,VBN,O
the,RB,O
court,IN,O
when,DT,O
the,NN,O
accused,WRB,O
was,DT,O
not,VBN,O
known,VBD,O
earlier,RB,O
to,VBN,O
the,RBR,O
witness,TO,O
had,DT,O
to,NN,O
be,VBD,O
treated,TO,O
as,VB,O
valueless,VBN,O
the,IN,O
said,NN,O
decision,DT,O
in,VBD,O
turn,NN,O
relied,IN,O
upon,NN,O
an,VBN,O
earlier,IN,O
decision,DT,O
of,JJR,O
this,NN,O
court,IN,O
in,DT,O
the,NN,O
case,IN,O
of,DT,O
state,NN,O
delhi,IN,O
admn,NN,O
v,NN,O
vc,NN,O
shukla,NN,O
manu,NN,O
sc,NN,O
0545,NN,O
1980manu,NN,O
sc,CD,O
0545,CD,O
1980,NN,O
19802scc665,CD,O
wherein,CD,O
also,CD,O
fazal,NN,O
ali,RB,O
j,JJ,O
speaking,NNS,O
for,VBP,O
a,VBG,O
three,IN,O
judge,DT,O
bench,CD,O
made,NN,O
similar,NN,O
observations,VBD,O
in,JJ,O
this,NNS,O
regard,IN,O
in,DT,O
that,NN,O
case,IN,O
the,DT,O
evidence,NN,O
of,DT,O
the,NN,O
witness,IN,O
in,DT,O
the,NN,O
court,IN,O
and,DT,O
his,NN,O
identifying,CC,O
the,PRP$,O
accused,VBG,O
only,DT,O
in,VBN,O
the,RB,O
court,IN,O
without,DT,O
previous,NN,O
identification,IN,B-LEGAL
parade,JJ,I-LEGAL
was,NN,O
found,NN,O
to,VBD,O
be,VBN,O
a,TO,O
valueless,VB,O
exercise,DT,O
the,NN,O
observations,NN,O
made,DT,O
therein,NNS,O
were,VBN,O
confined,NNS,O
to,VBD,O
the,VBN,O
nature,TO,O
of,DT,O
the,NN,O
evidence,IN,O
deposed,DT,O
to,NN,O
by,VBD,O
the,TO,O
said,IN,O
eyewitnesses,DT,O
if,VBD,O
therefore,NNS,O
cannot,IN,O
be,RB,O
held,MD,O
as,RB,O
tried,VB,O
to,VBN,O
be,RB,O
submitted,VBN,O
by,TO,O
learned,VB,O
counsel,VBN,O
for,IN,O
the,JJ,O
appellants,NN,O
that,IN,O
in,DT,O
the,NNS,O
absence,WDT,O
of,IN,O
a,DT,O
test,NN,B-LEGAL
identification,IN,I-LEGAL
parade,DT,I-LEGAL
the,NN,O
evidence,NN,O
of,VBD,O
an,DT,O
eyewitness,NN,B-LEGAL
parade,IN,O
the,DT,O
evidence,NN,O
of,VBD,O
an,DT,O
eyewitness,NN,B-LEGAL
identifying,IN,O
the,DT,O
accused,NN,O
would,VBG,O
become,DT,O
inadmissible,VBN,O
or,MD,O
totally,VB,O
useless,JJ,O
whether,CC,O
the,RB,O
evidence,JJ,O
deserves,IN,O
any,DT,O
credence,NN,O
or,VBZ,O
not,DT,O
would,NN,O
always,CC,O
depend,RB,O
on,MD,O
the,RB,O
facts,VB,O
and,IN,O
circumstances,DT,O
of,NNS,O
each,CC,O
case,NNS,O
it,IN,O
is,DT,O
of,NN,O
course,PRP,O
true,VBZ,O
as,IN,O
submitted,NN,O
by,JJ,O
learned,IN,O
counsel,VBN,O
for,IN,O
the,JJ,O
appellants,NN,O
that,IN,O
the,DT,O
later,NNS,O
decisions,IN,O
of,DT,O
this,JJ,O
court,NNS,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
rajesh,DT,O
govind,NN,O
jagesha,IN,O
v,JJ,O
state,NN,O
of,NN,O
maharashtra,NN,O
manu,NN,O
sc,IN,O
0703,JJ,O
1999manu,NN,O
sc,NN,O
0703,CD,O
1999,CD,O
2000crilj380,NN,O
and,CD,O
state,CD,O
of,CD,O
hp,CC,O
v,NN,O
lekh,IN,O
raj,NN,O
manu,NN,O
sc,NN,O
0714,NN,O
1999manu,NN,O
sc,NN,O
0714,CD,O
1999,CD,O
2000crilj44,NN,O
had,CD,O
not,CD,O
considered,CD,O
the,VBD,O
aforesaid,RB,O
three,VBN,O
judge,DT,O
bench,NN,O
decisions,CD,O
of,NN,O
this,NN,O
court,NNS,O
however,IN,O
in,DT,O
our,NN,O
view,RB,O
the,IN,O
ratio,PRP$,O
of,NN,O
the,DT,O
aforesaid,NN,O
later,IN,O
decisions,DT,O
of,NN,O
this,JJ,O
court,NNS,O
cannot,IN,O
be,DT,O
said,NN,O
to,MD,O
be,RB,O
running,VB,O
counter,VBD,O
to,TO,O
what,VB,O
is,VBG,O
decided,RB,O
by,TO,O
the,WP,O
earlier,VBZ,O
three,VBN,O
judge,IN,O
bench,DT,O
judgments,JJR,O
on,CD,O
the,NN,O
facts,NN,O
and,NNS,O
circumstances,IN,O
examined,DT,O
by,NNS,O
the,CC,O
court,NNS,O
while,VBN,O
rendering,IN,O
these,DT,O
decisions,NN,O
but,IN,O
even,VBG,O
assuming,DT,O
as,NNS,O
submitted,CC,O
by,RB,O
learned,VBG,O
counsel,IN,O
for,VBN,O
the,IN,O
appellants,JJ,O
that,NN,O
the,IN,O
evidence,DT,O
of,NNS,O
these,IN,O
two,DT,O
injured,NN,O
witnesses,IN,O
ie,DT,O
bhogilal,CD,O
ranchhodbhai,JJ,O
and,NNS,O
karsanbhai,VBP,O
vallabhabhai,JJ,O
identifying,NN,O
the,CC,O
accused,VB,O
in,NN,O
the,VBG,O
court,DT,O
may,VBN,O
be,IN,O
treated,DT,O
to,NN,O
be,MD,O
of,VB,O
no,VBN,O
assistance,TO,O
to,VB,O
the,IN,O
prosecution,DT,O
the,NN,O
fact,TO,O
remains,DT,O
that,NN,O
these,DT,O
eyewitnesses,NN,O
were,VBZ,O
seriously,IN,O
injured,DT,O
and,NNS,O
they,VBD,O
could,RB,O
have,VBN,O
easily,CC,O
seen,PRP,O
the,MD,O
faces,VB,O
of,RB,O
the,VBN,O
persons,DT,O
assaulting,VBZ,O
them,IN,O
and,DT,O
their,NNS,O
appearance,VBG,O
and,PRP,O
identity,CC,O
would,PRP$,O
