sn,NN,O
only,VB,O
be,DT,O
under,NNS,O
the,MD,O
ap,RB,O
state,VB,O
and,IN,O
subordinate,DT,B-LEGAL
service,NN,I-LEGAL
rules,NN,O
even,CC,O
if,JJ,O
there,NN,O
is,NNS,O
such,RB,O
power,IN,O
it,EX,O
is,VBZ,O
doubtful,JJ,O
whether,NN,O
the,PRP,O
basic,VBZ,O
rules,JJ,O
of,IN,O
recruitment,DT,B-LEGAL
can,JJ,O
be,NNS,O
relaxed,IN,O
in,NN,O
view,MD,O
of,VB,O
the,VBN,O
rulings,IN,O
of,NN,O
the,IN,O
supreme,DT,O
court,NNS,O
in,IN,O
keshav,DT,O
chandra,JJ,O
joshi,NN,O
v,IN,O
union,NN,O
of,NN,O
india,NN,O
manu,NNP,O
sc,NN,O
0061,IN,O
1991manu,JJ,O
sc,NN,O
0061,NN,O
1991,CD,O
air1991sc284,CD,O
and,NN,O
in,CD,O
j,CD,O
k,NN,O
public,CC,B-LEGAL
service,IN,I-LEGAL
commission,JJ,I-LEGAL
v,NNP,O
narinder,NNP,O
mohan,NN,O
manu,NN,O
sc,FW,O
0426,JJR,O
1994manu,NN,O
sc,NN,O
0426,NN,O
1994,CD,O
1994illj780sc,CD,O
the,NN,O
high,CD,O
court,CD,O
is,CD,O
of,DT,O
the,JJ,O
further,NN,O
view,VBZ,O
that,IN,O
ear,DT,O
making,JJ,O
10,NN,O
additional,IN,O
posts,VBP,O
sanctioned,VBG,O
only,CD,O
to,JJ,O
the,NNS,O
women,VBD,O
candidates,RB,O
amount,TO,O
to,DT,O
cent,NNS,O
percent,NNS,O
reservation,VBP,O
in,TO,O
favour,VB,O
of,NN,O
women,NN,O
which,IN,O
is,NN,O
not,IN,O
legal,NNS,O
constitutionally,WDT,O
permissible,VBZ,O
even,RB,O
if,JJ,O
the,RB,O
reservation,JJ,O
provided,RB,O
under,IN,O
rule,DT,O
22,NN,O
a,VBD,O
of,IN,O
the,NN,O
ap,CD,O
state,DT,O
and,IN,O
subordinate,DT,B-LEGAL
service,NN,I-LEGAL
rules,NN,O
is,CC,O
made,JJ,O
applicable,NN,O
to,NNS,O
ap,VBZ,O
state,VBN,O
higher,JJ,O
judicial,TO,B-LEGAL
service,VB,I-LEGAL
the,NN,O
reservation,JJR,O
could,JJ,O
be,NN,O
to,DT,O
the,NN,O
extent,MD,O
of,VB,O
1,TO,O
3rd,DT,O
only,NN,O
for,IN,O
query,CD,O
no,CD,O
4,RB,O
since,IN,O
there,NN,O
is,DT,O
no,CD,O
rule,IN,O
under,EX,O
the,VBZ,O
spl,DT,O
rules,NN,O
for,IN,O
ap,DT,O
state,NN,O
higher,NNS,O
judicial,IN,B-LEGAL
service,NN,I-LEGAL
to,NN,O
absorb,JJR,O
the,JJ,O
family,NN,O
courts,TO,O
judges,VB,O
into,DT,O
the,NN,O
higher,NNS,O
judicial,NNS,B-LEGAL
service,IN,I-LEGAL
as,DT,O
district,JJR,O
sessions,JJ,O
judges,NN,O
grade,IN,O
ii,NN,O
as,NNS,O
and,NNS,O
when,VBP,O
vacancies,NN,O
in,IN,O
the,CC,O
cadre,WRB,B-LEGAL
to,NNS,O
the,IN,O
extent,DT,O
of,NN,O
reservation,TO,O
for,DT,O
women,NN,O
become,IN,O
available,NN,O
the,IN,O
high,NNS,O
court,VBP,O
is,JJ,O
of,DT,O
the,JJ,O
view,NN,O
that,VBZ,O
they,IN,O
cannot,DT,O
be,NN,O
absorbed,IN,O
in,PRP,O
view,MD,O
of,RB,O
rule,VB,O
2,VBN,O
read,IN,O
with,NN,O
rule,IN,O
6,NN,O
of,CD,O
the,NN,O
special,IN,O
rules,JJ,O
for,CD,O
ap,IN,O
state,DT,O
higher,JJ,O
judicial,NNS,B-LEGAL
service,IN,I-LEGAL
for,NN,O
query,NN,O
no,JJR,O
5,JJ,O
according,NN,O
to,IN,O
rule,NN,O
6,DT,O
of,CD,O
the,VBG,O
spl,TO,O
rules,VB,O
for,CD,O
ap,IN,O
state,DT,O
higher,NN,O
judicial,NNS,B-LEGAL
service,IN,I-LEGAL
seniority,NN,B-LEGAL
of,NN,O
a,JJR,O
person,JJ,O
appointed,NN,O
to,NN,O
the,IN,O
category,DT,O
of,NN,O
district,VBN,O
and,TO,O
sessions,DT,O
judges,NN,O
shall,IN,O
be,NN,O
determined,CC,O
with,NNS,O
reference,NNS,O
to,MD,O
the,VB,O
date,VBN,O
from,IN,O
which,NN,O
he,TO,O
was,DT,O
continuously,NN,O
on,IN,O
duty,WDT,O
in,PRP,O
the,VBD,O
category,RB,O
the,IN,O
spl,NN,O
rules,IN,O
do,DT,O
not,NN,O
provide,DT,O
to,NN,O
keep,NNS,O
provisionally,VBP,O
selected,RB,O
district,VB,O
judges,TO,O
out,VB,O
of,RB,O
service,VBN,O
as,NN,O
family,NNS,O
court,IN,O
and,IN,O
mahila,NN,O
court,IN,O
judges,NN,O
and,NN,O
recruiting,CC,O
them,JJ,O
into,NN,O
the,NNS,O
posts,CC,O
of,VBG,O
district,PRP,O
judges,IN,O
as,DT,O
and,NNS,O
when,IN,O
vacancies,NN,O
for,NNS,O
women,IN,O
for,CC,O
direct,WRB,B-LEGAL
recruitment,NNS,I-LEGAL
become,IN,O
available,NNS,O
in,IN,O
order,JJ,O
to,NN,O
their,NN,O
merit,JJ,O
and,IN,O
subject,NN,O
to,TO,O
the,PRP$,O
rule,NN,O
of,CC,O
reservation,JJ,O
therefore,TO,O
the,DT,O
high,NN,O
court,IN,O
is,NN,O
of,IN,O
the,DT,O
view,JJ,O
that,NN,O
the,VBZ,O
provisionally,IN,O
selected,DT,O
candidates,NN,O
as,IN,O
district,DT,O
judges,RB,O
cannot,VBN,O
be,NNS,O
kept,IN,O
out,NN,O
of,NNS,O
that,MD,O
service,RB,O
by,VB,O
provisional,VBN,O
appointment,IN,B-LEGAL
to,IN,O
some,DT,O
other,NN,O
post,IN,O
and,JJ,O
recruiting,NN,O
them,TO,O
into,DT,O
the,JJ,O
posts,NN,O
of,CC,O
district,VBG,O
judges,PRP,O
on,IN,O
the,DT,O
availability,NNS,O
of,IN,O
vacancies,NN,O
reserved,NNS,O
for,IN,O
women,DT,O
for,NN,O
query,IN,O
no,NNS,O
6,VBN,O
in,IN,O
view,NNS,O
of,IN,O
the,NN,O
above,DT,O
views,CD,O
expressed,IN,O
by,NN,O
the,IN,O
high,DT,O
court,JJ,O
this,NNS,O
query,VBN,O
needs,IN,O
no,DT,O
clarification,JJ,O
in,NN,O
the,DT,O
light,NN,O
of,VBZ,O
the,DT,O
above,NN,O
views,IN,O
for,DT,O
the,NN,O
queries,IN,O
raised,DT,O
by,JJ,O
the,NNS,O
government,IN,O
the,DT,O
high,NNS,O
court,VBN,O
of,IN,O
andhra,DT,O
pradesh,NN,O
is,DT,O
not,JJ,O
in,NN,O
favour,IN,O
of,NN,O
recommending,NN,O
any,VBZ,O
women,RB,O
candidates,IN,O
on,NN,O
provisional,IN,O
selection,VBG,O
for,DT,O
appointment,NNS,B-LEGAL
as,NNS,O
district,IN,O
and,JJ,O
sessions,NN,O
judges,IN,O
grade,NN,O
ii,IN,O
under,NN,O
the,CC,O
ap,NNS,O
state,NNS,O
higher,VBP,O
judicial,JJ,B-LEGAL
service,IN,I-LEGAL
in,DT,O
pursuance,NN,O
of,NN,O
the,JJR,O
notification,JJ,O
issued,NN,O
on,IN,O
the,NN,O
basis,IN,O
of,DT,O
the,NN,O
high,VBN,O
court,IN,O
s,DT,O
letter,NN,O
no,IN,O
4610,DT,O
96,JJ,O
bspl,NN,O
dated,VBD,O
7101996,NN,O
thus,DT,O
the,CD,O
full,CD,O
court,NN,O
in,VBD,O
its,CD,O
meeting,RB,O
held,DT,O
on,JJ,O
21st,NN,O
november,IN,O
2000,PRP$,O
was,NN,O
not,VBN,O
in,IN,O
favour,CD,O
of,JJ,O
appointing,CD,O
any,VBD,O
person,RB,O
from,IN,O
the,NN,O
panel,IN,O
prepared,VBG,O
earlier,DT,O
6,NN,O
it,IN,O
must,DT,O
be,NN,O
noted,VBD,O
that,RBR,O
the,CD,O
vacancies,PRP,O
were,MD,O
for,VB,O
judges,VBN,O
of,IN,O
family,DT,O
courts,NNS,O
and,VBD,O
mahila,IN,O
courts,NNS,O
these,IN,O
courts,NN,O
could,NNS,O
be,CC,O
manned,JJ,O
by,NNS,O
district,DT,O
and,NNS,O
sessions,MD,O
judges,VB,O
grade,VBN,O
ii,IN,O
the,NN,O
state,CC,O
government,NNS,O
had,NNS,O
thus,VBP,O
created,IN,O
10,DT,O
posts,NN,O
of,NN,O
district,VBD,O
and,RB,O
sessions,VBN,O
judge,CD,O
grade,NNS,O
ii,IN,O
the,NN,O
advertisement,CC,O
was,NNS,O
also,NN,O
for,VBD,O
appointment,IN,B-LEGAL
to,DT,O
the,NN,O
posts,VBD,O
of,RB,O
district,IN,O
and,NN,O
sessions,TO,O
judge,DT,O
grade,NNS,O
ii,IN,O
the,NN,O
appointments,CC,O
were,NNS,O
to,NN,O
be,VBD,O
not,IN,O
to,DT,O
any,NNS,O
ex,VBD,O
cadre,TO,B-LEGAL
posts,VB,O
but,RB,O
to,TO,O
posts,DT,O
in,JJ,O
the,NN,O
cadre,NNS,B-LEGAL
of,CC,O
district,TO,O
and,NNS,O
sessions,IN,O
judge,DT,O
grade,NN,O
ii,IN,O
the,NN,O
rules,CC,O
prescribed,NNS,O
that,NN,O
in,VBD,O
the,IN,O
cadre,DT,B-LEGAL
of,NNS,O
district,VBP,O
and,IN,O
sessions,IN,O
judges,DT,O
there,NN,O
had,IN,O
to,NN,O
be,CC,O
reservations,NNS,B-LEGAL
for,NNS,O
scheduled,RB,O
tribes,VBD,O
scheduled,TO,B-LEGAL
caste,VB,I-LEGAL
backward,NNS,O
classes,IN,O
group,JJ,O
a,NNS,O
b,VBN,O
c,RB,O
or,JJ,O
d,NNS,O
and,NN,O
women,DT,O
the,NN,O
rules,NN,O
did,CC,O
not,NN,O
allow,CC,O
100,NNS,O
reservation,DT,O
for,NNS,O
women,VBD,O
by,RB,O
reserving,VB,O
all,CD,O
the,NN,O
10,IN,O
posts,NNS,O
for,IN,O
women,VBG,O
the,PDT,O
high,DT,O
court,CD,O
had,NNS,O
inadvertently,IN,O
created,NNS,O
a,DT,O
100,JJ,O
reservation,NN,O
for,VBD,O
women,RB,O
further,VBN,O
the,DT,O
posts,CD,O
advertised,NN,O
were,IN,O
5,NNS,O
open,RB,O
competition,DT,O
2,NNS,O
scheduled,VBD,B-LEGAL
caste,VBD,I-LEGAL
1,CD,O
scheduled,JJ,B-LEGAL
tribe,NN,I-LEGAL
1,CD,O
backward,VBN,B-LEGAL
class,NN,I-LEGAL
group,CD,O
a,VBN,O
and,RB,O
1,CD,O
backward,JJ,B-LEGAL
class,NN,I-LEGAL
group,NN,O
b,DT,O
yet,CC,O
the,CD,O
panel,JJ,O
sent,NN,O
to,NN,O
the,NN,O
government,RB,O
consisted,DT,O
of,NN,O
7,VBD,O
opened,TO,O
competition,DT,O
candidates,NN,O
1,VBD,O
scheduled,IN,B-LEGAL
caste,CD,I-LEGAL
candidate,JJ,O
and,NN,O
1,NNS,O
backward,CD,B-LEGAL
class,VBN,I-LEGAL
group,NN,O
d,NN,O
candidate,CC,O
such,CD,O
a,JJ,O
selection,NN,O
was,NN,O
entirely,JJ,O
against,NN,O
the,PDT,O
rules,DT,O
and,NN,O
against,VBD,O
the,RB,O
reservation,IN,O
policy,DT,O
the,NNS,O
rules,CC,O
also,IN,O
required,DT,O
that,NN,O
if,NN,O
no,DT,O
sc,NNS,O
or,RB,O
st,VBD,O
candidate,IN,O
was,IN,O
available,DT,O
then,NN,O
the,CC,O
vacancy,JJ,O
had,NN,O
to,VBD,O
be,JJ,O
carried,RB,O
forward,DT,O
similarly,NN,O
the,VBD,O
vacancy,TO,O
of,VB,O
backward,VBN,B-LEGAL
class,RB,I-LEGAL
group,RB,O
a,DT,O
b,NN,O
c,IN,O
and,JJ,O
or,NN,O
d,NN,O
could,DT,O
not,NN,O
be,NN,O
converted,CC,O
into,CC,O
other,VB,O
category,MD,O
because,RB,O
of,VB,O
these,VBN,O
difficulties,IN,O
the,JJ,O
persons,NN,O
empanelled,IN,O
could,IN,O
not,DT,O
be,NNS,O
appointed,DT,O
in,NNS,O
the,VBD,O
cadre,MD,B-LEGAL
of,RB,O
district,VB,O
sessions,VBN,O
judge,IN,O
grade,DT,O
ii,NN,O
the,IN,O
high,NN,O
court,NNS,O
initially,NN,O
considered,VBD,O
that,IN,O
the,DT,O
petitioners,JJ,O
could,NN,O
be,RB,O
appointed,VBD,O
in,IN,O
ex,DT,O
cadre,NNS,B-LEGAL
posts,MD,O
as,VB,O
family,VBN,O
court,IN,O
and,NN,O
or,NN,O
mahila,NNS,O
court,IN,O
judges,NN,O
and,NN,O
then,CC,O
absorb,CC,O
them,JJ,O
in,NN,O
the,NNS,O
cadre,CC,B-LEGAL
of,RB,O
district,VB,O
and,PRP,O
sessions,IN,O
judge,DT,O
grade,NN,O
ii,IN,O
as,NN,O
and,CC,O
when,NNS,O
vacancy,NN,O
for,VBD,O
women,NN,O
arose,IN,O
the,CC,O
high,WRB,O
court,NN,O
correctly,IN,O
realised,NNS,O
that,VBP,O
this,DT,O
could,JJ,O
not,NN,O
be,RB,O
done,VBD,O
it,IN,O
was,DT,O
also,MD,O
noticed,RB,O
that,VB,O
the,VBN,O
candidates,PRP,O
provisionally,VBD,O
selected,RB,O
ie,VBN,O
the,IN,O
petitioners,DT,O
had,NNS,O
got,RB,O
less,VBN,O
marks,NN,O
than,DT,O
those,NNS,O
normally,VBD,O
prescribed,VBN,O
for,RBR,O
such,NNS,O
selection,IN,O
7,DT,O
it,JJ,O
must,VBN,O
be,IN,O
mentioned,JJ,O
that,NN,O
in,CD,O
the,PRP,O
meantime,MD,O
the,VB,O
petitioners,VBN,O
had,IN,O
made,IN,O
representations,DT,O
both,NN,O
to,DT,O
the,NNS,O
chief,VBD,O
justice,VBN,O
as,NNS,O
well,DT,O
as,TO,O
to,DT,O
the,JJ,O
chief,NN,O
minister,RB,O
they,RB,O
received,IN,O
no,TO,O
reply,DT,O
this,JJ,O
writ,NN,O
petition,PRP,O
was,VBD,O
thus,DT,O
filed,NN,O
by,DT,O
the,NN,O
nine,NN,O
women,VBD,O
lawyers,RB,O
who,VBN,O
were,IN,O
selected,DT,O
and,CD,O
whose,NNS,O
names,NNS,O
were,WP,O
forwarded,VBD,O
to,VBN,O
the,CC,O
state,WP$,O
government,NNS,O
for,VBD,O
appointment,VBN,B-LEGAL
the,TO,O
petitioners,DT,O
sought,NN,O
directions,NN,O
to,IN,O
appoint,NN,O
them,DT,O
in,NNS,O
the,VBD,O
cadre,NNS,B-LEGAL
of,TO,O
district,VB,O
and,PRP,O
sessions,IN,O
judges,DT,O
grade,NN,O
ii,IN,O
thereafter,NN,O
on,CC,O
20th,NNS,O
july,NNS,O
2000,VBP,O
another,JJ,O
advertisement,RB,O
was,IN,O
issued,CD,O
calling,NN,O
for,CD,O
applications,DT,O
for,NN,O
appointment,VBD,B-LEGAL
to,VBN,O
six,VBG,O
posts,IN,O
of,NNS,O
district,IN,O
judges,NN,O
in,TO,O
this,CD,O
advertisement,NNS,O
only,IN,O
one,NN,O
post,NNS,O
was,IN,O
reserved,DT,O
for,NN,O
women,RB,O
the,CD,O
petition,NN,O
was,VBD,O
thus,VBN,O
amended,IN,O
and,NNS,O
a,DT,O
further,NN,O
direction,VBD,O
to,RB,O
quash,VBN,O
the,CC,O
decision,DT,O
of,JJ,O
the,NN,O
full,TO,O
court,VB,O
not,DT,O
to,NN,O
appoint,IN,O
as,DT,O
per,JJ,O
the,NN,O
selection,RB,O
earlier,TO,O
made,VB,O
to,IN,O
quash,IN,O
the,DT,O
subsequent,NN,O
advertisement,RB,O
have,VBD,O
been,TO,O
sought,VB,O
8,DT,O
it,JJ,O
is,NN,O
settled,VBP,O
law,VBN,O
that,VBN,O
no,CD,O
right,PRP,O
accrues,VBZ,O
to,VBN,O
a,NN,O
person,IN,O
merely,DT,O
because,NN,O
a,VBZ,O
person,TO,O
is,DT,O
selected,NN,O
and,RB,O
his,IN,O
or,DT,O
her,NN,O
name,VBZ,O
is,VBN,O
put,CC,O
on,PRP$,O
a,CC,O
panel,PRP$,O
the,NN,O
petitioners,VBZ,O
have,VBN,O
no,IN,O
right,DT,O
to,NN,O
claim,DT,O
an,NNS,O
appointment,VBP,B-LEGAL
even,DT,O
otherwise,NN,O
the,TO,O
selection,VB,O
was,DT,O
contrary,NN,O
to,RB,O
the,RB,O
rules,DT,O
in,NN,O
force,VBD,O
at,JJ,O
that,TO,O
time,DT,O
there,NNS,O
could,IN,O
not,NN,O
be,IN,O
100,DT,O
reservation,NN,O
for,RB,O
women,MD,O
also,RB,O
the,VB,O
reservation,CD,O
policy,NN,O
had,IN,O
not,NNS,O
been,RB,O
adhered,DT,O
to,NN,O
the,NN,O
posts,VBD,O
which,RB,O
are,VBN,O
created,VBN,O
are,TO,O
posts,DT,O
of,NNS,O
district,WDT,O
and,VBP,O
sessions,VBN,O
judges,VBP,O
grade,NNS,O
ii,IN,O
there,NN,O
is,CC,O
no,NNS,O
separate,NNS,O
posts,VBP,O
of,NN,O
judges,EX,O
of,VBZ,O
family,DT,O
courts,JJ,O
and,NNS,O
mahila,IN,O
courts,NNS,O
thus,IN,O
the,NN,O
petitioners,NNS,O
could,CC,O
not,JJ,O
be,NNS,O
appointed,RB,O
as,DT,O
judges,NNS,O
of,MD,O
family,RB,O
courts,VB,O
and,VBN,O
mahila,IN,O
courts,NNS,O
in,IN,O
ex,NN,O
cadre,NNS,B-LEGAL
posts,CC,O
even,JJ,O
provisionally,NNS,O
this,IN,O
would,JJ,O
amount,NN,O
to,NNS,O
creation,RB,O
of,RB,O
ex,DT,O
cadre,MD,B-LEGAL
posts,VB,O
not,TO,O
sanctioned,NN,O
by,IN,O
the,JJ,O
government,NN,O
no,NNS,O
fault,RB,O
can,VBN,O
be,IN,O
found,DT,O
with,NN,O
the,DT,O
high,NN,O
court,MD,O
being,VB,O
in,VBN,O
favour,IN,O
of,DT,O
not,JJ,O
appointing,NN,O
the,VBG,O
petitioners,IN,O
9,NN,O
the,IN,O
unfortunate,RB,O
part,VBG,O
is,DT,O
that,NNS,O
even,CD,O
though,DT,O
family,JJ,O
court,NN,O
and,VBZ,O
mahila,IN,O
courts,RB,O
have,IN,O
been,NN,O
established,NN,O
no,CC,O
appointments,NN,O
have,NNS,O
been,VBP,O
made,VBN,O
thus,VBN,O
till,DT,O
date,NNS,O
the,VBP,O
family,VBN,O
courts,VBN,O
and,RB,O
mahila,VB,O
courts,NN,O
are,DT,O
not,NN,O
being,NNS,O
manned,CC,O
10,NN,O
mr,NNS,O
nagesxhwar,VBP,O
rao,RB,O
has,VBG,O
relied,VBN,O
upon,CD,O
the,JJ,O
case,JJ,O
of,NN,O
rs,VBZ,O
mittal,VBN,O
v,IN,O
union,DT,O
of,NN,O
india,IN,O
reported,NN,O
in,NN,O
manu,NNP,O
sc,NN,O
1009,IN,O
1995manu,NN,O
sc,VBN,O
1009,IN,O
1995,NN,O
19952scale433,NN,O
in,CD,O
this,CD,O
case,NN,O
even,CD,O
though,CD,O
the,CD,O
court,IN,O
was,DT,O
of,NN,O
the,RB,O
opinion,IN,O
that,DT,O
the,NN,O
selection,VBD,O
was,IN,O
not,DT,O
proper,NN,O
it,IN,O
refused,DT,O
to,NN,O
interfere,VBD,O
mr,RB,O
nageshwar,JJ,O
rao,PRP,O
also,VBD,O
relied,TO,O
on,VB,O
the,JJ,O
case,JJ,O
of,NN,O
munna,RB,O
roy,VBD,O
v,IN,O
union,DT,O
of,NN,O
india,IN,O
reported,NN,O
in,NN,O
manu,NNP,O
sc,NN,O
2607,IN,O
2000manu,NN,O
sc,VBN,O
2607,IN,O
2000,NN,O
20009scc283,NN,O
in,CD,O
this,CD,O
case,NN,O
the,CD,O
court,CD,O
directed,CD,O
appointment,IN,B-LEGAL
of,DT,O
the,NN,O
selected,DT,O
candidate,NN,O
in,VBD,O
spite,NN,O
of,IN,O
the,DT,O
fact,VBN,O
that,NN,O
she,IN,O
had,NN,O
no,IN,O
right,DT,O
to,NN,O
the,IN,O
appointment,PRP,B-LEGAL
both,VBD,O
these,DT,O
cases,NN,O
are,TO,O
based,DT,O
on,NN,O
the,DT,O
peculiar,DT,O
facts,NNS,O
of,VBP,O
those,VBN,O
cases,IN,O
11,DT,O
as,JJ,O
the,NNS,O
posts,IN,O
were,DT,O
lying,NNS,O
vacant,CD,O
for,IN,O
such,DT,O
a,NNS,O
long,VBD,O
period,VBG,O
of,NN,O
time,IN,O
initially,PDT,O
it,DT,O
was,JJ,O
suggested,NN,O
that,IN,O
if,NN,O
the,RB,O
petitions,PRP,O
filed,VBD,O
an,VBN,O
undertaking,IN,O
before,IN,O
this,DT,O
court,NNS,O
that,VBD,O
they,DT,O
are,NN,O
willing,IN,O
to,DT,O
be,NN,O
appointed,IN,O
in,PRP,O
ex,VBP,O
cadre,JJ,B-LEGAL
posts,TO,O
of,VB,O
judges,VBN,O
of,IN,O
the,NN,O
family,NN,O
court,NNS,O
and,IN,O
or,NNS,O
mahial,IN,O
court,DT,O
and,NN,O
that,NN,O
they,CC,O
will,CC,O
not,JJ,O
claim,NN,O
any,CC,O
right,IN,O
to,PRP,O
be,MD,O
subsequently,RB,O
absorbed,VB,O
in,DT,O
the,NN,O
cadre,TO,B-LEGAL
of,VB,O
district,RB,O
and,VBN,O
sessions,IN,O
judges,DT,O
grade,NN,O
ii,IN,O
then,NN,O
the,CC,O
court,NNS,O
could,NNS,O
consider,VBP,O
directing,JJ,O
the,RB,O
state,DT,O
government,NN,O
to,MD,O
appoint,VB,O
these,VBG,O
nine,DT,O
petitioners,NN,O
eight,NN,O
of,TO,O
these,VB,O
petitioners,DT,O
have,CD,O
filed,NNS,O
undertakings,CD,O
before,IN,O
this,DT,O
court,NNS,O
however,VBP,O
on,VBN,O
a,NNS,O
proper,IN,O
consideration,DT,O
of,NN,O
the,RB,O
matter,IN,O
we,DT,O
are,JJ,O
of,NN,O
the,IN,O
view,DT,O
that,NN,O
this,PRP,O
court,VBP,O
cannot,IN,O
direct,DT,O
the,NN,O
state,IN,O
government,DT,O
to,NN,O
appoint,MD,O
these,RB,O
petitioners,VB,O
if,DT,O
such,NN,O
a,NN,O
direction,TO,O
were,VB,O
to,DT,O
be,NNS,O
given,IN,O
this,JJ,O
court,DT,O
would,NN,O
be,VBD,O
crating,TO,O
ex,VB,O
cadre,VBN,B-LEGAL
posts,DT,O
and,NN,O
making,MD,O
appointments,VB,O
contrary,VBG,O
to,JJ,O
rules,JJ,O
thus,NNS,O
it,CC,O
is,VBG,O
not,NNS,O
possible,JJ,O
for,TO,O
this,NNS,O
court,RB,O
to,PRP,O
accede,VBZ,O
to,RB,O
the,JJ,O
request,IN,O
of,DT,O
mr,NN,O
nageshwar,TO,O
rao,VB,O
to,TO,O
appoint,DT,O
petitioners,NN,O
on,IN,O
the,JJ,O
ex,JJ,O
cadre,NN,B-LEGAL
posts,TO,O
as,VB,O
judges,NNS,O
of,IN,O
family,DT,O
courts,NN,O
and,NN,O
mahila,NNS,O
courts,IN,O
12,NNS,O
writ,IN,O
petition,NN,O
is,NNS,O
thus,CC,O
dismissed,JJ,O
there,NNS,O
will,CD,O
be,JJ,O
no,NN,O
order,VBZ,O
as,RB,O
to,VBN,O
costs,EX,O
