rp,NN,O
estimated,IN,O
market,DT,B-LEGAL
value,VBN,I-LEGAL
thereof,NN,O
provided,NN,O
further,NN,O
that,VBD,O
while,RBR,O
determining,IN,O
the,IN,O
annual,VBG,B-LEGAL
value,DT,I-LEGAL
in,JJ,O
the,NN,O
case,IN,O
of,DT,O
any,NN,O
land,IN,O
or,DT,O
building,NN,O
or,CC,O
portion,NN,O
thereof,CC,O
exclusively,NN,O
used,NN,O
by,RB,O
the,VBN,O
owner,IN,O
for,DT,O
his,NN,O
residential,IN,O
purpose,PRP$,O
the,JJ,O
gross,NN,B-LEGAL
annual,DT,I-LEGAL
rent,JJ,I-LEGAL
of,JJ,O
such,NN,O
land,IN,O
or,JJ,O
building,NN,O
or,CC,O
portion,NN,O
as,CC,O
the,NN,O
case,IN,O
maybe,DT,O
shall,NN,O
be,RB,O
reduced,MD,O
a,VB,O
where,VBN,O
the,DT,O
gross,WRB,B-LEGAL
annual,DT,I-LEGAL
rent,JJ,I-LEGAL
does,JJ,O
not,NN,O
exceed,VBZ,O
six,RB,O
hundred,VB,O
rupees,CD,O
by,VBN,O
thirty,NNS,O
per,IN,O
cent,NN,O
b,IN,O
where,NN,O
the,NN,O
gross,WRB,B-LEGAL
annual,DT,I-LEGAL
rent,JJ,I-LEGAL
exceeds,JJ,O
six,NN,O
hundred,NNS,O
rupees,CD,O
but,CD,O
does,NNS,O
not,CC,O
exceed,VBZ,O
eighteen,RB,O
thousand,VB,O
rupees,JJ,O
by,CD,O
such,NNS,O
percentage,IN,O
of,JJ,O
the,NN,O
gross,IN,B-LEGAL
annual,DT,I-LEGAL
rent,JJ,I-LEGAL
as,JJ,O
is,NN,O
worked,IN,O
out,VBZ,O
by,VBN,O
dividing,RP,O
the,IN,O
gross,VBG,B-LEGAL
annual,DT,I-LEGAL
rent,JJ,I-LEGAL
by,JJ,O
six,NN,O
hundred,IN,O
and,CD,O
subtracting,CD,O
the,CC,O
quotient,VBG,O
from,DT,O
thirty,NN,O
one,IN,O
the,NN,O
difference,CD,O
being,DT,O
rounded,NN,O
off,VBG,O
to,VBD,O
the,RB,O
nearest,TO,O
place,DT,O
of,JJS,O
decimal,NN,O
provided,IN,O
also,NN,O
that,VBN,O
no,RB,O
such,IN,O
reduction,DT,O
in,JJ,O
gross,NN,B-LEGAL
annual,IN,I-LEGAL
rent,JJ,I-LEGAL
shall,JJ,O
be,NN,O
made,MD,O
a,VB,O
in,VBN,O
case,DT,O
the,IN,O
total,NN,O
covered,DT,O
area,NN,O
in,VBD,O
any,NN,O
land,IN,O
or,DT,O
building,NN,O
under,CC,O
occupation,NN,O
for,IN,O
residential,NN,O
purpose,IN,O
by,JJ,O
the,NN,O
owner,IN,O
exceeds,DT,O
one,NN,O
hundred,VBZ,O
and,CD,O
fifty,NN,O
square,CC,O
meters,JJ,O
or,NN,O
b,NNS,O
where,CC,O
a,VB,O
person,WRB,O
owns,DT,O
or,NN,O
occupies,VBZ,O
for,CC,O
residential,NNS,O
purposes,IN,O
more,JJ,O
than,NNS,O
one,JJR,O
plot,IN,O
of,CD,O
land,NN,O
or,IN,O
building,NN,O
or,CC,O
portions,NN,O
thereof,CC,O
within,NNS,O
the,IN,O
municipal,IN,B-LEGAL
limit,DT,I-LEGAL
of,JJ,O
calcutta,NN,O
2,IN,O
the,NN,O
annual,CD,B-LEGAL
value,DT,I-LEGAL
of,JJ,O
any,NN,O
land,IN,O
which,DT,O
is,NN,O
not,WDT,O
built,VBZ,O
upon,RB,O
shall,VBN,O
be,IN,O
fixed,MD,O
at,VB,O
seven,VBN,O
per,IN,O
cent,CD,O
of,IN,O
the,NN,O
estimated,IN,O
market,DT,B-LEGAL
value,VBN,I-LEGAL
of,NN,O
the,NN,O
land,IN,O
3,DT,O
if,NN,O
the,CD,O
gross,IN,B-LEGAL
annual,DT,I-LEGAL
rent,JJ,I-LEGAL
of,JJ,O
any,NN,O
class,IN,O
or,DT,O
classes,NN,O
of,CC,O
land,NNS,O
or,IN,O
buildings,NN,O
used,CC,O
exclusively,NNS,O
for,VBN,O
hospital,RB,O
or,IN,O
educational,NN,O
purposes,CC,O
or,JJ,O
for,NNS,O
the,CC,O
purposes,IN,O
of,DT,O
sports,NNS,O
or,IN,O
as,NNS,O
a,CC,O
place,IN,O
of,DT,O
worship,NN,O
or,IN,O
as,NN,O
a,CC,O
place,IN,O
for,DT,O
disposal,NN,O
of,IN,O
the,NN,O
dead,IN,O
cannot,DT,O
be,JJ,O
easily,MD,O
estimated,RB,O
the,VB,O
gross,RB,B-LEGAL
annual,VBN,I-LEGAL
rent,DT,I-LEGAL
of,JJ,O
such,JJ,O
building,NN,O
shall,IN,O
be,JJ,O
deemed,NN,O
to,MD,O
be,VB,O
five,VBN,O
per,TO,O
cent,VB,O
of,CD,O
the,IN,O
value,NN,O
of,IN,O
the,DT,O
building,NN,O
obtained,IN,O
by,DT,O
adding,NN,O
the,VBN,O
estimated,IN,O
cost,VBG,O
of,DT,O
erecting,VBN,O
the,NN,O
building,IN,O
at,VBG,O
the,DT,O
time,NN,O
of,IN,O
assessment,DT,B-LEGAL
less,NN,O
a,IN,O
reasonable,NN,O
amount,CC,O
to,DT,O
be,JJ,O
deducted,NN,O
on,TO,O
account,VB,O
of,VBN,O
depreciation,IN,O
if,NN,O
any,IN,O
to,NN,O
the,IN,O
estimated,DT,O
present,TO,O
market,DT,B-LEGAL
value,VBN,I-LEGAL
of,JJ,O
the,NN,O
land,NN,O
valued,IN,O
with,DT,O
the,NN,O
building,VBN,O
as,IN,O
part,DT,O
of,NN,O
the,IN,O
same,NN,O
premises,IN,O
4,DT,O
in,JJ,O
the,VBZ,O
case,CD,O
of,IN,O
any,DT,O
land,NN,O
or,IN,O
building,DT,O
or,NN,O
part,CC,O
thereof,NN,O
used,CC,O
for,NN,O
public,NNS,O
cinema,VBN,O
shows,IN,O
or,JJ,O
theatrical,NN,O
performances,NNS,O
or,CC,O
as,JJ,O
a,NNS,O
place,CC,O
of,IN,O
similar,DT,O
public,NN,O
recreation,IN,O
amusement,JJ,O
or,JJ,O
entertainment,NN,O
the,NN,O
gross,CC,B-LEGAL
annual,NN,I-LEGAL
rent,DT,I-LEGAL
of,JJ,O
such,JJ,O
land,NN,O
or,IN,O
building,JJ,O
or,NN,O
part,CC,O
thereof,NN,O
as,CC,O
the,NN,O
case,NN,O
may,IN,O
be,DT,O
shall,NN,O
be,MD,O
deemed,VB,O
to,MD,O
be,VB,O
seven,VBN,O
and,TO,O
a,VB,O
half,CD,O
per,CC,O
cent,DT,O
of,JJ,O
the,IN,O
gross,NN,O
annual,IN,O
receipts,DT,O
in,JJ,O
respect,JJ,O
of,NNS,O
such,IN,O
cinema,NN,O
shows,IN,O
or,JJ,O
theatrical,NN,O
performances,NNS,O
or,CC,O
place,JJ,O
of,NNS,O
public,CC,O
recreation,NN,O
amusement,IN,O
or,JJ,O
entertainment,NN,O
including,NN,O
receipts,CC,O
from,NN,O
rent,VBG,O
and,NNS,O
advertisements,IN,O
and,NN,O
sale,CC,O
of,NNS,O
admission,CC,O
tickets,NN,O
but,IN,O
excluding,JJ,O
taxes,NNS,O
on,CC,O
the,VBG,O
same,NNS,O
of,IN,O
such,DT,O
tickets,JJ,O
provided,IN,O
that,JJ,O
the,NNS,O
provisions,VBD,O
of,IN,O
this,DT,O
sub,NNS,O
section,IN,O
shall,DT,O
not,JJ,O
apply,NN,O
in,MD,O
the,RB,O
case,VB,O
of,IN,O
temporary,DT,O
fairs,NN,O
circuses,IN,O
and,JJ,O
casual,NNS,O
shows,NNS,O
or,CC,O
performances,JJ,O
4a,NNS,O
if,CC,O
the,NNS,O
gross,CD,B-LEGAL
annual,IN,I-LEGAL
rent,DT,I-LEGAL
of,JJ,O
any,JJ,O
land,NN,O
or,IN,O
building,DT,O
or,NN,O
part,CC,O
thereof,NN,O
cannot,CC,O
be,NN,O
easily,NNS,O
estimated,MD,O
the,RB,O
gross,VB,B-LEGAL
annual,RB,I-LEGAL
rent,VBN,I-LEGAL
of,DT,O
such,JJ,O
land,JJ,O
or,NN,O
building,IN,O
for,JJ,O
the,NN,O
purposes,CC,O
of,NN,O
sub,IN,O
section,DT,O
1,NNS,O
shall,IN,O
be,JJ,O
deemed,NN,O
to,CD,O
be,MD,O
seven,VB,O
and,VBN,O
half,TO,O
per,VB,O
cent,CD,O
of,CC,O
the,JJ,O
value,IN,O
of,NN,O
the,IN,O
building,DT,O
obtained,NN,O
by,IN,O
adding,DT,O
the,NN,O
estimated,VBN,O
present,IN,O
cost,VBG,O
of,DT,O
erecting,VBN,O
the,JJ,O
building,NN,O
at,IN,O
the,VBG,O
time,DT,O
of,NN,O
assessment,IN,B-LEGAL
less,DT,O
a,NN,O
reasonable,IN,O
amount,NN,O
to,CC,O
be,DT,O
deducted,JJ,O
on,NN,O
account,TO,O
of,VB,O
depreciation,VBN,O
if,IN,O
any,NN,O
to,IN,O
the,NN,O
estimated,IN,O
present,DT,O
market,TO,B-LEGAL
value,DT,I-LEGAL
of,VBN,O
the,JJ,O
land,NN,O
provided,NN,O
that,IN,O
the,DT,O
estimated,NN,O
present,VBD,O
cost,IN,O
shall,DT,O
not,VBN,O
include,NN,O
the,NN,O
cost,MD,O
of,RB,O
any,VB,O
plant,DT,O
or,NN,O
machinery,IN,O
excepting,DT,O
those,NN,O
enumerated,CC,O
in,NN,O
schedule,VBG,O
viii,DT,O
on,VBN,O
the,IN,O
land,NN,O
or,NN,O
the,IN,O
building,DT,O
as,NN,O
aforesaid,CC,O
5,DT,O
the,NN,O
annual,IN,B-LEGAL
value,NN,I-LEGAL
as,CD,O
determined,DT,O
under,JJ,O
this,NN,O
chapter,IN,O
shall,VBN,O
be,IN,O
rounded,DT,O
off,NN,O
to,MD,O
the,VB,O
nearest,VBN,O
ten,RB,O
rupees,TO,O
section,DT,O
180,JJS,O
deals,NN,O
with,VBZ,O
the,NN,O
revision,CD,B-LEGAL
of,NNS,I-LEGAL
assessment,IN,I-LEGAL
and,DT,O
section,NN,O
181,IN,O
provides,NN,O
for,CC,O
settlement,NN,O
of,CD,O
returns,VBZ,O
and,IN,O
inspection,NN,O
of,IN,O
lands,NNS,O
and,CC,O
buildings,NN,O
for,IN,O
the,NNS,O
purposes,CC,O
of,NNS,O
assessment,IN,B-LEGAL
section,DT,O
136,NNS,O
provides,IN,O
that,JJ,O
subject,NN,O
to,CD,O
provisions,VBZ,O
of,IN,O
section,NN,O
181,TO,O
or,NNS,O
section,IN,O
182,NN,O
any,CD,O
objection,CC,O
to,NN,O
the,CD,O
annual,DT,B-LEGAL
value,NN,I-LEGAL
of,TO,O
the,DT,O
land,JJ,O
and,NN,O
building,IN,O
as,DT,O
entered,NN,O
in,CC,O
the,NN,O
assessment,IN,B-LEGAL
list,VBN,O
shall,IN,O
be,DT,O
made,JJ,O
by,NN,O
the,MD,O
owner,VB,O
or,VBN,O
the,IN,O
person,DT,O
liable,NN,O
to,CC,O
pay,DT,O
the,NN,O
consolidated,JJ,O
rate,TO,O
in,VB,O
writing,DT,O
to,JJ,O
the,NN,O
municipal,IN,O
commissioner,VBG,O
before,TO,O
the,DT,O
date,JJ,O
fixed,NN,O
in,IN,O
the,DT,O
notice,NN,O
under,VBN,O
section,IN,O
194,DT,O
or,NN,O
section,IN,O
195,NN,O
and,CD,O
shall,CC,O
state,NN,O
in,CD,O
what,CC,O
respect,MD,O
the,NN,O
annual,IN,B-LEGAL
value,WP,I-LEGAL
is,VBP,O
disputed,DT,O
section,JJ,O
188,NN,O
deals,VBZ,O
with,VBN,O
the,NN,O
hearing,CD,O
of,NNS,O
objections,IN,O
and,DT,O
section,NN,O
189,IN,O
provides,NNS,O
an,CC,O
appeal,NN,O
before,CD,O
the,VBZ,O
municipal,DT,O
assessment,NN,B-LEGAL
tribunal,IN,O
section,DT,O
193catalogues,JJ,O
the,JJ,O
incidence,JJ,O
of,NN,O
consolidated,CD,O
rate,DT,O
on,NN,O
lands,IN,O
and,JJ,O
buildings,NN,O
and,IN,O
provides,NNS,O
1931,CC,O
the,NNS,O
consolidated,CC,O
rate,VBZ,O
on,CD,O
lands,DT,O
and,JJ,O
buildings,NN,O
shall,IN,O
be,NNS,O
primarily,CC,O
leviable,NNS,O
a,MD,O
if,VB,O
the,RB,O
land,VB,O
or,DT,O
building,IN,O
is,DT,O
let,NN,O
upon,CC,O
the,NN,O
lessor,VBZ,O
b,VBN,O
if,IN,O
the,DT,O
land,NN,O
or,NN,O
building,IN,O
is,DT,O
sublet,NN,O
upon,CC,O
the,NN,O
superior,VBZ,O
lessor,VBN,O
c,IN,O
if,DT,O
the,JJ,O
land,NN,O
and,NN,O
building,IN,O
is,DT,O
unlet,NN,O
upon,CC,O
the,NN,O
person,VBZ,O
in,JJ,O
whom,IN,O
the,DT,O
right,NN,O
to,IN,O
let,WP,O
such,DT,O
land,NN,O
or,TO,O
building,VB,O
vests,JJ,O
2,NN,O
the,CC,O
consolidated,NN,O
rate,NNS,O
on,CD,O
any,DT,O
land,JJ,O
or,NN,O
building,IN,O
which,DT,O
is,NN,O
the,CC,O
property,NN,O
of,WDT,O
the,VBZ,O
corporation,DT,O
and,NN,O
the,IN,O
possession,DT,O
of,NN,O
which,CC,O
has,DT,O
been,NN,O
delivered,IN,O
under,WDT,O
any,VBZ,O
agreement,VBN,O
or,VBN,O
licensing,IN,O
arrangement,DT,O
shall,NN,O
be,CC,O
leviable,NN,O
upon,NN,O
the,MD,O
transferee,VB,O
or,JJ,O
the,IN,O
licensee,DT,O
as,NN,O
the,CC,O
case,DT,O
may,NN,O
be,IN,O
3,DT,O
the,NN,O
liability,MD,O
of,VB,O
the,CD,O
several,DT,O
owners,NN,O
of,IN,O
any,DT,O
land,JJ,O
or,NNS,O
building,IN,O
constituting,DT,O
a,NN,O
single,CC,O
unit,NN,O
of,VBG,O
assessment,DT,B-LEGAL
which,JJ,O
is,NN,O
of,IN,O
purports,NN,O
to,WDT,O
be,VBZ,O
severally,IN,O
owned,NNS,O
in,TO,O
part,VB,O
or,RB,O
flats,VBN,O
or,IN,O
rooms,NN,O
for,CC,O
payment,NNS,O
of,CC,O
consolidated,NNS,O
rates,IN,O
or,NN,O
any,IN,O
installment,JJ,O
thereof,NNS,O
payable,CC,O
during,DT,O
the,JJ,O
period,NN,O
of,JJ,O
such,IN,O
ownership,DT,O
shall,NN,O
be,IN,O
joint,JJ,O
and,NN,O
several,MD,O
provided,VB,O
that,JJ,O
the,CC,O
municipal,JJ,O
commissioner,VBD,O
may,IN,O
apportion,DT,O
the,JJ,O
amount,NN,O
of,MD,O
consolidated,VB,O
rate,DT,O
on,NN,O
which,IN,O
land,JJ,O
or,NN,O
building,IN,O
among,WDT,O
the,NN,O
co,CC,O
owners,NN,O
4,IN,O
notwithstanding,DT,O
the,NN,O
vesting,NNS,O
of,CD,O
any,VBG,O
land,DT,O
in,NN,O
the,IN,O
state,DT,O
under,NN,O
the,IN,O
calcutta,DT,O
thika,NN,O
tenancyacquisition,IN,O
and,DT,O
regulation,NN,O
act,JJ,O
1981,NN,O
in,CC,O
the,NN,O
case,NN,O
of,CD,O
any,IN,O
land,DT,O
comprised,NN,O
in,IN,O
a,DT,O
thika,NN,O
tenancy,VBN,O
the,IN,O
consolidated,DT,O
rate,JJ,O
assessed,NN,O
in,DT,O
respect,JJ,O
of,NN,O
such,VBN,O
land,IN,O
and,NN,O
any,IN,O
hut,JJ,O
or,NN,O
building,CC,O
made,DT,O
thereon,NN,O
shall,CC,O
be,NN,O
primarily,VBN,O
leviable,NN,O
upon,MD,O
then,VB,O
thika,RB,O
tenant,JJ,O
7,IN,O
section,RB,O
194,EX,O
provides,JJ,O
194,CD,O
apportionment,NN,O
of,CD,O
liability,VBZ,O
for,CD,O
consolidated,NN,O
rate,IN,O
on,NN,O
land,IN,O
or,JJ,O
building,NN,O
when,IN,O
the,NN,O
premises,CC,O
assessed,NN,O
are,WRB,O
let,DT,O
or,NNS,O
sublet,VBN,O
1,VBP,O
if,RBR,O
the,CC,O
annual,VB,O
valuation,CD,O
of,IN,O
any,DT,O
land,JJ,O
or,NN,O
building,IN,O
exceeds,DT,O
the,NN,O
amount,CC,O
calculated,NN,O
on,VBZ,O
the,DT,O
basis,NN,O
of,VBD,O
the,IN,O
rent,DT,O
of,NN,O
such,IN,O
land,DT,O
or,NN,O
building,IN,O
payable,JJ,O
to,NN,O
the,CC,O
person,NN,O
upon,JJ,O
whom,TO,O
the,DT,O
consolidated,NN,O
rate,IN,O
on,WP,O
such,DT,O
land,JJ,O
or,NN,O
building,IN,O
isle,JJ,O
viable,NN,O
under,CC,O
section,NN,O
193,NN,O
such,JJ,O
person,IN,O
shall,NN,O
be,CD,O
entitled,JJ,O
to,NN,O
receive,MD,O
from,VB,O
his,VBN,O
tenant,TO,O
and,VB,O
difference,IN,O
between,PRP$,O
the,NN,O
amount,CC,O
of,NN,O
the,IN,O
consolidated,DT,O
rate,NN,O
on,IN,O
such,DT,O
land,JJ,O
or,NN,O
building,IN,O
and,JJ,O
the,NN,O
amount,CC,O
which,NN,O
would,CC,O
be,DT,O
leviable,NN,O
if,WDT,O
the,MD,O
consolidated,VB,O
rate,JJ,O
on,IN,O
such,DT,O
land,JJ,O
or,NN,O
building,IN,O
were,JJ,O
calculated,NN,O
on,CC,O
the,NN,O
basis,VBD,O
of,VBN,O
the,IN,O
rent,DT,O
payable,NN,O
to,IN,O
him,DT,O
2,NN,O
if,JJ,O
the,TO,O
annual,PRP,O
valuation,CD,O
of,IN,O
any,DT,O
land,JJ,O
or,NN,O
building,IN,O
which,DT,O
is,NN,O
sublet,CC,O
exceeds,NN,O
the,WDT,O
amount,VBZ,O
calculated,JJ,O
on,IN,O
the,DT,O
basis,NN,O
of,VBD,O
rent,IN,O
of,DT,O
such,NN,O
land,IN,O
or,NN,O
building,IN,O
payable,JJ,O
to,NN,O
the,CC,O
tenant,NN,O
by,JJ,O
his,TO,O
sub,DT,O
tenant,NN,O
or,IN,O
to,PRP$,O
the,NN,O
sub,NN,O
tenant,CC,O
by,TO,O
the,DT,O
person,NN,O
holding,NN,O
under,IN,O
him,DT,O
the,NN,O
tenant,VBG,O
or,IN,O
the,PRP,O
sub,DT,O
tenant,NN,O
shall,CC,O
be,DT,O
entitled,NN,O
to,NN,O
receive,MD,O
from,VB,O
his,VBN,O
sub,TO,O
tenant,VB,O
or,IN,O
the,PRP$,O
person,NN,O
holding,NN,O
under,CC,O
him,DT,O
as,NN,O
the,VBG,O
case,IN,O
may,PRP,O
be,IN,O
the,DT,O
difference,NN,O
between,MD,O
any,VB,O
sum,DT,O
recovered,NN,O
under,IN,O
this,DT,O
act,NN,O
from,VBN,O
such,IN,O
tenant,DT,O
or,NN,O
sub,IN,O
tenant,JJ,O
and,NN,O
the,CC,O
amount,NN,O
of,NN,O
consolidated,CC,O
rate,DT,O
on,NN,O
such,IN,O
land,JJ,O
or,NN,O
building,IN,O
which,JJ,O
would,NN,O
be,CC,O
leviable,NN,O
if,WDT,O
the,MD,O
annual,VB,O
valuation,JJ,O
of,IN,O
such,DT,O
land,JJ,O
or,NN,O
building,IN,O
were,JJ,O
calculated,NN,O
on,CC,O
the,NN,O
basis,VBD,O
of,VBN,O
rent,IN,O
payable,DT,O
to,NN,O
the,IN,O
tenant,NN,O
by,JJ,O
him,TO,O
sub,DT,O
tenant,NN,O
or,IN,O
the,PRP,O
sub,VB,O
tenant,NN,O
by,CC,O
the,DT,O
person,NN,O
holding,NN,O
under,IN,O
him,DT,O
8,NN,O
it,VBG,O
may,IN,O
be,PRP,O
noticed,CD,O
at,PRP,O
this,MD,O
stage,VB,O
that,VBN,O
before,IN,O
the,DT,O
incorporation,NN,O
of,WDT,O
section,IN,O
174,DT,O
of,NN,O
1980,IN,O
act,NN,O
section,CD,O
168,IN,O
of,CD,O
the,NN,O
calcutta,NN,O
municipal,CD,B-LEGAL
act,IN,I-LEGAL
1951,DT,O
dealt,NN,O
with,JJ,O
the,NN,O
assessment,CD,B-LEGAL
of,NN,O
lands,IN,O
and,DT,O
buildings,NN,O
to,IN,O
the,NNS,O
consolidated,CC,O
rate,NNS,O
sub,TO,O
section1,DT,O
of,JJ,O
section,NN,O
168,NN,O
provided,NN,O
168,IN,O
1,NN,O
for,CD,O
the,VBD,O
purposes,CD,O
of,CD,O
assessment,IN,B-LEGAL
to,DT,O
the,NNS,O
consolidated,IN,O
rate,NN,O
the,TO,O
annual,DT,B-LEGAL
value,JJ,I-LEGAL
of,NN,O
any,DT,O
land,JJ,O
or,NN,O
building,IN,O
shall,DT,O
be,NN,O
deemed,CC,O
to,NN,O
be,MD,O
the,VB,O
gross,VBN,B-LEGAL
annual,TO,I-LEGAL
rent,VB,I-LEGAL
at,DT,O
which,JJ,O
the,JJ,O
land,NN,O
or,IN,O
building,WDT,O
might,DT,O
at,NN,O
the,CC,O
time,NN,O
of,MD,O
assessment,IN,B-LEGAL
be,DT,O
reasonably,NN,O
expected,IN,O
to,NN,O
let,VB,O
from,RB,O
year,VBN,O
to,TO,O
year,VB,O
less,IN,O
in,NN,O
the,TO,O
case,NN,O
of,RBR,O
a,IN,O
building,DT,O
an,NN,O
allowance,IN,O
of,DT,O
ten,NN,O
per,DT,O
cent,NN,O
for,IN,O
the,JJ,O
cost,IN,O
of,NN,O
repairs,IN,O
and,DT,O
for,NN,O
all,IN,O
other,NNS,O
expenses,CC,O
necessary,IN,O
to,DT,O
maintain,JJ,O
the,NNS,O
building,JJ,O
in,TO,O
a,VB,O
state,DT,O
to,NN,O
command,IN,O
such,DT,O
gross,NN,O
rent,TO,O
provided,VB,O
that,JJ,O
in,JJ,O
respect,NN,O
of,VBD,O
any,IN,O
land,IN,O
or,NN,O
building,IN,O
the,DT,O
rent,NN,O
of,CC,O
which,VBG,O
has,DT,O
been,NN,O
fixed,IN,O
under,WDT,O
the,VBZ,O
provisions,VBN,O
of,VBN,O
west,IN,O
bengal,DT,O
premises,NNS,O
rent,IN,O
controltemporary,JJ,O
provisions,JJ,O
act,NNS,O
1950,VBP,O
or,JJ,O
the,NNS,O
west,NN,O
bengal,CD,O
premises,CC,O
tenancy,DT,O
act,JJS,O
1956,JJ,O
the,NNS,O
annual,NN,B-LEGAL
value,NN,I-LEGAL
thereof,CD,O
shall,DT,O
not,JJ,O
exceed,NN,O
the,VB,O
annual,MD,O
amount,RB,O
of,VB,O
the,DT,O
rent,JJ,O
so,NN,O
fixed,IN,O
similarly,DT,O
section,NN,O
127,RB,O
of,JJ,O
the,JJ,O
calcutta,NN,O
municipal,CD,B-LEGAL
act,IN,I-LEGAL
1923,DT,O
provide,NN,O
127,JJ,O
for,NN,O
the,CD,O
purpose,NN,O
of,CD,O
assessing,IN,O
land,DT,O
and,NN,O
building,IN,O
to,VBG,O
the,NN,O
consolidated,CC,O
rate,NN,O
a,TO,O
the,DT,O
annual,JJ,B-LEGAL
value,NN,I-LEGAL
of,DT,O
land,DT,O
and,JJ,O
the,NN,O
annual,IN,B-LEGAL
value,NN,I-LEGAL
of,CC,O
any,DT,O
building,JJ,O
erected,NN,O
for,IN,O
letting,DT,O
purpose,NN,O
or,VBN,O
ordinarily,IN,O
let,VBG,O
shall,NN,O
be,CC,O
deemed,RB,O
to,VB,O
be,MD,O
the,VB,O
gross,VBN,B-LEGAL
annual,TO,I-LEGAL
rent,VB,I-LEGAL
at,DT,O
which,JJ,O
the,JJ,O
land,NN,O
or,IN,O
building,WDT,O
might,DT,O
at,NN,O
the,CC,O
time,NN,O
of,MD,O
assessment,IN,B-LEGAL
reasonably,DT,O
be,NN,O
expected,IN,O
to,NN,O
let,RB,O
from,VB,O
year,VBN,O
to,TO,O
year,VB,O
less,IN,O
in,NN,O
the,TO,O
case,NN,O
of,RBR,O
a,IN,O
building,DT,O
an,NN,O
allowance,IN,O
of,DT,O
ten,NN,O
per,DT,O
cent,NN,O
for,IN,O
the,JJ,O
cost,IN,O
of,NN,O
repairs,IN,O
and,DT,O
for,NN,O
all,IN,O
other,NNS,O
expenses,CC,O
necessary,IN,O
to,DT,O
maintain,JJ,O
the,NNS,O
building,JJ,O
in,TO,O
a,VB,O
state,DT,O
to,NN,O
command,IN,O
such,DT,O
gross,NN,O
rent,TO,O
and,VB,O
b,JJ,O
the,JJ,O
annual,NN,B-LEGAL
value,CC,I-LEGAL
of,VB,O
any,DT,O
building,JJ,O
not,NN,O
erected,IN,O
for,DT,O
letting,NN,O
purposes,RB,O
and,VBN,O
not,IN,O
ordinarily,VBG,O
let,NNS,O
shall,CC,O
be,RB,O
deemed,RB,O
to,VB,O
be,MD,O
five,VB,O
per,VBN,O
cent,TO,O
on,VB,O
the,CD,O
sum,IN,O
obtained,NN,O
by,IN,O
adding,DT,O
the,NN,O
estimated,VBN,O
present,IN,O
cost,VBG,O
of,DT,O
erecting,VBN,O
the,JJ,O
building,NN,O
less,IN,O
reasonable,VBG,O
amount,DT,O
to,NN,O
be,RBR,O
deducted,JJ,O
on,NN,O
account,TO,O
of,VB,O
depreciation,VBN,O
if,IN,O
any,NN,O
to,IN,O
the,NN,O
estimated,IN,O
present,DT,O
value,TO,O
of,DT,O
the,VBN,O
land,JJ,O
valued,NN,O
with,IN,O
the,DT,O
building,NN,O
as,VBN,O
part,IN,O
of,DT,O
the,NN,O
same,IN,O
premises,NN,O
provided,IN,O
as,DT,O
follows,JJ,O
i,NNS,O
the,VBD,O
annual,IN,B-LEGAL
value,VBZ,I-LEGAL
of,VBP,O
the,DT,O
bustee,JJ,O
shall,NN,O
be,IN,O
deemed,DT,O
to,NN,O
be,MD,O
the,VB,O
gross,VBN,B-LEGAL
annual,TO,I-LEGAL
rent,VB,I-LEGAL
at,DT,O
which,JJ,O
the,JJ,O
land,NN,O
contained,IN,O
within,WDT,O
it,DT,O
excluding,NN,O
the,VBD,O
lands,IN,O
which,PRP,O
have,VBG,O
been,DT,O
left,NNS,O
vacant,WDT,O
for,VBP,O
the,VBN,O
purposes,VBN,O
of,NN,O
any,IN,O
bustee,DT,O
street,NNS,O
prescribed,IN,O
in,DT,O
or,NN,O
under,NN,O
a,VBN,O
standard,IN,O
plan,CC,O
approved,IN,O
by,DT,O
the,JJ,O
corporation,NN,O
under,VBN,O
chapter,IN,O
xxii,DT,O
might,NN,O
reasonably,IN,O
be,NN,O
expected,NN,O
to,MD,O
let,RB,O
from,VB,O
year,VBN,O
to,TO,O
year,VB,O
plus,IN,O
the,NN,O
gross,TO,B-LEGAL
annual,NN,I-LEGAL
rent,CC,I-LEGAL
at,DT,O
which,JJ,O
the,JJ,O
huts,NN,O
erected,IN,O
thereon,WDT,O
might,DT,O
reasonably,NNS,O
be,VBD,O
expected,NN,O
to,MD,O
let,RB,O
from,VB,O
year,VBN,O
to,TO,O
year,VB,O
after,IN,O
deducting,NN,O
therefrom,TO,O
the,NN,O
rent,IN,O
of,VBG,O
the,IN,O
land,DT,O
and,NN,O
an,IN,O
allowance,DT,O
of,NN,O
ten,CC,O
per,DT,O
cent,NN,O
for,IN,O
the,JJ,O
cost,IN,O
of,NN,O
repairs,IN,O
and,DT,O
for,NN,O
all,IN,O
expenses,NNS,O
necessary,CC,O
to,IN,O
maintain,DT,O
such,NNS,O
huts,JJ,O
in,TO,O
state,VB,O
to,JJ,O
command,NNS,O
such,IN,O
gross,NN,O
rent,TO,O
ii,VB,O
in,JJ,O
calculating,JJ,O
the,NN,O
value,NN,O
of,IN,O
any,VBG,O
land,DT,O
or,NN,O
building,IN,O
under,DT,O
this,NN,O
section,CC,O
the,NN,O
value,IN,O
of,DT,O
any,NN,O
machinery,DT,O
on,NN,O
such,IN,O
land,DT,O
or,NN,O
in,IN,O
such,JJ,O
building,NN,O
shall,CC,O
be,IN,O
excluded,JJ,O
but,NN,O
all,MD,O
