jasti,NN,O
regulation,NN,O
corresponding,VBG,O
to,TO,O
the,DT,O
quantity,NN,O
of,IN,O
the,DT,O
coal,NN,O
being,VBG,O
supplied,VBN,O
to,TO,O
the,DT,O
mundra,NN,O
power,NN,O
project,NN,O
should,MD,O
be,VB,O
factored,VBN,O
to,TO,O
pass,VB,O
on,IN,O
the,DT,O
same,JJ,O
in,IN,O
full,JJ,O
to,TO,O
the,DT,O
beneficiaries,NNS,O
in,IN,O
the,DT,O
compensatory,NN,O
tariff,NN,B-LEGAL
b,VBD,O
the,DT,O
possibility,NN,O
of,IN,O
sharing,VBG,O
the,DT,O
revenue,NN,O
due,JJ,B-LEGAL
to,TO,O
sale,NN,O
of,IN,O
power,NN,O
beyond,IN,O
the,DT,O
target,NN,O
availability,NN,O
of,IN,O
mundra,JJ,O
power,NN,O
project,NN,O
to,TO,O
the,DT,O
third,JJ,O
parties,NNS,O
may,MD,O
be,VB,O
explored,VBN,O
c,PDT,O
the,DT,O
possibility,NN,O
of,IN,O
using,VBG,O
coal,NN,O
with,IN,O
a,DT,O
low,JJ,O
gcv,NN,O
for,IN,O
generation,NN,O
of,IN,O
electricity,NN,O
for,IN,O
supply,NN,O
to,TO,O
the,DT,O
respondents,NNS,O
without,IN,O
affecting,VBG,O
the,DT,O
operational,JJ,O
efficiency,NN,O
of,IN,O
the,DT,O
generating,VBG,O
stations,NNS,O
para,VBP,O
90,CD,O
the,DT,O
committee,NN,O
is,VBZ,O
also,RB,O
at,IN,O
liberty,NN,O
to,TO,O
suggest,VB,O
any,DT,O
further,JJ,O
measures,NNS,O
which,WDT,O
would,MD,O
be,VB,O
practicable,JJ,O
and,CC,O
commercially,RB,O
sensible,JJ,O
to,TO,O
address,VB,O
the,DT,O
situation,NN,O
the,DT,O
committee,NN,O
shall,MD,O
submit,VB,O
its,PRP$,O
report,NN,O
to,TO,O
the,DT,O
commission,NN,O
by,IN,O
30th,CD,O
april,NN,O
2013,CD,O
for,IN,O
consideration,NN,O
and,CC,O
for,IN,O
further,JJ,O
directions,NNS,O
