shivaraj,NN,O
complaint,DT,O
to,NN,O
the,TO,O
tribunal,DT,O
under,JJ,O
section,IN,O
33a,NN,O
it,CD,O
was,PRP,O
held,VBD,O
that,VBN,O
the,IN,O
withdrawal,DT,O
of,NN,O
the,IN,O
application,DT,O
made,NN,O
under,VBD,O
section,IN,O
332b,NN,O
stands,CD,O
on,NNS,O
the,IN,O
same,DT,O
footing,JJ,O
as,NN,O
if,IN,O
no,IN,O
application,DT,O
thereunder,NN,O
has,NN,O
been,VBZ,O
made,VBN,O
if,VBN,O
there,IN,O
was,EX,O
no,VBD,O
decision,DT,O
on,NN,O
merit,IN,O
of,NN,O
the,IN,O
said,DT,O
application,VBD,O
it,NN,O
cannot,PRP,O
be,MD,O
said,RB,O
that,VB,O
the,VBD,O
approval,IN,O
has,DT,O
been,NN,O
refused,VBZ,O
by,VBN,O
the,VBN,O
tribunal,IN,O
12,DT,O
the,JJ,O
facts,CD,O
of,DT,O
the,NNS,O
said,IN,O
case,DT,O
are,VBD,O
the,NN,O
workman,VBP,O
was,DT,O
dismissed,NN,O
from,VBD,O
service,VBN,O
holding,IN,O
him,NN,O
guilty,VBG,O
after,PRP,O
inquiry,JJ,O
by,IN,O
an,NN,O
order,IN,O
dated,DT,O
23rd,NN,O
december,VBD,O
1974,CD,O
since,NN,O
an,CD,O
industrial,IN,B-LEGAL
dispute,DT,I-LEGAL
was,JJ,O
pending,NN,O
at,VBD,O
that,VBG,O
time,IN,O
in,DT,O
view,NN,O
of,IN,O
the,NN,O
provisions,IN,O
contained,DT,O
in,NNS,O
section,VBN,O
332b,IN,O
the,NN,O
employer,CD,O
approached,DT,O
the,NN,O
industrial,VBD,B-LEGAL
tribunal,DT,I-LEGAL
at,JJ,O
chandigarh,NN,O
before,IN,O
which,NN,O
the,IN,O
industrial,WDT,B-LEGAL
dispute,DT,I-LEGAL
was,JJ,O
pending,NN,O
for,VBD,O
approval,VBG,O
of,IN,O
the,NN,O
action,IN,O
taken,DT,O
however,NN,O
that,VBN,O
application,RB,O
was,DT,O
dismissed,NN,O
as,VBD,O
withdrawn,VBN,O
on,IN,O
4th,NN,O
september,IN,O
1976,CD,O
then,NN,O
the,CD,O
workman,RB,O
demanded,DT,O
full,NN,O
wages,VBD,O
from,JJ,O
the,NNS,O
employer,IN,O
from,DT,O
the,NN,O
date,IN,O
of,DT,O
his,NN,O
suspension,IN,O
till,PRP$,O
the,NN,O
date,IN,O
of,DT,O
demand,NN,O
contending,IN,O
that,NN,O
the,VBG,O
action,IN,O
of,DT,O
the,NN,O
employer,IN,O
dismissing,DT,O
him,NN,O
from,VBG,O
service,PRP,O
was,IN,O
not,NN,O
approved,VBD,O
by,RB,O
the,VBN,O
tribunal,IN,O
he,DT,O
continued,NN,O
to,PRP,O
be,VBD,O
in,TO,O
service,VB,O
and,IN,O
was,NN,O
entitled,CC,O
to,VBD,O
all,VBN,O
the,TO,O
emoluments,PDT,O
since,DT,O
the,NNS,O
employer,IN,O
did,DT,O
not,NN,O
respond,VBD,O
he,RB,O
made,VB,O
an,PRP,O
application,VBD,O
to,DT,O
the,NN,O
labour,TO,O
court,DT,O
under,JJ,O
section,NN,O
33c2,IN,O
for,NN,O
determination,CD,O
and,IN,O
payment,NN,O
of,CC,O
the,NN,O
amount,IN,O
of,DT,O
wages,NN,O
due,IN,O
to,NNS,O
him,JJ,O
the,TO,O
employer,PRP,O
resisted,DT,O
the,NN,O
said,VBD,O
application,DT,O
inter,VBD,O
alia,NN,O
on,NN,O
the,NN,O
ground,IN,O
that,DT,O
the,NN,O
application,IN,B-LEGAL
under,DT,I-LEGAL
section,NN,O
332b,IN,O
having,NN,O
been,CD,O
withdrawn,VBG,O
the,VBN,O
effect,VBN,O
of,DT,O
which,NN,O
was,IN,O
as,WDT,O
if,VBD,O
no,IN,O
application,IN,O
had,DT,O
been,NN,O
made,VBD,O
at,VBN,O
all,VBN,O
even,IN,O
though,DT,O
there,RB,O
was,IN,O
contravention,EX,B-LEGAL
of,VBD,O
section,NN,O
332b,IN,O
in,NN,O
not,CD,O
making,IN,O
an,RB,O
application,VBG,O
seeking,DT,O
approval,NN,O
it,VBG,O
did,NN,O
not,PRP,O
render,VBD,O
the,RB,O
order,VB,O
of,DT,O
dismissal,NN,B-LEGAL
void,IN,O
ab,NN,O
initio,NN,O
and,NN,O
it,NN,O
was,CC,O
merely,PRP,O
illegal,VBD,O
and,RB,O
unless,JJ,O
it,CC,O
is,IN,O
set,PRP,O
aside,VBZ,O
in,VBN,O
an,RB,O
appropriate,IN,O
proceeding,DT,O
taken,JJ,O
by,NN,O
the,VBN,O
employee,IN,O
under,DT,O
section,NN,O
33a,IN,O
or,NN,O
in,CD,O
a,CC,O
reference,IN,B-LEGAL
under,DT,I-LEGAL
section,NN,O
10,IN,O
the,NN,O
labour,CD,O
court,DT,O
had,JJ,O
no,NN,O
jurisdiction,VBD,O
under,DT,O
section,NN,O
33c2,IN,O
to,NN,O
direct,CD,O
payment,TO,O
of,JJ,O
wages,NN,O
to,IN,O
the,NNS,O
first,TO,O
respondent,DT,O
on,JJ,O
the,NN,O
basis,IN,O
as,DT,O
if,NN,O
he,IN,O
continued,IN,O
in,PRP,O
service,VBD,O
the,IN,O
labour,NN,O
court,DT,O
rejected,JJ,O
this,NN,O
contention,VBD,O
and,DT,O
allowed,NN,O
the,CC,O
application,VBD,B-LEGAL
of,DT,I-LEGAL
the,NN,O
workman,IN,O
filed,DT,O
under,NN,O
section,VBN,O
33c2,IN,O
this,NN,O
court,CD,O
allowing,DT,O
the,NN,O
appeals,VBG,O
by,DT,O
special,NNS,O
leave,IN,O
held,JJ,O
that,JJ,O
the,VBN,O
employer,IN,O
contravened,DT,O
section,NN,O
332b,VBD,O
in,NN,O
dismissing,CD,O
the,IN,O
workman,VBG,O
but,DT,O
such,NN,O
contravention,CC,B-LEGAL
did,JJ,O
not,NN,O
have,VBD,O
the,RB,O
effect,VB,O
of,DT,O
rendering,NN,O
the,IN,O
order,VBG,O
of,DT,O
dismissal,NN,B-LEGAL
void,IN,O
or,NN,O
inoperative,NN,O
and,CC,O
hence,JJ,O
the,CC,O
workman,RB,O
was,DT,O
not,NN,O
entitled,VBD,O
to,RB,O
maintain,VBN,O
the,TO,O
application,VB,B-LEGAL
under,DT,I-LEGAL
section,NN,O
33c2,IN,O
however,NN,O
the,CD,O
amounts,RB,O
ordered,DT,O
to,NNS,O
be,VBN,O
paid,TO,O
by,VB,O
the,VBN,O
labour,IN,O
court,DT,O
were,JJ,O
treated,NN,O
as,VBD,O
compensation,VBN,B-LEGAL
instead,IN,O
of,NN,O
wages,RB,O
to,IN,O
meet,NNS,O
the,TO,O
demands,VB,O
of,DT,O
social,NNS,B-LEGAL
justice,IN,I-LEGAL
the,JJ,O
reasons,NN,O
recorded,DT,O
in,NNS,O
taking,VBN,O
such,IN,O
a,VBG,O
view,JJ,O
are,DT,O
i,NN,O
section,VBP,O
33,JJ,O
in,NN,O
both,CD,O
its,IN,O
limbs,DT,O
undoubtedly,PRP$,O
uses,NNS,O
mandatory,JJ,O
language,VBZ,O
and,JJ,O
section,NN,O
311,CC,O
makes,NN,O
it,CD,O
penal,VBZ,O
for,PRP,O
the,JJ,O
employer,IN,O
to,DT,O
commit,NN,O
a,TO,O
breach,VB,O
of,DT,O
the,NN,O
provisions,IN,O
of,DT,O
section,NNS,O
33,IN,O
and,NN,O
therefore,CD,O
if,CC,O
section,RB,O
33,IN,O
stood,NN,O
alone,CD,O
it,VBD,O
might,RB,O
lend,PRP,O
itself,MD,O
to,VB,O
the,PRP,O
construction,TO,O
that,DT,O
any,NN,O
action,IN,O
by,DT,O
way,NN,O
of,IN,O
discharge,NN,B-LEGAL
or,IN,I-LEGAL
dismissal,NN,I-LEGAL
taken,CC,O
against,NN,O
workman,VBN,O
would,IN,O
be,NN,O
void,MD,O
if,VB,O
it,JJ,O
is,IN,O
in,PRP,O
contravention,VBZ,B-LEGAL
of,IN,O
section,NN,O
33,IN,O
but,NN,O
section,CD,O
33,CC,O
cannot,NN,O
be,CD,O
read,MD,O
in,RB,O
isolation,VB,O
for,VBN,O
the,IN,O
intention,NN,O
of,IN,O
the,DT,O
legislature,NN,O
has,IN,O
to,DT,O
be,NN,O
gathered,VBZ,O
not,TO,O
from,VB,O
the,VBN,O
one,RB,O
provision,IN,O
but,DT,O
from,CD,O
the,NN,O
whole,CC,O
of,IN,O
the,DT,O
statute,NN,O
if,IN,O
sections,DT,O
33,NN,O
and,IN,O
33a,NNS,O
are,CD,O
read,CC,O
together,CD,O
it,VBP,O
is,VBN,O
clear,IN,O
that,PRP,O
legislative,VBZ,O
intent,JJ,O
shall,IN,O
not,JJ,O
invalidate,NN,O
an,MD,O
order,RB,O
of,VB,O
discharge,DT,B-LEGAL
or,NN,I-LEGAL
dismissal,IN,I-LEGAL
passed,NN,O
in,CC,O
contravention,NN,B-LEGAL
of,VBN,O
section,IN,O
33,NN,O
despite,IN,O
the,NN,O
mandatory,CD,O
language,IN,O
implied,DT,O
in,JJ,O
the,NN,O
section,VBN,O
and,IN,O
the,DT,O
penal,NN,O
provision,CC,O
enacted,DT,O
in,JJ,O
section,NN,O
311,VBN,O
ii,IN,O
the,NN,O
mere,CD,O
contravention,NN,B-LEGAL
of,DT,O
section,JJ,O
33,NN,O
by,IN,O
the,NN,O
employer,CD,O
will,IN,O
not,DT,O
entitle,NN,O
the,MD,O
workman,RB,O
to,VB,O
tan,DT,O
order,NN,O
of,TO,O
reinstatement,VB,B-LEGAL
because,NN,O
inquiry,IN,O
under,NN,O
section,IN,O
33a,NN,O
is,IN,O
not,NN,O
confined,CD,O
only,VBZ,O
to,RB,O
the,VBN,O
determination,RB,O
as,TO,O
to,DT,O
the,NN,O
contravention,IN,B-LEGAL
of,TO,O
section,DT,O
33,NN,O
but,IN,O
even,NN,O
if,CD,O
such,CC,O
contravention,RB,B-LEGAL
is,IN,O
proved,JJ,O
the,NN,O
tribunal,VBZ,O
has,VBN,O
to,DT,O
go,NN,O
further,VBZ,O
and,TO,O
deal,VB,O
also,JJ,O
with,CC,O
the,NN,O
merits,RB,O
of,IN,O
the,DT,O
order,NNS,O
of,IN,O
discharge,DT,B-LEGAL
or,NN,I-LEGAL
dismissal,IN,I-LEGAL
iii,NN,O
if,CC,O
the,NN,O
contravention,NN,B-LEGAL
of,IN,O
section,DT,O
33,NN,O
were,IN,O
construed,NN,O
as,CD,O
having,VBD,O
invalidating,VBN,O
effect,IN,O
of,VBG,O
the,VBG,O
order,NN,O
of,IN,O
discharge,DT,B-LEGAL
or,NN,I-LEGAL
dismissal,IN,I-LEGAL
section,NN,O
33a,CC,O
would,NN,O
be,NN,O
rendered,CD,O
meaningless,MD,O
and,VB,O
futile,VBN,O
because,NN,O
in,CC,O
that,NN,O
event,IN,O
the,IN,O
workman,DT,O
would,NN,O
invariably,DT,O
prefer,NN,O
to,MD,O
make,RB,O
an,VB,O
application,TO,O
straightaway,VB,O
under,DT,O
section,NN,O
33c2,NN,O
even,IN,O
before,NN,O
adjudication,CD,B-LEGAL
whether,RB,O
the,IN,O
order,NN,O
of,IN,O
discharge,DT,B-LEGAL
or,NN,I-LEGAL
dismissal,IN,I-LEGAL
is,NN,O
void,CC,O
and,NN,O
inoperative,VBZ,O
iv,JJ,O
the,CC,O
contention,JJ,O
of,NN,O
the,DT,O
workman,NN,O
that,IN,O
in,DT,O
the,NN,O
absence,WDT,O
of,IN,O
approval,DT,O
for,NN,O
action,IN,O
taken,NN,O
under,IN,O
section,NN,O
332b,VBN,O
the,IN,O
order,NN,O
of,CD,O
dismissal,DT,B-LEGAL
was,NN,O
inoperative,IN,O
was,NN,O
rejected,VBD,O
on,JJ,O
the,VBD,O
ground,VBN,O
that,IN,O
withdrawal,DT,O
of,NN,O
the,IN,O
application,NN,O
made,IN,O
for,DT,O
approval,NN,O
stood,VBD,O
on,IN,O
the,NN,O
same,VBD,O
footing,IN,O
as,DT,O
if,JJ,O
no,NN,O
application,IN,B-LEGAL
under,IN,I-LEGAL
section,DT,O
332b,NN,O
has,IN,O
been,NN,O
made,CD,O
at,VBZ,O
all,VBN,O
since,VBN,O
there,IN,O
was,DT,O
no,IN,O
application,EX,O
made,VBD,O
under,DT,O
section,NN,O
332b,VBD,O
the,IN,O
tribunal,NN,O
had,CD,O
no,DT,O
occasion,NN,O
to,VBD,O
apply,DT,O
its,NN,O
mind,TO,O
to,VB,O
consider,PRP$,O
whether,NN,O
the,TO,O
dismissal,VB,B-LEGAL
of,IN,I-LEGAL
workman,DT,I-LEGAL
amounted,NN,O
to,IN,O
victimization,NN,O
or,VBD,O
unfair,TO,B-LEGAL
labour,NN,I-LEGAL
practice,CC,I-LEGAL
hence,JJ,O
it,JJ,O
was,NN,O
difficult,NN,O
to,PRP,O
say,VBD,O
that,JJ,O
the,TO,O
approval,VB,O
has,IN,O
been,DT,O
refused,NN,O
by,VBZ,O
the,VBN,O
tribunal,VBN,O
13,IN,O
the,DT,O
proviso,JJ,O
to,CD,O
section,DT,O
332b,NN,O
as,TO,O
can,NN,O
be,CD,O
seen,IN,O
from,MD,O
its,VB,O
very,VBN,O
unambiguous,IN,O
and,PRP$,O
clear,RB,O
language,JJ,O
is,CC,O
mandatory,JJ,O
this,NN,O
apart,VBZ,O
from,JJ,O
the,DT,O
object,NN,B-LEGAL
of,IN,I-LEGAL
section,DT,I-LEGAL
33,NN,O
and,IN,O
in,NN,O
the,CD,O
context,CC,O
of,IN,O
the,DT,O
proviso,NN,O
to,IN,O
section,DT,O
332b,NN,O
it,TO,O
is,NN,O
obvious,CD,O
that,PRP,O
the,VBZ,O
conditions,JJ,O
contained,IN,O
in,DT,O
the,NNS,O
said,VBN,O
proviso,IN,O
are,DT,O
to,VBD,O
be,NN,O
essentially,VBP,O
complied,TO,O
with,VB,O
further,RB,O
any,VBN,O
employer,IN,O
who,JJ,O
contravenes,DT,O
the,NN,O
provisions,WP,O
of,VBZ,O
section,DT,O
33,NNS,O
invites,IN,O
a,NN,O
punishment,CD,O
under,VBZ,O
section,DT,O
311,NN,O
with,IN,O
imprisonment,NN,O
for,CD,O
a,IN,O
term,NN,O
which,IN,O
may,DT,O
extend,NN,O
to,WDT,O
six,MD,O
months,VB,O
or,TO,O
with,CD,O
fine,NNS,O
which,CC,O
may,IN,O
extend,JJ,O
to,WDT,O
rs,MD,O
1000,VB,O
or,TO,O
with,VB,O
both,CD,O
this,CC,O
penal,IN,O
provision,DT,O
is,DT,O
again,JJ,O
a,NN,O
pointer,VBZ,O
of,RB,O
the,DT,O
mandatory,NN,O
nature,IN,O
of,DT,O
the,JJ,O
proviso,NN,O
to,IN,O
comply,DT,O
with,NN,O
the,TO,O
conditions,VB,O
stated,IN,O
therein,DT,O
to,NNS,O
put,VBD,O
it,NN,O
in,TO,O
other,VB,O
way,PRP,O
the,IN,O
said,JJ,O
conditions,NN,O
being,DT,O
mandatory,VBD,O
are,NNS,O
to,VBG,O
be,JJ,O
satisfied,VBP,O
if,TO,O
an,VB,O
order,VBN,O
of,IN,O
discharge,DT,B-LEGAL
or,NN,I-LEGAL
dismissal,IN,I-LEGAL
passed,NN,O
under,CC,O
section,NN,O
332b,VBN,O
is,IN,O
to,NN,O
be,CD,O
operative,VBZ,O
if,TO,O
an,VB,O
employer,JJ,O
desires,IN,O
to,DT,O
take,NN,O
benefit,VBZ,O
of,TO,O
the,VB,O
said,NN,O
provision,IN,O
for,DT,O
passing,VBD,O
an,NN,O
order,IN,O
of,VBG,O
discharge,DT,B-LEGAL
or,NN,I-LEGAL
dismissal,IN,I-LEGAL
of,NN,O
an,CC,O
employee,NN,O
he,IN,O
has,DT,O
also,NN,O
to,PRP,O
take,VBZ,O
the,RB,O
burden,TO,O
of,VB,O
discharging,DT,O
the,NN,O
statutory,IN,O
obligation,VBG,O
placed,DT,O
on,JJ,O
him,NN,O
in,VBN,O
the,IN,O
said,PRP,O
proviso,IN,O
taking,DT,O
a,VBD,O
contrary,NN,O
view,VBG,O
that,DT,O
an,JJ,O
order,NN,O
of,IN,O
discharge,DT,B-LEGAL
or,NN,I-LEGAL
dismissal,IN,I-LEGAL
passed,NN,O
by,CC,O
an,NN,O
employer,VBN,O
in,IN,O
contravention,DT,B-LEGAL
of,NN,O
the,IN,O
mandatory,NN,O
conditions,IN,O
contained,DT,O
in,JJ,O
the,NNS,O
proviso,VBN,O
does,IN,O
not,DT,O
render,NN,O
such,VBZ,O
an,RB,O
order,VB,O
inoperative,JJ,O
or,DT,O
void,NN,O
defeats,NN,O
the,CC,O
very,NN,O
purpose,VBZ,O
of,DT,O
the,RB,O
proviso,NN,O
and,IN,O
it,DT,O
becomes,NN,O
meaningless,CC,O
it,PRP,O
is,VBZ,O
well,JJ,O
settled,PRP,O
rule,VBZ,O
of,RB,O
interpretation,JJ,O
that,NN,O
no,IN,O
part,NN,O
of,IN,O
statute,DT,O
shall,NN,O
be,IN,O
construed,NN,O
as,MD,O
unnecessary,VB,O
or,VBN,O
superfluous,IN,O
the,JJ,O
proviso,CC,O
cannot,JJ,O
be,DT,O
diluted,NN,O
or,MD,O
disobeyed,RB,O
by,VB,O
an,VBN,O
employer,CC,O
he,VBN,O
cannot,IN,O
disobey,DT,O
the,NN,O
mandatory,PRP,O
provision,MD,O
and,RB,O
then,VB,O
say,DT,O
that,JJ,O
the,NN,O
order,CC,O
of,RB,O
discharge,VB,B-LEGAL
or,IN,I-LEGAL
dismissal,DT,I-LEGAL
made,NN,O
in,IN,O
contravention,NN,B-LEGAL
of,CC,O
section,NN,O
332b,VBN,O
is,IN,O
not,NN,O
void,IN,O
or,NN,O
inoperative,CD,O
he,VBZ,O
cannot,RB,O
be,JJ,O
permitted,CC,O
to,JJ,O
take,PRP,O
advantage,MD,O
of,RB,O
his,VB,O
own,VBN,O
wrong,TO,O
the,VB,O
interpretation,NN,B-LEGAL
of,IN,I-LEGAL
statute,PRP$,I-LEGAL
must,JJ,O
be,JJ,O
such,DT,O
that,NN,O
it,IN,O
should,NN,O
advance,MD,O
the,VB,O
legislative,JJ,O
intent,IN,O
and,PRP,O
serve,MD,O
the,VB,O
purpose,DT,O
for,JJ,O
which,NN,O
it,CC,O
is,VBP,O
made,DT,O
rather,NN,O
than,IN,O
to,WDT,O
frustrate,PRP,O
it,VBZ,O
the,VBN,O
proviso,RB,O
to,IN,O
section,TO,O
332b,VB,O
affords,PRP,O
protection,DT,O
to,NN,O
a,TO,O
workman,NN,O
to,CD,O
safeguard,NNS,O
his,NN,O
interest,TO,O
and,DT,O
it,NN,O
is,TO,O
a,VB,O
shield,PRP$,O
against,NN,O
victimization,CC,O
and,PRP,O
unfair,VBZ,B-LEGAL
labour,DT,I-LEGAL
practice,NN,I-LEGAL
by,IN,O
the,NN,O
employer,CC,O
during,JJ,O
the,JJ,O
pendency,NN,B-LEGAL
of,IN,I-LEGAL
industrial,DT,I-LEGAL
dispute,NN,I-LEGAL
when,IN,O
the,DT,O
relationship,NN,O
between,IN,O
them,JJ,O
are,NN,O
already,WRB,O
strained,DT,O
an,NN,O
employer,IN,O
cannot,PRP,O
be,VBP,O
permitted,RB,O
to,VBN,O
use,DT,O
the,NN,O
provision,MD,O
of,RB,O
section,VB,O
332b,VBN,O
to,TO,O
ease,VB,O
out,DT,O
a,NN,O
workman,IN,O
without,NN,O
complying,CD,O
with,TO,O
the,VB,O
conditions,RP,O
contained,DT,O
in,NN,O
the,IN,O
said,VBG,O
proviso,IN,O
for,DT,O
any,NNS,O
alleged,VBN,O
misconduct,IN,B-LEGAL
said,DT,O
to,VBD,O
be,NN,O
unconnected,IN,O
with,DT,O
the,JJ,O
already,NN,O
pending,VBD,O
industrial,TO,B-LEGAL
dispute,VB,I-LEGAL
the,VBN,O
protection,IN,O
afforded,DT,O
to,RB,O
a,JJ,O
workman,JJ,O
under,NN,O
the,DT,O
said,NN,O
provision,VBD,O
cannot,TO,O
be,DT,O
taken,NN,O
away,IN,O
if,DT,O
it,VBD,O
is,NN,O
to,MD,O
be,RB,O
held,VB,O
that,VBN,O
an,RB,O
order,IN,O
of,PRP,O
discharge,VBZ,B-LEGAL
or,TO,I-LEGAL
dismissal,VB,I-LEGAL
passed,VBN,O
by,IN,O
the,DT,O
employer,NN,O
without,IN,O
complying,NN,O
with,CC,O
the,NN,O
requirements,VBN,O
of,IN,O
the,DT,O
said,NN,O
proviso,IN,O
is,VBG,O
not,IN,O
void,DT,O
or,NNS,O
inoperative,IN,O
the,DT,O
employer,VBD,O
may,NN,O
with,VBZ,O
impunity,RB,O
discharge,JJ,B-LEGAL
or,CC,O
dismiss,JJ,O
a,DT,O
workman,NN,O
14,MD,O
where,IN,O
an,NN,O
application,NN,O
is,CC,O
made,VB,O
under,DT,O
section,NN,O
332b,CD,O
proviso,WRB,O
the,DT,O
authority,NN,O
before,VBZ,O
which,VBN,O
the,IN,O
proceeding,NN,O
is,CD,O
pending,NN,O
for,DT,O
approval,NN,O
of,IN,O
the,WDT,O
action,DT,O
taken,NN,O
by,VBZ,O
the,VBG,O
employer,IN,O
has,NN,O
to,IN,O
examine,DT,O
whether,NN,O
the,VBN,O
order,IN,O
of,DT,O
dismissal,NN,B-LEGAL
or,VBZ,O
discharge,TO,B-LEGAL
is,VB,O
bona,IN,O
fide,DT,O
whether,NN,O
it,IN,O
was,NN,O
by,CC,O
way,NN,O
of,VBZ,O
victimization,JJ,O
or,RB,O
unfair,IN,B-LEGAL
labour,PRP,I-LEGAL
practice,VBD,I-LEGAL
whether,IN,O
the,NN,O
conditions,IN,O
contained,NN,O
in,CC,O
the,JJ,O
proviso,JJ,O
were,NN,O
complied,IN,O
with,DT,O
or,NNS,O
not,VBN,O
etc,IN,O
if,DT,O
the,NN,O
authority,VBD,O
refuses,VBN,O
to,IN,O
grant,CC,O
approval,RB,O
obviously,VB,O
it,IN,O
follows,DT,O
that,NN,O
the,VBZ,O
employee,TO,O
continues,VB,O
to,NN,O
be,RB,O
in,PRP,O
service,VBZ,O
as,IN,O
if,DT,O
order,NN,O
of,VBZ,O
discharge,TO,B-LEGAL
or,VB,I-LEGAL
dismissal,IN,I-LEGAL
never,NN,O
had,IN,O
been,IN,O
passed,NN,O
the,IN,O
order,NN,O
of,CC,O
dismissal,NN,B-LEGAL
or,RB,O
discharge,VBD,B-LEGAL
passed,VBN,O
invoking,VBN,O
section,DT,O
332b,NN,O
dismissing,IN,O
or,NN,O
discharging,CC,O
an,NN,O
employee,VBD,O
brings,VBG,O
an,NN,O
end,CD,O
of,NN,O
relationship,CC,B-LEGAL
of,VBG,I-LEGAL
employer,DT,I-LEGAL
and,NN,I-LEGAL
employee,VBZ,I-LEGAL
from,DT,O
the,NN,O
date,IN,O
of,NN,O
his,IN,O
dismissal,NN,B-LEGAL
or,CC,O
discharge,NN,B-LEGAL
but,IN,O
that,DT,O
order,NN,O
remains,IN,O
incomplete,PRP$,O
and,NN,O
remains,CC,O
inchoate,NN,O
as,CC,O
it,IN,O
is,NN,O
subject,VBZ,O
to,JJ,O
approval,CC,O
of,VBZ,O
the,JJ,O
authority,IN,O
under,PRP,O
the,VBZ,O
said,JJ,O
provision,TO,O
in,NN,O
other,IN,O
words,DT,O
this,NN,O
relationship,IN,O
comes,DT,O
to,VBD,O
an,NN,O
end,IN,O
de,JJ,O
jure,NNS,O
only,DT,O
when,NN,O
the,VBZ,O
authority,TO,O
grants,DT,O
approval,NN,O
if,NN,O
approval,NN,O
is,RB,O
not,WRB,O
given,DT,O
nothing,NN,O
more,NNS,O
is,NN,O
required,IN,O
to,NN,O
be,VBZ,O
done,RB,O
by,VBN,O
the,NN,O
employee,RBR,O
as,VBZ,O
it,VBN,O
will,TO,O
have,VB,O
to,VBN,O
be,IN,O
deemed,DT,O
that,NN,O
the,IN,O
order,PRP,O
of,MD,O
discharge,VB,B-LEGAL
or,TO,I-LEGAL
dismissal,VB,I-LEGAL
had,VBN,O
never,IN,O
been,DT,O
passed,NN,O
consequence,IN,O
of,NN,O
it,CC,O
is,NN,O
that,VBD,O
the,RB,O
employee,VBN,O
is,VBN,O
deemed,NN,O
to,IN,O
have,PRP,O
continued,VBZ,O
in,IN,O
service,DT,O
entitling,NN,O
him,VBZ,O
to,VBN,O
all,TO,O
the,VB,O
benefits,VBN,O
available,IN,O
this,NN,O
being,VBG,O
the,PRP,O
position,TO,O
there,PDT,O
is,DT,O
no,NNS,O
need,JJ,O
of,DT,O
a,VBG,O
separate,DT,O
or,NN,O
specific,EX,O
order,VBZ,O
for,DT,O
his,NN,O
reinstatement,IN,B-LEGAL
but,DT,O
on,JJ,O
the,CC,O
other,JJ,O
hand,NN,O
if,IN,O
approval,PRP$,O
is,NN,O
given,CC,O
by,IN,O
the,DT,O
authority,JJ,O
and,NN,O
if,IN,O
the,NN,O
employee,VBZ,O
is,VBN,O
aggrieved,IN,O
by,DT,O
such,NN,O
an,CC,O
approval,IN,O
he,DT,O
is,NN,O
entitled,VBZ,O
to,VBN,O
make,IN,O
a,JJ,O
complaint,DT,B-LEGAL
under,NN,I-LEGAL
section,PRP,O
33a,VBZ,O
challenging,VBN,O
the,TO,O
order,VB,O
granting,DT,O
approval,NN,O
on,IN,O
any,NN,O
of,CD,O
the,VBG,O
grounds,DT,O
available,NN,O
to,VBG,O
him,NN,O
section,IN,O
33a,DT,O
is,IN,O
available,DT,O
only,NNS,O
to,JJ,O
an,TO,O
employee,PRP,O
and,NN,O
is,CD,O
intended,VBZ,O
to,JJ,O
save,RB,O
his,TO,O
time,DT,O
and,NN,O
trouble,CC,O
inasmuch,VBZ,O
as,VBN,O
he,TO,O
can,VB,O
straightaway,PRP$,O
make,NN,O
a,CC,O
complaint,NN,O
before,RB,O
the,IN,O
very,PRP,O
authority,MD,O
where,VB,O
the,VB,O
industrial,DT,B-LEGAL
dispute,NN,I-LEGAL
is,IN,O
already,DT,O
pending,RB,O
between,NN,O
the,WRB,O
parties,DT,O
challenging,JJ,O
the,NN,O
order,VBZ,O
of,RB,O
approval,VBG,O
instead,IN,O
of,DT,O
making,NNS,O
efforts,VBG,O
to,DT,O
raise,NN,O
an,IN,O
industrial,NN,B-LEGAL
dispute,RB,I-LEGAL
get,IN,O
a,VBG,O
reference,NNS,O
and,TO,O
thereafter,VB,O
adjudication,DT,B-LEGAL
in,JJ,O
this,NN,O
view,VB,O
it,DT,O
is,NN,O
not,CC,O
correct,JJ,O
to,NN,O
say,IN,O
that,DT,O
even,NN,O
though,PRP,O
where,VBZ,O
the,RB,O
order,JJ,O
of,TO,O
discharge,VB,B-LEGAL
or,IN,I-LEGAL
dismissal,RB,I-LEGAL
is,IN,O
inoperative,WRB,O
for,DT,O
contravention,NN,B-LEGAL
of,IN,O
the,NN,O
mandatory,CC,O
conditions,NN,O
contained,VBZ,O
in,JJ,O
the,IN,O
proviso,NN,O
or,IN,O
where,DT,O
the,JJ,O
approval,NNS,O
is,VBN,O
refused,IN,O
a,DT,O
workman,NN,O
should,CC,O
still,WRB,O
make,DT,O
a,NN,O
complaint,VBZ,B-LEGAL
under,VBN,I-LEGAL
section,DT,O
33a,NN,O
and,MD,O
that,RB,O
the,VB,O
order,DT,O
of,NN,O
dismissal,IN,B-LEGAL
or,NN,O
discharge,CD,B-LEGAL
becomes,CC,O
invalid,IN,O
or,DT,O
void,NN,O
only,IN,O
when,NN,O
it,CC,O
is,NN,O
set,NNS,O
aside,VBP,O
under,CC,O
section,VBP,O
33a,RB,O
and,WRB,O
that,PRP,O
till,VBZ,O
such,VBN,O
time,RB,O
he,IN,O
should,NN,O
suffer,CD,O
misery,CC,O
of,DT,O
unemployment,NN,O
in,JJ,O
spite,NN,O
of,PRP,O
statutory,MD,O
protection,VB,O
given,NN,O
to,IN,O
him,NN,O
by,IN,O
the,NN,O
