prafulla,NN,O
we,PRP,O
have,VBP,O
considered,VBN,O
the,DT,O
argument,NN,O
advanced,VBD,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
appellant,NN,O
and,CC,O
also,RB,O
perused,VBD,O
the,DT,O
law,NN,O
laid,VBD,O
down,RB,O
by,IN,O
this,DT,O
court,NN,O
as,IN,O
to,TO,O
the,DT,O
exercise,NN,O
of,IN,O
revisional,JJ,O
power,NN,O
under,IN,O
section,NN,O
115,CD,O
of,IN,O
the,DT,O
code,NN,O
in,IN,O
such,JJ,O
matters,NNS,O
in,IN,O
mahavir,NN,O
singh,NN,O
and,CC,O
ors,NNS,O
v,VBP,O
naresh,JJ,O
chandra,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0674,CD,O
2000manu,CD,O
sc,NN,O
0674,CD,O
2000,CD,O
2001,CD,O
1,CD,O
scc,NN,O
309,CD,O
explaining,VBG,O
the,DT,O
scope,NN,O
of,IN,O
revision,NN,O
in,IN,O
the,DT,O
matters,NNS,O
of,IN,O
acceptance,NN,O
of,IN,O
additional,JJ,O
evidence,NN,O
by,IN,O
the,DT,O
lower,JJR,O
appellate,JJ,O
court,NN,O
interpreting,VBG,O
expression,NN,O
or,CC,O
for,IN,O
any,DT,O
other,JJ,O
substantial,JJ,O
cause,NN,O
in,IN,O
rule,NN,O
27,CD,O
of,IN,O
order,NN,O
xli,NNP,O
this,DT,O
court,NN,O
has,VBZ,O
held,VBN,O
as,IN,O
under,IN,O
the,DT,O
words,NNS,O
or,CC,O
for,IN,O
any,DT,O
other,JJ,O
substantial,JJ,O
cause,NN,O
must,MD,O
be,VB,O
read,VBN,O
with,IN,O
the,DT,O
word,NN,O
requires,VBZ,O
which,WDT,O
is,VBZ,O
set,VBN,O
out,RP,O
at,IN,O
the,DT,O
commencement,NN,O
of,IN,O
the,DT,O
provision,NN,O
so,IN,O
that,IN,O
it,PRP,O
is,VBZ,O
only,RB,O
where,WRB,O
for,IN,O
any,DT,O
other,JJ,O
substantial,JJ,O
cause,NN,O
the,DT,O
appellate,JJ,O
court,NN,O
requires,VBZ,O
additional,JJ,O
evidence,NN,O
that,IN,O
this,DT,O
rule,NN,O
would,MD,O
apply,VB,O
as,IN,O
noticed,VBN,O
by,IN,O
the,DT,O
privy,NN,O
council,NN,O
in,IN,O
kessowji,NN,O
issur,NN,O
v,NN,O
gip,VBD,O
rly,RB,O
manu,VBN,O
mh,NN,O
0072,CD,O
1907manu,CD,O
mh,NN,O
0072,CD,O
1907,CD,O
ilr,NN,O
1907,CD,O
08,CD,O
31,CD,O
bom,NN,O
381,CD,O
it,PRP,O
is,VBZ,O
under,IN,O
these,DT,O
circumstances,NNS,O
such,PDT,O
a,DT,O
power,NN,O
could,MD,O
be,VB,O
exercised,VBN,O
therefore,RB,O
when,WRB,O
the,DT,O
first,JJ,O
appellate,JJ,O
court,NN,O
did,VBD,O
not,RB,O
find,VB,O
the,DT,O
necessity,NN,O
to,TO,O
allow,VB,O
the,DT,O
application,NN,O
we,PRP,O
fail,VBP,O
to,TO,O
understand,VB,O
as,IN,O
to,TO,O
how,WRB,O
the,DT,O
high,JJ,O
court,NN,O
could,MD,O
in,IN,O
exercise,NN,O
of,IN,O
its,PRP$,O
power,NN,O
under,IN,O
section,NN,O
115,CD,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
have,VBP,O
interfered,VBN,O
with,IN,O
such,PDT,O
an,DT,O
order,NN,O
particularly,RB,O
when,WRB,O
the,DT,O
whole,JJ,O
appeal,NN,O
is,VBZ,O
not,RB,O
before,IN,O
the,DT,O
court,NN,O
it,PRP,O
is,VBZ,O
only,RB,O
in,IN,O
the,DT,O
circumstances,NNS,O
when,WRB,O
the,DT,O
appellate,NN,O
court,NN,O
requires,VBZ,O
such,JJ,O
evidence,NN,O
to,TO,O
pronounce,VB,O
the,DT,O
judgment,NN,O
the,DT,O
necessity,NN,O
to,TO,O
adduce,VB,O
additional,JJ,O
evidence,NN,O
would,MD,O
arise,VB,O
and,CC,O
not,RB,O
in,IN,O
any,DT,O
other,JJ,O
circumstances,NNS,O
when,WRB,O
the,DT,O
first,JJ,O
appellate,JJ,O
court,NN,O
passed,VBD,O
the,DT,O
order,NN,O
on,IN,O
the,DT,O
application,NN,O
filed,VBN,O
under,IN,O
order,NN,O
41,CD,O
rule,NN,O
27,CD,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
the,DT,O
whole,JJ,O
appeal,NN,O
was,VBD,O
before,IN,O
it,PRP,O
and,CC,O
if,IN,O
the,DT,O
first,JJ,O
appellate,JJ,O
court,NN,O
is,VBZ,O
satisfied,JJ,O
that,IN,O
additional,JJ,O
evidence,NN,O
was,VBD,O
not,RB,O
required,VBN,O
we,PRP,O
fail,VBP,O
to,TO,O
understand,VB,O
as,IN,O
to,TO,O
how,WRB,O
the,DT,O
high,JJ,O
court,NN,O
could,MD,O
interfere,VB,O
with,IN,O
such,JJ,O
an,DT,O
order,NN,O
under,IN,O
section,NN,O
115,CD,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
19,CD,O
in,IN,O
gurdev,NN,O
singh,NN,O
and,CC,O
ors,NNS,O
v,VBP,O
mehnga,JJ,O
ram,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0887,CD,O
1997manu,CD,O
sc,NN,O
0887,CD,O
1997,CD,O
1997,CD,O
6,CD,O
scc,NN,O
507,CD,O
this,DT,O
court,NN,O
on,IN,O
similar,JJ,O
issue,NN,O
has,VBZ,O
expressed,VBN,O
the,DT,O
view,NN,O
as,IN,O
under,IN,O
we,PRP,O
have,VBP,O
heard,VBN,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
parties,NNS,O
the,DT,O
grievance,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
before,IN,O
us,PRP,O
is,VBZ,O
that,IN,O
in,IN,O
an,DT,O
appeal,NN,O
filed,VBN,O
by,IN,O
them,PRP,O
before,IN,O
the,DT,O
learned,JJ,O
additional,JJ,O
district,NN,O
judge,NN,O
ferozepur,NN,O
in,IN,O
an,DT,O
application,NN,O
under,IN,O
order,NN,O
xli,NNP,O
rule,NN,O
27b,CD,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
the,DT,O
learned,JJ,O
additional,JJ,O
district,NN,O
judge,NN,O
at,IN,O
the,DT,O
final,JJ,O
hearing,NN,O
of,IN,O
the,DT,O
appeal,NN,O
wrongly,RB,O
felt,VBD,O
that,IN,O
additional,JJ,O
evidence,NN,O
was,VBD,O
required,VBN,O
to,TO,O
be,VB,O
produced,VBN,O
as,IN,O
requested,VBN,O
by,IN,O
the,DT,O
appellants,NNS,O
by,IN,O
way,NN,O
of,IN,O
examination,NN,O
of,IN,O
a,DT,O
handwriting,NN,O
expert,NN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
the,DT,O
impugned,JJ,O
order,NN,O
exercising,VBG,O
jurisdiction,NN,O
under,IN,O
section,NN,O
115,CD,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
took,VBD,O
the,DT,O
view,NN,O
that,IN,O
the,DT,O
order,NN,O
of,IN,O
the,DT,O
appellate,JJ,O
court,NN,O
could,MD,O
not,RB,O
be,VB,O
sustained,VBN,O
in,IN,O
our,PRP$,O
view,NN,O
the,DT,O
approach,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
revision,NN,O
at,IN,O
that,DT,O
interim,JJ,O
stage,NN,O
when,WRB,O
the,DT,O
appeal,NN,O
was,VBD,O
pending,VBG,B-LEGAL
for,IN,O
final,JJ,O
hearing,NN,O
before,IN,O
the,DT,O
learned,JJ,O
additional,JJ,O
district,NN,O
judge,NN,O
was,VBD,O
not,RB,O
justified,JJ,O
and,CC,O
the,DT,O
high,JJ,O
court,NN,O
should,MD,O
not,RB,O
have,VB,O
interfered,VBN,O
with,IN,O
the,DT,O
order,NN,O
which,WDT,O
was,VBD,O
within,IN,O
the,DT,O
jurisdiction,NN,O
of,IN,O
the,DT,O
appellate,JJ,O
court,NN,O
the,DT,O
reason,NN,O
is,VBZ,O
obvious,JJ,O
the,DT,O
appellate,JJ,O
court,NN,O
hearing,VBG,O
the,DT,O
matter,NN,O
finally,RB,O
could,MD,O
exercise,VB,O
jurisdiction,NN,O
one,CD,O
way,NN,O
or,CC,O
the,DT,O
other,JJ,O
under,IN,O
order,NN,O
xli,NNP,O
rule,NN,O
27,CD,O
specially,RB,O
clause,NN,O
b,NN,O
if,IN,O
the,DT,O
order,NN,O
was,VBD,O
wrong,JJ,O
on,IN,O
merits,NNS,O
it,PRP,O
would,MD,O
always,RB,O
be,VB,O
open,JJ,O
for,IN,O
the,DT,O
respondent,NN,O
to,TO,O
challenge,VB,O
the,DT,O
same,JJ,O
in,IN,O
accordance,NN,O
with,IN,O
law,NN,O
if,IN,O
an,DT,O
occasion,NN,O
arises,VBZ,O
to,TO,O
carry,VB,O
the,DT,O
matter,NN,O
in,IN,O
second,JJ,O
appeal,NN,O
after,IN,O
an,DT,O
appellate,JJ,O
decree,NN,O
is,VBZ,O
passed,VBN,O
but,CC,O
at,IN,O
this,DT,O
interim,JJ,O
stage,NN,O
the,DT,O
high,JJ,O
court,NN,O
should,MD,O
not,RB,O
have,VB,O
felt,VBN,O
itself,PRP,O
convinced,VBD,O
that,IN,O
the,DT,O
order,NN,O
was,VBD,O
without,IN,O
jurisdiction,NN,O
only,RB,O
on,IN,O
this,DT,O
short,JJ,O
question,NN,O
without,IN,O
expressing,VBG,O
any,DT,O
opinion,NN,O
on,IN,O
the,DT,O
merits,NNS,O
of,IN,O
the,DT,O
controversy,NN,O
involved,VBN,O
and,CC,O
on,IN,O
the,DT,O
legality,NN,O
of,IN,O
the,DT,O
contentions,NNS,O
advanced,VBN,O
by,IN,O
both,DT,O
the,DT,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
parties,NNS,O
regarding,VBG,O
additional,JJ,O
evidence,NN,O
we,PRP,O
allow,VBP,O
this,DT,O
appeal,NN,O
set,VBN,O
aside,RB,O
the,DT,O
order,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
20,CD,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
law,NN,O
laid,VBD,O
down,RB,O
by,IN,O
this,DT,O
court,NN,O
as,IN,O
discussed,VBN,O
above,IN,O
regarding,VBG,O
exercise,NN,O
of,IN,O
revisional,JJ,O
powers,NNS,O
in,IN,O
the,DT,O
matter,NN,O
of,IN,O
allowing,VBG,O
the,DT,O
application,NN,O
for,IN,O
additional,JJ,O
evidence,NN,O
when,WRB,O
appeal,NN,O
is,VBZ,O
pending,VBG,B-LEGAL
before,IN,O
the,DT,O
lower,JJR,O
appellate,JJ,O
court,NN,O
the,DT,O
impugned,JJ,O
order,NN,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
cannot,MD,O
be,RB,O
upheld,VB,O
and,JJ,O
the,CC,O
same,DT,O
is,JJ,O
set,VBZ,O
aside,VBN,O
however,RB,O
to,RB,O
do,TO,O
complete,VB,O
justice,JJ,O
between,NN,O
the,IN,O
parties,DT,O
we,NNS,O
think,PRP,O
it,VBP,O
just,PRP,O
and,RB,O
proper,CC,O
to,JJ,O
direct,TO,O
the,VB,O
first,DT,O
appellate,JJ,O
court,JJ,O
to,NN,O
decide,TO,O
the,VB,O
application,DT,O
for,NN,O
additional,IN,O
evidence,JJ,O
afresh,NN,O
in,NN,O
the,IN,O
light,DT,O
of,NN,O
observations,IN,O
made,NNS,O
by,VBN,O
this,IN,O
court,DT,O
regarding,NN,O
principles,VBG,O
on,NNS,O
which,IN,O
such,WDT,O
an,PDT,O
application,DT,O
can,NN,O
be,MD,O
allowed,VB,O
or,VBN,O
rejected,CC,O
we,VBN,O
order,PRP,O
accordingly,NN,O
we,RB,O
further,PRP,O
clarify,VBP,O
that,VB,O
we,IN,O
have,PRP,O
not,VBP,O
expressed,RB,O
any,VBN,O
opinion,DT,O
as,NN,O
to,IN,O
the,TO,O
merits,DT,O
of,NNS,O
the,IN,O
case,DT,O
accordingly,NN,O
the,RB,O
appeal,DT,O
is,NN,O
disposed,VBZ,O
of,VBN,O
no,IN,O
order,DT,O
as,NN,O
to,IN,O
costs,TO,O
