js,NN,O
special,JJ,O
circumstances,NNS,O
on,IN,O
compassionate,NN,O
grounds,NNS,O
7,CD,O
original,JJ,O
application,NN,O
no,DT,O
29957,CD,O
of,IN,O
1991,CD,O
came,VBD,O
to,TO,O
be,VB,O
filed,VBN,O
before,IN,O
the,DT,O
andhra,NN,O
pradesh,JJ,O
administrative,JJ,B-LEGAL
tribunal,NN,O
at,IN,O
hyderabad,JJ,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,JJ,O
questioning,VBG,O
the,DT,O
validity,NN,O
of,IN,O
the,DT,O
determination,NN,O
of,IN,O
the,DT,O
different,JJ,O
quotas,NNS,O
of,IN,O
recruitment,NN,O
in,IN,O
the,DT,O
aforementioned,JJ,O
notification,NN,O
dated,VBD,O
2211991,CD,O
while,IN,O
determining,VBG,O
the,DT,O
above,NN,O
controversy,NN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
arrived,VBN,O
at,IN,O
the,DT,O
conclusion,NN,O
that,WDT,O
except,IN,O
the,DT,O
quota,NN,O
of,IN,O
promotion,NN,B-LEGAL
from,IN,O
head,NN,O
constables,NNS,O
30,CD,O
by,IN,O
transfer,NN,B-LEGAL
of,IN,O
reserve,NN,O
sub,NN,O
inspectors,NNS,O
of,IN,O
police,NN,O
armed,VBD,O
reserve,NN,O
andhra,NN,O
pradesh,JJ,O
special,JJ,O
police,NN,O
5,CD,O
and,CC,O
appointments,NNS,O
under,IN,O
special,JJ,O
circumstances,NNS,O
on,IN,O
compassionate,NN,O
grounds,NNS,O
2,CD,O
the,DT,O
remaining,VBG,O
3,CD,O
quota,NN,O
has,VBZ,O
to,TO,O
be,VB,O
filled,VBN,O
up,RP,O
by,IN,O
direct,JJ,O
recruitment,NN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,JJ,O
thereupon,NN,O
concluded,VBD,O
that,IN,O
the,DT,O
direct,JJ,O
recruitment,NN,O
quota,NN,O
had,VBD,O
been,VBN,O
incorrectly,RB,O
determined,VBN,O
for,IN,O
all,PDT,O
the,DT,O
7,CD,O
zones,NNS,O
for,IN,O
which,WDT,O
the,DT,O
selection,NN,O
had,VBD,O
been,VBN,O
made,VBN,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
accordingly,RB,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,JJ,O
vide,NN,O
its,PRP$,O
order,NN,O
dated,VBD,O
3071991,CD,O
directed,VBD,O
the,DT,O
authorities,NNS,O
to,TO,O
recalculate,VB,O
the,DT,O
vacancies,NNS,O
under,IN,O
the,DT,O
pe,NN,O
pm,NN,O
and,CC,O
sp,NN,O
quotas,NNS,O
for,IN,O
all,PDT,O
the,DT,O
ranges,NNS,O
and,CC,O
to,TO,O
make,VB,O
appointments,NNS,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
selection,NN,O
process,NN,O
initiated,VBN,O
through,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
8,CD,O
in,IN,O
obedience,NN,O
to,TO,O
the,DT,O
aforesaid,NN,O
directions,NNS,O
after,IN,O
recalculating,VBG,O
the,DT,O
vacancies,NNS,O
for,IN,O
pe,NN,O
pm,NN,O
and,CC,O
sp,NN,O
quotas,NNS,O
additional,JJ,O
names,NNS,O
of,IN,O
candidates,NNS,O
were,VBD,O
sent,VBN,O
for,IN,O
training,VBG,O
these,DT,O
candidates,NNS,O
commenced,VBD,O
their,PRP$,O
training,NN,O
on,IN,O
1461992,CD,O
they,PRP,O
completed,VBD,O
their,PRP$,O
training,NN,O
in,IN,O
1993,CD,O
it,PRP,O
is,VBZ,O
pertinent,JJ,O
to,TO,O
record,VB,O
here,RB,O
that,IN,O
the,DT,O
candidate,NN,O
whose,WP$,O
training,NN,O
was,VBD,O
deferred,VBN,O
namely,RB,O
munuswamy,JJ,O
and,CC,O
the,DT,O
candidates,NNS,O
whose,WP$,O
names,NNS,O
were,VBD,O
short,JJ,O
listed,VBN,O
for,IN,O
training,NN,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
directions,NNS,O
issued,VBN,O
by,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,JJ,O
vide,NN,O
order,NN,O
dated,VBD,O
3071991,CD,O
passed,VBN,O
in,IN,O
original,JJ,O
application,NN,O
no,DT,O
29957,CD,O
of,IN,O
1991,CD,O
commenced,VBD,O
the,DT,O
course,NN,O
of,IN,O
training,VBG,O
simultaneously,RB,O
on,IN,O
1461992,CD,O
9,CD,O
we,PRP,O
have,VBP,O
recorded,VBN,O
hereinabove,NN,O
that,WDT,O
out,IN,O
of,IN,O
the,DT,O
names,NNS,O
of,IN,O
candidates,NNS,O
provisionally,RB,O
selected,VBN,O
for,IN,O
zone,NN,O
v,NN,O
warangal,NN,O
range,NN,O
only,RB,O
58,CD,O
candidates,NNS,O
had,VBD,O
reported,VBN,O
for,IN,O
training,VBG,O
the,DT,O
state,NN,O
government,NN,O
took,VBD,O
a,DT,O
conscious,JJ,O
decision,NN,O
to,TO,O
depute,VB,O
for,IN,O
purpose,NN,O
of,IN,O
training,VBG,O
further,JJ,O
candidates,NNS,O
equal,JJ,O
to,TO,O
the,DT,O
number,NN,O
of,IN,O
candidates,NNS,O
who,WP,O
did,VBD,O
not,RB,O
join,VB,O
training,VBG,O
as,IN,O
such,JJ,O
10,CD,O
more,JJR,O
candidates,NNS,O
who,WP,O
had,VBD,O
participated,VBN,O
in,IN,O
the,DT,O
process,NN,O
of,IN,O
selection,NN,O
initiated,VBN,O
through,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
and,CC,O
were,VBD,O
placed,VBN,O
immediately,RB,O
below,IN,O
the,DT,O
selected,VBN,O
candidates,NNS,O
as,IN,O
per,IN,O
the,DT,O
first,JJ,O
list,NN,O
deputed,VBN,O
for,IN,O
training,VBG,O
vide,JJ,O
letter,NN,O
dated,VBD,O
1141991,CD,O
751991,CD,O
were,VBD,O
sent,VBN,O
for,IN,O
training,VBG,O
these,DT,O
candidates,NNS,O
were,VBD,O
also,RB,O
sent,VBN,O
for,IN,O
training,NN,O
to,TO,O
the,DT,O
two,CD,O
police,NNS,O
training,VBG,O
colleges,NNS,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,IN,O
these,DT,O
additional,JJ,O
candidates,NNS,O
also,RB,O
commenced,VBD,O
training,VBG,O
on,IN,O
1461992,CD,O
ie,NN,O
in,IN,O
the,DT,O
same,JJ,O
batch,NN,O
along,IN,O
with,IN,O
the,DT,O
aforementioned,JJ,O
munuswamy,NN,O
as,IN,O
also,RB,O
the,DT,O
candidates,NNS,O
who,WP,O
came,VBD,O
to,TO,O
be,VB,O
deputed,VBN,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
order,NN,O
passed,VBN,O
by,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
in,IN,O
original,JJ,O
application,NN,O
no,DT,O
29957,CD,O
of,IN,O
1991,CD,O
10,CD,O
the,DT,O
competent,NN,B-LEGAL
authority,NN,I-LEGAL
namely,RB,O
the,DT,O
deputy,NN,O
inspector,NN,O
general,NN,O
of,IN,O
police,NN,O
warangal,JJ,O
vide,IN,O
a,DT,O
memorandum,NN,O
dated,VBD,O
1711996,CD,O
issued,VBN,O
a,DT,O
seniority,NN,B-LEGAL
list,NN,O
of,IN,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NN,O
zone,NN,O
v,NN,O
warangal,JJ,O
range,NN,O
the,DT,O
said,VBD,O
seniority,NN,B-LEGAL
list,NN,O
included,VBD,O
the,DT,O
names,NNS,O
of,IN,O
the,DT,O
original,JJ,O
58,CD,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NN,O
out,IN,O
of,IN,O
the,DT,O
80,CD,O
selected,VBN,O
for,IN,O
the,DT,O
said,VBD,O
zone,NN,O
who,WP,O
had,VBD,O
completed,VBN,O
their,PRP$,O
training,NN,O
in,IN,O
june,NN,O
1992,CD,O
it,PRP,O
is,VBZ,O
also,RB,O
necessary,JJ,O
to,TO,O
reflect,VB,O
the,DT,O
negative,JJ,O
position,NN,O
namely,RB,O
the,DT,O
abovementioned,JJ,O
seniority,NN,B-LEGAL
list,NN,O
did,VBD,O
not,RB,O
include,VB,O
the,DT,O
name,NN,O
of,IN,O
munuswamy,NNS,O
who,WP,O
did,VBD,O
not,RB,O
complete,VB,O
the,DT,O
training,NN,O
along,IN,O
with,IN,O
the,DT,O
58,CD,O
candidates,NNS,O
who,WP,O
had,VBD,O
joined,VBN,O
training,NN,O
in,IN,O
furtherance,NN,O
of,IN,O
their,PRP$,O
provisional,JJ,O
selection,NN,O
vide,IN,O
letter,NN,O
dated,VBD,O
1141991,CD,O
751991,CD,O
the,DT,O
above,JJ,O
seniority,NN,B-LEGAL
list,NN,O
also,RB,O
did,VBD,O
not,RB,O
include,VB,O
the,DT,O
names,NNS,O
of,IN,O
those,DT,O
selected,VBN,O
and,CC,O
appointed,VBN,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
consequent,NN,O
upon,IN,O
the,DT,O
determination,NN,O
of,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
that,IN,O
the,DT,O
quota,NN,O
of,IN,O
vacancies,NNS,O
from,IN,O
pe,NN,O
pm,NN,O
and,CC,O
sp,NN,O
had,VBD,O
wrongly,RB,O
been,VBN,O
determined,VBN,O
the,DT,O
abovesaid,JJ,O
seniority,NN,B-LEGAL
list,NN,O
did,VBD,O
not,RB,O
include,VB,O
the,DT,O
names,NNS,O
of,IN,O
those,DT,O
candidates,NNS,O
who,WP,O
had,VBD,O
been,VBN,O
selected,VBN,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
for,IN,O
the,DT,O
sole,JJ,O
reason,NN,O
that,IN,O
some,DT,O
of,IN,O
the,DT,O
candidates,NNS,O
who,WP,O
had,VBD,O
been,VBN,O
selected,VBN,O
and,CC,O
appointed,VBN,O
had,VBD,O
failed,VBN,O
to,TO,O
join,VB,O
the,DT,O
police,NN,O
training,NN,O
colleges,NNS,O
in,IN,O
furtherance,NN,O
of,IN,O
their,PRP$,O
provisional,JJ,O
selection,NN,O
vide,IN,O
letter,NN,O
dated,VBD,O
1141991,CD,O
751991,CD,O
11,CD,O
it,PRP,O
is,VBZ,O
apparent,JJ,O
from,IN,O
the,DT,O
factual,JJ,O
position,NN,O
noticed,VBN,O
hereinabove,NN,O
that,WDT,O
consequent,NN,O
upon,IN,O
the,DT,O
selection,NN,O
process,NN,O
conducted,VBN,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
the,DT,O
selected,VBN,O
candidates,NNS,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
in,IN,O
two,CD,O
batches,NNS,O
the,DT,O
training,NN,O
of,IN,O
the,DT,O
first,JJ,O
batch,NN,O
commenced,VBD,O
on,IN,O
1571991,CD,O
whereas,IN,O
the,DT,O
training,NN,O
of,IN,O
the,DT,O
second,JJ,O
batch,NN,O
commenced,VBD,O
on,IN,O
1461992,CD,O
some,DT,O
of,IN,O
those,DT,O
candidates,NNS,O
who,WP,O
commenced,VBD,O
their,PRP$,O
training,NN,O
on,IN,O
1461992,CD,O
approached,VBD,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
by,IN,O
filing,VBG,O
original,JJ,O
application,NN,O
no,DT,O
5165,CD,O
of,IN,O
2002,CD,O
assailing,VBG,O
the,DT,O
action,NN,O
of,IN,O
the,DT,O
authorities,NNS,O
in,IN,O
not,RB,O
including,VBG,O
their,PRP$,O
names,NNS,O
in,IN,O
the,DT,O
seniority,NN,B-LEGAL
list,NN,O
dated,VBD,O
1711996,CD,O
wherein,NN,O
only,RB,O
the,DT,O
names,NNS,O
of,IN,O
58,CD,O
candidates,NNS,O
who,WP,O
had,VBD,O
joined,VBN,O
training,VBG,O
on,IN,O
1571991,CD,O
were,VBD,O
reflected,VBN,O
in,IN,O
fact,NN,O
names,NNS,O
of,IN,O
none,NN,O
of,IN,O
the,DT,O
candidates,NNS,O
who,WP,O
had,VBD,O
commenced,VBN,O
training,NN,O
on,IN,O
1461992,CD,O
were,VBD,O
reflected,VBN,O
in,IN,O
the,DT,O
aforesaid,JJ,O
seniority,NN,B-LEGAL
list,VBP,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
disposed,VBN,O
of,IN,O
original,JJ,O
application,NN,O
no,DT,O
5165,CD,O
of,IN,O
2002,CD,O
vide,IN,O
an,DT,O
order,NN,O
dated,VBD,O
1162002,CD,O
the,DT,O
ultimate,JJ,O
directions,NNS,O
issued,VBN,O
in,IN,O
the,DT,O
aforesaid,NN,O
order,NN,O
are,VBP,O
being,VBG,O
extracted,VBN,O
hereunder,NN,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
matter,NN,O
the,DT,O
applicants,NNS,O
are,VBP,O
directed,VBN,O
to,TO,O
make,VB,O
a,DT,O
detailed,JJ,O
representation,NN,O
to,TO,O
the,DT,O
director,NN,O
general,JJ,O
and,CC,O
inspector,JJ,O
general,NN,O
of,IN,O
police,NN,O
putting,VBG,O
forth,VBP,O
their,PRP$,O
complete,JJ,O
case,NN,O
and,CC,O
the,DT,O
director,NN,O
general,JJ,O
and,CC,O
inspector,JJ,O
general,NN,O
of,IN,O
police,NN,O
is,VBZ,O
directed,VBN,O
to,TO,O
dispose,VB,O
of,IN,O
the,DT,O
representation,NN,O
of,IN,O
the,DT,O
applicants,NNS,O
preferably,RB,O
before,IN,O
making,VBG,O
promotions,NNS,O
to,TO,O
the,DT,O
posts,NNS,O
of,IN,O
inspector,NN,O
of,IN,O
police,NN,O
in,IN,O
zone,NN,O
iv,NN,O
in,IN,O
obedience,NN,O
to,TO,O
the,DT,O
directions,NNS,O
issued,VBN,O
by,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
on,IN,O
1162002,CD,O
those,DT,O
candidates,NNS,O
who,WP,O
had,VBD,O
been,VBN,O
selected,VBN,O
consequent,JJ,O
upon,IN,O
the,DT,O
issuance,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
but,CC,O
had,VBD,O
commenced,VBN,O
their,PRP$,O
training,NN,O
at,IN,O
the,DT,O
police,NN,O
training,NN,O
colleges,NNS,O
on,IN,O
1461992,CD,O
submitted,VBD,O
a,DT,O
detailed,JJ,O
representation,NN,O
wherein,IN,O
they,PRP,O
asserted,VBD,O
that,IN,O
their,PRP$,O
names,NNS,O
ought,MD,O
to,TO,O
have,VB,O
been,VBN,O
interspersed,VBN,O
with,IN,O
the,DT,O
candidates,NNS,O
who,WP,O
had,VBD,O
commenced,VBN,O
their,PRP$,O
training,NN,O
with,IN,O
effect,NN,O
from,IN,O
1571991,CD,O
the,DT,O
above,JJ,O
claim,NN,O
was,VBD,O
premised,VBN,O
on,IN,O
rule,NN,O
15,CD,O
extracted,VBN,O
at,IN,O
the,DT,O
beginning,NN,O
of,IN,O
the,DT,O
instant,JJ,O
judgment,NN,O
the,DT,O
director,NN,O
general,JJ,O
inspector,NN,O
general,NN,O
of,IN,O
police,NN,O
on,IN,O
receipt,NN,O
of,IN,O
the,DT,O
representation,NN,O
sought,VBD,O
the,DT,O
following,JJ,O
clarification,NN,O
from,IN,O
the,DT,O
principal,NN,O
secretary,NN,O
to,TO,O
the,DT,O
government,NN,O
of,IN,O
andhra,NN,O
pradesh,JJ,O
vide,JJ,O
letter,NN,O
dated,VBD,O
2112003,CD,O
whether,IN,O
the,DT,O
seniority,NN,B-LEGAL
of,IN,O
sis,NN,O
civil,JJ,O
though,IN,O
selected,VBN,O
on,IN,O
the,DT,O
notification,NN,O
for,IN,O
1991,CD,O
batch,NN,O
but,CC,O
appointed,VBN,O
and,CC,O
underwent,JJ,O
basic,JJ,O
training,NN,O
during,IN,O
1992,CD,O
can,MD,O
be,VB,O
fixed,VBN,O
alongwith,JJ,O
1991,CD,O
batch,NN,O
of,IN,O
sis,NN,O
civil,JJ,O
as,IN,O
they,PRP,O
were,VBD,O
selected,VBN,O
as,IN,O
per,IN,O
the,DT,O
notification,NN,O
issued,VBN,O
in,IN,O
the,DT,O
year,NN,O
1991,CD,O
a,DT,O
perusal,NN,O
of,IN,O
the,DT,O
clarification,NN,O
sought,VBD,O
reveals,NNS,O
that,IN,O
the,DT,O
real,JJ,O
intent,NN,O
behind,IN,O
seeking,VBG,O
the,DT,O
aforesaid,JJ,O
clarification,NN,O
was,VBD,O
whether,IN,O
the,DT,O
candidates,NNS,O
selected,VBN,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
were,VBD,O
to,TO,O
be,VB,O
treated,VBN,O
as,IN,O
candidates,NNS,O
belonging,VBG,O
to,TO,O
a,DT,O
single,JJ,O
batch,NN,O
or,CC,O
whether,IN,O
they,PRP,O
were,VBD,O
to,TO,O
be,VB,O
treated,VBN,O
as,IN,O
two,CD,O
batches,NNS,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
different,JJ,O
dates,NNS,O
of,IN,O
commencing,VBG,O
training,VBG,O
the,DT,O
first,JJ,O
batch,NN,O
on,IN,O
1571991,CD,O
and,CC,O
the,DT,O
second,JJ,O
batch,NN,O
on,IN,O
1461992,CD,O
simply,RB,O
stated,VBD,O
the,DT,O
question,NN,O
posed,VBD,O
was,VBD,O
whether,IN,O
the,DT,O
selected,VBN,O
candidates,NNS,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
were,VBD,O
to,TO,O
be,VB,O
treated,VBN,O
as,IN,O
a,DT,O
single,JJ,O
batch,NN,O
for,IN,O
the,DT,O
year,NN,O
1991,CD,O
or,CC,O
alternatively,RB,O
they,PRP,O
were,VBD,O
to,TO,O
be,VB,O
treated,VBN,O
as,IN,O
two,CD,O
batches,NNS,O
one,CD,O
of,IN,O
the,DT,O
year,NN,O
1991,CD,O
ie,NN,O
in,IN,O
respect,NN,O
of,IN,O
candidates,NNS,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1571991,CD,O
and,CC,O
the,DT,O
second,NN,O
of,IN,O
the,DT,O
year,NN,O
1992,CD,O
ie,NN,O
in,IN,O
respect,NN,O
of,IN,O
candidates,NNS,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1461992,CD,O
the,DT,O
government,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
issued,VBD,O
a,DT,O
memorandum,NN,O
dated,VBD,O
1732003,CD,O
in,IN,O
compliance,NN,O
of,IN,O
the,DT,O
order,NN,O
dated,VBD,O
1162002,CD,O
passed,VBN,O
by,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
while,IN,O
disposing,VBG,O
of,IN,O
original,JJ,O
application,NN,O
no,DT,O
5165,CD,O
of,IN,O
2002,CD,O
and,CC,O
in,IN,O
reply,NN,O
to,TO,O
the,DT,O
letter,NN,O
dated,VBD,O
2112003,CD,O
issued,VBN,O
by,IN,O
the,DT,O
director,NN,O
general,JJ,O
inspector,NN,O
general,NN,O
of,IN,O
police,NN,O
andhra,NN,O
pradesh,NN,O
seeking,VBG,O
clarification,NN,O
with,IN,O
reference,NN,O
to,TO,O
the,DT,O
inter,NN,O
se,JJ,O
seniority,NN,B-LEGAL
of,IN,O
the,DT,O
parties,NNS,O
in,IN,O
dispute,NN,O
vide,NN,O
its,PRP$,O
memorandum,NN,O
dated,VBD,O
1732003,CD,O
the,DT,O
state,NN,O
government,NN,O
accepted,VBD,O
delay,NN,O
at,IN,O
its,PRP$,O
hands,NNS,O
in,IN,O
not,RB,O
deputing,VBG,O
the,DT,O
selected,VBN,O
candidates,NNS,O
from,IN,O
the,DT,O
pe,NN,O
pm,NN,O
and,CC,O
sp,NN,O
quotas,NNS,O
for,IN,O
training,VBG,O
due,JJ,O
to,TO,O
a,DT,O
wrong,JJ,O
calculation,NN,O
of,IN,O
the,DT,O
vacancies,NNS,O
having,VBG,O
accepted,VBN,O
delay,NN,O
at,IN,O
its,PRP$,O
own,JJ,O
hands,NNS,O
the,DT,O
state,NN,O
government,NN,O
was,VBD,O
of,IN,O
the,DT,O
view,NN,O
that,IN,O
the,DT,O
candidates,NNS,O
sent,VBD,O
for,IN,O
training,VBG,O
belatedly,RB,O
who,WP,O
had,VBD,O
commenced,VBN,O
their,PRP$,O
training,NN,O
at,IN,O
the,DT,O
concerned,JJ,O
police,NNS,O
training,VBG,O
college,NN,O
with,IN,O
effect,NN,O
from,IN,O
1461992,CD,O
were,VBD,O
entitled,VBN,O
to,TO,O
seniority,VB,B-LEGAL
along,IN,O
with,IN,O
those,DT,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1571991,CD,O
this,DT,O
according,VBG,O
to,TO,O
the,DT,O
state,NN,O
government,NN,O
would,MD,O
have,VB,O
to,TO,O
be,VB,O
achieved,VBN,O
by,IN,O
interspersing,VBG,O
the,DT,O
candidates,NNS,O
deputed,VBD,O
for,IN,O
the,DT,O
training,NN,O
courses,NNS,O
on,IN,O
1571991,CD,O
and,CC,O
1461992,CD,O
by,IN,O
taking,VBG,O
into,IN,O
consideration,NN,O
the,DT,O
aggregate,NN,O
marks,NNS,O
obtained,VBN,O
by,IN,O
them,PRP,O
at,IN,O
the,DT,O
end,NN,O
of,IN,O
their,PRP$,O
training,NN,O
at,IN,O
the,DT,O
police,NN,O
training,NN,O
colleges,NNS,O
it,PRP,O
is,VBZ,O
therefore,RB,O
apparent,JJ,O
that,IN,O
the,DT,O
state,NN,O
government,NN,O
accepted,VBD,O
the,DT,O
contention,NN,O
of,IN,O
the,DT,O
candidates,NNS,O
deputed,VBD,O
for,IN,O
training,VBG,O
on,IN,O
1461992,CD,O
namely,RB,O
the,DT,O
applicants,NNS,O
who,WP,O
had,VBD,O
approached,VBN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
by,IN,O
filing,VBG,O
original,JJ,O
application,NN,O
no,DT,O
5165,CD,O
of,IN,O
2002,CD,O
this,DT,O
position,NN,O
was,VBD,O
adopted,VBN,O
by,IN,O
the,DT,O
state,NN,O
government,NN,O
on,IN,O
account,NN,O
of,IN,O
the,DT,O
fact,NN,O
that,IN,O
the,DT,O
candidates,NNS,O
were,VBD,O
selected,VBN,O
through,IN,O
a,DT,O
common,JJ,O
process,NN,O
initiated,VBN,O
by,IN,O
the,DT,O
recruitment,NN,O
board,NN,O
vide,IN,O
notification,NN,O
dated,VBD,O
2211991,CD,O
12,CD,O
the,DT,O
claim,NN,O
of,IN,O
the,DT,O
candidates,NNS,O
whose,WP$,O
names,NNS,O
were,VBD,O
included,VBN,O
in,IN,O
the,DT,O
list,NN,O
of,IN,O
provisionally,RB,O
selected,VBN,O
candidates,NNS,O
issued,VBN,O
on,IN,O
1141991,CD,O
751991,CD,O
was,VBD,O
that,IN,O
they,PRP,O
were,VBD,O
higher,JJR,O
in,IN,O
the,DT,O
merit,NN,O
list,NN,O
vis,FW,O
à,NNP,O
vis,FW,O
candidates,NNS,O
who,WP,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1461992,CD,O
and,CC,O
as,IN,O
such,JJ,O
those,DT,O
deputed,VBN,O
for,IN,O
training,VBG,O
vide,JJ,O
letter,NN,O
dated,VBD,O
1141991,CD,O
751991,CD,O
should,MD,O
be,VB,O
treated,VBN,O
as,IN,O
a,DT,O
batch,NN,O
separate,NN,O
and,CC,O
distinct,NN,O
from,IN,O
the,DT,O
batch,NN,O
of,IN,O
candidates,NNS,O
who,WP,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1461992,CD,O
the,DT,O
58,CD,O
candidates,NNS,O
whose,WP$,O
names,NNS,O
were,VBD,O
included,VBN,O
in,IN,O
the,DT,O
letter,NN,O
dated,VBD,O
1141991,CD,O
751991,CD,O
and,CC,O
who,WP,O
were,VBD,O
exclusively,RB,O
placed,VBN,O
in,IN,O
the,DT,O
seniority,NN,B-LEGAL
list,NN,O
dated,VBD,O
1711996,CD,O
filed,VBN,O
detailed,JJ,O
objections,NNS,O
to,TO,O
the,DT,O
determination,NN,O
rendered,VBN,O
by,IN,O
the,DT,O
state,NN,O
government,NN,O
vide,IN,O
its,PRP$,O
order,NN,O
memorandum,NN,O
dated,VBD,O
1732003,CD,O
the,DT,O
state,NN,O
government,NN,O
vide,IN,O
its,PRP$,O
order,NN,O
dated,VBD,O
26122003,CD,O
rejected,VBD,O
the,DT,O
objections,NNS,O
filed,VBN,O
by,IN,O
the,DT,O
candidates,NNS,O
deputed,VBD,O
for,IN,O
training,VBG,O
on,IN,O
1571991,CD,O
in,IN,O
sum,NN,O
and,CC,O
substance,NN,O
the,DT,O
claim,NN,O
of,IN,O
the,DT,O
candidates,NNS,O
who,WP,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1571991,CD,O
that,IN,O
they,PRP,O
should,MD,O
be,VB,O
placed,VBN,O
en,IN,O
masse,FW,O
above,IN,O
the,DT,O
candidates,NNS,O
deputed,VBD,O
for,IN,O
training,VBG,O
on,IN,O
1461992,CD,O
in,IN,O
the,DT,O
seniority,NN,B-LEGAL
list,NN,O
came,VBD,O
to,TO,O
be,VB,O
rejected,VBN,O
accordingly,RB,O
vide,JJ,O
order,NN,O
dated,VBD,O
1392004,CD,O
the,DT,O
state,NN,O
government,NN,O
issued,VBD,O
a,DT,O
memorandum,NN,O
concluding,VBG,O
that,IN,O
the,DT,O
candidates,NNS,O
deputed,VBD,O
for,IN,O
training,VBG,O
on,IN,O
1461992,CD,O
were,VBD,O
entitled,VBN,O
to,TO,O
be,VB,O
interspersed,VBN,O
in,IN,O
the,DT,O
seniority,NN,B-LEGAL
list,NN,O
along,IN,O
with,IN,O
the,DT,O
candidates,NNS,O
who,WP,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1571991,CD,O
in,IN,O
sum,NN,O
and,CC,O
substance,NN,O
the,DT,O
state,NN,O
government,NN,O
concluded,VBD,O
that,IN,O
those,DT,O
selected,VBN,O
in,IN,O
continuation,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
by,IN,O
the,DT,O
recruitment,NN,O
board,NN,O
were,VBD,O
entitled,VBN,O
to,TO,O
be,VB,O
depicted,VBN,O
in,IN,O
a,DT,O
combined,JJ,O
common,JJ,O
seniority,NN,B-LEGAL
list,NN,O
prepared,VBN,O
in,IN,O
consonance,NN,O
with,IN,O
rule,NN,O
15,CD,O
reproduced,VBD,O
above,IN,O
13,CD,O
the,DT,O
different,JJ,O
orders,NNS,O
passed,VBN,O
by,IN,O
the,DT,O
state,NN,O
government,NN,O
referred,VBD,O
to,TO,O
in,IN,O
the,DT,O
foregoing,NN,O
two,CD,O
paragraphs,NN,O
whereby,VBD,O
it,PRP,O
had,VBD,O
concluded,VBN,O
that,IN,O
the,DT,O
candidates,NNS,O
deputed,VBD,O
for,IN,O
training,VBG,O
on,IN,O
1571991,CD,O
were,VBD,O
liable,JJ,O
to,TO,O
be,VB,O
infused,VBN,O
for,IN,O
purposes,NNS,O
of,IN,O
seniority,NN,B-LEGAL
with,IN,O
candidates,NNS,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
