ruma,NN,O 
state,IN,O
of,DT,O
orissa,NN,O
v,IN,O
ma,PRP,O
tulloch,VBD,O
and,RB,O
co,VBN,O
1962,IN,O
4,DT,O
scr,CD,O
461,NN,O
and,NN,O
baijnath,NNS,O
kadio,IN,O
v,DT,O
state,NN,O
of,IN,O
bihar,NN,O
and,IN,O
ors,NN,O
manu,NN,O
sc,NN,O
0352,NN,O
1969manu,CC,O
sc,NN,O
0352,CD,O
1969,CD,O
1970,NN,O
2scr100,CD,O
referring,CC,O
to,NN,O
these,NN,O
two,NN,O
decisions,NN,O
the,IN,O
opinion,NN,O
expressed,CC,O
was,NNS,O
that,VBP,O
these,JJ,O
cases,CD,O
are,CD,O
direct,NN,O
authority,CD,O
on,CD,O
the,CD,O
question,CD,O
at,VBG,O
issue,TO,O
viz,DT,O
if,CD,O
the,NNS,O
central,DT,O
act,NN,O
and,VBD,O
the,VBD,O
state,IN,O
act,DT,O
collide,NNS,O
the,VBP,O
inevitable,JJ,O
consequence,NN,O
would,IN,O
have,DT,O
to,NN,O
be,IN,O
that,NN,O
the,NN,O
central,IN,O
act,DT,O
will,JJ,O
prevail,NN,O
over,CC,O
the,DT,O
state,NN,O
act,NN,O
and,VBP,O
later,DT,O
will,JJ,O
have,NN,O
to,MD,O
yield,VB,O
and,TO,O
that,VB,O
the,IN,O
provisions,DT,O
of,JJ,O
the,NN,O
karnataka,MD,O
agricultural,VB,O
produce,IN,O
marketing,DT,O
regulation,NN,B-LEGAL
act,NN,O
1966,CC,O
are,RB,O
repugnant,MD,O
to,VB,O
the,TO,O
tobacco,VB,O
board,CC,O
act,IN,O
1975,DT,O
and,NNS,O
therefore,IN,O
tobacco,DT,O
is,NNP,O
liable,JJ,O
to,NN,O
be,NN,O
removed,NN,O
from,NN,O
the,CD,O
schedule,VBP,O
of,JJ,O
the,TO,O
said,DT,O
act,NNP,O
83,NN,O
the,NN,O
minority,CD,O
view,CC,O
however,RB,O
was,NN,O
that,VBZ,O
there,JJ,O
is,TO,O
nothing,VB,O
in,VBN,O
the,IN,O
state,DT,O
act,NN,O
or,IN,O
in,DT,O
the,VBD,O
rules,NN,O
which,CD,O
indicate,DT,O
that,NN,O
it,NN,O
is,RB,O
inconsistent,VBD,O
with,IN,O
or,EX,O
cannot,VBZ,O
be,NN,O
operated,IN,O
along,DT,O
with,NN,O
the,NN,O
marketing,CC,O
regulations,IN,O
and,DT,O
both,NNS,O
the,WDT,O
acts,VBP,O
can,IN,O
operate,PRP,O
in,VBZ,O
their,JJ,O
respective,IN,O
fields,CC,O
and,MD,O
there,RB,O
is,VB,O
no,VBN,O
repugnancy,IN,B-LEGAL
if,IN,O
both,DT,O
the,NN,O
acts,NNS,O
are,CC,O
considered,DT,O
in,DT,O
the,NNS,O
light,MD,O
of,VB,O
their,IN,O
true,PRP$,O
nature,JJ,O
and,NNS,O
character,CC,O
84,EX,O
in,VBZ,O
itc,DT,O
s,NN,O
case,IN,O
the,DT,O
challenge,DT,O
was,NNS,O
to,VBP,O
the,VBN,O
constitutional,IN,B-LEGAL
validity,DT,I-LEGAL
of,NN,O
the,IN,O
karnataka,PRP$,O
agricultural,JJ,O
produce,NN,O
marketing,CC,O
regulation,NN,B-LEGAL
amendment,CD,O
act,IN,O
1980,NN,O
by,NN,O
the,NN,O
amending,DT,B-LEGAL
act,NN,I-LEGAL
tobacco,VBD,O
was,TO,O
enumerated,DT,O
as,JJ,O
an,NN,O
agricultural,IN,O
produce,DT,O
for,NNP,O
the,JJ,O
purposes,NN,O
of,NN,O
the,NN,O
karnataka,NN,O
agricultural,NN,O
produce,CD,O
marketing,IN,O
regulation,DT,B-LEGAL
act,VBG,O
1966,NN,O
the,NN,O
high,VBD,O
court,VBN,O
was,IN,O
of,DT,O
the,JJ,O
view,NN,O
that,IN,O
the,DT,O
tobacco,NNS,O
board,IN,O
act,DT,O
did,NNP,O
not,JJ,O
cover,NN,O
the,NN,O
marketing,NN,O
o,NN,O
tobacco,CD,O
in,DT,O
its,JJ,O
entirety,NN,O
but,VBD,O
only,IN,O
covered,DT,O
a,NN,O
part,IN,O
of,DT,O
the,NNP,O
area,NN,O
of,NN,O
the,VBD,O
topic,RB,O
of,VB,O
marketing,DT,O
of,NN,O
tobacco,NN,O
and,NN,O
that,IN,O
the,PRP$,O
two,NN,O
legislations,CC,O
namely,RB,O
the,VBD,O
tobacco,DT,O
board,NN,O
act,IN,O
1975,DT,O
and,NN,O
the,IN,O
karnataka,DT,O
agricultural,NN,O
produce,IN,O
marketing,NN,O
regulation,IN,B-LEGAL
act,NN,O
can,CC,O
co,IN,O
exist,DT,O
and,CD,O
operate,NNS,O
cumulatively,RB,O
the,DT,O
further,NN,O
view,NN,O
expressed,NN,O
by,CD,O
the,CC,O
high,DT,O
court,JJ,O
was,JJ,O
that,NN,O
any,NN,O
intention,NN,O
of,NN,O
the,MD,O
superior,VB,O
legislature,NN,O
to,CC,O
cover,VB,O
the,RB,O
whole,DT,O
field,JJ,O
to,NN,O
make,VBN,O
a,IN,O
comprehensive,DT,O
law,JJ,O
with,NN,O
regard,VBD,O
to,IN,O
marketing,DT,O
of,NN,O
tobacco,IN,O
was,DT,O
not,JJ,O
manifest,NN,O
in,TO,O
the,VB,O
legislation,DT,B-LEGAL
85,JJ,O
the,NN,O
contention,TO,O
canvassed,VB,O
before,DT,O
this,JJ,O
court,NN,O
in,IN,O
itc,NN,O
s,TO,O
case,NN,O
was,IN,O
that,NN,O
in,VBD,O
view,RB,O
of,JJS,O
the,IN,O
central,DT,O
act,NN,O
the,CD,O
state,DT,B-LEGAL
legislature,NN,I-LEGAL
was,VBD,O
not,IN,O
competent,DT,O
to,NN,O
bring,IN,O
into,NN,O
fold,NN,O
of,NN,O
the,VBD,O
state,IN,O
act,IN,O
the,NN,O
tobacco,IN,O
the,DT,O
matter,JJ,O
being,NN,O
covered,DT,O
by,NN,O
entry,NN,O
52,VBD,O
of,RB,O
the,JJ,O
union,TO,B-LEGAL
list,VB,I-LEGAL
of,IN,O
seventh,NN,B-LEGAL
schedule,IN,I-LEGAL
of,DT,O
the,NN,O
constitution,VBD,B-LEGAL
of,DT,I-LEGAL
india,NN,I-LEGAL
the,DT,O
precise,NN,O
question,VBG,O
in,VBN,O
itc,IN,O
s,NN,O
case,CD,O
was,IN,O
as,DT,O
to,NN,O
whether,NN,O
in,IN,O
respect,JJ,O
of,NN,O
marketing,IN,O
of,DT,O
tobacco,NN,O
the,IN,O
state,NN,O
government,DT,O
was,JJ,O
entitled,NN,O
to,IN,O
legislate,NN,O
or,NN,O
whether,NN,O
in,VBD,O
view,IN,O
of,TO,O
the,IN,O
fact,IN,O
that,NN,O
there,IN,O
was,NN,O
a,IN,O
declaration,NN,O
under,DT,O
entry,NN,O
52,NN,O
of,VBD,O
the,VBN,O
union,TO,B-LEGAL
list,VB,I-LEGAL
the,CC,O
state,IN,B-LEGAL
legislature,IN,I-LEGAL
had,NN,O
no,IN,O
competence,DT,O
to,NN,O
legislate,IN,O
on,EX,O
tobacco,VBD,O
and,DT,O
as,NN,O
such,IN,O
the,NN,O
impugned,CD,O
legislation,IN,B-LEGAL
was,DT,O
ultra,NN,O
vires,NN,O
86,DT,O
in,NN,O
the,NN,O
minority,VBD,O
opinion,DT,O
mukharji,NN,O
j,TO,O
noticed,VB,O
that,IN,O
the,NN,O
karnataka,CC,O
agricultural,IN,O
produce,JJ,O
marketing,DT,O
regulation,JJ,B-LEGAL
act,NN,O
1966,VBD,O
deals,JJ,O
with,NNS,O
the,CD,O
subject,IN,O
of,DT,O
market,NN,O
in,NN,O
entry,FW,O
28,NN,O
read,VBD,O
with,IN,O
entry,DT,O
66,NNP,O
of,JJ,O
list,NN,O
ii,NN,O
and,NN,O
that,NN,O
it,CD,O
had,NNS,O
to,IN,O
be,DT,O
borne,NN,O
in,IN,O
mind,NN,O
that,IN,O
entry,NN,O
28,CD,O
is,NN,O
not,IN,O
subject,NN,O
to,CD,O
withdrawal,IN,O
to,NN,O
list,NN,O
i,CC,O
by,IN,O
parliament,PRP,B-LEGAL
the,VBD,O
state,TO,O
act,VB,O
is,VBN,O
not,IN,O
on,NN,O
a,IN,O
subject,NN,O
in,CD,O
list,VBZ,O
iii,RB,O
nor,JJ,O
is,TO,O
the,VB,O
central,TO,O
act,VB,O
a,NN,O
law,IN,O
relating,NN,O
to,DT,O
any,NN,O
subject,NN,O
in,VBZ,O
list,RB,O
iii,IN,O
it,DT,O
was,NN,O
concluded,IN,O
that,NN,O
therefore,NN,O
there,CC,O
cannot,VBZ,O
be,DT,O
any,JJ,O
question,NN,O
of,DT,O
repugnancy,NN,B-LEGAL
the,VBG,O
nature,TO,O
and,DT,O
character,NN,O
of,IN,O
the,NN,O
acts,NN,O
namely,PRP,O
karnataka,VBD,O
agricultural,VBN,O
produce,IN,O
marketing,RB,O
regulation,EX,B-LEGAL
act,MD,O
1966,RB,O
and,VB,O
the,DT,O
central,NN,O
act,IN,O
was,NN,O
noticed,DT,O
and,NN,O
it,CC,O
was,NN,O
held,IN,O
that,DT,O
it,NNS,O
is,RB,O
fully,VBP,O
manifest,JJ,O
that,NN,O
both,NN,O
the,NN,O
acts,NN,O
can,CD,O
operate,CC,O
in,DT,O
their,JJ,O
respective,NN,O
fields,VBD,O
further,VBN,O
in,CC,O
the,PRP,O
minority,VBD,O
opinion,VBN,O
it,IN,O
was,PRP,O
observed,VBZ,O
that,RB,O
while,JJS,O
giving,IN,O
due,DT,O
weight,DT,O
to,NNS,O
center,MD,O
s,VB,O
supremacy,IN,O
in,PRP$,O
the,JJ,O
matter,NNS,O
of,RBR,O
legislation,IN,B-LEGAL
the,DT,O
states,NN,O
legitimate,NN,O
sphere,PRP,O
of,VBD,O
legislation,VBN,B-LEGAL
should,IN,O
not,IN,O
be,VBG,O
unnecessarily,JJ,O
whittled,NN,O
down,TO,O
because,VB,O
that,JJ,O
would,NN,O
be,IN,O
unwarranted,DT,O
by,NN,O
the,IN,O
spirit,NN,O
and,DT,O
basic,NNS,O
purpose,VBP,O
of,NN,O
the,IN,O
constitutional,NN,O
division,MD,O
of,RB,O
powers,VB,O
not,RB,O
merely,VBN,O
allocation,RP,O
of,IN,O
power,DT,O
by,MD,O
the,VB,O
constitution,VBN,O
but,IN,O
invasion,DT,O
by,NN,O
parliamentary,CC,O
legislations,JJ,O
while,NN,O
it,IN,O
is,DT,O
true,JJ,O
that,NN,O
in,IN,O
the,NNS,O
spheres,RB,O
very,RB,O
carefully,NN,O
delineated,IN,O
the,NN,O
parliament,IN,B-LEGAL
has,DT,O
supremacy,NN,O
over,CC,O
state,NN,O
legislatures,IN,O
supremacy,JJ,O
in,NNS,O
the,IN,O
sense,PRP,O
that,VBZ,O
in,JJ,O
those,IN,O
fields,IN,O
parliamentary,DT,O
legislation,NNS,B-LEGAL
would,RB,O
hold,RB,O
the,VBN,O
field,DT,O
and,NN,O
not,VBZ,O
the,VBN,O
state,IN,O
legislation,NN,B-LEGAL
but,NNS,O
to,NN,O
denude,IN,O
the,DT,O
state,NN,B-LEGAL
legislature,IN,I-LEGAL
of,IN,O
its,DT,O
power,NNS,O
to,JJ,O
legislate,NN,O
where,MD,O
the,VB,O
legislation,DT,B-LEGAL
in,NN,O
question,CC,O
in,RB,O
pith,DT,O
and,NN,O
substance,NN,O
ie,CC,O
in,TO,O
its,VB,O
true,DT,O
nature,NN,O
and,NN,O
character,IN,O
belongs,PRP$,O
to,NN,O
the,TO,O
state,VB,O
field,WRB,O
one,DT,O
should,NN,O
be,IN,O
chary,NN,O
to,IN,O
denude,NN,O
the,CC,O
state,NN,O
of,NN,O
its,IN,O
powers,PRP$,O
to,JJ,O
legislate,NN,O
and,CC,O
mobilize,NN,O
resources,NNS,O
because,TO,O
that,DT,O
would,NN,O
be,NN,O
destructive,CD,O
of,MD,O
the,VB,O
spirit,JJ,O
and,TO,O
purpose,VB,O
of,DT,O
india,NN,O
being,IN,O
a,PRP$,O
union,NNS,O
of,TO,O
states,VB,O
states,CC,O
must,VB,O
have,NNS,O
power,IN,O
to,DT,O
raise,MD,O
and,VB,O
mobilize,JJ,O
resources,IN,O
in,DT,O
their,NN,O
exclusive,CC,O
fields,NN,O
the,IN,O
marketing,NN,O
act,VBG,O
is,DT,O
essentially,NN,O
an,IN,O
act,NNS,O
to,NNS,O
regulate,MD,O
the,VB,O
marketing,NN,O
of,TO,O
agricultural,VB,O
produce,CC,O
justice,VB,O
mukharji,NNS,O
said,IN,O
that,PRP$,O
it,JJ,O
must,NNS,O
therefore,DT,O
be,NN,O
held,NN,O
that,VBZ,O
the,RB,O
state,DT,O
act,NN,O
should,TO,O
prevail,VB,O
one,DT,O
should,NN,O
avoid,IN,O
corroding,JJ,O
the,NN,O
state,NN,O
s,NN,O
ambit,VBD,O
of,IN,O
powers,PRP,B-LEGAL
of,MD,I-LEGAL
legislation,RB,I-LEGAL
which,VB,O
will,VBN,O
ultimately,IN,O
lead,DT,O
to,NN,O
erosion,NN,O
of,MD,O
india,VB,O
being,CD,O
a,MD,O
union,VB,O
of,VBG,O
state,DT,O
87,NN,O
the,JJ,O
majority,NN,O
opinion,IN,O
was,NNS,O
expressed,IN,O
by,NN,O
justice,WDT,O
s,MD,O
murtaza,RB,O
fazal,VB,O
ali,TO,O
with,NN,O
whom,IN,O
justice,NN,O
a,VBG,O
varadarajan,DT,O
concurred,NN,O
in,IN,O
the,NN,O
majority,CD,O
opinion,DT,O
after,NN,O
noticing,NN,O
the,VBD,O
crucial,VBN,O
point,IN,O
for,NN,O
determination,NN,O
ie,NN,O
whether,NN,O
the,NN,O
karnataka,IN,O
state,WP,O
had,NN,O
any,DT,O
jurisdiction,NN,B-LEGAL
to,VBN,O
encroach,IN,O
upon,DT,O
the,NN,O
limits,NN,O
of,IN,O
entry,VBG,O
52,DT,O
of,JJ,O
the,NN,O
union,IN,B-LEGAL
list,NN,I-LEGAL
relying,NN,O
inter,IN,O
ali,DT,O
upon,NN,O
the,NN,O
decisions,VBD,O
in,DT,O
the,NN,O
cases,TO,O
of,VB,O
tulloch,IN,O
baijnath,DT,O
kadio,NNS,O
it,IN,O
was,NN,O
concluded,CD,O
that,IN,O
once,DT,O
the,NN,O
center,NN,O
takes,VBG,O
over,NN,O
an,NN,O
industry,IN,O
under,DT,O
entry,NNS,O
52,IN,O
of,DT,O
list,NNS,O
i,IN,O
of,JJ,O
the,NN,O
seventh,NN,B-LEGAL
schedule,PRP,I-LEGAL
and,VBD,O
passes,VBN,O
an,IN,O
act,RB,O
to,DT,O
regulate,NN,O
the,VBZ,O
legislation,RP,B-LEGAL
the,DT,O
state,NN,B-LEGAL
legislature,IN,I-LEGAL
ceases,NN,O
to,CD,O
have,IN,O
any,NN,O
jurisdiction,NN,B-LEGAL
to,IN,O
legislate,DT,O
in,JJ,O
that,NN,O
field,CC,O
and,VBZ,O
if,DT,O
it,NN,O
does,TO,O
so,VB,O
that,DT,O
legislation,NN,B-LEGAL
would,DT,O
be,NN,O
ultra,NN,O
vires,NNS,O
the,TO,O
powers,VB,O
of,DT,O
the,NN,O
state,TO,B-LEGAL
legislature,VB,I-LEGAL
it,IN,O
was,DT,O
further,NN,O
observed,CC,O
that,IN,O
acceptance,PRP,O
of,VBZ,O
the,RB,O
minority,IN,O
opinion,NN,O
would,MD,O
rob,VB,O
the,JJ,O
central,NNS,O
act,DT,O
of,NNS,O
its,IN,O
entire,DT,O
content,NN,O
and,NN,O
essential,PRP,O
import,VBD,O
by,RBR,O
handing,VBD,O
over,DT,O
he,NN,O
power,IN,B-LEGAL
of,DT,I-LEGAL
legislation,NN,I-LEGAL
to,NN,O
the,MD,O
state,VB,O
government,DT,O
which,JJ,O
per,NN,O
se,IN,O
had,PRP$,O
been,JJ,O
taken,NN,O
over,CC,O
by,JJ,O
the,NN,O
parliament,IN,B-LEGAL
under,VBG,O
article,IN,O
246,PRP,O
by,NN,O
enacting,IN,O
the,NN,O
tobacco,TO,O
board,DT,O
act,NN,O
1975,NN,O
in,WDT,O
the,IN,O
majority,NN,O
opinion,VBD,O
reliance,VBN,O
was,VBN,O
placed,RP,O
on,IN,O
the,DT,O
following,NN,O
passage,IN,O
of,NN,O
baijnath,CD,O
kadio,IN,O
s,VBG,O
case,DT,O
as,NN,O
extracted,NN,O
at,NN,O
page,CD,O
174,IN,O
as,DT,O
under,NN,O
it,NN,O
is,NN,O
open,VBD,O
to,VBN,O
parliament,IN,B-LEGAL
to,DT,O
declare,JJ,O
that,NN,O
it,IN,O
is,NN,O
expedient,NN,O
in,NN,O
the,NN,O
public,IN,O
interest,VBN,O
that,IN,O
the,NN,O
control,CD,O
should,IN,O
rest,IN,O
in,PRP,O
central,VBZ,O
government,JJ,O
to,TO,O
what,VB,O
extent,TO,O
such,VB,O
a,IN,O
declaration,PRP,O
can,VBZ,O
go,JJ,O
is,IN,O
for,DT,O
parliament,JJ,B-LEGAL
to,NN,O
determine,IN,O
and,DT,O
this,NN,O
must,MD,O
be,VB,O
commensurate,IN,O
with,JJ,O
public,NN,O
interest,TO,O
once,WP,O
this,NN,O
declaration,PDT,O
is,DT,O
made,NN,O
and,MD,O
the,VB,O
extent,VBZ,O
laid,IN,O
down,NN,O
the,TO,O
subject,VB,O
of,CC,O
legislation,DT,B-LEGAL
to,MD,O
the,VB,O
extent,JJ,O
laid,IN,O
down,JJ,O
becomes,NN,O
an,RB,O
exclusive,DT,O
subject,NN,O
for,VBZ,O
legislation,VBN,B-LEGAL
by,CC,O
parliament,DT,B-LEGAL
any,NN,O
legislation,VBD,B-LEGAL
by,RB,O
the,DT,O
state,NN,O
after,IN,O
such,NN,O
declaration,TO,O
and,DT,O
trenching,NN,O
upon,VBD,O
the,RB,O
field,RB,O
disclosed,DT,O
in,JJ,O
the,NN,O
declaration,IN,O
must,NN,O
necessary,IN,O
be,NN,O
unconstitutional,DT,O
because,NN,O
that,IN,O
field,DT,O
is,NN,O
abstracted,IN,O
from,JJ,O
the,NN,O
legislative,CC,B-LEGAL
competence,VBG,I-LEGAL
of,IN,O
the,DT,O
state,NN,B-LEGAL
legislature,VBD,I-LEGAL
this,IN,O
proposition,DT,O
is,NN,O
also,MD,O
self,JJ,O
evident,VB,O
that,JJ,O
no,IN,O
attempt,DT,O
was,NN,O
rightly,VBZ,O
made,VBN,O
to,IN,O
contradict,DT,O
it,JJ,O
88,NN,O
the,IN,O
majority,DT,O
opinion,NN,O
has,NN,O
not,DT,O
noticed,NN,O
the,VBZ,O
constitution,RB,O
bench,JJ,O
s,NN,O
decision,IN,O
in,DT,O
the,NN,O
case,VBD,O
of,RB,O
ch,VBN,O
tika,TO,O
ramji,VB,O
and,PRP,O
ors,CD,O
etc,DT,O
v,NN,O
the,NN,O
state,VBZ,O
of,RB,O
uttar,VBN,O
pradesh,DT,O
and,NN,O
ors,NN,O
manu,JJ,O
sc,NN,O
0008,IN,O
1956manu,DT,O
sc,NN,O
0008,IN,O
1956,NN,O
1956,FW,O
1scr393,NN,O
decisions,CC,O
on,NNS,O
the,VBP,O
scope,IN,O
o,DT,O
entry,NN,O
52,IN,O
but,JJ,O
relying,NN,O
upon,CC,O
ma,NNS,O
tulloch,VBP,O
and,JJ,O
baijnath,CD,O
kedio,CD,O
held,NN,O
that,CD,O
when,CD,O
declaration,CD,O
under,CD,O
entry,NNS,O
52,IN,O
of,DT,O
list,NN,O
i,VBZ,O
in,NN,O
respect,CD,O
of,CC,O
public,VBG,O
interest,IN,O
is,NN,O
made,NN,O
and,CC,O
the,NN,O
extent,NN,O
laid,VBD,O
down,IN,O
the,WRB,O
subject,NN,O
of,IN,O
legislation,NN,B-LEGAL
to,CD,O
the,IN,O
extent,NN,O
laid,NN,O
down,IN,O
becomes,NN,O
an,IN,O
exclusive,JJ,O
subject,NN,O
of,VBZ,O
legislation,VBN,B-LEGAL
by,CC,O
the,DT,O
parliament,NN,B-LEGAL
and,VBD,O
any,RB,O
legislation,DT,B-LEGAL
by,NN,O
the,IN,O
state,NN,O
after,TO,O
such,DT,O
declaration,NN,O
trenching,VBD,O
upon,RB,O
the,RB,O
field,DT,O
disclosed,JJ,O
in,NN,O
the,IN,O
declaration,NN,O
must,IN,O
necessarily,DT,O
be,NN,O
unconstitutional,CC,O
because,DT,O
that,NN,O
field,IN,O
is,DT,O
abstracted,NN,O
from,IN,O
the,JJ,O
legislative,NN,B-LEGAL
competence,VBG,I-LEGAL
of,IN,O
the,DT,O
state,NN,B-LEGAL
legislature,VBD,I-LEGAL
thus,IN,O
it,DT,O
was,NN,O
held,MD,O
that,RB,O
the,VB,O
government,JJ,O
of,IN,O
karnataka,DT,O
had,NN,O
no,VBZ,O
jurisdiction,VBN,B-LEGAL
to,IN,O
levy,DT,O
and,JJ,O
market,NN,O
fee,IN,O
on,DT,O
tobacco,NN,O
because,NN,O
the,RB,O
state,PRP,O
act,VBD,O
to,VBN,O
that,IN,O
extent,DT,O
collides,NN,O
with,IN,O
the,NN,O
central,VBD,O
act,DT,O
of,NN,O
1975,TO,O
89,VB,O
the,CC,O
decision,NN,O
in,NN,O
the,IN,O
cases,NN,O
of,IN,O
baijnath,DT,O
kadio,NN,O
and,NN,O
tulloch,TO,O
have,DT,O
also,NN,O
been,VBZ,O
relied,IN,O
upon,DT,O
by,JJ,O
mr,NN,O
shanti,IN,O
bhushan,CD,O
reliance,CD,O
has,DT,O
also,NN,O
been,IN,O
placed,DT,O
by,NNS,O
learned,IN,O
counsel,NN,O
on,NN,O
the,CC,O
hingir,NN,O
rampur,VBP,O
coal,RB,O
co,VBN,O
ltd,VBN,O
and,IN,O
ors,IN,O
v,NN,O
state,NNS,O
of,JJ,O
orissa,NN,O
and,VBZ,O
ors,RB,O
manu,VBN,O
sc,VBN,O
0037,IN,O
1960manu,JJ,O
sc,NN,O
0037,IN,O
1960,DT,O
1961,NN,O
2scr537,NN,O
it,NN,O
was,NN,O
contended,NN,O
by,CC,O
mr,NNS,O
shanti,VBP,O
bhushan,NN,O
that,IN,O
in,NN,O
law,CC,O
and,NNS,O
in,VBP,O
principle,JJ,O
there,CD,O
would,CD,O
be,NN,O
no,CD,O
difference,CD,O
in,CD,O
respect,CD,O
of,PRP,O
a,VBD,O
case,VBN,O
dealing,IN,O
with,NN,O
the,NN,O
scope,NN,O
of,IN,O
entry,IN,O
52,NN,O
of,CC,O
the,IN,O
union,NN,B-LEGAL
list,EX,I-LEGAL
or,MD,O
a,VB,O
case,DT,O
dealing,NN,O
with,IN,O
the,NN,O
scope,IN,O
of,DT,O
entry,NN,O
54,VBG,O
of,IN,O
that,DT,O
list,NN,O
the,IN,O
submission,NN,O
of,CD,O
learned,IN,O
counsel,DT,O
is,NN,O
that,NN,O
for,CC,O
the,DT,O
purpose,NN,O
of,VBG,O
interpretation,IN,B-LEGAL
both,DT,O
these,NN,O
entries,IN,O
have,NN,O
been,CD,O
equated,IN,O
by,DT,O
this,NN,O
court,DT,O
and,NN,O
reliance,IN,O
in,JJ,O
this,NN,O
regard,VBZ,O
is,IN,O
place,IN,O
don,DT,O
ishwari,NN,O
khetan,IN,O
sugar,NN,O
mills,DT,O
p,DT,O
ltd,NNS,O
and,VBP,O
ors,VBN,O
v,VBN,O
state,IN,O
of,DT,O
uttar,NN,O
pradesh,CC,O
and,NN,O
ors,IN,O
manu,DT,O
sc,NN,O
0069,VBZ,O
1980manu,JJ,O
sc,NN,O
0069,NN,O
1980,NN,O
1980,NN,O
3scr331,NNS,O
90,VBP,O
on,NN,O
behalf,CC,O
of,NNS,O
the,VBP,O
state,NN,O
governments,IN,O
and,JJ,O
the,NN,O
agricultural,CC,O
produce,NNS,O
marketing,VBP,O
committees,JJ,O
strong,CD,O
reliance,CD,O
has,NN,O
been,CD,O
placed,CD,O
on,CD,O
tika,CD,O
ramji,CD,O
s,IN,O
case,NN,O
what,IN,O
is,DT,O
the,NN,O
ratio,NNS,O
of,CC,O
these,DT,O
decisions,JJ,O
we,NN,O
will,NN,O
now,NNS,O
examine,JJ,O
91,NN,O
before,VBZ,O
considering,VBN,O
the,VBN,O
affronted,IN,O
decisions,JJ,O
it,NN,O
would,NN,O
be,NN,O
appropriate,WP,O
to,VBZ,O
make,DT,O
it,NN,O
clear,IN,O
that,DT,O
in,NNS,O
these,PRP,O
matters,MD,O
it,RB,O
has,VB,O
to,CD,O
be,IN,O
kept,VBG,O
in,DT,O
view,JJ,O
that,NNS,O
this,PRP,O
court,MD,O
is,VB,O
not,JJ,O
examining,TO,O
a,VB,O
case,PRP,O
where,JJ,O
the,IN,O
field,IN,O
of,DT,O
legislation,NNS,B-LEGAL
is,PRP,O
on,VBZ,O
concurrent,TO,B-LEGAL
list,VB,I-LEGAL
to,VBN,O
which,IN,O
article,NN,O
2462,IN,O
applies,DT,O
this,NN,O
court,VBZ,O
is,RB,O
also,VBG,O
not,DT,O
considering,NN,O
the,WRB,O
case,DT,O
of,NN,O
an,IN,O
incidental,NN,O
trenching,VBZ,O
of,IN,O
field,JJ,O
by,NN,O
one,TO,O
or,WDT,O
the,NN,O
other,CD,O
legislature,VBZ,O
the,DT,O
court,NN,O
is,VBZ,O
concerned,RB,O
with,RB,O
the,VBG,O
question,DT,O
of,NN,O
legislative,IN,B-LEGAL
competence,DT,I-LEGAL
we,JJ,O
are,NN,O
examining,IN,O
a,NN,O
case,IN,O
where,CD,O
what,CC,O
has,DT,O
been,JJ,O
questioned,NN,O
is,DT,O
the,NN,O
legality,VBZ,O
of,VBN,O
legislation,IN,B-LEGAL
is,DT,O
respect,NN,O
of,IN,O
a,JJ,O
field,NN,O
on,PRP,O
the,VBP,O
state,VBG,B-LEGAL
list,DT,I-LEGAL
to,NN,O
which,WRB,O
article,WDT,O
2463,VBZ,O
applies,VBN,O
the,VBN,O
validity,VBZ,O
and,DT,O
applicability,NN,O
of,IN,O
the,NN,O
state,VBZ,O
legislations,NN,O
in,IN,O
respect,DT,O
of,NN,O
a,IN,O
field,DT,O
of,NN,O
legislation,NN,B-LEGAL
on,TO,O
state,WDT,B-LEGAL
list,NN,I-LEGAL
has,CD,O
come,VBZ,O
under,DT,O
a,NN,O
cloud,CC,O
on,NN,O
account,IN,O
of,DT,O
a,NN,O
legislation,NNS,B-LEGAL
passed,IN,O
by,NN,O
the,IN,O
parliament,DT,B-LEGAL
in,NN,O
respect,IN,O
of,NN,O
field,IN,O
of,NN,O
legislation,NN,B-LEGAL
under,VBZ,O
entry,VBN,O
52,IN,O
of,DT,O
the,NN,O
union,IN,B-LEGAL
list,NN,I-LEGAL
namely,IN,O
the,DT,O
tobacco,NN,O
board,VBN,O
act,IN,O
1975,DT,O
it,NN,O
is,IN,O
on,NN,O
account,IN,O
of,NN,O
this,IN,O
legislation,NN,B-LEGAL
containing,IN,O
declaration,NN,O
as,CD,O
contemplated,IN,O
by,DT,O
entry,NN,O
52,NN,O
of,RB,O
the,DT,O
union,NN,B-LEGAL
list,NN,I-LEGAL
that,NN,O
doubts,CD,O
have,PRP,O
arisen,VBZ,O
about,IN,O
the,NN,O
validity,IN,O
and,DT,O
applicability,NN,O
of,VBG,O
state,NN,O
legislation,IN,B-LEGAL
about,VBN,O
the,IN,O
sale,NN,O
of,CD,O
agricultural,IN,O
produce,DT,O
of,NN,O
tobacco,NN,O
in,IN,O
market,NNS,O
areas,VBP,O
and,VBN,O
levy,IN,O
thereupon,DT,O
of,NN,O
market,CC,O
fee,NN,O
which,IN,O
aspect,NN,O
are,NN,O
on,IN,O
field,DT,O
of,NN,O
legislation,IN,B-LEGAL
on,JJ,O
the,NN,O
state,IN,B-LEGAL
list,NN,I-LEGAL
entries,IN,O
14,NN,O
27,NNS,O
28,CC,O
and,NN,O
66,NN,O
entry,IN,O
24,NN,O
of,NN,O
the,WDT,O
state,NN,B-LEGAL
