sb,NN,O
it,PRP,O
accepted,VBD,O
the,DT,O
report,NN,O
of,IN,O
the,DT,O
committee,NN,O
and,CC,O
declined,VBD,O
to,TO,O
grant,VB,O
selection,NN,O
scale,NN,O
to,TO,O
the,DT,O
respondents,NNS,O
herein,VBP,O
pursuant,JJ,O
to,TO,O
or,CC,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
aforementioned,JJ,O
recommendations,NNS,O
made,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
the,DT,O
governor,NN,O
by,IN,O
a,DT,O
notification,NN,O
dated,VBD,O
522000,CD,O
made,VBD,O
appointment,NN,B-LEGAL
to,TO,O
the,DT,O
officers,NNS,O
of,IN,O
higher,JJR,O
judicial,JJ,B-LEGAL
service,NN,I-LEGAL
named,VBN,O
therein,RB,O
to,TO,O
the,DT,O
post,NN,O
of,IN,O
selection,NN,B-LEGAL
grade,NN,I-LEGAL
with,IN,O
effect,NN,O
from,IN,O
the,DT,O
date,NN,O
mentioned,VBN,O
against,IN,O
their,PRP$,O
names,NNS,O
respectively,RB,O
9,CD,O
the,DT,O
first,JJ,O
respondent,NN,O
in,IN,O
each,DT,O
of,IN,O
these,DT,O
appeals,NNS,O
filed,VBD,O
writ,JJ,O
petitions,NNS,O
questioning,VBG,O
non,JJ,O
grant,NN,O
of,IN,O
selection,NN,B-LEGAL
grade,NN,I-LEGAL
to,TO,O
them,PRP,O
by,IN,O
filing,VBG,O
writ,JJ,O
petitions,NNS,O
before,IN,O
the,DT,O
jaipur,NN,O
bench,NN,O
of,IN,O
the,DT,O
rajasthan,JJ,O
high,JJ,O
court,NN,O
10,CD,O
by,IN,O
reason,NN,O
of,IN,O
the,DT,O
impugned,JJ,O
judgment,NN,O
the,DT,O
high,JJ,O
court,NN,O
inter,NN,O
alia,VBD,O
held,VBD,O
1,CD,O
the,DT,O
acting,NN,B-LEGAL
chief,NN,I-LEGAL
justice,NN,I-LEGAL
was,VBD,O
not,RB,O
authorised,VBN,O
to,TO,O
constitute,VB,O
the,DT,O
two,CD,O
judges,NNS,O
committee,NN,O
and,CC,O
thus,RB,O
it,PRP,O
could,MD,O
not,RB,O
make,VB,O
lay,VB,O
down,RP,O
any,DT,O
merit,NN,O
criteria,NNS,O
2,CD,O
as,IN,O
all,PDT,O
the,DT,O
judges,NNS,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
have,VBP,O
not,RB,O
been,VBN,O
consulted,VBN,O
the,DT,O
committee,NN,O
appointed,VBN,O
by,IN,O
the,DT,O
acting,NN,B-LEGAL
chief,JJ,I-LEGAL
justice,NN,I-LEGAL
alone,RB,O
could,MD,O
not,RB,O
evolve,VB,O
the,DT,O
merit,NN,O
criteria,NNS,O
in,IN,O
view,NN,O
of,IN,O
sub,NN,O
rule,NN,O
h,NN,O
of,IN,O
rule,NN,O
15,CD,O
of,IN,O
1952,CD,O
rules,NNS,O
3,CD,O
the,DT,O
earlier,JJR,O
policy,NN,B-LEGAL
decision,NN,I-LEGAL
adopted,VBN,O
by,IN,O
the,DT,O
full,JJ,O
court,NN,O
could,MD,O
not,RB,O
be,VB,O
changed,VBN,O
as,IN,O
rule,NN,O
15,CD,O
of,IN,O
1952,CD,O
provides,VBZ,O
for,IN,O
prior,JJ,O
consultation,NN,O
of,IN,O
the,DT,O
judges,NNS,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
and,CC,O
as,IN,O
all,DT,O
judges,NNS,O
were,VBD,O
not,RB,O
consulted,VBN,O
in,IN,O
the,DT,O
matter,NN,O
subsequent,JJ,O
approval,NN,O
thereof,NN,O
could,MD,O
not,RB,O
cure,VB,O
illegality,NN,O
11,CD,O
the,DT,O
said,VBD,O
writ,JJ,O
petitions,NNS,O
were,VBD,O
disposed,VBN,O
of,IN,O
with,IN,O
the,DT,O
following,JJ,O
directions,NNS,O
i,VBP,O
we,PRP,O
direct,VBP,O
the,DT,O
respondents,NNS,O
to,TO,O
consider,VB,O
the,DT,O
cases,NNS,O
of,IN,O
all,PDT,O
the,DT,O
three,CD,O
petitioners,NNS,O
afresh,VBP,O
against,IN,O
the,DT,O
vacancies,NNS,O
occasioned,VBN,O
in,IN,O
1998,CD,O
and,CC,O
1999,CD,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
merit,NN,O
criterion,NN,O
evolved,VBD,O
and,CC,O
approved,VBN,O
by,IN,O
the,DT,O
full,JJ,O
court,NN,O
in,IN,O
the,DT,O
year,NN,O
1990,CD,O
and,CC,O
1994,CD,O
if,IN,O
they,PRP,O
are,VBP,O
found,VBN,O
eligible,JJ,O
for,IN,O
promotion,NN,B-LEGAL
to,TO,O
selection,VB,O
scale,NN,O
of,IN,O
the,DT,O
rhjs,NN,O
they,PRP,O
can,MD,O
be,VB,O
accorded,VBN,O
the,DT,O
selection,NN,O
scale,NN,O
by,IN,O
creating,VBG,O
supernumerary,JJ,O
posts,NNS,O
in,IN,O
terms,NNS,O
of,IN,O
rule,NN,O
18,CD,O
of,IN,O
the,DT,O
rajasthan,JJ,O
service,NN,O
rules,NNS,O
ii,VBP,O
this,DT,O
decision,NN,O
shall,MD,O
not,RB,O
affect,VB,O
the,DT,O
order,NN,O
dated,VBD,O
february,JJ,O
5,CD,O
2000,CD,O
whereby,NN,O
selection,NN,O
scale,NN,O
of,IN,O
the,DT,O
rhjs,NN,O
was,VBD,O
granted,VBN,O
to,TO,O
twenty,VB,O
six,CD,O
officers,NNS,O
iii,VBP,O
the,DT,O
fresh,JJ,O
consideration,NN,O
as,IN,O
directed,VBN,O
above,IN,O
is,VBZ,O
expected,VBN,O
to,TO,O
be,VB,O
done,VBN,O
as,RB,O
expeditiously,RB,O
as,IN,O
possible,JJ,O
in,IN,O
the,DT,O
meanwhile,JJ,O
three,CD,O
posts,NNS,O
in,IN,O
the,DT,O
selection,NN,O
scale,NN,O
of,IN,O
the,DT,O
rhjs,NN,O
shall,MD,O
be,VB,O
kept,VBN,O
vacant,JJ,O
however,RB,O
it,PRP,O
was,VBD,O
observed,VBN,O
it,PRP,O
is,VBZ,O
however,RB,O
made,VBN,O
clear,JJ,O
that,IN,O
though,IN,O
we,PRP,O
have,VBP,O
declared,VBN,O
the,DT,O
entire,JJ,O
exercise,NN,O
of,IN,O
the,DT,O
respondents,NNS,O
in,IN,O
granting,VBG,O
selection,NN,O
scale,NN,O
as,IN,O
illegal,JJ,O
yet,RB,O
we,PRP,O
do,VBP,O
not,RB,O
intend,VB,O
to,TO,O
unsettle,VB,O
the,DT,O
grant,NN,O
of,IN,O
selection,NN,O
scale,NN,O
to,TO,O
twenty,VB,O
six,CD,O
judicial,JJ,O
officers,NNS,O
as,IN,O
they,PRP,O
are,VBP,O
not,RB,O
before,IN,O
us,PRP,O
we,PRP,O
therefore,VBP,O
direct,JJ,O
that,IN,O
this,DT,O
decision,NN,O
shall,MD,O
not,RB,O
affect,VB,O
the,DT,O
order,NN,O
dated,VBD,O
february,JJ,O
5,CD,O
2000,CD,O
of,IN,O
the,DT,O
respondent,NN,O
whereby,WRB,O
selection,NN,O
scale,NN,O
was,VBD,O
granted,VBN,O
to,TO,O
twenty,VB,O
six,CD,O
judicial,JJ,O
officers,NNS,O
but,CC,O
if,IN,O
the,DT,O
petitioners,NNS,O
after,IN,O
consideration,NN,O
of,IN,O
their,PRP$,O
service,NN,O
record,NN,O
from,IN,O
1993,CD,O
to,TO,O
1997,CD,O
and,CC,O
from,IN,O
1994,CD,O
to,TO,O
1998,CD,O
are,VBP,O
found,VBN,O
eligible,JJ,O
for,IN,O
selection,NN,O
scale,NN,O
they,PRP,O
shall,MD,O
be,VB,O
considered,VBN,O
with,IN,O
reference,NN,O
to,TO,O
the,DT,O
selection,NN,O
of,IN,O
1998,CD,O
and,CC,O
1999,CD,O
when,WRB,O
their,PRP$,O
junior,JJ,O
colleagues,NNS,O
were,VBD,O
promoted,VBN,O
the,DT,O
petitioners,NNS,O
in,IN,O
that,DT,O
event,NN,O
can,MD,O
be,VB,O
accorded,VBN,O
the,DT,O
selection,NN,O
scale,NN,O
of,IN,O
the,DT,O
rhjs,NN,O
by,IN,O
creating,VBG,O
supernumerary,JJ,O
posts,NNS,O
in,IN,O
terms,NNS,O
of,IN,O
rule,NN,O
18,CD,O
of,IN,O
the,DT,O
rajasthan,JJ,O
service,NN,O
rules,NNS,O
12,CD,O
learned,JJ,O
counsel,NN,O
appearing,VBG,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
appellant,NN,O
would,MD,O
submit,VB,O
that,IN,O
having,VBG,O
regard,NN,O
to,TO,O
the,DT,O
provisions,NNS,O
of,IN,O
the,DT,O
rules,NNS,O
the,DT,O
high,JJ,O
court,NN,O
must,MD,O
be,VB,O
held,VBN,O
to,TO,O
have,VB,O
committed,VBN,O
an,DT,O
error,NN,O
in,IN,O
holding,VBG,O
that,IN,O
the,DT,O
acting,VBG,B-LEGAL
chief,NN,I-LEGAL
justice,NN,I-LEGAL
had,VBD,O
no,DT,O
jurisdiction,NN,B-LEGAL
to,TO,O
constitute,VB,O
the,DT,O
committee,NN,O
it,PRP,O
was,VBD,O
contended,VBN,O
that,IN,O
once,RB,O
it,PRP,O
is,VBZ,O
held,VBN,O
that,IN,O
the,DT,O
acting,VBG,B-LEGAL
chief,NN,I-LEGAL
justice,NN,I-LEGAL
had,VBD,O
the,DT,O
jurisdiction,NN,B-LEGAL
to,TO,O
constitute,VB,O
a,DT,O
committee,NN,O
and,CC,O
the,DT,O
decision,NN,O
of,IN,O
the,DT,O
said,VBD,O
committee,NN,O
was,VBD,O
approved,VBN,O
by,IN,O
the,DT,O
full,JJ,O
court,NN,O
the,DT,O
earlier,JJR,O
policy,NN,B-LEGAL
decision,NN,I-LEGAL
must,MD,O
be,VB,O
held,VBN,O
to,TO,O
have,VB,O
been,VBN,O
varied,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
the,DT,O
learned,JJ,O
counsel,NN,O
in,IN,O
support,NN,O
of,IN,O
the,DT,O
said,VBD,O
contentions,NNS,O
has,VBZ,O
placed,VBN,O
strong,JJ,O
reliance,NN,O
in,IN,O
state,NN,O
of,IN,O
uttar,JJ,O
pradesh,JJ,O
v,NN,O
batuk,NN,O
deo,NN,O
pati,NN,O
tripathi,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0363,CD,O
1978manu,CD,O
sc,NN,O
0363,CD,O
1978,CD,O
1978crilj839,CD,O
brij,JJ,O
nath,NN,O
pandey,NN,O
v,NN,O
state,NN,O
of,IN,O
up,RB,O
and,CC,O
ors,NNS,O
registrar,VBP,O
high,JJ,O
court,NN,O
of,IN,O
madras,NNS,O
v,JJ,O
r,NN,O
rajiah,NN,O
manu,NN,O
sc,NN,O
0411,CD,O
1988manu,CD,O
sc,NN,O
0411,CD,O
1988,CD,O
air1988sc1388,NN,O
13,CD,O
mr,NN,O
surya,NN,O
kant,NN,O
learned,VBD,O
counsel,NN,O
appearing,VBG,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
first,JJ,O
respondent,NN,O
in,IN,O
each,DT,O
case,NN,O
would,MD,O
on,IN,O
the,DT,O
other,JJ,O
hand,NN,O
submit,NN,O
that,IN,O
as,IN,O
the,DT,O
power,NN,O
of,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
to,TO,O
constitute,VB,O
a,DT,O
committee,NN,O
is,VBZ,O
governed,VBN,O
by,IN,O
a,DT,O
statutory,JJ,O
rule,NN,O
he,PRP,O
must,MD,O
be,VB,O
held,VBN,O
to,TO,O
have,VB,O
acted,VBN,O
without,IN,O
jurisdiction,NN,B-LEGAL
in,IN,O
appointing,VBG,O
the,DT,O
said,VBD,O
committee,NN,O
strong,JJ,O
reliance,NN,O
in,IN,O
support,NN,O
of,IN,O
the,DT,O
said,VBD,O
contention,NN,O
has,VBZ,O
been,VBN,O
placed,VBN,O
in,IN,O
orissa,NN,O
small,JJ,O
industries,NNS,O
corporation,NN,O
ltd,NN,O
and,CC,O
anr,JJ,O
v,NN,O
narasingha,NN,O
charan,NN,O
mohanty,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0781,CD,O
1998manu,CD,O
sc,NN,O
0781,CD,O
1998,CD,O
1999illj298sc,CD,O
14,CD,O
the,DT,O
term,NN,O
chief,JJ,O
justice,NN,O
will,MD,O
include,VB,O
the,DT,O
judges,NNS,O
authorised,VBN,O
to,TO,O
act,VB,O
on,IN,O
his,PRP$,O
behalf,NN,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
interpretation,NN,B-LEGAL
clause,NN,O
contained,VBN,O
in,IN,O
section,NN,O
3,CD,O
chapter,NN,O
iii,NN,O
of,IN,O
the,DT,O
rules,NNS,O
provides,VBZ,O
for,IN,O
administrative,JJ,B-LEGAL
business,NN,O
of,IN,O
the,DT,O
court,NN,O
in,IN,O
terms,NNS,O
of,IN,O
rule,NN,O
14,CD,O
of,IN,O
the,DT,O
rules,NNS,O
administrative,JJ,B-LEGAL
business,NN,O
of,IN,O
the,DT,O
court,NN,O
relating,VBG,O
to,TO,O
control,VB,O
over,RP,O
subordinate,JJ,O
courts,NNS,O
vested,VBD,O
either,CC,O
under,IN,O
article,NN,O
235,CD,O
or,CC,O
227,CD,O
of,IN,O
the,DT,O
constitution,NN,B-LEGAL
of,IN,I-LEGAL
india,NN,I-LEGAL
were,VBD,O
to,TO,O
be,VB,O
disposed,VBN,O
of,IN,O
as,RB,O
provided,VBN,O
therein,RB,O
15,CD,O
the,DT,O
rules,NNS,O
have,VBP,O
been,VBN,O
made,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
the,DT,O
high,JJ,O
court,NN,O
therefore,NN,O
can,MD,O
also,RB,O
amend,VB,O
the,DT,O
rules,NNS,O
it,PRP,O
is,VBZ,O
not,RB,O
the,DT,O
case,NN,O
of,IN,O
the,DT,O
writ,NN,O
petitioners,NNS,O
first,JJ,O
respondents,NNS,O
herein,VBP,O
that,IN,O
the,DT,O
high,JJ,O
court,NN,O
had,VBD,O
no,DT,O
jurisdiction,NN,B-LEGAL
to,TO,O
evolve,VB,O
the,DT,O
criteria,NNS,O
for,IN,O
grant,NN,O
of,IN,O
selection,NN,O
scale,NN,O
to,TO,O
the,DT,O
officers,NNS,O
of,IN,O
the,DT,O
rajasthan,JJ,O
judicial,JJ,B-LEGAL
service,NN,I-LEGAL
or,CC,O
rajasthan,VB,O
higher,JJR,O
judicial,JJ,B-LEGAL
service,NN,I-LEGAL
it,PRP,O
may,MD,O
be,VB,O
true,JJ,O
that,IN,O
by,IN,O
reason,NN,O
of,IN,O
resolution,NN,O
dated,VBD,O
5th,CD,O
october,NN,O
1990,CD,O
the,DT,O
full,JJ,O
court,NN,O
inter,NN,O
alia,NN,O
opined,VBD,O
that,IN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
grant,NN,O
of,IN,O
selection,NN,O
scale,NN,O
three,CD,O
good,JJ,O
acrs,NN,O
out,IN,O
of,IN,O
five,CD,O
acrs,NNS,O
were,VBD,O
to,TO,O
be,VB,O
taken,VBN,O
into,IN,O
consideration,NN,O
but,CC,O
the,DT,O
said,VBD,O
decision,NN,O
of,IN,O
the,DT,O
full,JJ,O
court,NN,O
was,VBD,O
subject,JJ,O
to,TO,O
amendment,NN,O
modification,NN,O
thereof,VBD,O
16,CD,O
a,DT,O
reading,NN,O
of,IN,O
the,DT,O
aforementioned,JJ,O
rules,NNS,O
clearly,RB,O
goes,VBZ,O
to,TO,O
show,VB,O
that,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
has,VBZ,O
the,DT,O
requisite,JJ,O
jurisdiction,NN,B-LEGAL
to,TO,O
constitute,VB,O
a,DT,O
committee,NN,O
and,CC,O
the,DT,O
report,NN,O
of,IN,O
the,DT,O
committee,NN,O
upon,IN,O
consultation,NN,O
of,IN,O
all,PDT,O
the,DT,O
judges,NNS,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
terms,NNS,O
of,IN,O
rule,NN,O
15,CD,O
shall,MD,O
become,VB,O
a,DT,O
decision,NN,O
of,IN,O
the,DT,O
court,NN,O
rule,NN,O
292,CD,O
and,CC,O
rule,VB,O
32,CD,O
as,IN,O
quoted,VBN,O
supra,NN,O
also,RB,O
clearly,RB,O
show,VBP,O
that,IN,O
even,RB,O
no,DT,O
irregularity,NN,O
which,WDT,O
might,MD,O
have,VB,O
taken,VBN,O
place,NN,O
in,IN,O
the,DT,O
procedure,NN,O
laid,VBD,O
down,RB,O
in,IN,O
chapter,NN,O
iii,VBP,O
shall,MD,O
not,RB,O
affect,VB,O
the,DT,O
validity,NN,O
of,IN,O
the,DT,O
order,NN,O
passed,VBD,O
or,CC,O
anything,NN,O
done,VBN,O
in,IN,O
the,DT,O
rules,NNS,O
and,CC,O
the,DT,O
same,JJ,O
shall,MD,O
be,VB,O
deemed,VBN,O
to,TO,O
be,VB,O
disposed,VBN,O
of,IN,O
by,IN,O
the,DT,O
court,NN,O
the,DT,O
legal,JJ,O
fiction,NN,O
created,VBD,O
must,MD,O
also,RB,O
be,VB,O
given,VBN,O
its,PRP$,O
full,JJ,O
effect,NN,O
17,CD,O
it,PRP,O
is,VBZ,O
beyond,IN,O
any,DT,O
pale,NN,O
of,IN,O
controversy,NN,O
that,IN,O
the,DT,O
control,NN,O
over,IN,O
the,DT,O
subordinate,NN,O
courts,NNS,O
within,IN,O
the,DT,O
meaning,NN,O
of,IN,O
article,NN,O
235,CD,O
of,IN,O
the,DT,O
constitution,NN,B-LEGAL
of,IN,I-LEGAL
india,NN,I-LEGAL
is,VBZ,O
that,IN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
such,JJ,O
control,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
includes,VBZ,O
general,JJ,O
superintendence,NN,O
of,IN,O
the,DT,O
working,NN,O
of,IN,O
the,DT,O
subordinate,NN,O
courts,NNS,O
disciplinary,JJ,B-LEGAL
control,NN,O
over,IN,O
the,DT,O
presiding,VBG,O
officers,NNS,O
disciplinary,JJ,B-LEGAL
proceedings,NNS,O
transfer,VBP,B-LEGAL
confirmation,NN,O
and,CC,O
promotion,NN,B-LEGAL
and,CC,O
appointment,NN,B-LEGAL
etc,NNS,O
such,JJ,O
control,NN,O
vested,VBN,O
in,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
complete,JJ,O
see,VBP,O
high,JJ,O
court,NN,O
of,IN,O
judicature,NN,O
for,IN,O
rajasthan,NN,O
v,NN,O
ramesh,JJ,O
chand,NN,O
paliwal,NN,O
manu,NN,O
sc,NN,O
0137,CD,O
1998manu,CD,O
sc,NN,O
0137,CD,O
1998,CD,O
1999illj885sc,CD,O
district,NN,O
judges,NNS,O
baradakanta,VBP,O
mishra,JJ,O
v,FW,O
high,JJ,O
court,NN,O
of,IN,O
orissa,JJ,O
manu,NN,O
sc,NN,O
0538,CD,O
1976manu,CD,O
sc,NN,O
0538,CD,O
1976,CD,O
air1976sc1899,JJ,O
high,JJ,O
court,NN,O
of,IN,O
punjab,NN,O
v,NN,O
state,NN,O
of,IN,O
haryana,NN,O
manu,NN,O
sc,NN,O
0072,CD,O
1975manu,CD,O
sc,NN,O
0072,CD,O
1975,CD,O
1975,CD,O
3scr365,CD,O
yoginath,NN,O
d,NN,O
bagde,NN,O
v,JJ,O
state,NN,O
of,IN,O
maharashtra,JJ,O
manu,NN,O
sc,NN,O
0583,CD,O
1999manu,CD,O
sc,NN,O
0583,CD,O
1999,CD,O
air1999sc3734,JJ,O
state,NN,O
of,IN,O
haryana,NN,O
v,NN,O
inder,NN,O
prakash,NN,O
anand,NN,O
manu,NN,O
sc,NN,O
0547,CD,O
1976manu,CD,O
sc,NN,O
0547,CD,O
1976,CD,O
air1976sc1841,NN,O
and,CC,O
state,NN,O
of,IN,O
assam,NN,O
v,NN,O
sn,NN,O
sen,NN,O
manu,NN,O
sc,NN,O
0686,CD,O
1971manu,CD,O
sc,NN,O
0686,CD,O
1971,CD,O
1972,CD,O
2scr251,CD,O
18,CD,O
it,PRP,O
is,VBZ,O
also,RB,O
true,JJ,O
that,IN,O
the,DT,O
powers,NNS,O
of,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
under,IN,O
articles,NNS,O
235,CD,O
and,CC,O
229,CD,O
of,IN,O
the,DT,O
constitution,NN,B-LEGAL
of,IN,I-LEGAL
india,NN,I-LEGAL
are,VBP,O
different,JJ,O
and,CC,O
distinct,JJ,O
whereas,NNS,O
control,NN,O
over,IN,O
the,DT,O
subordinate,NN,O
courts,NNS,O
vests,NNS,O
in,IN,O
the,DT,O
high,JJ,O
court,NN,O
as,IN,O
a,DT,O
whole,JJ,O
the,DT,O
control,NN,O
over,IN,O
the,DT,O
high,JJ,O
court,NN,O
vests,NNS,O
in,IN,O
the,DT,O
chief,NN,O
justices,VBZ,O
only,RB,O
see,VB,O
all,DT,O
india,NNP,O
judges,NNS,O
association,NN,O
v,IN,O
union,NN,O
of,IN,O
india,JJ,O
manu,NN,O
sc,NN,O
0039,CD,O
1992manu,CD,O
sc,NN,O
0039,CD,O
1992,CD,O
1993illj723sc,CD,O
however,RB,O
the,DT,O
same,JJ,O
does,VBZ,O
not,RB,O
mean,VB,O
that,IN,O
a,DT,O
full,JJ,O
court,NN,O
cannot,MD,O
authorise,RB,O
the,VB,O
chief,DT,O
justice,JJ,O
in,NN,O
respect,IN,O
of,NN,O
any,IN,O
matter,DT,O
whatsoever,NN,O
in,NN,O
relation,IN,O
to,NN,O
certain,TO,O
matters,JJ,O
keeping,NNS,O
the,VBG,O
rest,DT,O
of,NN,O
it,IN,O
in,PRP,O
itself,IN,O
by,PRP,O
the,IN,O
full,DT,O
court,JJ,O
authorization,NN,O
to,NN,O
act,TO,O
on,VB,O
its,IN,O
behalf,PRP$,O
in,NN,O
favour,IN,O
of,NN,O
the,IN,O
chief,DT,O
justice,JJ,O
on,NN,O
a,IN,O
committee,DT,O
of,NN,O
judges,IN,O
is,NNS,O
permissible,VBZ,O
in,JJ,O
law,IN,O
how,NN,O
far,WRB,O
and,RB,O
to,CC,O
what,TO,O
extent,WP,O
such,NN,O
power,JJ,O
has,NN,O
been,VBZ,O
or,VBN,O
can,CC,O
be,MD,O
delegated,VB,O
would,VBN,O
be,MD,O
discernible,VB,O
only,JJ,O
from,RB,O
the,IN,O
rules,DT,O
such,NNS,O
a,PDT,O
power,DT,O
by,NN,O
the,IN,O
full,DT,O
court,JJ,O
can,NN,O
also,MD,O
be,RB,O
exercised,VB,O
from,VBN,O
time,IN,O
to,NN,O
time,TO,O
19,NN,O
the,CD,O
judges,DT,O
of,NNS,O
the,IN,O
rajasthan,DT,O
high,JJ,O
court,JJ,O
as,NN,O
noticed,IN,O
hereinbefore,VBN,O
in,NN,O
terms,IN,O
of,NNS,O
sub,IN,O
rule,NN,O
2,NN,O
of,CD,O
rule,IN,O
21,NN,O
of,CD,O
the,IN,O
rules,DT,O
authorised,NNS,O
the,VBD,O
chief,DT,O
justice,JJ,O
to,NN,O
constitute,TO,O
a,VB,O
committee,DT,O
such,NN,O
constitution,JJ,O
of,NN,O
the,IN,O
committee,DT,O
by,NN,O
the,IN,O
chief,DT,O
justice,JJ,O
having,NN,O
been,VBG,O
made,VBN,O
in,VBN,O
terms,IN,O
of,NNS,O
the,IN,O
rules,DT,O
must,NNS,O
be,MD,O
held,VB,O
to,VBN,O
have,TO,O
been,VB,O
made,VBN,O
by,VBN,O
the,IN,O
high,DT,O
court,JJ,O
itself,NN,O
such,PRP,O
authorization,JJ,O
is,NN,O
not,VBZ,O
a,RB,O
limited,DT,O
one,JJ,O
as,CD,O
thereby,IN,O
the,NN,O
extent,DT,O
to,NN,O
which,TO,O
such,WDT,O
authorization,JJ,O
an,NN,O
be,DT,O
exercised,VB,O
has,VBN,O
not,VBZ,O
been,RB,O
spelt,VBN,O
out,VBN,O
furthermore,RP,O
authorization,JJ,O
in,NN,O
terms,IN,O
of,NNS,O
sub,IN,O
rule,NN,O
2,NN,O
of,CD,O
rule,IN,O
21,NN,O
of,CD,O
the,IN,O
rules,DT,O
having,NNS,O
been,VBG,O
laid,VBN,O
down,VBN,O
in,RP,O
chapter,IN,O
ii,NN,O
which,NN,O
relates,WDT,O
to,VBZ,O
the,TO,O
administrative,DT,B-LEGAL
business,JJ,O
of,NN,O
the,IN,O
court,DT,O
there,NN,O
cannot,RB,O
be,MD,O
any,RB,O
doubt,VB,O
whatsoever,DT,O
even,NN,O
in,WRB,O
the,RB,O
matter,IN,O
of,DT,O
control,NN,O
of,IN,O
the,NN,O
high,IN,O
court,DT,O
in,JJ,O
terms,NN,O
of,IN,O
article,NNS,O
235,IN,O
of,NN,O
the,CD,O
constitution,IN,B-LEGAL
of,DT,I-LEGAL
india,NN,I-LEGAL
the,IN,O
chief,NN,O
justice,DT,O
of,JJ,O
the,NN,O
high,IN,O
court,DT,O
had,JJ,O
the,NN,O
jurisdiction,VBD,B-LEGAL
to,DT,O
exercise,NN,O
the,TO,O
said,VB,O
power,DT,O
20,VBD,O
once,NN,O
such,CD,O
a,RB,O
resolution,JJ,O
authorising,DT,O
the,NN,O
chief,VBG,O
justice,DT,O
to,JJ,O
constitute,NN,O
a,TO,O
committee,VB,O
has,DT,O
been,NN,O
passed,VBZ,O
having,VBN,O
regard,VBN,O
to,VBG,O
the,NN,O
decision,TO,O
of,DT,O
this,NN,O
court,IN,O
in,DT,O
the,NN,O
high,IN,O
court,DT,O
of,JJ,O
judicature,NN,O
of,IN,O
bombay,NN,O
v,IN,O
shirish,NN,O
kumar,NN,O
rangrao,JJ,O
patil,NN,O
manu,NN,O
sc,NN,O
0692,NN,O
1997manu,NN,O
sc,CD,O
0692,CD,O
1997,NN,O
1997,CD,O
3scr1131,CD,O
there,CD,O
cannot,CD,O
be,EX,O
doubt,MD,O
whatsoever,RB,O
that,VB,O
the,VBN,O
exercise,IN,O
of,IN,O
power,DT,O
by,NN,O
the,IN,O
chief,NN,O
justice,IN,O
in,DT,O
that,JJ,O
behalf,NN,O
was,IN,O
absolutely,DT,O
valid,NN,O
it,VBD,O
is,RB,O
therefore,JJ,O
not,PRP,O
correct,VBZ,O
to,RB,O
contend,RB,O
that,VB,O
the,TO,O
chief,VB,O
justice,IN,O
could,DT,O
appoint,JJ,O
the,NN,O
two,MD,O
judges,VB,O
committee,DT,O
only,CD,O
with,NNS,O
the,NN,O
approval,RB,O
of,IN,O
the,DT,O
full,NN,O
court,IN,O
21,DT,O
exercise,JJ,O
of,NN,O
power,CD,O
by,NN,O
the,IN,O
chief,NN,O
justice,IN,O
however,DT,O
indisputably,JJ,O
must,NN,O
be,RB,O
made,RB,O
in,MD,O
terms,VB,O
of,VBN,O
the,IN,O
rules,NNS,O
the,IN,O
questions,DT,O
raised,NNS,O
in,DT,O
these,NNS,O
appeals,VBN,O
must,IN,O
therefore,DT,O
be,NNS,O
considered,MD,O
from,RB,O
that,VB,O
angle,VBN,O
22,IN,O
the,DT,O
high,VBZ,O
court,CD,O
in,DT,O
our,JJ,O
opinion,NN,O
therefore,IN,O
clearly,PRP$,O
erred,NN,O
in,RB,O
arriving,RB,O
at,VBN,O
the,IN,O
aforementioned,VBG,O
finding,IN,O
that,DT,O
the,JJ,O
constitution,NN,O
of,IN,O
the,DT,O
committee,NN,O
was,IN,O
illegal,DT,O
23,NN,O
the,VBD,O
submission,JJ,O
on,CD,O
behalf,DT,O
of,NN,O
the,IN,O
respondents,NN,O
to,IN,O
the,DT,O
effect,NNS,O
that,TO,O
in,DT,O
the,NN,O
matter,IN,O
relating,IN,O
to,DT,O
fixation,NN,O
of,VBG,O
criteria,TO,O
for,NN,O
the,IN,O
