n,JJ,O
without,NN,O
there,IN,O
being,RB,O
any,VBG,O
special,DT,O
advantage,JJ,O
to,NN,O
him,TO,O
nor,PRP,O
there,CC,O
being,EX,O
any,VBG,O
motive,DT,O
for,NN,O
him,IN,O
to,PRP,O
be,TO,O
involved,VB,O
in,VBN,O
the,IN,O
crime,DT,O
the,NN,O
only,DT,O
case,JJ,O
put,NN,O
forth,VBD,O
by,NN,O
the,IN,O
prosecution,DT,O
in,NN,O
this,IN,O
regard,DT,O
is,NN,O
that,VBZ,O
the,IN,O
appellant,DT,O
and,NN,O
his,CC,O
brother,PRP$,O
were,NN,O
supporting,VBD,O
a,VBG,O
1,DT,O
in,CD,O
the,IN,O
dispute,DT,O
between,NN,O
a,IN,O
1,DT,O
and,CD,O
the,CC,O
deceased,DT,O
assuming,JJ,O
that,NN,O
it,IN,O
is,PRP,O
true,VBZ,O
it,JJ,O
cannot,PRP,O
be,MD,O
a,RB,O
ground,VB,O
for,DT,O
the,NN,O
appellant,IN,O
to,DT,O
be,NN,O
involved,TO,O
in,VB,O
a,VBN,O
murder,IN,O
case,DT,O
that,NN,O
too,NN,O
taking,WDT,O
active,RB,O
part,VBG,O
this,JJ,O
is,NN,O
as,DT,O
far,VBZ,O
as,RB,O
the,RB,O
motive,IN,O
goes,DT,O
in,NN,O
regard,VBZ,O
to,IN,O
the,NN,O
incident,TO,O
as,DT,O
such,NN,O
we,IN,O
notice,JJ,O
that,PRP,O
there,VBP,O
is,IN,O
a,EX,O
dispute,VBZ,O
as,DT,O
to,NN,O
the,IN,O
actual,TO,O
time,DT,O
of,JJ,O
occurrence,NN,O
pws3,IN,O
and,NN,O
7,NN,O
have,CC,O
stated,CD,O
that,VBP,O
the,VBN,O
incident,IN,O
in,DT,O
question,NN,O
had,IN,O
occurred,NN,O
at,VBD,O
about,VBN,O
9,IN,O
or,RB,O
930,CD,O
am,CC,O
while,CD,O
pw,VBP,O
5,IN,O
who,NN,O
is,CD,O
a,WP,O
government,VBZ,O
photographer,DT,O
has,NN,O
clearly,NN,O
stated,VBZ,O
in,RB,O
his,VBN,O
examination,IN,O
in,PRP$,O
chief,NN,O
itself,IN,O
that,NN,O
when,PRP,O
he,IN,O
went,WRB,O
to,PRP,O
the,VBD,O
village,TO,O
to,DT,O
take,NN,O
photographs,TO,O
of,VB,O
the,NN,O
dead,IN,O
body,DT,O
it,JJ,O
was,NN,O
an,PRP,O
hour,VBD,O
after,DT,O
sunrise,NN,O
which,IN,O
was,NN,O
in,WDT,O
the,VBD,O
month,IN,O
of,DT,O
march,NN,O
therefore,IN,O
there,NN,O
was,IN,O
a,EX,O
considerable,VBD,O
difference,DT,O
between,JJ,O
the,NN,O
two,IN,O
timing,DT,O
which,CD,O
is,NN,O
relevant,WDT,O
for,VBZ,O
the,JJ,O
purpose,IN,O
of,DT,O
appreciating,NN,O
the,IN,O
evidence,VBG,O
of,DT,O
pws3,NN,O
and,IN,O
7,NN,O
the,CC,O
high,CD,O
court,DT,O
in,JJ,O
this,NN,O
regard,IN,O
has,DT,O
found,NN,O
corroboration,VBZ,B-LEGAL
for,VBN,O
pws3,NN,O
and,IN,O
7,NN,O
evidence,CC,O
from,CD,O
the,NN,O
stomach,IN,O
contents,DT,O
of,NN,O
the,NNS,O
deceased,IN,O
as,DT,O
found,VBN,O
in,IN,O
the,VBN,O
pm,IN,O
report,DT,O
we,JJ,O
think,NN,O
this,PRP,O
piece,VBP,O
of,DT,O
evidence,NN,O
cannot,IN,O
always,NN,O
be,MD,O
relied,RB,O
on,RB,O
as,VB,O
conclusive,VBN,O
evidence,IN,O
in,IN,O
the,JJ,O
absence,NN,O
of,IN,O
there,DT,O
being,NN,O
some,IN,O
other,EX,O
evidence,VBG,O
to,DT,O
show,JJ,O
when,NN,O
the,TO,O
deceased,VB,O
had,WRB,O
his,DT,O
last,VBN,O
meal,VBD,O
or,PRP$,O
when,JJ,O
the,NN,O
deceased,CC,O
went,WRB,O
to,DT,O
answer,VBN,O
the,VBD,O
call,TO,O
of,VB,O
nature,DT,O
what,NN,O
intrigues,IN,O
us,NN,O
in,WP,O
this,VBZ,O
regard,PRP,O
is,IN,O
the,DT,O
failure,NN,O
of,VBZ,O
the,DT,O
prosecution,NN,O
to,IN,O
clarify,DT,O
the,NN,O
time,TO,O
from,VB,O
pw,DT,O
5,NN,O
himself,IN,O
who,JJ,O
has,CD,O
not,PRP,O
been,WP,O
treated,VBZ,O
as,RB,O
a,VBN,O
hostile,VBN,O
witness,IN,O
therefore,DT,O
if,JJ,O
there,NN,O
are,RB,O
two,IN,O
pieces,EX,O
of,VBP,O
evidence,CD,O
in,NNS,O
regard,IN,O
to,NN,O
the,IN,O
same,NN,O
fact,TO,O
both,DT,O
uncontroverted,JJ,O
and,NN,O
uncorroborated,DT,O
then,JJ,O
the,CC,O
benefit,JJ,B-LEGAL
of,RB,I-LEGAL
doubt,DT,I-LEGAL
must,NN,O
be,IN,O
given,NN,O
to,MD,O
the,VB,O
accused,VBN,O
in,TO,O
the,DT,O
instant,VBN,O
case,IN,O
pw,DT,O
5,JJ,O
s,NN,O
evidence,VBD,O
as,CD,O
to,JJ,O
the,NN,O
timing,IN,O
has,TO,O
not,DT,O
been,NN,O
challenged,VBZ,O
by,RB,O
the,VBN,O
prosecution,VBN,O
the,IN,O
trial,DT,O
court,NN,O
accepted,DT,O
that,NN,O
version,NN,O
the,VBD,O
high,IN,O
court,NN,O
refused,DT,O
to,JJ,O
believe,NN,O
that,VBD,O
solely,TO,O
on,VB,O
the,DT,O
ground,RB,O
that,IN,O
pw,DT,O
5,NN,O
had,IN,O
not,VBZ,O
recorded,CD,O
the,VBD,O
time,RB,O
or,VBN,O
he,DT,O
might,NN,O
have,CC,O
made,PRP,O
mistake,MD,O
because,VB,O
he,VBN,O
was,NN,O
giving,IN,O
evidence,PRP,O
after,VBD,O
considerable,VBG,O
time,NN,O
either,IN,O
of,JJ,O
these,NN,O
reasons,DT,O
according,IN,O
to,DT,O
us,NNS,O
is,VBG,O
not,TO,O
good,PRP,O
enough,VBZ,O
to,RB,O
reverse,JJ,O
the,RB,O
finding,TO,O
of,VB,O
the,DT,O
sessions,NN,O
court,IN,O
in,DT,O
this,NNS,O
regard,NN,O
7,IN,O
coming,DT,O
to,NN,O
the,CD,O
evidence,VBG,O
of,TO,O
pws3,DT,O
and,NN,O
7,IN,O
we,NN,O
notice,CC,O
they,CD,O
are,PRP,O
not,VBP,O
the,PRP,O
permanent,VBP,O
residents,RB,O
of,DT,O
the,JJ,O
village,NNS,O
gochi,IN,O
though,DT,O
they,NN,O
have,VBD,O
every,IN,O
reason,PRP,O
to,VBP,O
visit,DT,O
the,NN,O
said,TO,O
village,VB,O
therefore,DT,O
in,VBD,O
a,NN,O
manner,NN,O
of,IN,O
speaking,DT,O
they,NN,O
could,IN,O
be,VBG,O
said,PRP,O
to,MD,O
be,VB,O
chance,VBD,O
witnesses,TO,O
we,VB,O
also,NN,O
do,NNS,O
not,PRP,O
find,RB,O
any,VBP,O
special,RB,O
reason,VB,O
for,DT,O
these,JJ,O
2,NN,O
witnesses,IN,O
to,DT,O
have,CD,O
accompanied,NNS,O
the,TO,O
deceased,VB,O
when,VBN,O
he,DT,O
was,JJ,O
going,WRB,O
to,PRP,O
the,VBD,O
police,VBG,O
station,TO,O
to,DT,O
lodge,NN,O
a,NN,O
complaint,TO,O
it,VB,O
is,DT,O
rather,NN,O
unusual,PRP,O
for,VBZ,O
a,RB,O
person,JJ,O
to,IN,O
take,DT,O
with,NN,O
him,TO,O
two,VB,O
young,IN,O
girls,PRP,O
to,CD,O
a,JJ,O
police,NNS,O
station,TO,O
when,DT,O
he,NN,O
had,NN,O
the,WRB,O
assistance,PRP,O
of,VBD,O
other,DT,O
grown,NN,O
up,IN,O
male,JJ,O
members,VBN,O
available,RP,O
at,JJ,O
that,NNS,O
time,JJ,O
no,IN,O
special,DT,O
reason,NN,O
whatsoever,DT,O
has,JJ,O
been,NN,O
given,WDT,O
by,VBZ,O
the,VBN,O
prosecution,VBN,O
to,IN,O
establish,DT,O
this,NN,O
unusual,TO,O
conduct,VB,O
then,DT,O
we,JJ,O
notice,NN,O
from,RB,O
the,PRP,O
evidence,VBP,O
of,IN,O
these,DT,O
2,NN,O
witnesses,IN,O
who,DT,O
have,CD,O
stated,NNS,O
that,WP,O
at,VBP,O
first,VBN,O
all,IN,O
the,IN,O
accused,JJ,O
persons,PDT,O
were,DT,O
hiding,JJ,O
in,NNS,O
a,VBD,O
nullah,VBG,O
obviously,IN,O
meaning,DT,O
thereby,JJ,O
the,RB,O
accused,VBG,O
did,RB,O
not,DT,O
want,VBN,O
to,VBD,O
disclose,RB,O
their,VB,O
identities,TO,O
if,VB,O
that,PRP$,O
be,NNS,O
so,IN,O
as,DT,O
observed,VB,O
by,RB,O
the,IN,O
learned,VBN,O
sessions,IN,O
judge,DT,O
they,JJ,O
could,NNS,O
have,NN,O
very,PRP,O
well,MD,O
shot,VB,O
the,RB,O
deceased,RB,O
from,VB,O
where,DT,O
they,VBN,O
were,IN,O
hiding,WRB,O
more,PRP,O
so,VBD,O
because,VBG,O
of,RBR,O
the,RB,O
fact,IN,O
the,IN,O
appellant,DT,O
being,NN,O
a,DT,O
policeman,NN,O
used,VBG,O
to,DT,O
firearms,NN,O
could,VBN,O
have,TO,O
very,NNS,O
well,MD,O
shot,VB,O
at,RB,O
and,RB,O
killed,NN,O
the,IN,O
deceased,CC,O
from,VBD,O
where,DT,O
he,VBN,O
was,IN,O
hiding,WRB,O
in,PRP,O
that,VBD,O
background,VBG,O
we,IN,O
are,DT,O
unable,NN,O
to,PRP,O
understand,VBP,O
the,JJ,O
version,TO,O
of,VB,O
the,DT,O
eye,NN,B-LEGAL
witnesses,IN,O
when,DT,O
they,NN,O
also,NNS,O
said,WRB,O
that,PRP,O
all,RB,O
these,VBD,O
4,IN,O
accused,PDT,O
persons,DT,O
suddenly,CD,O
appeared,VBD,O
from,NNS,O
their,RB,O
hiding,VBD,O
and,IN,O
came,PRP$,O
in,NN,O
front,CC,O
of,VBD,O
the,IN,O
deceased,NN,O
waylaid,IN,O
him,DT,O
and,VBN,O
shot,NN,O
him,PRP,O
dead,CC,O
as,VBD,O
observed,PRP,O
by,JJ,O
learned,IN,O
sessions,VBN,O
judge,IN,O
this,JJ,O
sounds,NNS,O
rather,NN,O
unusual,DT,O
the,VBZ,O
next,RB,O
part,JJ,O
of,DT,O
the,JJ,O
evidence,NN,O
of,IN,O
these,DT,O
eye,NN,B-LEGAL
witnesses,IN,O
shows,DT,O
that,NN,O
a,NNS,O
1,VBZ,O
first,IN,O
pulled,DT,O
the,CD,O
trigger,RB,O
of,VBD,O
his,DT,O
revolver,NN,O
which,IN,O
did,PRP$,O
not,NN,O
fire,WDT,O
then,VBD,O
this,RB,O
appellant,VB,O
shot,RB,O
at,DT,O
the,NN,O
deceased,NN,O
with,IN,O
his,DT,O
12,VBN,O
bore,IN,O
gun,PRP$,O
on,CD,O
his,NN,O
chest,NN,O
at,IN,O
one,PRP$,O
stage,NN,O
these,IN,O
witnesses,CD,O
say,NN,O
that,DT,O
deceased,NNS,O
was,VBP,O
shot,IN,O
at,VBD,O
when,VBD,O
he,VBN,O
was,IN,O
standing,WRB,O
at,PRP,O
another,VBD,O
stage,VBG,O
they,IN,O
say,DT,O
that,NN,O
he,PRP,O
was,VBP,O
pulled,IN,O
down,PRP,O
by,VBD,O
a,VBN,O
2,RP,O
and,IN,O
a,DT,O
3,CD,O
who,CC,O
held,DT,O
his,CD,O
hands,WP,O
and,VBD,O
was,PRP$,O
then,NNS,O
shot,CC,O
at,VBD,O
these,RB,O
contradictions,VBN,O
also,IN,O
throw,DT,O
a,NNS,O
doubt,RB,O
in,VBP,O
regard,DT,O
to,NN,O
the,IN,O
actual,NN,O
manner,TO,O
in,DT,O
which,JJ,O
the,NN,O
accused,IN,O
attack,WDT,O
the,DT,O
deceased,VBN,O
then,NN,O
as,DT,O
observed,JJ,O
by,RB,O
learned,IN,O
sessions,VBN,O
judge,IN,O
it,JJ,O
is,NNS,O
highly,NN,O
unnatural,PRP,O
for,VBZ,O
a,RB,O
2,JJ,O
and,IN,O
a,DT,O
3,CD,O
to,CC,O
have,DT,O
held,CD,O
the,TO,O
deceased,VB,O
at,VBN,O
such,DT,O
a,VBN,O
close,IN,O
range,PDT,O
while,DT,O
the,JJ,O
appellant,NN,O
shot,IN,O
at,DT,O
him,JJ,O
with,NN,O
the,IN,O
12,PRP,O
bore,IN,O
gun,DT,O
which,CD,O
sprays,NN,O
pellets,NN,O
as,WDT,O
observed,VBZ,O
by,NNS,O
the,IN,O
learned,VBN,O
sessions,IN,O
judge,DT,O
no,JJ,O
sensible,NNS,O
person,VBP,O
would,DT,O
incur,JJ,O
the,NN,O
risk,MD,O
of,VB,O
standing,DT,O
close,NN,O
to,IN,O
the,VBG,O
victim,JJ,O
when,TO,O
he,DT,O
is,NN,O
being,WRB,O
shot,PRP,O
at,VBZ,O
by,VBG,O
a,VBN,O
12,IN,O
bore,IN,O
gun,DT,O
from,CD,O
a,NN,O
close,NN,O
range,IN,O
in,DT,O
our,JJ,O
opinion,NN,O
these,IN,O
statements,PRP$,O
made,NN,O
by,DT,O
pws,NNS,O
3,VBN,O
and,IN,O
7,JJ,O
are,CD,O
referred,CC,O
to,CD,O
us,VBP,O
hereinabove,VBN,O
create,TO,O
sufficient,PRP,O
suspicion,VB,O
in,NN,O
our,JJ,O
minds,NN,O
to,IN,O
accept,PRP$,O
their,NNS,O
evidence,TO,O
then,VB,O
we,PRP$,O
notice,NN,O
even,RB,O
the,PRP,O
high,VBP,O
court,RB,O
has,DT,O
rejected,JJ,O
the,NN,O
evidence,VBZ,O
of,VBN,O
these,DT,O
witnesses,NN,O
in,IN,O
regard,DT,O
to,NNS,O
a,IN,O
2,NN,O
and,TO,O
a,DT,O
3,CD,O
we,CC,O
do,DT,O
not,CD,O
find,PRP,O
from,VBP,O
the,RB,O
judgment,VB,O
of,IN,O
the,DT,O
high,NN,O
court,IN,O
any,DT,O
special,JJ,O
reason,NN,O
why,DT,O
their,JJ,O
evidence,NN,O
which,WRB,O
was,PRP$,O
not,NN,O
acceptable,WDT,O
in,VBD,O
regard,RB,O
to,JJ,O
a,IN,O
2,NN,O
and,TO,O
a,DT,O
3,CD,O
can,CC,O
be,DT,O
accepted,CD,O
in,MD,O
regard,VB,O
to,VBN,O
the,IN,O
appellant,NN,O
therefore,TO,O
we,DT,O
think,JJ,O
it,NN,O
not,PRP,O
safe,VBP,O
to,PRP,O
rely,RB,O
on,JJ,O
the,TO,O
evidence,VB,O
of,IN,O
these,DT,O
eye,NN,B-LEGAL
witnesses,IN,O
8,DT,O
the,NN,O
high,VBZ,O
court,CD,O
has,DT,O
relied,JJ,O
on,NN,O
the,VBZ,O
recovery,VBN,O
of,IN,O
a,DT,O
12,NN,O
bore,IN,O
gun,DT,O
at,CD,O
the,NN,O
instance,NN,O
of,IN,O
the,DT,O
appellant,NN,O
while,IN,O
the,DT,O
sessions,NN,O
judge,IN,O
has,DT,O
not,NNS,O
placed,NN,O
any,VBZ,O
reliance,RB,O
on,VBN,O
this,DT,O
recovery,NN,O
it,IN,O
is,DT,O
seen,NN,O
from,PRP,O
the,VBZ,O
records,VBN,O
that,IN,O
before,DT,O
the,NNS,O
appellant,WDT,O
was,IN,O
brought,DT,O
to,NN,O
the,VBD,O
village,VBN,O
the,TO,O
house,DT,O
of,NN,O
a,DT,O
3,NN,O
was,IN,O
searched,DT,O
by,CD,O
the,VBD,O
police,VBN,O
and,IN,O
they,DT,O
did,NN,O
not,CC,O
find,PRP,O
any,VBD,O
weapon,RB,O
it,VB,O
is,DT,O
a,NN,O
few,PRP,O
days,VBZ,O
thereafter,DT,O
when,JJ,O
the,NNS,O
appellant,RB,O
was,WRB,O
arrested,DT,O
the,NN,O
prosecution,VBD,O
alleges,VBN,O
that,DT,O
on,NN,O
the,VBZ,O
basis,IN,O
of,IN,O
his,DT,O
statement,NN,O
the,IN,O
recovery,PRP$,O
of,NN,O
the,DT,O
gun,NN,O
was,IN,O
made,DT,O
from,NN,O
the,VBD,O
chabutra,VBN,O
near,IN,O
the,DT,O
house,NN,O
of,IN,O
a,DT,O
3,NN,O
the,IN,O
panch,DT,O
witness,CD,O
for,DT,O
this,NN,O
recovery,NN,O
has,IN,O
not,DT,O
supported,NN,O
the,VBZ,O
prosecution,RB,O
case,VBN,O
in,DT,O
such,NN,O
a,NN,O
situation,IN,O
and,PDT,O
in,DT,O
the,NN,O
background,CC,O
of,IN,O
the,DT,O
fact,NN,O
that,IN,O
on,DT,O
an,NN,O
earlier,IN,O
search,IN,O
of,DT,O
the,JJR,O
house,NN,O
the,IN,O
police,DT,O
were,NN,O
unable,DT,O
to,NN,O
recover,VBD,O
this,JJ,O
gun,TO,O
it,VB,O
becomes,DT,O
doubtful,NN,O
whether,PRP,O
a,VBZ,O
recovery,JJ,O
as,IN,O
stated,DT,O
by,NN,O
the,IN,O
investigating,VBN,O
agency,IN,O
can,DT,O
be,NN,O
believed,NN,O
more,MD,O
so,VB,O
the,VBN,O
panch,RBR,O
witness,RB,O
has,DT,O
not,NN,O
supported,NN,O
the,VBZ,O
recovery,RB,O
therefore,VBN,O
in,DT,O
our,NN,O
opinion,RB,O
even,IN,O
the,PRP$,O
recovery,NN,O
allegedly,RB,O
made,DT,O
at,NN,O
the,RB,O
instance,VBD,O
of,IN,O
the,DT,O
appellant,NN,O
cannot,IN,O
be,DT,O
relied,NN,O
upon,MD,O
if,RB,O
this,VB,O
be,VBN,O
the,IN,O
conclusion,IN,O
in,DT,O
regard,VB,O
to,DT,O
the,NN,O
prosecution,IN,O
case,NN,O
we,TO,O
think,DT,O
it,NN,O
is,NN,O
not,PRP,O
necessary,VBP,O
to,PRP,O
go,VBZ,O
into,RB,O
the,JJ,O
defence,TO,O
put,VB,O
forth,IN,O
by,DT,O
the,NN,O
appellant,VBD,O
because,RB,O
the,IN,O
prosecution,DT,O
should,NN,O
either,IN,O
succeed,DT,O
or,NN,O
fail,MD,O
on,VB,O
its,VB,O
own,CC,O
case,VB,O
in,IN,O
the,PRP$,O
instant,JJ,O
case,NN,O
we,IN,O
agree,DT,O
with,JJ,O
the,NN,O
learned,PRP,O
sessions,VBP,O
judge,IN,O
that,DT,O
the,JJ,O
prosecution,NNS,O
has,NN,O
not,IN,O
established,DT,O
its,NN,O
case,VBZ,O
even,RB,O
against,VBN,O
the,PRP$,O
appellant,NN,O
and,RB,O
the,IN,O
high,DT,O
court,NN,O
was,CC,O
in,DT,O
error,JJ,O
in,NN,O
selectively,VBD,O
accepting,IN,O
the,NN,O
evidence,IN,O
tendered,RB,O
by,VBG,O
the,DT,O
prosecution,NN,O
in,VBN,O
regard,IN,O
to,DT,O
the,NN,O
appellant,IN,O
to,NN,O
come,TO,O
to,DT,O
the,NN,O
conclusion,TO,O
that,VB,O
he,TO,O
is,DT,O
guilty,NN,O
of,IN,O
the,PRP,O
offence,VBZ,O
charged,JJ,O
9,IN,O
before,DT,O
concluding,NN,O
we,VBD,O
would,CD,O
like,IN,O
to,VBG,O
point,PRP,O
out,MD,O
that,VB,O
this,TO,O
court,VB,O
in,RP,O
number,IN,O
of,DT,O
cases,NN,O
has,IN,O
held,NN,O
that,IN,O
an,NNS,O
appellate,VBZ,O
court,VBN,O
entertaining,IN,O
an,DT,O
appeal,JJ,O
from,NN,O
the,VBG,O
judgment,DT,O
of,NN,O
acquittal,IN,O
by,DT,O
the,NN,O
trial,IN,O
court,JJ,O
though,IN,O
entitled,DT,O
to,NN,O
re,NN,O
appreciate,IN,O
the,VBN,O
evidence,TO,O
and,VB,O
come,VB,O
to,DT,O
an,NN,O
independent,CC,O
conclusion,VB,O
it,TO,O
should,DT,O
not,JJ,O
do,NN,O
so,PRP,O
as,MD,O
a,RB,O
matter,VB,O
of,RB,O
routine,IN,O
in,DT,O
other,NN,O
words,IN,O
if,NN,O
from,IN,O
the,JJ,O
same,NNS,O
set,IN,O
of,IN,O
evidence,DT,O
two,JJ,O
views,NN,O
are,IN,O
possible,NN,O
and,CD,O
if,NNS,O
the,VBP,O
trial,JJ,O
court,CC,O
has,IN,O
taken,DT,O
one,NN,O
view,NN,O
on,VBZ,O
the,VBN,O
said,CD,O
evidence,NN,O
unless,IN,O
the,DT,O
appellate,VBD,O
court,NN,O
comes,IN,O
to,DT,O
the,JJ,O
conclusion,NN,O
that,VBZ,O
the,TO,O
view,DT,O
taken,NN,O
by,IN,O
the,DT,O
trial,NN,O
court,VBN,O
is,IN,O
either,DT,O
perverse,NN,O
or,NN,O
such,VBZ,O
that,DT,O
no,NN,O
reasonable,CC,O
person,JJ,O
could,IN,O
come,DT,O
to,JJ,O
that,NN,O
conclusion,MD,O
or,VB,O
that,TO,O
such,DT,O
a,NN,O
finding,CC,O
of,IN,O
the,PDT,O
trial,DT,O
court,NN,O
is,IN,O
not,DT,O
based,NN,O
on,NN,O
any,VBZ,O
material,RB,O
on,VBN,O
record,IN,O
it,DT,O
should,NN,O
not,IN,O
merely,NN,O
because,PRP,O
another,MD,O
conclusion,RB,O
is,RB,O
possible,IN,O
reverse,DT,O
the,NN,O
finding,VBZ,O
of,JJ,O
the,NN,O
trial,DT,O
court,NN,O
see,IN,O
mohanlal,DT,O
hargovind,NN,O
dass,NN,O
v,VBP,O
ram,JJ,O
narain,NN,O
and,NN,O
ors,NN,O
1979,NN,O
3,NN,O
scc,CC,O
279,NNS,O
state,CD,O
of,CD,O
punjab,NN,O
v,CD,O
balraj,NN,O
singh,IN,O
alias,NN,O
chhajju,NN,O
manu,NN,O
sc,NN,O
0180,NN,O
1978manu,NN,O
sc,NN,O
0180,NN,O
1978,CD,O
1978crilj1092,CD,O
state,NN,O
of,CD,O
maharashtra,CD,O
v,CD,O
wasudeo,NN,O
ramchandra,IN,O
kaidalwar,JJ,O
manu,NN,O
sc,NN,O
0249,VBP,O
1981manu,JJ,O
sc,NN,O
0249,NN,O
1981,CD,O
1981crilj884,CD,O
and,NN,O
ram,CD,O
kumar,CD,O
pandey,CD,O
v,CC,O
state,VB,O
of,NN,O
madhya,NN,O
pradesh,NN,O
manu,NN,O
sc,IN,O
0192,NN,O
1975,JJ,O
in,NN,O
the,NN,O
instant,CD,O
case,CD,O
also,IN,O
we,DT,O
find,JJ,O
that,NN,O
the,RB,O
trial,PRP,O
court,VBP,O
had,IN,O
taken,DT,O
a,NN,O
view,NN,O
which,VBD,O
the,VBN,O
high,DT,O
court,NN,O
has,WDT,O
not,DT,O
held,JJ,O
to,NN,O
be,VBZ,O
either,RB,O
perverse,VBN,O
unreasonable,TO,O
or,VB,O
a,RB,O
finding,JJ,O
which,JJ,O
is,CC,O
not,DT,O
based,NN,O
on,WDT,O
evidence,VBZ,O
still,RB,O
on,VBN,O
re,IN,O
appreciation,NN,O
of,RB,O
the,IN,O
evidence,JJ,O
the,NN,O
high,IN,O
court,DT,O
came,NN,O
to,DT,O
a,JJ,O
different,NN,O
conclusion,VBD,O
which,TO,O
on,DT,O
facts,JJ,O
of,NN,O
this,WDT,O
case,IN,O
and,NNS,O
on,IN,O
the,DT,O
basis,NN,O
of,CC,O
the,IN,O
ratio,DT,O
of,NN,O
the,IN,O
law,DT,O
laid,NN,O
down,IN,O
by,DT,O
this,NN,O
court,VBD,O
in,RB,O
the,IN,O
above,DT,O
cited,NN,O
case,IN,O
cannot,DT,O
be,NN,O
sustained,VBD,O
10,NN,O
for,MD,O
the,RB,O
reasons,VB,O
stated,VBN,O
above,CD,O
these,IN,O
appeals,DT,O
succeed,NNS,O
the,VBN,O
judgment,IN,O
and,DT,O
conviction,NNS,O
recorded,VB,O
by,DT,O
the,NN,O
high,CC,O
court,NN,O
as,VBN,O
against,IN,O
this,DT,O
appellant,JJ,O
is,NN,O
set,IN,O
aside,IN,O
the,DT,O
appeals,NN,O
are,VBZ,O
allowed,VBN,O
if,RB,O
the,DT,O
appellant,NNS,O
is,VBP,O
in,VBN,O
custody,IN,O
he,DT,O
shall,NN,O
be,VBZ,O
released,IN,O
forthwith,NN,O
if,PRP,O
not,MD,O
required,VB,O
in,VBN,O
any,NN,O
other,IN,O
case,RB,O
