vn,NN,O
the,DT,O
legislature,NN,O
lacked,VBD,O
competence,NN,O
to,TO,O
enact,VB,O
a,DT,O
law,NN,O
still,RB,O
amends,VBZ,O
the,DT,O
existing,VBG,O
law,NN,O
and,CC,O
subsequently,VB,O
it,PRP,O
is,VBZ,O
found,VBN,O
that,IN,O
the,DT,O
legislature,NN,O
or,CC,O
the,DT,O
authority,NN,O
was,VBD,O
denuded,VBN,O
with,IN,O
the,DT,O
power,NN,O
to,TO,O
amend,VB,O
the,DT,O
existing,VBG,O
law,NN,O
in,IN,O
such,JJ,O
a,DT,O
case,NN,O
the,DT,O
old,JJ,O
law,NN,O
would,MD,O
revive,VB,O
and,CC,O
continue,VB,O
but,CC,O
it,PRP,O
is,VBZ,O
not,RB,O
the,DT,O
case,NN,O
here,RB,O
it,PRP,O
is,VBZ,O
not,RB,O
disputed,VBN,O
that,IN,O
the,DT,O
state,NN,O
government,NN,O
under,IN,O
section,NN,O
28,CD,O
read,NN,O
with,IN,O
section,NN,O
18,CD,O
of,IN,O
the,DT,O
act,NN,O
has,VBZ,O
power,NN,O
to,TO,O
frame,VB,O
rule,NN,O
prescribing,VBG,O
the,DT,O
society,NN,O
commission,NN,O
the,DT,O
state,NN,O
government,NN,O
by,IN,O
substituting,VBG,O
new,JJ,O
rule,NN,O
49,CD,O
never,RB,O
intended,VBN,O
to,TO,O
keep,VB,O
alive,JJ,O
the,DT,O
old,JJ,O
rule,NN,O
the,DT,O
totality,NN,O
of,IN,O
the,DT,O
circumstances,NNS,O
shows,VBZ,O
that,IN,O
the,DT,O
old,JJ,O
rule,NN,O
was,VBD,O
deleted,VBN,O
and,CC,O
came,VBD,O
to,TO,O
be,VB,O
substituted,VBN,O
by,IN,O
new,JJ,O
rule,NN,O
49,CD,O
and,CC,O
therefore,RB,O
we,PRP,O
are,VBP,O
of,IN,O
the,DT,O
view,NN,O
that,IN,O
after,IN,O
new,JJ,O
rule,NN,O
49,CD,O
ceased,VBD,O
to,TO,O
be,VB,O
operative,JJ,O
the,DT,O
old,JJ,O
rule,NN,O
49,CD,O
did,VBD,O
not,RB,O
revive,VB,O
16,CD,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
respondent,NN,O
then,RB,O
pressed,VBD,O
into,IN,O
service,NN,O
sub,JJ,O
section,NN,O
2,CD,O
of,IN,O
section,NN,O
6,CD,O
c,NN,O
of,IN,O
the,DT,O
up,RP,O
general,JJ,O
clauses,NNS,O
act,NN,O
and,CC,O
contended,VBD,O
that,IN,O
where,WRB,O
any,DT,O
amendment,NN,O
of,IN,O
text,NN,O
is,VBZ,O
made,VBN,O
by,IN,O
any,DT,O
temporary,JJ,O
up,RP,O
act,NN,O
or,CC,O
by,IN,O
an,DT,O
ordinance,NN,O
or,CC,O
by,IN,O
any,DT,O
law,NN,O
made,VBN,O
in,IN,O
exercise,NN,O
of,IN,O
the,DT,O
power,NN,O
of,IN,O
the,DT,O
state,NN,O
legislature,NN,O
by,IN,O
the,DT,O
president,NN,O
such,JJ,O
act,JJ,O
ordinance,NN,O
or,CC,O
to,TO,O
her,PRP$,O
law,NN,O
ceases,VBZ,O
to,TO,O
operate,VB,O
without,IN,O
being,VBG,O
re,NN,O
enacted,VBD,O
the,DT,O
amendment,NN,O
of,IN,O
text,NN,O
made,VBN,O
thereby,RB,O
shall,MD,O
also,RB,O
cease,VB,O
to,TO,O
operate,VB,O
it,PRP,O
was,VBD,O
therefore,RB,O
strongly,RB,O
argued,VBD,O
that,IN,O
on,IN,O
application,NN,O
of,IN,O
section,NN,O
6,CD,O
c,NN,O
of,IN,O
the,DT,O
up,RP,O
general,JJ,O
clauses,NNS,O
act,VBP,O
after,IN,O
substituted,VBN,O
rule,NN,O
49,CD,O
ceased,VBD,O
to,TO,O
be,VB,O
operative,JJ,O
and,CC,O
the,DT,O
same,JJ,O
having,VBG,O
been,VBN,O
not,RB,O
re,RB,O
enacted,VBN,O
the,DT,O
old,JJ,O
rule,NN,O
49,CD,O
revived,VBD,O
the,DT,O
contention,NN,O
has,VBZ,O
no,DT,O
merit,NN,O
section,NN,O
6,CD,O
c,NN,O
of,IN,O
the,DT,O
up,RP,O
general,JJ,O
clauses,NNS,O
act,VBP,O
runs,VBZ,O
as,IN,O
under,IN,O
6,CD,O
c,JJ,O
repeal,NN,O
or,CC,O
expiration,NN,O
of,IN,O
law,NN,O
making,VBG,O
textual,JJ,O
amendments,NNS,O
in,IN,O
other,JJ,O
laws,NNS,O
1,CD,O
except,IN,O
as,RB,O
provided,VBN,O
by,IN,O
sub,JJ,O
section,NN,O
2,CD,O
where,WRB,O
any,DT,O
uttar,JJ,O
pradesh,NN,O
act,NN,O
amends,VBZ,O
the,DT,O
text,NN,O
of,IN,O
any,DT,O
uttar,JJ,O
pradesh,JJ,O
act,NN,O
or,CC,O
regulation,NN,O
by,IN,O
the,DT,O
express,NN,O
omission,NN,O
insertion,NN,O
or,CC,O
substitution,NN,O
of,IN,O
any,DT,O
matter,NN,O
the,DT,O
amending,VBG,O
enactment,NN,O
is,VBZ,O
subsequently,RB,O
repealed,VBN,O
the,DT,O
repeal,NN,O
shall,MD,O
not,RB,O
affect,VB,O
the,DT,O
continuance,NN,O
of,IN,O
any,DT,O
such,JJ,O
amendment,NN,O
made,VBN,O
by,IN,O
the,DT,O
enactment,NN,O
so,RB,O
repealed,JJ,O
and,CC,O
in,IN,O
operation,NN,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
such,JJ,O
repeal,NN,O
2,CD,O
where,WRB,O
any,DT,O
such,JJ,O
amendment,NN,O
of,IN,O
text,NN,O
is,VBZ,O
made,VBN,O
by,IN,O
any,DT,O
temporary,JJ,O
uttar,NN,O
pradesh,NN,O
act,NN,O
or,CC,O
by,IN,O
an,DT,O
ordinance,NN,O
or,CC,O
by,IN,O
any,DT,O
law,NN,O
made,VBN,O
in,IN,O
exercise,NN,O
of,IN,O
the,DT,O
power,NN,O
of,IN,O
the,DT,O
state,NN,O
legislature,NN,O
by,IN,O
the,DT,O
president,NN,O
or,CC,O
other,JJ,O
authority,NN,O
referred,VBD,O
to,TO,O
in,IN,O
sub,NN,O
clause,NN,O
a,DT,O
of,IN,O
clause,NN,O
1,CD,O
of,IN,O
articles,NNS,O
357,CD,O
of,IN,O
the,DT,O
constitution,NN,O
and,CC,O
such,JJ,O
act,NN,O
ordinance,NN,O
or,CC,O
other,JJ,O
law,NN,O
ceases,NNS,O
to,TO,O
operate,VB,O
without,IN,O
being,VBG,O
re,NN,O
enacted,VBN,O
with,IN,O
or,CC,O
without,IN,O
modifications,NNS,O
the,DT,O
amendment,NN,O
of,IN,O
text,NN,O
made,VBN,O
thereby,RB,O
shall,MD,O
also,RB,O
cease,VB,O
to,TO,O
operate,VB,O
17,CD,O
section,NN,O
20,CD,O
of,IN,O
the,DT,O
up,RP,O
general,JJ,O
clauses,NNS,O
act,VBP,O
provides,VBZ,O
that,IN,O
where,WRB,O
by,IN,O
any,DT,O
uttar,JJ,O
pradesh,NN,O
act,NN,O
a,DT,O
power,NN,O
to,TO,O
issue,VB,O
any,DT,O
statutory,JJ,O
amendment,NN,O
is,VBZ,O
conferred,VBN,O
then,RB,O
expressions,NNS,O
used,VBN,O
in,IN,O
the,DT,O
statutory,JJ,O
instruments,NNS,O
shall,MD,O
unless,IN,O
there,EX,O
is,VBZ,O
anything,NN,O
repugnant,JJ,B-LEGAL
in,IN,O
the,DT,O
subject,NN,O
or,CC,O
context,NN,O
have,VBP,O
the,DT,O
same,JJ,O
respective,JJ,O
meanings,NNS,O
as,IN,O
in,IN,O
the,DT,O
act,NN,O
conferring,VBG,O
the,DT,O
power,NN,O
sub,NN,O
section,NN,O
2,CD,O
thereof,NN,O
further,RBR,O
provides,VBZ,O
that,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
sections,NNS,O
4,CD,O
4a,CD,O
6,CD,O
6a,CD,O
6b,CD,O
7,CD,O
8,CD,O
9,CD,O
10,CD,O
10a,CD,O
10c,CD,O
11,CD,O
12,CD,O
13,CD,O
14,CD,O
15,CD,O
16,CD,O
17,CD,O
18,CD,O
19,CD,O
19a,CD,O
and,CC,O
28,CD,O
shall,MD,O
mutatis,VB,O
mutandis,NN,O
apply,NN,O
in,IN,O
relation,NN,O
to,TO,O
any,DT,O
statutory,JJ,O
instrument,NN,O
issued,VBN,O
under,IN,O
any,DT,O
uttar,JJ,O
pradesh,JJ,O
act,NN,O
as,IN,O
they,PRP,O
apply,VBP,O
in,IN,O
relation,NN,O
to,TO,O
any,DT,O
uttar,JJ,O
pradesh,NN,O
act,NN,O
18,CD,O
a,DT,O
perusal,NN,O
of,IN,O
section,NN,O
20,CD,O
shows,VBZ,O
that,IN,O
several,JJ,O
provisions,NNS,O
of,IN,O
uttar,JJ,O
pradesh,JJ,O
general,JJ,O
clauses,NNS,O
act,VBP,O
have,VBP,O
been,VBN,O
made,VBN,O
applicable,JJ,O
in,IN,O
relation,NN,O
to,TO,O
statutory,JJ,O
instruments,NNS,O
including,VBG,O
the,DT,O
statutory,JJ,O
rules,NNS,O
issued,VBN,O
under,IN,O
any,DT,O
uttar,JJ,O
pradesh,NN,O
act,NN,O
however,RB,O
section,NN,O
6,CD,O
c,NN,O
does,VBZ,O
not,RB,O
find,VB,O
place,NN,O
in,IN,O
sub,JJ,O
section,NN,O
2,CD,O
of,IN,O
section,NN,O
20,CD,O
of,IN,O
the,DT,O
up,RP,O
general,JJ,O
clauses,NNS,O
act,NN,O
in,IN,O
absence,NN,O
of,IN,O
application,NN,O
of,IN,O
section,NN,O
6,CD,O
c,NN,O
to,TO,O
the,DT,O
statutory,JJ,O
instrument,NN,O
including,VBG,O
the,DT,O
statutory,JJ,O
rule,NN,O
which,WDT,O
is,VBZ,O
the,DT,O
case,NN,O
before,IN,O
us,PRP,O
the,DT,O
contention,NN,O
of,IN,O
the,DT,O
respondents,NNS,O
deserves,VBZ,O
to,TO,O
be,VB,O
rejected,VBN,O
since,IN,O
section,NN,O
6,CD,O
c,NN,O
of,IN,O
the,DT,O
up,RP,O
general,JJ,O
clauses,NNS,O
act,NN,O
has,VBZ,O
not,RB,O
been,VBN,O
applied,VBN,O
to,TO,O
the,DT,O
statutory,JJ,O
rule,NN,O
framed,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
uttar,JJ,O
pradesh,IN,O
the,DT,O
substituted,JJ,O
rule,NN,O
after,IN,O
it,PRP,O
became,VBD,O
inoperative,JJ,O
old,JJ,O
rule,NN,O
49,CD,O
would,MD,O
not,RB,O
revive,VB,O
19,CD,O
for,IN,O
the,DT,O
aforesaid,JJ,O
reasons,NNS,O
we,PRP,O
are,VBP,O
of,IN,O
the,DT,O
view,NN,O
that,IN,O
these,DT,O
matters,NNS,O
deserve,VBP,O
to,TO,O
be,VB,O
allowed,VBN,O
20,CD,O
before,IN,O
we,PRP,O
part,NN,O
with,IN,O
the,DT,O
case,NN,O
we,PRP,O
would,MD,O
like,VB,O
to,TO,O
observe,VB,O
that,DT,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellants,NNS,O
stated,VBD,O
that,IN,O
they,PRP,O
have,VBP,O
paid,VBN,O
the,DT,O
society,NN,O
commission,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
substituted,JJ,O
rule,NN,O
or,CC,O
whatever,NN,O
they,PRP,O
have,VBP,O
paid,VBN,O
towards,IN,O
the,DT,O
society,NN,O
commission,NN,O
as,IN,O
per,IN,O
the,DT,O
respondents,NNS,O
demand,NN,O
they,PRP,O
would,MD,O
not,RB,O
claim,VB,O
any,DT,O
refund,NN,O
of,IN,O
the,DT,O
same,JJ,O
under,IN,O
such,JJ,O
circumstances,NNS,O
we,PRP,O
feel,VBP,O
that,IN,O
no,DT,O
further,JJ,O
order,NN,O
is,VBZ,O
required,VBN,O
to,TO,O
be,VB,O
passed,VBN,O
in,IN,O
that,DT,O
regard,NN,O
21,CD,O
in,IN,O
view,NN,O
of,IN,O
what,WP,O
we,PRP,O
have,VBP,O
stated,VBN,O
above,IN,O
the,DT,O
judgment,NN,O
an,DT,O
order,NN,O
under,IN,O
challenge,NN,O
is,VBZ,O
set,VBN,O
aside,RB,O
the,DT,O
appeal,NN,O
as,RB,O
well,RB,O
as,IN,O
the,DT,O
writ,NN,O
petition,NN,O
are,VBP,O
allowed,VBN,O
there,EX,O
shall,MD,O
be,VB,O
no,DT,O
order,NN,O
as,IN,O
to,TO,O
costs,NNS,O
